,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
1,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
2,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
3,1 Series,2021,21049,Manual,10996,Diesel,58.9,1.5,bmw,30155455
4,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
5,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
6,1 Series,2021,25549,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
7,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
8,2 Series,2019,15699,Manual,15684,Petrol,42.8,1.5,bmw,30079798
9,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
10,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
11,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
12,3 Series,2019,25849,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
13,X2,2019,21799,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
14,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
15,1 Series,2019,19349,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
16,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
17,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
18,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
19,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
20,X2,2019,18599,Manual,19706,Diesel,55.4,2.0,bmw,30113650
21,3 Series,2021,29049,Semi-Auto,21132,Diesel,56.5,2.0,bmw,30320432
22,2 Series,2020,24949,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
23,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
24,X1,2019,22749,Semi-Auto,22193,Petrol,39.2,2.0,bmw,30075201
25,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
26,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
27,1 Series,2020,20799,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
28,1 Series,2017,15699,Manual,22811,Petrol,52.3,1.5,bmw,30447991
