,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,5 Series,2012,7490,Automatic,112000,Diesel,53.3,3.0,bmw,30126002
1,5 Series,2012,6990,Automatic,132000,Diesel,56.5,2.0,bmw,30277960
2,6 Series,2004,3990,Automatic,170000,Petrol,24.6,4.4,bmw,26503383
3,i8,2017,39995,Automatic,66000,Other,134.5,1.5,bmw,30398367
4,2 Series,2020,23995,Automatic,28601,Petrol,42.2,1.5,bmw,29980790
5,X2,2020,24395,Automatic,36128,Petrol,36.2,2.0,bmw,28931424
6,1 Series,2019,11395,Manual,83536,Diesel,78.5,1.5,bmw,29993655
7,M3,2017,33995,Automatic,34779,Petrol,34,3.0,bmw,30159868
8,1 Series,2014,12495,Manual,40278,Diesel,58.9,2.0,bmw,29403184
9,X2,2019,19099,Manual,27522,Petrol,41.5,1.5,bmw,30125064
10,5 Series,2018,20199,Semi-Auto,67250,Hybrid,156.9,2,bmw,30317702
11,X3,2017,23999,Semi-Auto,13670,Diesel,56.5,2,bmw,29835174
12,X7,2023,84995,Automatic,247,Other,26.7,3.0,bmw,30379370
13,X6,2022,89995,Automatic,1501,Petrol,23,4.4,bmw,30348513
14,X5,2023,72995,Automatic,5716,Other,37.2,3.0,bmw,30443974
15,4 Series,2022,36995,Automatic,6590,Other,54.3,2.0,bmw,30417005
16,4 Series,2021,84995,Automatic,8500,Petrol,28,3.0,bmw,29941897
17,4 Series,2022,39995,Automatic,17015,Other,50.4,3.0,bmw,29931793
18,M2,2020,38995,Automatic,19012,Petrol,29.1,3.0,bmw,30176741
19,1 Series,2020,19995,Manual,28682,Diesel,56.5,2.0,bmw,30437923
20,1 Series,2017,12695,Manual,28843,Diesel,72.4,1.5,bmw,30389111
21,X3,2018,27495,Automatic,29111,Diesel,54.3,2.0,bmw,30389113
22,X3,2020,43995,Automatic,30704,Petrol,30.1,3.0,bmw,30324985
23,X3,2019,37995,Automatic,35371,Petrol,34.5,3.0,bmw,30176742
