,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,M2,2017,24999,Manual,81201,Petrol,33.2,3,bmw,30312657
1,4 Series,2018,22999,Automatic,21000,Diesel,55.4,3.0,bmw,30378935
2,3 Series,2013,10999,Manual,84000,Diesel,58.9,2.0,bmw,30049477
3,2 Series,2016,13850,Manual,42587,Diesel,68.9,1.5,bmw,30436308
4,4 Series,2017,19500,Automatic,44422,Diesel,60.1,2.0,bmw,30342984
5,2 Series,2015,7995,Manual,90356,Diesel,74.3,1.5,bmw,28014489
6,X5,2003,2999,Automatic,114000,Petrol,None,3.0,bmw,30415300
7,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
8,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
9,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
10,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
11,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
12,1 Series,2021,25549,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
13,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
14,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
15,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
16,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
17,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
18,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
19,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
20,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
21,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
22,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
23,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
24,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
25,1 Series,2020,20799,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
26,1 Series,2020,21799,Manual,22862,Petrol,41.5,1.5,bmw,30260985
27,X1,2018,22449,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
28,3 Series,2020,24549,Semi-Auto,23564,Diesel,53.3,2.0,bmw,29695046
29,3 Series,2019,27049,Semi-Auto,23650,Diesel,52.3,2.0,bmw,30424971
30,1 Series,2019,20999,Manual,23824,Petrol,None,1.5,bmw,30208511
31,1 Series,2020,19049,Manual,24232,Diesel,57.7,1.5,bmw,30042456
32,1 Series,2019,17849,Manual,24559,Petrol,44.8,1.5,bmw,30046145
33,X1,2019,23049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
34,X2,2019,20549,Semi-Auto,25395,Petrol,43.5,1.5,bmw,30417205
35,2 Series,2019,18299,Manual,26100,Petrol,52.3,1.5,bmw,30308113
36,2 Series,2019,18299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
37,3 Series,2019,27849,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
38,2 Series,2020,19599,Manual,26543,Petrol,45.6,1.5,bmw,30042395
39,X3,2019,31049,Semi-Auto,27327,Diesel,54.3,2.0,bmw,30417109
40,3 Series,2019,27049,Semi-Auto,23650,Diesel,52.3,2.0,bmw,30424971
41,2 Series,2018,15999,Semi-Auto,23693,Diesel,60.1,2.0,bmw,30079722
42,1 Series,2019,20999,Manual,23824,Petrol,None,1.5,bmw,30208511
43,1 Series,2020,19049,Manual,24232,Diesel,57.7,1.5,bmw,30042456
44,1 Series,2019,17849,Manual,24559,Petrol,44.8,1.5,bmw,30046145
45,X1,2019,23049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
46,X2,2019,20549,Semi-Auto,25395,Petrol,43.5,1.5,bmw,30417205
47,2 Series,2017,14049,Manual,26018,Diesel,68.9,2.0,bmw,30447767
48,2 Series,2019,18299,Manual,26100,Petrol,52.3,1.5,bmw,30308113
49,2 Series,2019,18299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
50,X2,2018,17299,Manual,33057,Diesel,55.4,2.0,bmw,30178428
51,5 Series,2019,23299,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
52,X4,2019,33049,Semi-Auto,34097,Diesel,42.8,2.0,bmw,30417108
53,X2,2018,21049,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
54,X3,2019,31549,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
55,X1,2019,21499,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
56,X1,2018,21599,Semi-Auto,34616,Petrol,37.7,2.0,bmw,30348681
57,X1,2018,22199,Semi-Auto,35015,Petrol,35.3,2.0,bmw,30317297
58,X1,2019,23049,Semi-Auto,35494,Petrol,39.2,2.0,bmw,30392891
59,2 Series,2018,17199,Manual,35648,Diesel,54.3,1.5,bmw,30429267
60,1 Series,2019,16549,Semi-Auto,30754,Diesel,78.5,1.5,bmw,30401230
61,X4,2017,24049,Semi-Auto,30945,Diesel,54.3,2.0,bmw,30312236
62,4 Series,2016,16899,Semi-Auto,31116,Diesel,60.1,2.0,bmw,30281249
63,3 Series,2017,15449,Manual,31660,Petrol,48.7,2.0,bmw,30447967
64,X2,2019,18349,Manual,31772,Petrol,42.8,1.5,bmw,30348767
65,3 Series,2019,25499,Semi-Auto,31795,Hybrid,None,2.0,bmw,30190721
66,1 Series,2020,21549,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
67,1 Series,2016,15549,Manual,32649,Petrol,46.3,2.0,bmw,30417358
68,X2,2018,17299,Manual,33057,Diesel,55.4,2.0,bmw,30178428
69,1 Series,2020,23549,Semi-Auto,33064,Diesel,50.4,2.0,bmw,30447162
70,X3,2019,29549,Semi-Auto,33453,Petrol,30.4,2.0,bmw,30113693
71,5 Series,2019,23299,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
72,X4,2019,33049,Semi-Auto,34097,Diesel,42.8,2.0,bmw,30417108
73,X2,2018,21049,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
74,X3,2019,31549,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
75,X1,2019,21499,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
76,X1,2018,21599,Semi-Auto,34616,Petrol,37.7,2.0,bmw,30348681
77,X1,2018,22199,Semi-Auto,35015,Petrol,35.3,2.0,bmw,30317297
78,1 Series,2019,16849,Semi-Auto,35169,Petrol,54.3,1.5,bmw,30079688
79,X1,2019,23049,Semi-Auto,35494,Petrol,39.2,2.0,bmw,30392891
80,3 Series,2019,20499,Semi-Auto,42484,Diesel,64.2,2.0,bmw,30219164
81,X1,2017,20299,Semi-Auto,42747,Petrol,44.8,2.0,bmw,30308325
82,X1,2018,18899,Semi-Auto,42940,Petrol,46.3,1.5,bmw,30103426
83,X1,2016,17549,Semi-Auto,43019,Diesel,60.1,2.0,bmw,30348889
84,5 Series,2016,17049,Semi-Auto,43229,Diesel,62.8,2.0,bmw,30312257
85,2 Series,2018,17499,Manual,43492,Diesel,64.2,2.0,bmw,30317373
86,X1,2019,17049,Manual,43503,Petrol,40.9,1.5,bmw,30281078
87,1 Series,2018,17999,Semi-Auto,43521,Diesel,68.9,2.0,bmw,30337909
88,X2,2018,21549,Semi-Auto,43782,Diesel,58.9,2.0,bmw,30261022
89,3 Series,2018,17899,Semi-Auto,43875,Diesel,60.1,2.0,bmw,30042592
90,2 Series,2019,19849,Automatic,38377,Hybrid,113,1.5,bmw,30401215
91,3 Series,2017,17799,Semi-Auto,38776,Diesel,64.2,2.0,bmw,30354595
92,1 Series,2020,19799,Manual,38932,Diesel,54.3,1.5,bmw,30132492
93,1 Series,2020,22699,Semi-Auto,39115,Petrol,40.4,1.5,bmw,30367170
94,3 Series,2018,25049,Semi-Auto,39411,Diesel,51.4,3.0,bmw,30417308
95,3 Series,2020,22049,Semi-Auto,39491,Diesel,54.3,2.0,bmw,30429165
96,2 Series,2018,18849,Semi-Auto,39554,Petrol,38.2,2.0,bmw,30438197
97,1 Series,2019,21049,Semi-Auto,39573,Petrol,39.8,3.0,bmw,30042214
98,2 Series,2016,11949,Manual,40390,Petrol,52.3,1.5,bmw,30447983
99,1 Series,2018,13949,Manual,40410,Diesel,52.3,2.0,bmw,30429245
100,2 Series,2019,17199,Semi-Auto,40497,Diesel,67.3,2.0,bmw,30075200
101,1 Series,2020,20349,Manual,41070,Petrol,41.5,1.5,bmw,30447932
102,X2,2019,17599,Manual,41242,Petrol,42.8,1.5,bmw,30337921
103,1 Series,2019,14549,Manual,41261,Diesel,72.4,1.5,bmw,30424954
104,5 Series,2018,20549,Semi-Auto,41323,Diesel,68.9,2.0,bmw,29950320
105,5 Series,2020,25549,Semi-Auto,41398,Diesel,46.3,2.0,bmw,30354622
106,3 Series,2017,17249,Semi-Auto,41508,Diesel,64.2,2.0,bmw,30178578
107,2 Series,2018,16999,Semi-Auto,41637,Petrol,48.7,2.0,bmw,30188226
108,X1,2019,19549,Manual,41731,Diesel,52.3,2.0,bmw,30451738
109,3 Series,2018,14549,Manual,42156,Petrol,52.3,1.5,bmw,30354544
