,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2016,10499,Manual,72028,Petrol,52.3,1.5,bmw,30026126
1,3 Series,2017,14299,Manual,72333,Diesel,58.9,2,bmw,30252441
2,5 Series,2015,14599,Automatic,78257,Diesel,50.4,3,bmw,29802842
3,1 Series,2014,8699,Manual,81789,Diesel,65.7,2,bmw,30423071
4,1 Series,2015,10999,Manual,54083,Petrol,49.6,1.6,bmw,30468637
5,4 Series,2015,13979,Manual,38199,Petrol,40.9,2,bmw,30280990
6,3 Series,2015,14995,Automatic,76000,Diesel,57.6,2.0,bmw,28835480
7,X6,2020,61999,Automatic,16000,Diesel,34.9,3,bmw,28071110
8,1 Series,2016,19499,Manual,26000,Petrol,36.2,3,bmw,30375185
9,M4,2014,26499,Semi-Auto,41000,Petrol,32.5,3,bmw,30339727
10,Z4,2015,14999,Manual,51000,Petrol,41.5,2,bmw,30156866
11,4 Series,2018,20999,Automatic,52000,Diesel,58.9,2,bmw,30291606
12,X4,2017,24999,Automatic,53000,Diesel,47.9,3,bmw,29905815
13,6 Series,2017,23499,Automatic,55000,Diesel,49.6,3,bmw,28930398
14,4 Series,2018,24499,Automatic,55000,Diesel,49.6,3,bmw,28071109
15,2 Series,2015,12499,Manual,56000,Diesel,64.2,2,bmw,27535497
16,2 Series,2017,13499,Manual,60000,Petrol,52.3,1.5,bmw,27277767
17,M3,2013,23499,Semi-Auto,68000,Petrol,25.2,4,bmw,29170999
18,3 Series,2016,10999,Manual,89000,Diesel,67.3,2,bmw,27904173
19,1 Series,2015,8499,Manual,100000,Petrol,50.4,1.6,bmw,30105108
20,1 Series,2013,8995,Automatic,68313,Petrol,50.4,1.6,bmw,30305285
21,1 Series,2022,30500,Semi-Auto,9779,Petrol,70.6,2,bmw,30325948
22,X6,2020,51000,Semi-Auto,16836,Diesel,34.9,3,bmw,30418093
23,3 Series,2019,18750,Semi-Auto,32005,Diesel,64.2,2,bmw,30241078
24,X4,2017,22750,Semi-Auto,42587,Diesel,54.3,2,bmw,30241075
25,2 Series,2014,10895,Manual,81358,Diesel,58.9,2.0,bmw,30293720
26,1 Series,2010,5895,Automatic,118800,Diesel,51.4,2.0,bmw,30428214
27,1 Series,2016,9795,Manual,78592,Petrol,53.3,1.5,bmw,30061017
28,1 Series,2017,23391,Automatic,35000,Petrol,39.8,3.0,bmw,29933880
29,4 Series,2017,19481,Automatic,42000,Diesel,65.7,2.0,bmw,30226029
30,1 Series,2017,17995,Automatic,34000,Diesel,67.3,2.0,bmw,30324264
31,3 Series,2017,24495,Automatic,34000,Diesel,51.4,3.0,bmw,30001170
32,5 Series,2016,18495,Automatic,41700,Diesel,62.8,2.0,bmw,30001156
33,4 Series,2017,19695,Automatic,43000,Petrol,48.7,2.0,bmw,29930769
34,1 Series,2017,12295,Manual,58000,Petrol,53.3,1.5,bmw,30138630
35,3 Series,2017,17295,Automatic,69000,Diesel,62.8,2.0,bmw,30354026
36,3 Series,2017,14995,Automatic,69720,Diesel,67.3,2.0,bmw,29930776
37,4 Series,2014,14995,Manual,71000,Diesel,53.3,2.0,bmw,30324278
38,4 Series,2015,15495,Automatic,75000,Diesel,58.9,2.0,bmw,30204565
39,2 Series,2017,14750,Manual,30986,Petrol,48.7,1.5,bmw,28777305
40,3 Series,2013,12995,Automatic,46975,Diesel,57.6,2.0,bmw,29606090
41,Z3,2001,4995,Manual,54000,Petrol,35.8,1.9,bmw,28685256
42,2 Series,2018,15495,Manual,55000,Petrol,52.3,1.5,bmw,29940810
43,2 Series,2014,8995,Manual,70000,Petrol,57.6,1.5,bmw,30280264
44,3 Series,2015,15995,Automatic,73000,Diesel,51.4,3.0,bmw,29858307
45,3 Series,2018,14995,Manual,78000,Diesel,68.9,2.0,bmw,30161168
46,4 Series,2015,10995,Manual,92981,Diesel,60.1,2.0,bmw,29517063
47,5 Series,2014,12995,Automatic,66000,Diesel,57.6,2.0,bmw,30466122
48,5 Series,2008,7499,Manual,91000,Diesel,None,2.0,bmw,27035286
49,3 Series,2006,4599,Manual,102000,Diesel,None,2.0,bmw,27035211
50,5 Series,2006,7599,Automatic,102000,Diesel,37.7,3.0,bmw,27035263
51,5 Series,2008,7000,Automatic,119000,Diesel,None,2.0,bmw,27035264
52,5 Series,2005,5499,Automatic,122000,Diesel,36.2,2.5,bmw,27035285
53,5 Series,2004,3799,Manual,159000,Diesel,42.2,2.5,bmw,27035253
54,X5,2001,3000,Automatic,160000,Diesel,29.1,2.9,bmw,27035312
55,3 Series,2007,4000,Manual,283000,Diesel,58.9,2.0,bmw,27035250
56,1 Series,2020,26549,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
57,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
58,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
59,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
60,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
61,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
62,1 Series,2021,25549,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
63,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
64,2 Series,2019,15699,Manual,15684,Petrol,42.8,1.5,bmw,30079798
65,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
66,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
67,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
68,3 Series,2019,25849,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
69,X2,2019,21799,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
70,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
71,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
