,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2015,8395,Manual,107777,Diesel,70.6,1.6,volkswagen,30278131
1,IDBuzz,2023,64991,Multicolour,Electric,Automatic,24,,volkswagen,29959961
2,IDBuzz,2023,64991,Multicolour,Electric,Automatic,352,,volkswagen,30347436
3,Multivan,2022,58991,Automatic,6797,Diesel,42.8,2.0,volkswagen,30082857
4,Caravelle,2021,56991,Automatic,14380,Diesel,35.8,2.0,volkswagen,30450716
5,Caravelle,2020,54991,Automatic,16901,Diesel,32.8,2.0,volkswagen,30428003
6,Amarok,2023,44680,Automatic,9,Diesel,32.1,2.0,volkswagen,30450715
7,Polo,2019,16791,Semi-Auto,6361,Petrol,45.6,1,volkswagen,29917411
8,Sharan,2017,22627,Semi-Auto,11793,Diesel,54.3,2,volkswagen,29917408
9,T-Roc,2020,18575,Manual,27428,Diesel,51.4,1.6,volkswagen,30187107
10,Tiguan,2018,19223,Semi-Auto,43280,Diesel,40.4,2,volkswagen,29917413
11,Golf,2016,21495,Manual,29800,Petrol,47.1,2,volkswagen,30390714
12,Polo,2019,16495,Manual,26000,Petrol,None,1.0,volkswagen,29879161
13,Up,2021,14857,Manual,5200,Petrol,54.3,1,volkswagen,30450421
14,Polo,2012,7450,Manual,51000,Petrol,47.9,1.4,volkswagen,30284323
15,Golf,2012,8490,Automatic,61000,Petrol,47.1,1.4,volkswagen,30117056
16,Golf,2014,9450,Manual,67000,Petrol,53.3,1.4,volkswagen,30311641
17,Golf,2015,10950,Automatic,75000,Petrol,56.5,1.4,volkswagen,30316585
18,Polo,2012,5990,Manual,81000,Petrol,47.9,1.4,volkswagen,30293983
19,CC,2015,7995,Automatic,112000,Diesel,54.3,2.0,volkswagen,30123008
20,Golf,2017,16999,Automatic,70000,Diesel,57.7,2.0,volkswagen,29971621
21,Passat,2013,6499,Manual,81000,Diesel,64.2,1.6,volkswagen,29486679
22,Polo,2015,6999,Manual,92500,Petrol,60.1,1.2,volkswagen,30244535
23,Polo,2015,11995,Manual,18009,Petrol,60.1,1,volkswagen,30129646
24,Golf,2012,7995,Manual,57000,Diesel,62.8,2.0,volkswagen,30310359
25,Up,2014,3999,Manual,98500,Petrol,62.8,1.0,volkswagen,29411247
26,Golf,2020,25999,Automatic,59000,Petrol,32.8,2.0,volkswagen,30473553
27,Golf,2009,2750,Manual,126300,Petrol,44.1,1.4,volkswagen,30415115
28,Polo,2004,2495,Automatic,60000,Petrol,37.2,1.4,volkswagen,30207098
29,Polo,2008,2275,Manual,86000,Petrol,48.7,1.2,volkswagen,30173808
30,Sharan,2006,2495,Automatic,125211,Diesel,36.2,1.9,volkswagen,30173791
31,Passat,2006,2475,Automatic,106000,Diesel,42.2,2.0,volkswagen,30421522
32,Touran,2012,7985,Automatic,74130,Petrol,None,0,volkswagen,30358851
33,Touran,2010,6285,Manual,85101,Petrol,39.2,1.4,volkswagen,30397203
34,Polo,2014,6485,Manual,87891,Diesel,83.1,1.4,volkswagen,30207816
35,Polo,2012,5995,Manual,59000,Petrol,51.4,1.2,volkswagen,30285511
36,Tiguan,2019,23000,Automatic,34772,Petrol,47.9,1.5,volkswagen,30449498
37,Golf,2012,4985,Manual,105219,Diesel,65.7,2.0,volkswagen,29597158
38,Golf,2011,5185,Automatic,105663,Diesel,62.8,1.6,volkswagen,30205896
39,Polo,2011,7985,Automatic,35731,Petrol,None,0,volkswagen,30455257
40,Golf,2009,6985,Automatic,47391,Petrol,None,0,volkswagen,30445952
41,Passat,2006,2995,Automatic,124000,Diesel,42.2,2.0,volkswagen,27020413
42,Tiguan,2019,29884,Semi-Auto,7483,Diesel,45.6,2,volkswagen,30438986
43,Tiguan,2018,25007,Semi-Auto,13822,Diesel,49.6,2,volkswagen,30438985
44,Golf,2010,5500,Manual,64000,Diesel,57.6,2.0,volkswagen,30472548
45,Golf,2010,7995,Automatic,46117,Petrol,47.1,1.4,volkswagen,30161648
46,Golf,2017,11485,Automatic,79822,Diesel,67.3,2.0,volkswagen,29949545
47,Golf,2014,6495,Manual,114863,Diesel,None,1.6,volkswagen,30470408
48,Polo,2023,9000,Automatic,61463,Petrol,None,1.4,volkswagen,30453874
49,Passat,2019,19999,Semi-Auto,40832,Diesel,47.1,1.6,volkswagen,30429625
50,Polo,2018,11800,Manual,55132,Petrol,64.2,1,volkswagen,30192620
51,Polo,2015,8290,Manual,58099,Petrol,58.9,1,volkswagen,30427204
52,Tiguan,2019,25990,Semi-Auto,64819,Diesel,35.3,2,volkswagen,30211586
53,Polo,2016,13190,Semi-Auto,28789,Petrol,60.1,1.2,volkswagen,30309892
54,Golf SV,2016,8950,Manual,22849,Petrol,55.4,1.4,volkswagen,29969818
55,Tiguan,2016,16950,Automatic,45187,Diesel,49.6,2.0,volkswagen,30274503
56,Golf,2020,19750,Automatic,69500,Petrol,47.1,1.5,volkswagen,30386375
57,CC,2011,5650,Manual,74853,Diesel,60.1,2.0,volkswagen,30394993
58,Golf,2015,11350,Manual,85374,Diesel,67.3,2.0,volkswagen,30038422
59,Touareg,2019,36295,Automatic,48560,Diesel,34,3.0,volkswagen,30192156
60,Polo,2021,15280,Grey,Other,Manual,None,,volkswagen,30349907
61,Golf,2015,11350,Manual,85374,Diesel,67.3,2.0,volkswagen,30038422
62,Up,2019,13450,Manual,32293,Petrol,50.4,1.0,volkswagen,30043228
63,Tiguan,2012,7795,Manual,107348,Diesel,47.1,2.0,volkswagen,28733572
64,Golf,2021,23899,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
65,Polo,2019,15499,Manual,7867,Petrol,52.3,1.0,volkswagen,30424987
66,Polo,2021,18049,Manual,8999,Petrol,53.3,1.0,volkswagen,30429196
67,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
68,T-Roc,2021,28049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
69,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
70,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
71,Golf,2006,8995,Automatic,111000,Petrol,28.8,3.2,volkswagen,30050723
72,Golf,2016,10995,Manual,63831,Diesel,74.3,1.6,volkswagen,30416035
73,T-Cross,2020,22749,Automatic,9355,Petrol,43.5,1.0,volkswagen,30360640
74,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
75,T-Roc,2021,28049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
76,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
77,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
78,Up,2019,10199,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
79,Golf,2019,18399,Manual,10810,Petrol,47.1,1.5,volkswagen,30447840
