,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2011,5990,Manual,72000,Petrol,51.4,1.2,volkswagen,30413877
1,Tiguan Allspace,2020,25900,Automatic,47282,Petrol,35.8,1.5,volkswagen,30147066
2,Tiguan Allspace,2019,21990,Automatic,64019,Diesel,39.2,2.0,volkswagen,30327631
3,Tiguan Allspace,2020,25720,Automatic,21463,Diesel,44.1,2.0,volkswagen,29934008
4,T-Roc,2018,17690,Manual,24557,Petrol,44.1,1.0,volkswagen,29002011
5,Golf,2021,30550,Automatic,14587,Diesel,54.3,2.0,volkswagen,29403859
6,Golf,2021,33950,Automatic,16469,Petrol,38.2,2.0,volkswagen,30294194
7,ID4,2021,34950,Automatic,20000,Other,None,0,volkswagen,30278687
8,Arteon,2021,26750,Automatic,13080,Diesel,55.4,2.0,volkswagen,27156626
9,Golf,2021,30450,Automatic,20976,Petrol,38.2,2.0,volkswagen,30112956
10,Tiguan,2018,26250,Automatic,41786,Diesel,49.6,2.0,volkswagen,30359543
11,Caravelle,2012,24995,Automatic,63000,Diesel,34.4,2.0,volkswagen,26089529
12,Tiguan,2019,30995,Automatic,29000,Diesel,39.2,2.0,volkswagen,30076710
13,Tiguan Allspace,2023,34950,Automatic,767,Petrol,40.9,1.5,volkswagen,30294183
14,T-Roc,2023,29250,Manual,3265,Petrol,47.1,1.5,volkswagen,30257883
15,Golf,2023,24850,Manual,4000,Petrol,49.6,1.5,volkswagen,30189327
16,Golf,2022,26150,Manual,4320,Petrol,51.4,1.5,volkswagen,30169681
17,Polo,2022,18450,Manual,5376,Petrol,54.3,1.0,volkswagen,30271874
18,Golf,2022,26450,Manual,5432,Petrol,51.4,1.5,volkswagen,29828544
19,Polo,2022,17650,Manual,6369,Petrol,52.3,1.0,volkswagen,30257888
20,Golf,2022,21750,Manual,7188,Petrol,52.3,1.5,volkswagen,29875020
21,T-Roc,2023,26950,Manual,7635,Petrol,47.1,1.0,volkswagen,30316811
22,Polo,2020,16950,Manual,8216,Petrol,50.4,1.0,volkswagen,30226346
23,Polo,2020,15995,Manual,11450,Petrol,51.4,1,volkswagen,30017080
24,Up,2013,8495,Manual,8000,Petrol,60.1,1,volkswagen,30475824
25,Polo,2021,16250,Manual,8393,Petrol,51.4,1.0,volkswagen,30014032
26,Polo,2021,17650,Manual,10217,Petrol,50.4,1.0,volkswagen,30174625
27,Polo,2021,17750,Manual,10785,Petrol,50.4,1.0,volkswagen,30468536
28,Golf,2022,28750,Automatic,11235,Petrol,49.6,1.5,volkswagen,30468532
29,Polo,2021,16850,Manual,13502,Petrol,51.4,1.0,volkswagen,27156724
30,Tiguan,2021,25250,Manual,13585,Petrol,43.5,1.5,volkswagen,30226331
31,Polo,2021,17500,Manual,13976,Petrol,54.3,1.0,volkswagen,30174624
32,Polo,2021,16950,Manual,14056,Petrol,50.4,1.0,volkswagen,30294193
33,Polo,2021,19750,Automatic,15040,Petrol,46.3,1.0,volkswagen,30430935
34,Polo,2020,15950,Manual,16165,Petrol,50.4,1.0,volkswagen,30257881
35,Golf,2016,10995,Manual,64000,Petrol,53.3,1.4,volkswagen,29333961
36,Up,2017,6079,Manual,81000,Petrol,64.2,1,volkswagen,27435593
37,Tiguan,2021,28450,Automatic,16342,Petrol,41.5,1.5,volkswagen,27823927
38,Polo,2021,16650,Manual,17124,Petrol,50.4,1.0,volkswagen,30299049
39,Tiguan,2021,23500,Manual,17874,Petrol,44.1,1.5,volkswagen,30257879
40,Polo,2021,16250,Manual,19273,Petrol,50.4,1.0,volkswagen,30189329
41,Polo,2022,22250,Automatic,19355,Petrol,50.4,1.0,volkswagen,30455660
42,Golf,2019,17650,Manual,19685,Petrol,47.1,1.5,volkswagen,30257887
43,T-Cross,2020,18250,Manual,21687,Petrol,48.7,1.0,volkswagen,30455659
44,Polo,2022,19250,Automatic,21941,Petrol,51.4,1.0,volkswagen,30163413
45,T-Cross,2019,16950,Manual,23165,Petrol,48.7,1.0,volkswagen,30471107
46,T-Roc,2019,20750,Manual,24911,Petrol,42.2,1.5,volkswagen,25244145
47,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
48,Golf,2023,45279,Automatic,2300,Petrol,36.2,2.0,volkswagen,30043854
49,Golf,2019,17450,Manual,25140,Petrol,43.5,1.5,volkswagen,30174623
50,T-Roc,2019,22100,Manual,25433,Diesel,50.4,1.6,volkswagen,30226336
51,Polo,2020,15450,Manual,25507,Petrol,52.3,1.0,volkswagen,30189325
52,Golf,2021,18950,Manual,26818,Petrol,47.9,1.5,volkswagen,30112953
53,Polo,2020,15750,Manual,29801,Petrol,50.4,1.0,volkswagen,30453399
54,Polo,2020,16850,Manual,30276,Petrol,49.6,1.0,volkswagen,30289035
55,Polo,2020,16450,Manual,31290,Petrol,49.6,1.0,volkswagen,30299057
56,Golf,2020,21950,Automatic,32305,Other,141.3,1.4,volkswagen,30014028
57,Golf,2021,18250,Manual,34082,Petrol,52.3,1.5,volkswagen,30316809
58,Tiguan,2019,21950,Manual,38420,Petrol,38.2,1.5,volkswagen,30163411
59,Eos,2006,3495,Manual,134000,Petrol,33.2,2,volkswagen,30164719
60,Golf,2007,4000,Manual,120995,Petrol,35.3,2.0,volkswagen,30141197
61,Polo,2017,11750,Manual,38675,Petrol,60.1,1.2,volkswagen,25244142
62,Up,2017,8950,Manual,47058,Petrol,64.2,1.0,volkswagen,30306341
63,Golf,2015,12950,Manual,63575,Petrol,58.9,1.4,volkswagen,30353365
64,Polo,2023,25650,Automatic,2461,Petrol,50.4,1.0,volkswagen,30342602
65,Golf,2023,24450,Manual,5000,Petrol,51.4,1.5,volkswagen,30420748
66,Golf,2023,24750,Manual,5000,Petrol,51.4,1.5,volkswagen,30446231
67,T-Roc,2023,26250,Manual,5000,Petrol,47.1,1.0,volkswagen,30447570
68,Passat,2023,33250,Automatic,5000,Petrol,42.8,1.5,volkswagen,30462022
69,Polo,2023,25750,Automatic,6000,Petrol,50.4,1.0,volkswagen,30447569
70,Polo,2019,17950,Automatic,6797,Petrol,45.6,1.0,volkswagen,30342591
71,Golf,2010,6995,Manual,123000,Petrol,38.7,2.0,volkswagen,30101262
72,Golf,2012,8989,Manual,42160,Petrol,45.6,1.4,volkswagen,30433371
73,Golf,2020,20250,Manual,6824,Petrol,49.6,1.5,volkswagen,30447567
74,Polo,2023,21450,Manual,7000,Petrol,54.3,1.0,volkswagen,30447568
75,Up,2017,10950,Manual,8099,Petrol,64.2,1.0,volkswagen,30398788
76,Up,2021,17250,Manual,8121,Petrol,53.3,1.0,volkswagen,30435656
77,Polo,2018,13750,Manual,11686,Petrol,60.1,1.0,volkswagen,30398787
78,Golf,2021,19450,Manual,13585,Petrol,49.6,1.5,volkswagen,30378094
79,T-Cross,2019,19750,Manual,17605,Petrol,47.9,1.0,volkswagen,30398790
80,Polo,2021,17650,Manual,19339,Petrol,53.3,1.0,volkswagen,30359523
