,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2020,20750,Manual,22000,Petrol,49.6,1.5,volkswagen,30274214
1,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
2,Polo,2021,16849,Manual,11596,Petrol,47.9,1.0,volkswagen,30424989
3,Polo,2016,14299,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
4,Tiguan,2019,21049,Manual,12691,Petrol,40.9,1.5,volkswagen,30325176
5,Polo,2020,15549,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
6,Golf,2020,20499,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
7,Polo,2020,15049,Manual,13065,Petrol,51.4,1.0,volkswagen,30103585
8,T-Cross,2021,20899,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
9,Polo,2021,17349,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
10,Up,2018,10049,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
11,Golf,2016,10995,Manual,64000,Petrol,53.3,1.4,volkswagen,29333961
12,Golf,2018,17495,Automatic,29000,Petrol,47.1,1.5,volkswagen,30345117
13,Up,2018,9299,Manual,13290,Petrol,68.9,1.0,volkswagen,30003827
14,Polo,2015,13099,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
15,T-Cross,2021,21049,Automatic,13728,Petrol,44.1,1.0,volkswagen,30429246
16,Polo,2021,16949,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
17,Polo,2020,15699,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
18,T-Roc,2018,19699,Manual,14067,Petrol,44.1,1.0,volkswagen,30348618
19,Tiguan,2020,22899,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
20,Up,2019,11299,Manual,15547,Petrol,55.4,1.0,volkswagen,30384330
21,T-Roc,2020,21499,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
22,Polo,2020,14999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
23,Golf,2018,17990,Semi-Auto,80101,Diesel,57.7,2,volkswagen,30468691
24,Tiguan,2012,8995,Semi-Auto,79000,Diesel,47.7,2,volkswagen,30475829
25,Polo,2018,13349,Manual,16473,Petrol,64.2,1.0,volkswagen,30103819
26,Polo,2021,16049,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
27,T-Cross,2019,18599,Manual,16859,Petrol,47.9,1.0,volkswagen,30075207
28,Polo,2020,14449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
29,T-Cross,2020,18749,Manual,16933,Petrol,47.9,1.0,volkswagen,30424990
30,T-Cross,2020,17349,Manual,17069,Petrol,None,1.0,volkswagen,30208719
31,Golf,2019,16349,Manual,17125,Diesel,57.7,1.6,volkswagen,30438222
32,Up,2017,9049,Manual,17157,Petrol,64.2,1.0,volkswagen,30312161
33,T-Cross,2020,17699,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
34,Golf,2019,21499,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
35,Golf,2016,10995,Manual,64000,Petrol,53.3,1.4,volkswagen,29333961
36,Golf,2009,5990,Automatic,162000,Petrol,38.2,2.0,volkswagen,30235994
37,Polo,2021,15549,Manual,17591,Petrol,51.4,1.0,volkswagen,30417120
38,Golf,2020,20049,Manual,17713,Petrol,47.1,1.5,volkswagen,30447858
39,Tiguan,2016,18799,Semi-Auto,17753,Diesel,49.6,2.0,volkswagen,30042619
40,Polo,2021,15549,Manual,17804,Petrol,52.3,1.0,volkswagen,30095381
41,Polo,2019,19299,Semi-Auto,18136,Petrol,39.8,2.0,volkswagen,30337849
42,Golf,2019,17299,Manual,18250,Petrol,47.1,1.5,volkswagen,30451800
43,T-Roc,2021,27549,Semi-Auto,18334,Petrol,41.5,1.5,volkswagen,30447990
