,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2023,33500,Automatic,4500,Petrol,38.2,2.0,volkswagen,30383428
1,Tiguan,2019,21600,Semi-Auto,41605,Diesel,39.8,2,volkswagen,30164439
2,Scirocco,2016,13500,Manual,47927,Petrol,52.3,1.4,volkswagen,30458400
3,Golf,2015,11495,Semi-Auto,74490,Petrol,53.3,1.4,volkswagen,30445586
4,Tiguan,2020,24000,Semi-Auto,5285,Petrol,37.7,1.5,volkswagen,30258624
5,Tiguan,2020,25000,Semi-Auto,15950,Diesel,40.4,2,volkswagen,30469378
6,Tiguan Allspace,2019,30995,Semi-Auto,24748,Diesel,38.7,2,volkswagen,30462846
7,Tiguan,2017,15600,Manual,28210,Petrol,46.3,1.4,volkswagen,29799811
8,Tiguan,2017,23000,Semi-Auto,31043,Diesel,49.6,2,volkswagen,30375937
9,Golf SV,2019,14600,Manual,31170,Petrol,56.5,1,volkswagen,30186358
10,Polo,2019,15300,Manual,31388,Petrol,51.4,1,volkswagen,30462909
11,Polo,2021,16495,Manual,17820,Petrol,50.4,1.0,volkswagen,30011894
12,Polo,2018,12795,Manual,17109,Petrol,60.1,1,volkswagen,30237227
13,Golf,2018,18200,Semi-Auto,43495,Hybrid,166.2,1.4,volkswagen,30080716
14,Golf,2015,9999,Manual,63037,Petrol,44.1,1.4,volkswagen,30454055
15,T-Cross,2021,18995,Automatic,12396,Petrol,44.1,1.0,volkswagen,29860212
16,Scirocco,2017,14995,Manual,47000,Diesel,55.4,2.0,volkswagen,30342538
17,Golf,2019,16195,Automatic,50000,Petrol,44.8,1.0,volkswagen,30020757
18,Golf,2021,23899,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
19,Polo,2019,15499,Manual,7867,Petrol,52.3,1.0,volkswagen,30424987
20,Polo,2021,18049,Manual,8999,Petrol,53.3,1.0,volkswagen,30429196
21,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
