,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2020,25495,Automatic,10153,Diesel,45.6,2.0,volkswagen,29132640
1,Golf,2021,23899,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
2,Polo,2019,15499,Manual,7867,Petrol,52.3,1.0,volkswagen,30424987
3,Polo,2021,18049,Manual,8999,Petrol,53.3,1.0,volkswagen,30429196
4,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
5,T-Roc,2021,28049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
6,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
7,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
8,Up,2019,10199,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
9,Golf,2019,18399,Manual,10810,Petrol,47.1,1.5,volkswagen,30447840
10,Polo,2020,15999,Manual,10885,Petrol,52.3,1.0,volkswagen,30079714
11,Golf,1998,4995,Manual,120000,Petrol,None,1.8,volkswagen,29608368
12,Golf,2015,11500,Manual,68000,Diesel,74.3,1.6,volkswagen,30313948
13,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
14,Polo,2021,16849,Manual,11596,Petrol,47.9,1.0,volkswagen,30424989
15,Polo,2016,14299,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
16,Tiguan,2019,21049,Manual,12691,Petrol,40.9,1.5,volkswagen,30325176
17,Polo,2020,15549,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
18,Golf,2020,20499,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
19,Polo,2020,15049,Manual,13065,Petrol,51.4,1.0,volkswagen,30103585
20,T-Cross,2021,20899,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
21,Polo,2021,17349,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
22,Up,2018,10049,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
23,Touareg,2017,22250,Automatic,62825,Diesel,42.8,3.0,volkswagen,30449494
24,Golf,2014,9790,Manual,72410,Diesel,68.9,2,volkswagen,30472765
25,Polo,2016,14299,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
26,Polo,2017,12699,Manual,12343,Petrol,58.9,1.0,volkswagen,30438200
27,T-Cross,2020,18199,Manual,12532,Petrol,47.9,1.0,volkswagen,30456347
28,Tiguan,2019,21049,Manual,12691,Petrol,40.9,1.5,volkswagen,30325176
29,Polo,2020,15549,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
30,Golf,2020,20499,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
31,Polo,2020,15049,Manual,13065,Petrol,51.4,1.0,volkswagen,30103585
32,T-Cross,2021,20899,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
33,Polo,2018,14549,Manual,13178,Petrol,64.2,1.0,volkswagen,30466745
34,Polo,2021,17349,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
35,Tiguan,2014,10995,Manual,71000,Diesel,53.3,1.97,volkswagen,29602846
36,Passat,2021,22995,Manual,11542,Petrol,44.1,1.5,volkswagen,30320271
37,Polo,2018,13349,Manual,16473,Petrol,64.2,1.0,volkswagen,30103819
38,Polo,2021,16049,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
39,T-Cross,2019,18599,Manual,16859,Petrol,47.9,1.0,volkswagen,30075207
40,Polo,2020,14449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
41,T-Cross,2020,18749,Manual,16933,Petrol,47.9,1.0,volkswagen,30424990
42,T-Cross,2020,17349,Manual,17069,Petrol,None,1.0,volkswagen,30208719
43,Golf,2019,16349,Manual,17125,Diesel,57.7,1.6,volkswagen,30438222
44,Up,2017,9049,Manual,17157,Petrol,64.2,1.0,volkswagen,30312161
45,T-Cross,2020,17699,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
46,Golf,2019,21499,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
47,Up,2019,7995,Manual,39861,Petrol,54.3,1.0,volkswagen,30352118
48,Golf,2010,5950,Automatic,76619,Diesel,58.9,1.6,volkswagen,30423561
49,Polo,2021,15549,Manual,17591,Petrol,51.4,1.0,volkswagen,30417120
50,Golf,2020,20049,Manual,17713,Petrol,47.1,1.5,volkswagen,30447858
51,Tiguan,2016,18799,Semi-Auto,17753,Diesel,49.6,2.0,volkswagen,30042619
52,Polo,2021,15549,Manual,17804,Petrol,52.3,1.0,volkswagen,30095381
53,Polo,2019,19299,Semi-Auto,18136,Petrol,39.8,2.0,volkswagen,30337849
54,Golf,2019,17299,Manual,18250,Petrol,47.1,1.5,volkswagen,30451800
55,T-Roc,2021,27549,Semi-Auto,18334,Petrol,41.5,1.5,volkswagen,30447990
56,Up,2018,11749,Manual,18440,Petrol,64.2,1.0,volkswagen,30451762
57,Polo,2019,19199,Semi-Auto,18445,Petrol,39.8,2.0,volkswagen,30260939
58,T-Cross,2020,19499,Automatic,18755,Petrol,45.6,1.0,volkswagen,30407557
59,Polo,2013,4495,Manual,146409,Petrol,51.4,1.2,volkswagen,29907020
60,Polo,2021,16495,Manual,17820,Petrol,50.4,1.0,volkswagen,30011894
61,Polo,2017,12799,Manual,18834,Petrol,60.1,1.2,volkswagen,30281381
62,Polo,2017,11549,Manual,18858,Petrol,58.9,1.0,volkswagen,30084528
63,Up,2019,9499,Manual,18959,Petrol,None,1.0,volkswagen,30208686
64,T-Cross,2019,17049,Manual,18963,Petrol,48.7,1.0,volkswagen,30429252
65,Polo,2020,15049,Manual,19106,Petrol,51.4,1.0,volkswagen,30281118
66,Up,2018,10699,Manual,19244,Petrol,54.3,1.0,volkswagen,30267254
67,Up,2019,10049,Manual,19359,Petrol,54.3,1.0,volkswagen,30123851
68,Up,2018,10499,Manual,19686,Petrol,64.2,1.0,volkswagen,30281269
69,Golf,2019,19449,Semi-Auto,20010,Petrol,45.6,1.5,volkswagen,30155524
70,Polo,2019,17499,Semi-Auto,20129,Petrol,39.8,2.0,volkswagen,29924962
71,Caravelle,2008,19995,Automatic,62000,Diesel,31.7,2.5,volkswagen,29560336
72,Golf,2018,17990,Semi-Auto,80101,Diesel,57.7,2,volkswagen,30468691
73,Polo,2016,11299,Manual,20133,Petrol,60.1,1.0,volkswagen,30448061
