,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2016,11779,Manual,82000,Diesel,54.3,2.0,volkswagen,30106773
1,Golf,2010,3495,Manual,115000,Other,58.9,1.6,volkswagen,30153535
2,Golf,2016,14750,Manual,28635,Diesel,74.3,1.6,volkswagen,30436307
3,Polo,2015,9450,Manual,37056,Petrol,60.1,1.0,volkswagen,28014483
4,Golf,2016,14250,Automatic,46498,Diesel,72.4,1.6,volkswagen,30436310
5,Tiguan,2018,16995,Automatic,68703,Diesel,57.6,2.0,volkswagen,30336853
6,Caddy,2022,29999,Manual,5137,Diesel,57.7,2,volkswagen,30410646
7,Shuttle,2021,39499,Semi-Auto,14605,Diesel,34,2,volkswagen,30170717
8,Amarok,2017,27999,Automatic,23868,Diesel,36.2,3,volkswagen,30069015
9,Beetle,2007,2999,Manual,72000,Petrol,36.7,1.6,volkswagen,30443583
10,Golf,2021,23899,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
11,Golf,2008,3195,Manual,93000,Diesel,53.3,1.9,volkswagen,30339782
12,Polo,2016,8995,Manual,59000,Petrol,60.1,1.0,volkswagen,30201949
13,Polo,2019,15499,Manual,7867,Petrol,52.3,1.0,volkswagen,30424987
14,Polo,2021,18049,Manual,8999,Petrol,53.3,1.0,volkswagen,30429196
15,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
16,T-Roc,2021,28049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
17,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
18,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
19,Up,2019,10199,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
20,Golf,2019,18399,Manual,10810,Petrol,47.1,1.5,volkswagen,30447840
21,Polo,2020,15999,Manual,10885,Petrol,52.3,1.0,volkswagen,30079714
22,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
23,Scirocco,2016,14995,Manual,29512,Petrol,52.3,1.4,volkswagen,30468746
24,Tiguan,2012,7999,Manual,87000,Petrol,42.2,1.4,volkswagen,29742390
25,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
26,Up,2019,10199,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
27,Golf,2019,18399,Manual,10810,Petrol,47.1,1.5,volkswagen,30447840
28,Polo,2020,15999,Manual,10885,Petrol,52.3,1.0,volkswagen,30079714
29,T-Roc,2020,18499,Manual,10969,Petrol,44.8,1.0,volkswagen,30389361
30,Up,2017,11199,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
31,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
32,Polo,2017,12249,Manual,11430,Petrol,60.1,1.0,volkswagen,30384614
33,Polo,2021,16849,Manual,11596,Petrol,47.9,1.0,volkswagen,30424989
34,Polo,2016,14299,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
35,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
36,Scirocco,2016,14495,Automatic,49297,Petrol,44.1,2.0,volkswagen,29752796
37,Polo,2015,13099,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
38,T-Cross,2021,21049,Automatic,13728,Petrol,44.1,1.0,volkswagen,30429246
39,Polo,2021,16949,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
40,Polo,2020,15699,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
41,T-Roc,2018,19699,Manual,14067,Petrol,44.1,1.0,volkswagen,30348618
42,Tiguan,2020,22899,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
43,Up,2019,11299,Manual,15547,Petrol,55.4,1.0,volkswagen,30384330
44,T-Roc,2020,21499,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
45,Polo,2020,14999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
46,Polo,2018,13349,Manual,16473,Petrol,64.2,1.0,volkswagen,30103819
47,Polo,2018,13299,Manual,27419,Petrol,64.2,1.0,volkswagen,30457194
48,Golf,2012,8490,Automatic,43000,Petrol,None,1.2,volkswagen,30265433
49,Polo,2021,16049,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
50,T-Cross,2019,18599,Manual,16859,Petrol,47.9,1.0,volkswagen,30075207
51,Polo,2020,14449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
52,T-Cross,2020,18749,Manual,16933,Petrol,47.9,1.0,volkswagen,30424990
53,T-Cross,2020,17349,Manual,17069,Petrol,None,1.0,volkswagen,30208719
54,Golf,2019,16349,Manual,17125,Diesel,57.7,1.6,volkswagen,30438222
55,Up,2017,9049,Manual,17157,Petrol,64.2,1.0,volkswagen,30312161
56,T-Cross,2020,17699,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
57,Golf,2019,21499,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
58,Polo,2021,15549,Manual,17591,Petrol,51.4,1.0,volkswagen,30417120
59,Scirocco,2015,14500,Automatic,41640,Diesel,53.3,2.0,volkswagen,30423394
60,Up,2013,8495,Manual,8000,Petrol,60.1,1,volkswagen,30475824
61,Polo,2021,21549,Semi-Auto,14907,Petrol,41.5,2.0,volkswagen,30233529
62,Passat,2017,16499,Semi-Auto,14981,Diesel,62.8,2.0,volkswagen,30348779
63,Touran,2019,19999,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
64,Polo,2020,16349,Manual,15223,Petrol,50.4,1.0,volkswagen,30417344
65,Tiguan,2020,22899,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
66,Up,2019,11299,Manual,15547,Petrol,55.4,1.0,volkswagen,30384330
67,T-Roc,2020,21499,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
68,Passat,2019,20049,Semi-Auto,15911,Petrol,41.5,1.5,volkswagen,30251155
69,Polo,2018,14199,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
70,T-Cross,2020,17499,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
71,Polo,2018,13650,Manual,17110,Petrol,64.2,1.0,volkswagen,30202228
72,Polo,2008,4595,Manual,61300,Diesel,72.4,1.4,volkswagen,20740223
73,Polo,2017,11549,Manual,18858,Petrol,58.9,1.0,volkswagen,30084528
74,Up,2019,9499,Manual,18959,Petrol,None,1.0,volkswagen,30208686
75,T-Cross,2019,17049,Manual,18963,Petrol,48.7,1.0,volkswagen,30429252
76,Polo,2020,15049,Manual,19106,Petrol,51.4,1.0,volkswagen,30281118
77,Up,2018,10699,Manual,19244,Petrol,54.3,1.0,volkswagen,30267254
78,Up,2019,10049,Manual,19359,Petrol,54.3,1.0,volkswagen,30123851
79,Up,2018,10499,Manual,19686,Petrol,64.2,1.0,volkswagen,30281269
80,Golf,2019,19449,Semi-Auto,20010,Petrol,45.6,1.5,volkswagen,30155524
81,Polo,2019,17499,Semi-Auto,20129,Petrol,39.8,2.0,volkswagen,29924962
82,Polo,2016,11299,Manual,20133,Petrol,60.1,1.0,volkswagen,30448061
83,Tiguan,2018,19995,Automatic,34700,Diesel,40.4,2,volkswagen,30339666
84,Scirocco,2016,14495,Automatic,49297,Petrol,44.1,2.0,volkswagen,29752796
85,Polo,2020,16699,Manual,20380,Petrol,49.6,1.0,volkswagen,30219127
86,Polo,2020,17099,Manual,20581,Petrol,49.6,1.0,volkswagen,30424993
87,Tiguan,2019,28999,Semi-Auto,20590,Diesel,35.3,2.0,volkswagen,29993459
88,Tiguan,2019,18549,Manual,20944,Petrol,42.2,1.5,volkswagen,30429263
89,Golf,2019,19799,Semi-Auto,21132,Diesel,52.3,2.0,volkswagen,30050203
90,Up,2017,10649,Manual,21159,Petrol,60.1,1.0,volkswagen,30367085
91,Polo,2018,13899,Manual,21176,Petrol,64.2,1.0,volkswagen,30417141
92,T-Roc,2020,17799,Manual,21246,Petrol,44.8,1.0,volkswagen,30281270
93,Polo,2018,13549,Manual,21251,Petrol,64.2,1.0,volkswagen,30260979
94,Up,2018,9999,Manual,21336,Petrol,64.2,1.0,volkswagen,30155463
95,Golf,2018,17990,Semi-Auto,80101,Diesel,57.7,2,volkswagen,30468691
96,Polo,2019,15695,Automatic,25200,Petrol,45.6,1,volkswagen,30209092
97,Up,2018,13699,Manual,21407,Petrol,50.4,1.0,volkswagen,30201129
98,Scirocco,2016,13949,Manual,21493,Petrol,52.3,1.4,volkswagen,30095329
99,Polo,2017,17549,Semi-Auto,21634,Petrol,50.4,1.8,volkswagen,30307249
100,Polo,2016,13699,Manual,21878,Petrol,65.7,1.0,volkswagen,30208283
101,Golf,2018,16549,Manual,21983,Petrol,58.9,1.5,volkswagen,30407527
102,Golf,2019,15599,Manual,22019,Petrol,None,1.0,volkswagen,30208551
103,Tiguan Allspace,2020,28399,Semi-Auto,22241,Diesel,38.7,2.0,volkswagen,30447901
104,T-Roc,2019,22049,Manual,22576,Diesel,50.4,1.6,volkswagen,30261055
105,T-Cross,2019,17499,Manual,22974,Petrol,47.9,1.0,volkswagen,30148582
106,Golf,2021,20499,Manual,23070,Petrol,51.4,1.5,volkswagen,30308248
107,Sharan,2019,17995,Manual,41000,Petrol,35.8,1.4,volkswagen,30121595
108,Golf,2015,10695,Automatic,96000,Diesel,62.8,2.0,volkswagen,30252728
109,Tiguan Allspace,2019,26049,Semi-Auto,23214,Diesel,44.1,2.0,volkswagen,30308195
110,Tiguan,2019,19849,Manual,23551,Petrol,None,1.5,volkswagen,30208657
111,Golf,2019,21099,Semi-Auto,23715,Diesel,52.3,2.0,volkswagen,30438142
112,Golf,2020,17549,Manual,24060,Petrol,50.4,1.5,volkswagen,30337814
113,Polo,2018,13199,Manual,24248,Petrol,64.2,1.0,volkswagen,30155583
114,Passat,2020,19499,Manual,24489,Petrol,45.6,1.5,volkswagen,30354460
115,Tiguan,2019,20549,Manual,24497,Petrol,38.2,1.5,volkswagen,30281395
116,Up,2019,10799,Manual,24562,Petrol,54.3,1.0,volkswagen,30299738
117,Golf,2020,16949,Manual,24617,Diesel,55.4,1.6,volkswagen,30075247
118,Up,2017,9349,Manual,24631,Petrol,64.2,1.0,volkswagen,30312248
119,Polo,2018,12795,Manual,17109,Petrol,60.1,1,volkswagen,30237227
