,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2018,16995,Manual,17600,Diesel,67.3,2,volkswagen,29633835
1,Golf,2008,2495,Manual,152000,Diesel,53.3,1.9,volkswagen,30399831
2,Polo,2004,2195,Manual,50200,Petrol,43.5,1.4,volkswagen,30446418
3,Polo,2007,2595,Manual,107000,Petrol,43.5,1.4,volkswagen,30311915
4,Golf,2006,2695,Automatic,141700,Petrol,38.2,1.6,volkswagen,30460453
5,Passat,2015,8999,Manual,107089,Diesel,67.3,2.0,volkswagen,30446570
6,Golf,2020,18299,Manual,14429,Petrol,50.4,1.5,volkswagen,30361845
7,Golf,2019,19899,Semi-Auto,19118,Petrol,45.6,1.5,volkswagen,30457151
8,Golf,2012,7995,Manual,47682,Diesel,74.3,1.6,volkswagen,29941405
9,Golf,2015,11495,Manual,53633,Petrol,53.3,1.4,volkswagen,30382913
10,Tiguan,2016,12495,Manual,69892,Diesel,53.3,2.0,volkswagen,30233076
11,Polo,2018,12995,Manual,17000,Petrol,60.1,1.0,volkswagen,27313808
12,Golf,2016,19990,Semi-Auto,47101,Petrol,None,2,volkswagen,28467931
13,Passat,2012,7495,Manual,96985,Diesel,61.4,2.0,volkswagen,29825228
14,Golf,2019,17490,Semi-Auto,17879,Petrol,45.6,1,volkswagen,29980046
15,Polo,2016,11990,Manual,22659,Petrol,60.1,1.2,volkswagen,29704696
16,Tiguan,2019,24790,Manual,37456,Diesel,47.9,2,volkswagen,29864681
17,Golf,2019,13990,Manual,53684,Petrol,51.4,1,volkswagen,30055168
18,Passat,2019,15990,Manual,54680,Petrol,45.6,1.5,volkswagen,29967815
19,Passat,2019,15990,Semi-Auto,63664,Diesel,49.6,1.6,volkswagen,29967814
20,Passat,2020,15490,Manual,63948,Petrol,45.6,1.5,volkswagen,30418287
21,Golf,2021,23899,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
22,Polo,2021,18299,Manual,4608,Petrol,53.3,1.0,volkswagen,30325193
23,Sharan,2019,17995,Manual,41000,Petrol,35.8,1.4,volkswagen,30121595
24,Touran,2008,5250,Semi-Auto,63379,Diesel,42.8,2,volkswagen,30307027
25,Polo,2021,18049,Manual,8999,Petrol,53.3,1.0,volkswagen,30429196
26,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
27,T-Roc,2021,28049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
28,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
