,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2021,22995,Manual,11542,Petrol,44.1,1.5,volkswagen,30320271
1,T-Roc,2021,28491,Semi-Auto,7362,Diesel,54.3,2,volkswagen,30287359
2,Polo,2022,18990,Manual,8999,Petrol,54.3,1,volkswagen,30376314
3,Golf,2022,23990,Manual,9257,Petrol,49.6,1.5,volkswagen,30432448
4,Golf,2022,23490,Semi-Auto,9617,Hybrid,54.3,1,volkswagen,30424360
5,Taigo,2022,20292,Manual,9964,Petrol,51.4,1,volkswagen,30098035
6,Polo,2020,20991,Semi-Auto,9998,Petrol,46.3,1,volkswagen,30275154
7,Polo,2020,18741,Semi-Auto,10208,Petrol,46.3,1,volkswagen,30275149
8,Golf,2022,21491,Manual,10301,Petrol,50.4,1.5,volkswagen,30351428
9,Golf,2022,23991,Manual,11754,Petrol,49.6,1.5,volkswagen,30270148
10,Polo,2022,17542,Manual,11991,Petrol,52.3,1,volkswagen,30249989
11,Golf,2012,8490,Automatic,43000,Petrol,None,1.2,volkswagen,30265433
12,T-Roc,2018,19995,Manual,28672,Petrol,42.2,1.5,volkswagen,29817441
13,Polo,2021,21490,Semi-Auto,13784,Petrol,49.6,1,volkswagen,30419273
14,T-Roc,2021,24491,Manual,15154,Petrol,42.8,1.5,volkswagen,27841037
15,Tiguan,2020,30490,Semi-Auto,15238,Diesel,45.6,2,volkswagen,30419271
16,Golf,2020,22992,Semi-Auto,15727,Hybrid,44.8,1.5,volkswagen,30121498
17,Golf,2020,17992,Manual,15734,Petrol,50.4,1.5,volkswagen,30121497
18,T-Roc,2021,23491,Manual,15989,Petrol,44.8,1,volkswagen,26718668
19,Polo,2021,16690,Manual,17704,Petrol,50.4,1,volkswagen,30441685
20,Tiguan,2020,29992,Semi-Auto,18619,Diesel,45.6,2,volkswagen,30170603
21,Golf,2021,29993,Semi-Auto,18899,Diesel,54.3,2,volkswagen,30126666
22,Polo,2021,17990,Manual,19786,Petrol,54.3,1,volkswagen,30441688
23,Passat,2010,3750,Manual,91808,Diesel,None,2.0,volkswagen,29971191
24,Touareg,2020,35250,Automatic,26918,Diesel,34.5,3.0,volkswagen,30319180
25,T-Roc,2018,19991,Manual,22269,Petrol,53.3,1.5,volkswagen,30419269
26,Polo,2019,14492,Manual,23697,Petrol,52.3,1,volkswagen,30315177
27,Polo,2018,13441,Manual,28766,Petrol,64.2,1,volkswagen,30403915
28,Polo,2020,20242,Semi-Auto,29713,Petrol,39.8,2,volkswagen,30287358
29,T-Roc,2018,17691,Manual,30391,Petrol,55.4,1,volkswagen,30419267
30,Polo,2019,19391,Semi-Auto,32821,Petrol,39.8,2,volkswagen,30224443
31,T-Roc,2019,18994,Manual,42477,Petrol,44.1,1.5,volkswagen,30059183
32,T-Roc,2018,17491,Manual,51299,Petrol,53.3,1.5,volkswagen,30438911
33,Golf,2017,12942,Semi-Auto,63251,Diesel,62.8,2,volkswagen,30270157
34,T-Roc,2019,16241,Manual,66708,Diesel,50.4,2,volkswagen,30368970
35,Eos,2006,3495,Manual,134000,Petrol,33.2,2,volkswagen,30164719
36,Golf,2016,12879,Manual,73700,Diesel,67.3,2.0,volkswagen,30447091
37,Tiguan,2020,30490,Semi-Auto,15238,Diesel,45.6,2,volkswagen,30419271
38,Golf,2020,22992,Semi-Auto,15727,Hybrid,44.8,1.5,volkswagen,30121498
39,Golf,2020,17992,Manual,15734,Petrol,50.4,1.5,volkswagen,30121497
40,T-Roc,2021,23491,Manual,15989,Petrol,44.8,1,volkswagen,26718668
41,Polo,2019,20490,Semi-Auto,16749,Petrol,39.8,2,volkswagen,30469480
42,Polo,2021,16690,Manual,17704,Petrol,50.4,1,volkswagen,30441685
43,T-Roc,2020,23491,Manual,18227,Petrol,42.2,1.5,volkswagen,30427419
44,Tiguan,2020,29992,Semi-Auto,18619,Diesel,45.6,2,volkswagen,30170603
45,Golf,2021,29993,Semi-Auto,18899,Diesel,54.3,2,volkswagen,30126666
46,Polo,2021,17990,Manual,19786,Petrol,54.3,1,volkswagen,30441688
47,Tiguan,2018,16880,Automatic,74000,Petrol,40.4,1.4,volkswagen,30197754
48,Tiguan,2017,18995,Automatic,55000,Diesel,49.6,1.97,volkswagen,30392531
49,Polo,2019,13790,Manual,22252,Petrol,48.7,1,volkswagen,30441686
50,Polo,2018,12994,Manual,28424,Petrol,64.2,1,volkswagen,30224442
51,Tiguan,2023,36990,Semi-Auto,1250,Petrol,40.4,1.5,volkswagen,30463106
52,Taigo,2023,24990,Manual,2404,Petrol,51.4,1,volkswagen,30469484
53,Taigo,2023,27790,Automatic,2992,Petrol,47.9,1,volkswagen,30469482
54,Golf,2023,27990,Manual,2992,Petrol,49.6,1.5,volkswagen,30364422
55,Tiguan,2023,49990,Semi-Auto,2992,Petrol,28.3,2,volkswagen,30463105
56,Golf,2023,26690,Semi-Auto,3033,Hybrid,50.4,1.5,volkswagen,30469483
57,Tiguan,2023,36990,Semi-Auto,4437,Diesel,49.6,2,volkswagen,30351430
58,Golf,2022,21440,Manual,11621,Petrol,50.4,1.5,volkswagen,30469479
59,Polo,2008,2995,Manual,104000,Diesel,56.5,1.4,volkswagen,30307468
60,Up,2015,8995,Manual,14725,Petrol,62.8,1.0,volkswagen,30019353
61,T-Roc,2019,18994,Manual,42477,Petrol,44.1,1.5,volkswagen,30059183
62,T-Roc,2018,17491,Manual,51299,Petrol,53.3,1.5,volkswagen,30438911
63,Golf,2017,12942,Semi-Auto,63251,Diesel,62.8,2,volkswagen,30270157
64,T-Roc,2019,16241,Manual,66708,Diesel,50.4,2,volkswagen,30368970
65,T-Cross,2021,18745,Manual,8323,Petrol,49.6,1,volkswagen,29898913
66,Tiguan Allspace,2020,30744,Semi-Auto,30331,Diesel,44.1,2,volkswagen,29814076
67,Tiguan Allspace,2019,20940,Manual,73494,Diesel,46.3,2,volkswagen,30479048
68,Polo,2015,12500,Automatic,4561,Petrol,60.1,1.2,volkswagen,30383829
69,Up,2012,5995,Manual,30467,Petrol,62.8,1.0,volkswagen,30365481
70,Polo,2013,9695,Manual,44980,Petrol,53.3,1.2,volkswagen,30019792
71,Up,2013,8495,Manual,8000,Petrol,60.1,1,volkswagen,30475824
72,Passat,2011,7495,Manual,67800,Petrol,None,1.4,volkswagen,29279542
73,Up,2014,7295,Manual,35533,Petrol,60.1,1.0,volkswagen,29678970
74,Polo,2018,16000,Manual,14024,Petrol,49.6,1.0,volkswagen,29740415
75,Polo,2020,15000,Manual,24191,Petrol,48.7,1.0,volkswagen,30033861
76,Golf,2019,26500,Semi-Auto,27393,Petrol,37.7,2.0,volkswagen,30281940
77,Passat,2018,19499,Semi-Auto,34288,Diesel,51.4,2.0,volkswagen,29641431
78,Golf,2019,17000,Semi-Auto,41447,Diesel,54.3,1.6,volkswagen,30301383
79,Golf,2019,16800,Manual,43706,Petrol,51.4,1.0,volkswagen,30115412
80,Touran,2015,12990,Semi-Auto,50407,Diesel,54.3,2,volkswagen,30319491
81,T-Cross,2020,19899,Manual,19868,Petrol,47.9,1.0,volkswagen,30426892
82,Passat,2016,14959,Automatic,72132,Diesel,61.4,2.0,volkswagen,30395084
83,Up,2013,8395,Manual,27000,Petrol,60.1,1.0,volkswagen,30101158
84,Touareg,2017,24495,Automatic,54890,Diesel,42.8,3.0,volkswagen,30275563
85,Golf,2017,12999,Manual,21273,Petrol,65.7,1.0,volkswagen,29417742
86,Golf,2014,12999,Automatic,28640,Petrol,56.5,1.4,volkswagen,30235974
87,Up,2014,6299,Manual,43306,Petrol,67.3,1.0,volkswagen,28865156
88,Polo,2010,6599,Manual,46827,Petrol,47.9,1.4,volkswagen,30198078
89,Up,2015,6299,Manual,62833,Petrol,62.8,1.0,volkswagen,30027138
90,Polo,2015,7999,Manual,64179,Petrol,None,1.0,volkswagen,30235980
91,Polo,2015,8699,Manual,64651,Petrol,60.1,1.2,volkswagen,30235984
92,Beetle,2015,8799,Manual,74951,Diesel,61.4,2.0,volkswagen,29785978
93,Polo,2015,7899,Manual,83286,Petrol,60.1,1.2,volkswagen,30121069
94,Up,2014,6699,Manual,51615,Petrol,60.1,1.0,volkswagen,30462530
95,Touran,2013,9995,Automatic,61000,Diesel,None,1.6,volkswagen,30381721
96,Polo,2018,13450,Manual,38000,Petrol,64.2,1,volkswagen,30386113
97,Polo,2015,7999,Manual,64251,Petrol,None,1.0,volkswagen,30479434
98,Polo,2016,10999,Manual,41719,Petrol,60.1,1.2,volkswagen,30426509
99,Tiguan,2015,12799,Manual,42781,Petrol,37.2,1.39,volkswagen,29784457
100,Polo,2016,9799,Manual,42822,Petrol,60.1,1,volkswagen,30110038
101,Polo,2017,12299,Semi-Auto,43806,Petrol,60.1,1.2,volkswagen,30026129
102,Polo,2015,8699,Manual,55474,Petrol,60.1,1,volkswagen,30095957
103,Golf,2016,10699,Manual,56622,Diesel,74.3,1.6,volkswagen,30350243
104,Beetle,2013,12999,Manual,57375,Petrol,41.5,1.39,volkswagen,30440863
105,Golf,2017,12499,Manual,57906,Petrol,65.7,1,volkswagen,30016996
106,Passat,2018,14999,Manual,58661,Diesel,51.4,2,volkswagen,30274193
107,Golf,2016,10995,Manual,63831,Diesel,74.3,1.6,volkswagen,30416035
108,Golf,2021,17340,Automatic,50000,Petrol,50.4,1.5,volkswagen,30386311
109,Polo,2017,9299,Manual,59090,Petrol,58.9,1,volkswagen,30291534
110,Tiguan,2016,12699,Manual,59266,Diesel,53.3,2,volkswagen,30026125
111,Polo,2019,12299,Manual,59362,Petrol,52.3,1,volkswagen,30426503
112,Tiguan,2015,12499,Manual,71969,Diesel,48.7,2,volkswagen,30286186
113,Golf,2014,12699,Semi-Auto,18748,Petrol,56.5,1.39,volkswagen,30375129
114,Tiguan,2015,11799,Manual,54684,Diesel,56.5,2,volkswagen,29812163
115,Passat,2018,12999,Manual,61343,Diesel,68.9,1.6,volkswagen,30468635
116,Golf,2021,20064,Semi-Auto,17550,Hybrid,54.3,1,volkswagen,30165470
117,Polo,2016,10831,Manual,26415,Petrol,60.1,1,volkswagen,30283874
118,Polo,2017,11994,Manual,29831,Petrol,60.1,1.2,volkswagen,30267965
119,Polo,2018,12795,Manual,17109,Petrol,60.1,1,volkswagen,30237227
120,Golf,2012,8989,Manual,42160,Petrol,45.6,1.4,volkswagen,30433371
121,Polo,2005,3495,Manual,60000,Petrol,47.1,1.2,volkswagen,30106419
122,Passat,2009,6495,Automatic,62000,Diesel,45.6,2.0,volkswagen,29283740
123,Passat,2012,8995,Automatic,65000,Diesel,54.3,2.0,volkswagen,29718744
124,Golf,2017,19999,Manual,66000,Petrol,39.8,2,volkswagen,29812319
125,Up,2016,5999,Manual,67000,Petrol,62.8,1,volkswagen,30264146
126,Touareg,2013,10999,Automatic,103000,Diesel,38.2,3,volkswagen,30462167
127,Up,2013,7495,Manual,42131,Petrol,60.1,1.0,volkswagen,29532511
128,Tiguan,2013,8995,Manual,105758,Diesel,48.7,2.0,volkswagen,27965102
129,ID3,2020,23500,Grey,Electric,Automatic,22512,,volkswagen,29170469
130,Amarok,2019,38394,Automatic,25000,Diesel,28.3,3,volkswagen,30449810
131,Golf,2019,17990,Automatic,25000,Diesel,54.3,1.6,volkswagen,30472906
132,Beetle,2006,3695,Manual,105000,Petrol,36.2,1.6,volkswagen,29829047
133,T-Roc,2019,25000,Semi-Auto,33108,Petrol,39.8,1.5,volkswagen,30432443
134,Golf,2016,21000,Semi-Auto,36818,Petrol,39.8,2,volkswagen,30159502
135,Golf,2016,19000,Semi-Auto,46988,Petrol,39.8,3,volkswagen,30290772
136,Sharan,2015,15000,Manual,48300,Diesel,50.4,2,volkswagen,30392004
137,Caddy Maxi,2021,27995,Manual,15300,Diesel,56.5,2,volkswagen,30469485
138,Up,2016,7995,Manual,34000,Petrol,62.8,1.0,volkswagen,30175568
139,Up,2013,7995,Automatic,43000,Petrol,64.2,1.0,volkswagen,30218553
140,Scirocco,2014,9995,Manual,66000,Diesel,62.8,2.0,volkswagen,30358972
141,Tiguan,2016,20991,Automatic,58000,Diesel,49.6,2.0,volkswagen,30469898
142,Polo,2023,20990,Manual,1000,Petrol,54.3,1,volkswagen,30126659
143,Tiguan,2018,16977,Manual,72000,Diesel,47.9,2,volkswagen,30423088
144,Tiguan,2020,25495,Automatic,10153,Diesel,45.6,2.0,volkswagen,29132640
145,T-Roc,2023,32490,Manual,1000,Petrol,47.1,1.5,volkswagen,30392028
146,T-Roc,2023,33990,Manual,2221,Petrol,45.6,1.5,volkswagen,30441684
147,Golf,2023,27790,Manual,2500,Petrol,51.4,1.5,volkswagen,30315175
148,Tiguan,2023,35990,Semi-Auto,3085,Petrol,40.4,1.5,volkswagen,30424356
149,Golf,2023,24940,Manual,3711,Petrol,49.6,1.5,volkswagen,29758832
150,T-Cross,2022,21290,Manual,3773,Petrol,49.6,1,volkswagen,30292518
151,T-Roc,2022,30990,Semi-Auto,4635,Diesel,57.7,2,volkswagen,30427416
152,Polo,2022,25540,Semi-Auto,6072,Petrol,41.5,2,volkswagen,30086916
153,T-Cross,2022,20740,Manual,6398,Petrol,49.6,1,volkswagen,30224432
154,Golf,2021,37990,Semi-Auto,7541,Petrol,36.2,2,volkswagen,29856807
155,Golf Plus,2011,3995,Manual,79852,Diesel,None,1.6,volkswagen,29953672
156,Polo,2013,7240,Manual,38000,Petrol,51.4,1.2,volkswagen,30350523
157,T-Cross,2021,19490,Manual,8809,Petrol,49.6,1,volkswagen,30386994
158,Tiguan,2021,40990,Semi-Auto,9251,Petrol,28.3,2,volkswagen,29877912
159,Tiguan,2020,24990,Semi-Auto,9266,Petrol,37.7,1.5,volkswagen,30427417
160,Golf,2020,22490,Manual,11021,Petrol,51.4,1.5,volkswagen,30126660
161,Polo,2020,15140,Manual,12084,Petrol,48.7,1,volkswagen,30376311
162,Polo,2020,17440,Manual,12288,Petrol,50.4,1,volkswagen,28872439
163,T-Roc,2022,28490,Manual,13671,Petrol,42.2,1.5,volkswagen,30224431
164,Golf,2021,21690,Manual,14784,Petrol,49.6,1.5,volkswagen,30463101
165,Polo,2021,18890,Semi-Auto,15752,Petrol,46.3,1,volkswagen,30224430
166,Tiguan,2021,30790,Semi-Auto,22520,Petrol,38.7,1.5,volkswagen,30315174
167,Golf,2014,5999,Manual,103890,Petrol,None,1.2,volkswagen,29659352
168,Polo,2014,9500,Manual,21305,Petrol,51.4,1.2,volkswagen,30258941
169,Golf,2020,21140,Semi-Auto,25795,Diesel,52.3,2,volkswagen,30392029
170,Golf,2017,17990,Semi-Auto,30001,Petrol,55.4,1.5,volkswagen,30376312
171,T-Roc,2019,23290,Manual,32244,Petrol,42.2,1.5,volkswagen,30340665
172,Golf,2017,22990,Manual,37791,Petrol,35.8,2,volkswagen,30424358
173,Polo,2020,13990,Manual,49778,Petrol,50.4,1,volkswagen,30340662
