,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Eos,2011,9995,Semi-Auto,67000,Diesel,53.3,2,volkswagen,30453509
1,Polo,2019,17453,Semi-Auto,13690,Petrol,45.6,1,volkswagen,30352364
2,Tiguan,2019,20399,Manual,13838,Petrol,40.9,1.5,volkswagen,30414245
3,Golf,2021,20998,Manual,14082,Petrol,51.4,1.5,volkswagen,30433346
4,Polo,2021,16993,Manual,14442,Petrol,50.4,1,volkswagen,30345309
5,Up,2017,10993,Manual,16895,Petrol,60.1,1,volkswagen,30345307
6,Passat,2020,25999,Semi-Auto,22883,Hybrid,43.5,1.4,volkswagen,30345314
7,Golf,2021,28499,Semi-Auto,25239,Diesel,54.3,2,volkswagen,30106609
8,Golf,2020,19557,Semi-Auto,27016,Petrol,45.6,1.5,volkswagen,30473382
9,Polo,2021,15993,Manual,28049,Petrol,50.4,1,volkswagen,30345313
10,Golf,2020,20886,Manual,28218,Petrol,51.4,1.5,volkswagen,30221239
11,Polo,2012,8995,Manual,18000,Petrol,51.4,1.2,volkswagen,30305790
12,Eos,2006,3495,Manual,134000,Petrol,33.2,2,volkswagen,30164719
13,T-Roc,2019,19899,Manual,41171,Diesel,50.4,1.6,volkswagen,30106605
14,T-Roc,2018,17699,Manual,41367,Diesel,50.4,1.6,volkswagen,30250119
15,Tiguan,2018,24995,Semi-Auto,42420,Diesel,39.8,2,volkswagen,30221235
16,Golf,2020,18254,Semi-Auto,44705,Petrol,45.6,1.5,volkswagen,30243691
17,Tiguan,2019,18593,Manual,68200,Diesel,47.9,2,volkswagen,30345317
18,Golf,2023,29200,Semi-Auto,4421,Hybrid,None,1.4,volkswagen,29669332
19,T-Roc,2021,22991,Manual,11529,Petrol,44.8,1.5,volkswagen,30419645
20,Polo,2021,16993,Manual,14442,Petrol,50.4,1,volkswagen,30345309
21,Up,2017,10993,Manual,16895,Petrol,60.1,1,volkswagen,30345307
