,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2016,15995,Automatic,47000,Petrol,188.3,1.4,volkswagen,29951594
1,Golf,2023,28999,Semi-Auto,3000,Hybrid,50.4,1.5,volkswagen,30240827
2,Golf,2023,32999,Semi-Auto,3000,Hybrid,49.6,1.5,volkswagen,30391729
3,Tiguan,2023,40499,Semi-Auto,4000,Hybrid,156.9,1.4,volkswagen,30240826
4,Golf,2020,22499,Semi-Auto,8012,Hybrid,44.8,1.5,volkswagen,30460977
5,Golf,2018,21799,Semi-Auto,9887,Hybrid,166.2,1.4,volkswagen,30389828
6,Golf,2017,18299,Semi-Auto,32459,Hybrid,166.2,1.4,volkswagen,30389827
7,Golf,2018,16300,Automatic,61886,Petrol,156.9,1.4,volkswagen,30369240
8,Golf,2017,15200,Automatic,65656,Petrol,156.9,1.4,volkswagen,30350928
9,Golf,2021,25700,Automatic,11973,Petrol,49.6,1.5,volkswagen,30475981
10,Golf,2022,31490,Semi-Auto,9801,Hybrid,176.6,1.4,volkswagen,29212675
11,Golf,2021,17340,Automatic,50000,Petrol,50.4,1.5,volkswagen,30386312
12,Golf,2016,15995,Automatic,47000,Petrol,188.3,1.4,volkswagen,29951594
13,Golf,2016,15780,Automatic,49000,Petrol,188.3,1.4,volkswagen,29247025
14,Golf,2021,17340,Automatic,50000,Petrol,50.4,1.5,volkswagen,30386311
15,Golf,2021,17340,Automatic,50000,Petrol,50.4,1.5,volkswagen,30386312
16,Golf,2021,18880,Automatic,54000,Petrol,50.4,1.5,volkswagen,30092033
17,Golf,2022,28490,Semi-Auto,7274,Hybrid,49.6,1.5,volkswagen,30290991
18,Arteon,2022,39990,Semi-Auto,9966,Hybrid,44.1,1.4,volkswagen,30125005
19,Golf,2021,28690,Semi-Auto,18589,Hybrid,176.6,1.4,volkswagen,30074744
20,Golf,2021,24900,Automatic,21598,Petrol,176.6,1.4,volkswagen,30381575
21,Golf,2023,29995,Semi-Auto,1534,Hybrid,49.6,1.5,volkswagen,30426111
22,Golf,2022,28790,Semi-Auto,6935,Hybrid,49.6,1.5,volkswagen,30343979
23,Golf,2021,18880,Automatic,54000,Petrol,50.4,1.5,volkswagen,30092033
24,Golf,2022,29790,Semi-Auto,7729,Hybrid,49.6,1.5,volkswagen,30477350
