,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,TT,2014,7499,Manual,102500,Petrol,44.1,1.8,audi,30268535
1,A4,2010,1300,Manual,191000,Diesel,46.3,2.0,audi,30061809
2,A6,2006,3975,Automatic,115000,Diesel,40.4,2.0,audi,30173799
3,A4,2004,1775,Manual,131000,Petrol,33.2,1.8,audi,30173788
4,A4,2009,3975,Manual,133000,Petrol,39.8,1.8,audi,30207099
5,Q3,2013,6475,Manual,138000,Diesel,54.3,2.0,audi,30173802
6,Q3,2012,8485,Manual,90563,Diesel,54.3,2.0,audi,30131752
7,S3,2001,4550,Manual,148000,Petrol,31,1.8,audi,28134580
8,A5,2008,5500,Automatic,115000,Petrol,31.7,3.2,audi,30141982
9,Q5,2009,6000,Manual,121000,Diesel,42.1,2.0,audi,30142001
10,A5,2010,12495,Automatic,67000,Petrol,30.1,3.0,audi,29263336
11,Q3,2016,19999,Semi-Auto,16991,Petrol,40.4,2,audi,29826377
12,A3,2020,22800,Manual,20405,Petrol,42.8,1.5,audi,30097021
13,A3,2021,25400,Semi-Auto,26278,Hybrid,235.4,1.4,audi,30051881
14,A4,2017,19600,Semi-Auto,51014,Diesel,61.4,2,audi,29751829
15,TT,2022,25950,Automatic,1700,Petrol,38.7,2.0,audi,29808487
16,TT,2017,18450,Automatic,62118,Petrol,42.8,2.0,audi,29951603
17,A3,2016,12750,Automatic,75407,Petrol,176.6,1.4,audi,29608433
18,A3,2007,3950,Automatic,94730,Petrol,35.3,1.6,audi,30096460
19,S3,2016,17485,Automatic,108500,Petrol,None,2.0,audi,29969816
20,A4,2013,5950,Automatic,122908,Diesel,57.6,2.0,audi,29913173
21,S3,2014,15450,Automatic,85600,Petrol,40.9,2.0,audi,30274502
22,A3,2014,9495,Manual,98244,Diesel,74.3,1.6,audi,30107471
23,A4,2013,14995,Automatic,40000,Petrol,None,2.0,audi,29908846
24,Q7,2011,16995,Automatic,42000,Petrol,None,3.0,audi,30001076
25,A6 allroad,2012,14995,Automatic,56000,Petrol,None,3.0,audi,29883088
26,A4,2009,9995,Automatic,59000,Petrol,None,2.0,audi,29852229
27,A4,2012,12995,Automatic,60000,Petrol,None,2.0,audi,29908847
28,A1,2020,22049,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
29,A1,2016,15999,Manual,4432,Petrol,58.9,1.4,audi,30132351
30,Q4 e-tron,2021,34049,Blue,Electric,Automatic,8841,,audi,29797841
31,A1,2020,18899,Manual,10020,Petrol,50.4,1.0,audi,30095441
32,A3,2021,24549,Semi-Auto,10119,Petrol,53.3,1.0,audi,30255995
33,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
34,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
35,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
36,Q2,2021,23549,Manual,11696,Petrol,45.6,1.0,audi,29836479
37,A1,2020,20049,Manual,11720,Petrol,47.9,1.0,audi,30267181
38,A1,2019,15549,Manual,12218,Petrol,52.3,1.0,audi,29812468
39,A3,2021,26549,Semi-Auto,12627,Petrol,46.3,1.5,audi,30267327
40,Q2,2020,21849,Manual,13462,Petrol,45.6,1.0,audi,30118240
41,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
42,A1,2020,21799,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
43,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
44,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
45,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
46,Q2,2019,18899,Manual,14692,Petrol,47.1,1.0,audi,29969122
47,A4,2020,28299,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
48,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
49,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
50,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
51,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
52,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
53,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
54,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
55,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
