,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
1,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
2,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
3,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
4,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
5,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
6,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
7,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
8,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
9,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
10,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
11,A1,2020,21799,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
12,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
13,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
14,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
15,Q2,2019,18899,Manual,14692,Petrol,47.1,1.0,audi,29969122
16,A4,2020,28299,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
17,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
18,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
19,Q2,2020,20049,Manual,15744,Diesel,49.6,1.6,audi,30107780
20,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
21,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
22,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
23,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
24,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
25,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
26,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
27,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
28,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
29,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
30,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
31,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
32,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
33,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
