,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
1,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
2,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
3,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
4,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
5,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
6,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
7,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
8,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
9,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
10,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
11,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
12,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
13,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
14,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
15,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
16,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
17,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
18,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
19,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
20,A1,2016,16399,Semi-Auto,16373,Petrol,56.5,1.4,audi,30113661
21,A3,2020,21049,Manual,16586,Petrol,50.4,1.0,audi,30008871
22,A1,2019,19349,Manual,16839,Petrol,51.4,1.0,audi,30251185
23,A5,2017,19349,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
24,A1,2017,16699,Semi-Auto,17013,Petrol,58.9,1.4,audi,30181505
25,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
26,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
27,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
28,A1,2017,14049,Manual,18171,Petrol,67.3,1.0,audi,30132219
29,A1,2019,17049,Manual,18264,Petrol,51.4,1.0,audi,29916035
30,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
31,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
32,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
33,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
34,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
