,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A4,2010,5795,Automatic,99000,Diesel,47.1,2.0,audi,30237943
1,A4,2018,21995,Automatic,48749,Petrol,43.5,2.0,audi,30249005
2,A1,2020,22049,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
3,A1,2016,15999,Manual,4432,Petrol,58.9,1.4,audi,30132351
4,A3,2021,24549,Semi-Auto,10119,Petrol,53.3,1.0,audi,30255995
5,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
6,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
7,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
8,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
9,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
10,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
11,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
12,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
13,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
14,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
15,A3,2018,18599,Manual,17404,Petrol,47.1,1.0,audi,29888080
16,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
17,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
18,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
19,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
20,Q2,2019,18899,Manual,14692,Petrol,47.1,1.0,audi,29969122
21,A4,2020,28299,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
22,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
23,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
24,Q2,2020,20049,Manual,15744,Diesel,49.6,1.6,audi,30107780
25,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
26,A3,2016,19049,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
27,A1,2016,16399,Semi-Auto,16373,Petrol,56.5,1.4,audi,30113661
28,A3,2020,21049,Manual,16586,Petrol,50.4,1.0,audi,30008871
29,A1,2019,19349,Manual,16839,Petrol,51.4,1.0,audi,30251185
30,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
31,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
