,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2018,12795,Manual,37497,Petrol,67.3,1,audi,30270147
1,A1,2019,16500,Manual,27715,Petrol,51.4,1,audi,30275137
2,A1,2016,12995,Manual,58704,Petrol,56.5,1.4,audi,30275032
3,A3,2020,25495,Automatic,29001,Diesel,57.7,2.0,audi,30139938
4,A3,2012,6895,Manual,71685,Petrol,41.5,1.8,audi,30182566
5,Q3,2016,16495,Automatic,46000,Diesel,55.4,2.0,audi,30238879
6,A5,2017,25795,Automatic,55000,Petrol,37.7,3.0,audi,30199740
7,A3,2019,18995,Semi-Auto,45188,Petrol,43.5,1.5,audi,30121298
8,A3,2008,4995,Manual,99533,Petrol,38.6,1.8,audi,29896432
9,A1,2020,22049,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
10,A1,2016,15999,Manual,4432,Petrol,58.9,1.4,audi,30132351
11,A3,2021,24549,Semi-Auto,10119,Petrol,53.3,1.0,audi,30255995
12,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
13,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
14,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
15,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
16,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
17,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
18,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
19,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
20,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
21,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
22,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
23,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
24,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
25,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
26,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
27,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
28,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
29,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
30,Q2,2020,20049,Manual,15744,Diesel,49.6,1.6,audi,30107780
31,A3,2016,19049,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
32,A1,2016,16399,Semi-Auto,16373,Petrol,56.5,1.4,audi,30113661
33,A3,2020,21049,Manual,16586,Petrol,50.4,1.0,audi,30008871
34,A1,2019,19349,Manual,16839,Petrol,51.4,1.0,audi,30251185
35,A5,2017,19349,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
36,A1,2017,16699,Semi-Auto,17013,Petrol,58.9,1.4,audi,30181505
37,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
38,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
39,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
40,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
41,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
42,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
43,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
44,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
45,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
46,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
47,A4,2019,20699,Manual,27008,Petrol,39.2,2.0,audi,30025501
48,A1,2018,15899,Manual,27099,Petrol,None,1.4,audi,30208532
49,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
50,A3,2020,25899,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
51,Q2,2021,22299,Manual,20179,Petrol,48.7,1.0,audi,30075060
52,A1,2020,17349,Manual,20681,Petrol,51.4,1.0,audi,30075273
53,A1,2016,11849,Manual,20886,Petrol,55.4,1.4,audi,29878741
54,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
55,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
56,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
57,A1,2019,18399,Manual,21094,Petrol,49.6,1.0,audi,29986662
58,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
59,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
60,Q2,2017,17849,Manual,29371,Diesel,61.4,1.6,audi,30250939
61,Q2,2020,20899,Manual,29523,Petrol,45.6,1.0,audi,30046121
62,A1,2019,15249,Manual,30088,Petrol,51.4,1.0,audi,29799120
63,A1,2017,13149,Manual,30658,Petrol,None,1.4,audi,30208525
64,A4,2021,27049,Semi-Auto,31164,Petrol,40.9,2.0,audi,30123815
65,A1,2020,16849,Manual,31391,Petrol,None,1.0,audi,30208680
66,A3,2016,12799,Manual,31628,Diesel,65.7,1.6,audi,30003951
67,A1,2018,16599,Manual,31834,Petrol,54.3,1.4,audi,30042607
68,A6,2019,25049,Semi-Auto,31891,Diesel,50.4,2.0,audi,29993380
69,Q3,2017,17249,Manual,32182,Petrol,51.4,1.4,audi,30148666
70,A3,2017,16049,Manual,23350,Diesel,58.9,2.0,audi,30161843
71,Q2,2019,18049,Manual,23601,Diesel,49.6,1.6,audi,30050202
72,A1,2017,13799,Semi-Auto,23629,Petrol,57.6,1.4,audi,30103514
73,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
74,A5,2019,26349,Semi-Auto,24037,Petrol,37.7,2.0,audi,30161789
75,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
76,TT,2018,19699,Manual,24237,Diesel,62.8,2.0,audi,30155550
77,A1,2018,13799,Manual,24389,Petrol,57.7,1.4,audi,30079656
78,A1,2018,13499,Manual,24456,Petrol,67.3,1.0,audi,30079725
79,A1,2018,14049,Manual,24763,Petrol,67.3,1.0,audi,30090235
80,A1,2018,14799,Semi-Auto,33770,Petrol,64.2,1.0,audi,30132530
81,Q2,2019,17849,Manual,33775,Diesel,49.6,1.6,audi,30251056
82,A3,2019,16699,Manual,34506,Petrol,47.9,1.0,audi,30132380
83,A4,2019,18549,Manual,34965,Petrol,39.2,2.0,audi,29878648
84,Q3,2017,17399,Manual,35121,Petrol,51.4,1.4,audi,30015367
85,A1,2016,12749,Manual,35223,Petrol,None,1.4,audi,30208535
86,S1,2016,17699,Manual,35387,Petrol,40.4,2.0,audi,30103734
87,Q2,2018,21699,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
88,Q5,2017,24049,Semi-Auto,36402,Diesel,56.5,2.0,audi,29854815
89,A7,2019,33049,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
90,A5,2016,17849,Semi-Auto,36787,Diesel,56.5,2.0,audi,30251123
91,A3,2017,14899,Manual,36967,Diesel,68.9,1.6,audi,29893665
92,A6,2019,23799,Semi-Auto,37547,Diesel,50.4,2.0,audi,30132206
93,A3,2019,20049,Semi-Auto,37612,Petrol,44.1,1.0,audi,30251051
94,A6,2019,27549,Semi-Auto,37793,Diesel,47.9,2.0,audi,30188217
95,Q2,2018,17549,Manual,38200,Petrol,None,1.4,audi,30208630
96,A3,2019,18049,Manual,38862,Petrol,47.1,1.0,audi,30240327
97,A6,2018,27549,Semi-Auto,38955,Diesel,47.9,2.0,audi,30196643
98,A3,2017,16549,Semi-Auto,38958,Diesel,70.6,1.6,audi,30251044
99,Q5,2019,33549,Semi-Auto,38974,Petrol,32.1,2.0,audi,30015311
100,Q2,2018,17799,Manual,28484,Petrol,52.3,1.4,audi,30008809
101,A1,2017,16549,Semi-Auto,28519,Petrol,58.9,1.4,audi,30123784
102,A1,2018,16899,Manual,28598,Petrol,54.3,1.4,audi,30181533
103,A1,2017,14499,Semi-Auto,28692,Diesel,72.4,1.6,audi,29888094
104,Q5,2019,27049,Semi-Auto,28922,Diesel,38.2,2.0,audi,29563174
105,A3,2019,16049,Manual,28944,Petrol,None,1.0,audi,30208560
106,Q2,2017,19049,Manual,29002,Petrol,50.4,1.4,audi,30025559
107,A5,2018,23599,Semi-Auto,29002,Petrol,None,2.0,audi,30188168
108,Q2,2017,17849,Manual,29371,Diesel,61.4,1.6,audi,30250939
109,Q2,2017,17999,Manual,29438,Diesel,61.4,1.6,audi,30079701
110,A1,2018,13849,Manual,41824,Petrol,55.4,1.4,audi,30251235
111,Q3,2017,16049,Manual,42187,Diesel,62.8,2.0,audi,30063499
112,Q2,2018,18299,Manual,42212,Petrol,50.4,1.4,audi,29981302
113,A3,2016,16049,Semi-Auto,42857,Hybrid,None,1.4,audi,30123790
114,Q2,2018,18549,Manual,43103,Petrol,50.4,1.4,audi,30207669
115,A6,2017,19699,Semi-Auto,43114,Diesel,61.4,2.0,audi,30003938
116,A5,2017,19699,Semi-Auto,43174,Diesel,68.9,2.0,audi,30010069
117,A3,2017,15549,Semi-Auto,43224,Petrol,58.9,1.4,audi,30188220
118,A1,2018,12799,Manual,43384,Petrol,57.7,1.4,audi,30003943
119,Q2,2017,20899,Manual,43634,Petrol,50.4,1.4,audi,30255929
120,Q3,2017,16549,Manual,43695,Petrol,51.4,1.4,audi,30251281
121,A3,2019,20049,Semi-Auto,43708,Diesel,50.4,2.0,audi,29826238
122,A3,2019,15549,Manual,43799,Diesel,53.3,1.6,audi,29855001
123,Q3,2017,19449,Semi-Auto,43801,Diesel,53.3,2.0,audi,30103530
124,A1,2017,15049,Manual,43926,Diesel,None,1.6,audi,30208494
125,A1,2015,11299,Manual,43927,Petrol,55.4,1.4,audi,30255979
126,A1,2017,14049,Manual,43994,Petrol,58.9,1.4,audi,30079748
127,Q2,2020,17849,Manual,44057,Diesel,49.6,1.6,audi,30240302
128,Q2,2018,17049,Manual,45252,Petrol,52.3,1.4,audi,30123769
129,A3,2019,19349,Manual,45406,Petrol,42.2,1.5,audi,30201104
130,A4,2019,20649,Semi-Auto,45544,Diesel,48.7,2.0,audi,30132577
131,A3,2017,16049,Manual,45574,Petrol,55.4,1.5,audi,29993451
132,A1,2018,12599,Manual,45733,Petrol,None,1.0,audi,30208668
133,A1,2016,13049,Manual,45878,Petrol,55.4,1.4,audi,29986761
134,A5,2017,21349,Semi-Auto,45913,Diesel,62.8,2.0,audi,29974659
135,A3,2019,14699,Manual,45933,Diesel,49.6,1.6,audi,30015317
136,Q3,2016,16899,Manual,46680,Diesel,52.3,2.0,audi,29694929
137,A3,2019,14399,Manual,47489,Diesel,49.6,1.6,audi,30132403
138,A3,2019,17049,Automatic,47518,Diesel,52.3,1.6,audi,30188176
139,A3,2019,16349,Manual,47520,Petrol,42.2,1.5,audi,30219151
140,Q3,2017,17149,Semi-Auto,47567,Petrol,47.9,1.4,audi,30219109
141,Q3,2019,22549,Manual,47696,Petrol,42.2,1.5,audi,30255937
142,Q2,2018,17549,Semi-Auto,47723,Diesel,68.9,1.6,audi,30250910
143,Q2,2017,15499,Manual,48296,Petrol,55.4,1.0,audi,30201120
144,A6,2019,23299,Semi-Auto,48355,Diesel,47.9,2.0,audi,29734218
145,Q2,2018,16049,Manual,48609,Petrol,55.4,1.0,audi,30219251
146,Q5,2017,23549,Automatic,49389,Diesel,56.5,2.0,audi,30196642
147,Q3,2017,19699,Manual,49627,Diesel,54.3,2.0,audi,30004010
148,A3,2018,15349,Manual,49801,Diesel,51.4,1.6,audi,30255903
149,Q2,2017,17249,Manual,50044,Petrol,52.3,1.4,audi,30219146
150,A4,2019,26049,Semi-Auto,50329,Diesel,44.1,2.0,audi,30251121
151,A3,2019,14899,Manual,50409,Diesel,49.6,1.6,audi,30251186
152,A3,2019,18299,Semi-Auto,50829,Petrol,43.5,1.5,audi,29905939
153,A3,2018,19349,Semi-Auto,50892,Diesel,62.8,2.0,audi,30240292
154,A1,2017,11899,Manual,51262,Petrol,55.4,1.4,audi,29958117
155,A3,2017,16349,Manual,51400,Petrol,49.6,2.0,audi,30161821
156,Q5,2018,25049,Semi-Auto,52068,Diesel,56.5,2.0,audi,30188177
157,A4,2018,21299,Semi-Auto,52072,Diesel,None,2.0,audi,30208725
158,Q2,2018,18649,Semi-Auto,52161,Petrol,54.3,1.4,audi,30255910
159,A3,2018,12899,Manual,52170,Diesel,70.6,1.6,audi,29888437
160,A3,2018,18999,Semi-Auto,34928,Diesel,52.3,1.6,audi,30075350
161,A4,2019,18549,Manual,34965,Petrol,39.2,2.0,audi,29878648
162,A1,2018,14049,Manual,34979,Petrol,55.4,1.4,audi,30181598
163,A3,2017,16049,Semi-Auto,35020,Diesel,70.6,1.6,audi,29786359
164,Q3,2017,17399,Manual,35121,Petrol,51.4,1.4,audi,30015367
165,A1,2016,12749,Manual,35223,Petrol,None,1.4,audi,30208535
166,S1,2016,17699,Manual,35387,Petrol,40.4,2.0,audi,30103734
167,A1,2017,16399,Semi-Auto,35878,Diesel,70.6,1.6,audi,30015262
168,A3,2019,19299,Manual,36183,Diesel,51.4,1.6,audi,30090207
169,Q2,2018,21699,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
170,A1,2016,11249,Manual,55009,Petrol,67.3,1.0,audi,30132451
171,Q2,2017,17499,Semi-Auto,55052,Diesel,58.9,2.0,audi,30123848
172,A4,2015,11849,Manual,55070,Diesel,67.3,2.0,audi,30148600
173,A3,2016,15049,Manual,55540,Petrol,60.1,1.4,audi,30240299
174,A4,2017,16299,Semi-Auto,55540,Diesel,67.3,2.0,audi,29878689
175,A3,2019,15749,Manual,56136,Diesel,53.3,1.6,audi,30132233
176,Q5,2017,22049,Semi-Auto,57475,Diesel,56.5,2.0,audi,30003804
177,Q3,2020,24599,Semi-Auto,57485,Diesel,47.1,2.0,audi,30019392
178,Q3,2016,16549,Manual,57592,Diesel,52.3,2.0,audi,30132544
179,A4,2016,17499,Semi-Auto,57934,Diesel,64.2,3.0,audi,29974658
180,A5,2017,18549,Semi-Auto,57938,Diesel,67.3,2.0,audi,30251212
181,Q3,2015,14799,Manual,58097,Diesel,60.1,2.0,audi,30132225
182,A1,2017,13399,Manual,58255,Petrol,56.5,1.4,audi,30015341
183,A6,2019,23599,Semi-Auto,58404,Diesel,47.9,2.0,audi,30103460
184,Q2,2018,19499,Semi-Auto,58457,Diesel,57.7,2.0,audi,30042497
185,A4,2018,15149,Manual,58589,Petrol,None,1.4,audi,30208413
186,A1,2015,10499,Manual,59098,Petrol,67.3,1.0,audi,30251014
187,A3,2019,15399,Manual,59696,Petrol,42.2,1.5,audi,29694940
188,Q2,2019,18499,Semi-Auto,60355,Diesel,46.3,1.6,audi,30123862
189,Q3,2016,15649,Manual,60835,Diesel,60.1,2.0,audi,30219163
190,Q3,2019,24549,Semi-Auto,61154,Diesel,47.1,2.0,audi,30219230
191,A3,2017,13049,Manual,61228,Diesel,67.3,2.0,audi,30240338
192,A4,2019,20549,Semi-Auto,61512,Diesel,54.3,2.0,audi,30188155
193,A4,2019,16699,Semi-Auto,62959,Diesel,50.4,2.0,audi,29905959
194,A3,2016,14549,Semi-Auto,63367,Diesel,70.6,1.6,audi,29993478
195,Q2,2017,15449,Manual,63458,Petrol,52.3,1.4,audi,30167904
196,A4,2019,16299,Manual,63659,Petrol,39.2,2.0,audi,29888058
197,A3,2017,11549,Manual,63864,Diesel,70.6,2.0,audi,29888345
198,A1,2016,12899,Semi-Auto,64385,Diesel,72.4,1.6,audi,30161823
199,A4,2019,16699,Semi-Auto,64788,Diesel,51.4,2.0,audi,30260909
200,A6,2019,22049,Semi-Auto,65203,Diesel,47.9,2.0,audi,29716130
201,A3,2018,13199,Manual,65233,Diesel,49.6,1.6,audi,30015245
202,A4,2016,18399,Semi-Auto,65301,Diesel,64.2,3.0,audi,30225453
203,A5,2017,19699,Semi-Auto,65948,Diesel,65.7,2.0,audi,30103448
204,A3,2017,16399,Semi-Auto,66154,Diesel,64.2,2.0,audi,30103602
205,TT,2016,14649,Manual,66853,Diesel,62.8,2.0,audi,30225417
206,A5,2018,20049,Semi-Auto,68297,Diesel,65.7,2.0,audi,30132556
207,A4,2017,15849,Manual,69125,Diesel,64.2,2.0,audi,30255899
208,Q2,2018,18699,Semi-Auto,69172,Petrol,52.3,1.4,audi,30132612
209,A3,2017,15999,Manual,69995,Diesel,67.3,2.0,audi,30063502
210,Q2,2021,23549,Manual,11696,Petrol,45.6,1.0,audi,29836479
211,A1,2020,20049,Manual,11720,Petrol,47.9,1.0,audi,30267181
212,A1,2019,15549,Manual,12218,Petrol,52.3,1.0,audi,29812468
213,Q2,2019,18899,Manual,14692,Petrol,47.1,1.0,audi,29969122
214,A3,2020,21049,Manual,16586,Petrol,50.4,1.0,audi,30008871
215,A1,2019,17049,Manual,18264,Petrol,51.4,1.0,audi,29916035
216,A3,2017,20749,Semi-Auto,19581,Petrol,56.5,1.5,audi,30046091
217,Q5,2018,23799,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
218,A3,2020,25899,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
219,A1,2019,18399,Manual,21094,Petrol,49.6,1.0,audi,29986662
220,Q2,2019,18049,Manual,23601,Diesel,49.6,1.6,audi,30050202
221,A3,2019,19299,Semi-Auto,26431,Petrol,42.2,1.5,audi,29847275
222,A3,2017,16149,Semi-Auto,28226,Diesel,72.4,1.6,audi,30201112
223,A3,2017,15399,Manual,28369,Petrol,60.1,1.4,audi,30042371
224,Q5,2019,27049,Semi-Auto,28922,Diesel,38.2,2.0,audi,29563174
225,A3,2019,18549,Manual,29604,Diesel,51.4,1.6,audi,29812486
226,Q5,2019,28499,Semi-Auto,30970,Diesel,38.2,2.0,audi,29807992
227,Q2,2017,18699,Semi-Auto,31016,Petrol,54.3,1.4,audi,30042622
228,A6,2019,24799,Semi-Auto,37885,Diesel,47.9,2.0,audi,29836472
229,Q3,2017,22049,Semi-Auto,39259,Diesel,53.3,2.0,audi,30015209
230,A3,2016,13049,Manual,41606,Petrol,61.4,1.4,audi,30042448
231,A4,2016,13299,Manual,42185,Petrol,53.3,1.4,audi,30042236
232,A3,2017,17799,Semi-Auto,43510,Diesel,62.8,2.0,audi,30046214
233,A3,2017,17499,Manual,43871,Petrol,60.1,1.4,audi,30015333
234,A3,2019,15049,Manual,45107,Petrol,47.1,1.0,audi,29916102
235,Q3,2017,16399,Manual,45875,Diesel,57.7,2.0,audi,29943286
236,TT,2017,16799,Manual,45962,Petrol,46.3,2.0,audi,29986777
237,A3,2016,12749,Semi-Auto,48356,Diesel,70.6,1.6,audi,30181500
238,Q2,2019,17049,Manual,48853,Petrol,42.8,1.5,audi,29958114
239,Q2,2017,16549,Semi-Auto,48889,Petrol,54.3,1.4,audi,30267236
240,A1,2018,13449,Manual,49874,Petrol,54.3,1.4,audi,29847194
241,A4,2019,18949,Semi-Auto,50758,Diesel,50.4,2.0,audi,30042517
242,A3,2016,16049,Semi-Auto,51198,Diesel,57.6,2.0,audi,30046144
243,A3,2017,14199,Manual,51809,Diesel,67.3,2.0,audi,30003933
244,A1,2017,15699,Semi-Auto,54208,Petrol,70.6,1.4,audi,30015263
245,Q3,2018,16449,Manual,56145,Petrol,51.4,1.4,audi,30046197
246,A4,2016,17649,Semi-Auto,56692,Diesel,65.7,2.0,audi,30196776
247,A4,2019,19699,Semi-Auto,57130,Diesel,48.7,2.0,audi,30050256
248,A3,2018,13899,Manual,57630,Petrol,47.1,1.0,audi,29916131
249,A3,2017,13699,Manual,59586,Diesel,67.3,2.0,audi,29826159
250,A3,2016,12949,Manual,59607,Diesel,68.9,1.6,audi,29916120
251,Q5,2017,20899,Semi-Auto,59819,Diesel,56.5,2.0,audi,29916044
252,A3,2019,13849,Manual,59918,Petrol,48.7,1.0,audi,30196709
253,A3,2018,13549,Manual,59930,Diesel,70.6,1.6,audi,30261045
254,Q5,2017,21349,Semi-Auto,61807,Diesel,56.5,2.0,audi,29986806
255,A3,2016,15249,Semi-Auto,63184,Diesel,61.4,2.0,audi,30004048
256,A3,2019,13299,Manual,63742,Diesel,49.6,1.6,audi,29916068
257,A5,2017,17049,Manual,66983,Diesel,68.9,2.0,audi,30261013
258,A4,2018,18599,Semi-Auto,67061,Diesel,65.7,2.0,audi,30042474
259,A1,2020,18899,Manual,10020,Petrol,50.4,1.0,audi,30095441
260,Q2,2018,20899,Manual,48044,Petrol,50.4,1.4,audi,30103742
261,Q2,2017,15499,Manual,48296,Petrol,55.4,1.0,audi,30201120
262,A6,2019,23299,Semi-Auto,48355,Diesel,47.9,2.0,audi,29734218
263,A3,2016,12749,Semi-Auto,48356,Diesel,70.6,1.6,audi,30181500
264,A3,2018,14349,Manual,48470,Petrol,56.5,1.5,audi,30107861
265,Q2,2018,16049,Manual,48609,Petrol,55.4,1.0,audi,30219251
266,Q2,2019,17049,Manual,48853,Petrol,42.8,1.5,audi,29958114
267,Q2,2017,16549,Semi-Auto,48889,Petrol,54.3,1.4,audi,30267236
268,A6,2019,27799,Semi-Auto,49071,Diesel,47.9,2.0,audi,30155515
269,A3,2017,20049,Semi-Auto,49237,Diesel,56.5,2.0,audi,30090217
270,Q5,2017,23549,Automatic,49389,Diesel,56.5,2.0,audi,30196642
271,Q3,2017,19699,Manual,49627,Diesel,54.3,2.0,audi,30004010
272,A3,2018,15349,Manual,49801,Diesel,51.4,1.6,audi,30255903
273,A1,2018,13449,Manual,49874,Petrol,54.3,1.4,audi,29847194
274,A3,2018,16549,Semi-Auto,49980,Diesel,70.6,1.6,audi,29831180
275,A3,2018,17499,Manual,50031,Petrol,54.3,1.5,audi,30113677
276,Q2,2017,17249,Manual,50044,Petrol,52.3,1.4,audi,30219146
277,A3,2019,14799,Manual,50047,Petrol,47.1,1.0,audi,30107723
278,A4,2019,26049,Semi-Auto,50329,Diesel,44.1,2.0,audi,30251121
279,A3,2019,14899,Manual,50409,Diesel,49.6,1.6,audi,30251186
280,A5,2019,26349,Semi-Auto,24037,Petrol,37.7,2.0,audi,30161789
281,TT,2018,19699,Manual,24237,Diesel,62.8,2.0,audi,30155550
282,A1,2018,13799,Manual,24389,Petrol,57.7,1.4,audi,30079656
283,A1,2018,13499,Manual,24456,Petrol,67.3,1.0,audi,30079725
