,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
1,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
2,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
3,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
4,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
5,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
6,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
7,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
8,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
9,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
10,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
11,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
12,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
13,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
14,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
15,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
16,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
17,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
18,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
19,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
20,A1,2017,14049,Manual,18171,Petrol,67.3,1.0,audi,30132219
21,A1,2019,17049,Manual,18264,Petrol,51.4,1.0,audi,29916035
22,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
23,Q3,2020,25349,Manual,19495,Petrol,42.2,1.5,audi,30161889
24,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
25,A3,2017,20749,Semi-Auto,19581,Petrol,56.5,1.5,audi,30046091
26,Q5,2018,23799,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
27,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
28,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
29,A1,2016,12349,Manual,20007,Petrol,67.3,1.0,audi,30075284
30,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
31,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
32,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
33,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
34,Other,2017,25049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
35,A3,2019,18499,Manual,27856,Diesel,51.4,1.6,audi,29950229
36,A5,2017,21049,Semi-Auto,27912,Diesel,65.7,2.0,audi,30025485
37,A3,2019,19699,Manual,28472,Petrol,46.3,1.0,audi,30042484
38,Q2,2018,17799,Manual,28484,Petrol,52.3,1.4,audi,30008809
39,A1,2017,16549,Semi-Auto,28519,Petrol,58.9,1.4,audi,30123784
40,A1,2017,14499,Semi-Auto,28692,Diesel,72.4,1.6,audi,29888094
41,A3,2019,15549,Manual,28775,Diesel,49.6,1.6,audi,29950277
42,A3,2019,16049,Manual,28944,Petrol,None,1.0,audi,30208560
43,Q2,2017,19049,Manual,29002,Petrol,50.4,1.4,audi,30025559
44,Q2,2017,17849,Manual,29371,Diesel,61.4,1.6,audi,30250939
45,Q2,2020,20899,Manual,29523,Petrol,45.6,1.0,audi,30046121
46,A1,2019,15249,Manual,30088,Petrol,51.4,1.0,audi,29799120
47,A1,2017,13149,Manual,30658,Petrol,None,1.4,audi,30208525
48,A4,2021,27049,Semi-Auto,31164,Petrol,40.9,2.0,audi,30123815
49,A1,2020,16849,Manual,31391,Petrol,None,1.0,audi,30208680
50,A5,2019,24599,Semi-Auto,31397,Diesel,50.4,2.0,audi,29915994
51,A3,2016,12799,Manual,31628,Diesel,65.7,1.6,audi,30003951
52,Q3,2016,19699,Semi-Auto,31784,Diesel,50.4,2.0,audi,29969229
53,A1,2018,16599,Manual,31834,Petrol,54.3,1.4,audi,30042607
54,A6,2019,25049,Semi-Auto,31891,Diesel,50.4,2.0,audi,29993380
55,Q3,2017,17249,Manual,32182,Petrol,51.4,1.4,audi,30148666
56,A3,2018,15549,Manual,32326,Petrol,60.1,1.0,audi,30225419
57,A3,2019,16549,Manual,32346,Diesel,51.4,1.6,audi,30148658
58,Q3,2019,21799,Manual,32350,Petrol,40.9,1.5,audi,29905904
59,A5,2018,18049,Manual,32377,Petrol,50.4,2.0,audi,29898748
60,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
