,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,TT,2013,10350,Manual,64524,Petrol,44.1,1.8,audi,28740425
1,A1,2020,22049,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
2,A1,2016,15999,Manual,4432,Petrol,58.9,1.4,audi,30132351
3,Q4 e-tron,2021,34049,Blue,Electric,Automatic,8841,,audi,29797841
4,A1,2020,18899,Manual,10020,Petrol,50.4,1.0,audi,30095441
5,A3,2021,24549,Semi-Auto,10119,Petrol,53.3,1.0,audi,30255995
6,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
7,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
8,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
9,Q2,2021,23549,Manual,11696,Petrol,45.6,1.0,audi,29836479
10,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
11,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
12,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
13,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
14,A3,2018,18599,Manual,17404,Petrol,47.1,1.0,audi,29888080
15,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
16,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
17,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
18,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
19,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
20,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
21,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
22,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
23,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
24,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
25,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
26,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
27,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
28,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
29,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
30,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
31,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
32,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
33,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
34,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
35,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
36,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
37,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
38,A3,2020,19699,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
39,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
40,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
41,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
42,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
43,A4,2019,20699,Manual,27008,Petrol,39.2,2.0,audi,30025501
44,A1,2018,15899,Manual,27099,Petrol,None,1.4,audi,30208532
45,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
46,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
47,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
48,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
49,Other,2017,25049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
50,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
51,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
52,A1,2019,18399,Manual,21094,Petrol,49.6,1.0,audi,29986662
53,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
54,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
55,A1,2017,17499,Semi-Auto,21639,Petrol,56.5,1.4,audi,30167971
56,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
57,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
58,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
59,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
60,Q2,2020,20899,Manual,29523,Petrol,45.6,1.0,audi,30046121
61,A1,2019,15249,Manual,30088,Petrol,51.4,1.0,audi,29799120
62,A1,2017,13149,Manual,30658,Petrol,None,1.4,audi,30208525
63,A4,2021,27049,Semi-Auto,31164,Petrol,40.9,2.0,audi,30123815
64,A1,2020,16849,Manual,31391,Petrol,None,1.0,audi,30208680
65,A5,2019,24599,Semi-Auto,31397,Diesel,50.4,2.0,audi,29915994
66,A3,2016,12799,Manual,31628,Diesel,65.7,1.6,audi,30003951
67,Q3,2016,19699,Semi-Auto,31784,Diesel,50.4,2.0,audi,29969229
68,A1,2018,16599,Manual,31834,Petrol,54.3,1.4,audi,30042607
69,A6,2019,25049,Semi-Auto,31891,Diesel,50.4,2.0,audi,29993380
70,Q3,2017,17249,Manual,32182,Petrol,51.4,1.4,audi,30148666
71,A3,2018,15549,Manual,32326,Petrol,60.1,1.0,audi,30225419
72,A3,2019,16549,Manual,32346,Diesel,51.4,1.6,audi,30148658
73,Q3,2019,21799,Manual,32350,Petrol,40.9,1.5,audi,29905904
74,A5,2018,18049,Manual,32377,Petrol,50.4,2.0,audi,29898748
75,A3,2019,16549,Manual,32515,Diesel,54.3,1.6,audi,30251259
76,A3,2018,20449,Manual,32648,Petrol,42.2,1.5,audi,30251263
77,A3,2019,18199,Manual,32768,Diesel,51.4,1.6,audi,30132391
78,A3,2017,15899,Semi-Auto,33275,Petrol,58.9,1.4,audi,30132558
79,A3,2019,19699,Semi-Auto,33519,Petrol,42.2,1.5,audi,30015216
80,A1,2018,15049,Manual,33668,Petrol,55.4,1.4,audi,30148621
81,A1,2018,14799,Semi-Auto,33770,Petrol,64.2,1.0,audi,30132530
82,Q2,2019,17849,Manual,33775,Diesel,49.6,1.6,audi,30251056
83,A3,2019,16699,Manual,34506,Petrol,47.9,1.0,audi,30132380
84,A4,2019,18549,Manual,34965,Petrol,39.2,2.0,audi,29878648
85,Q3,2017,17399,Manual,35121,Petrol,51.4,1.4,audi,30015367
86,A1,2016,12749,Manual,35223,Petrol,None,1.4,audi,30208535
87,S1,2016,17699,Manual,35387,Petrol,40.4,2.0,audi,30103734
88,Q2,2018,21699,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
89,Q5,2017,24049,Semi-Auto,36402,Diesel,56.5,2.0,audi,29854815
90,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
91,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
92,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
93,Other,2017,25049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
94,A3,2019,18499,Manual,27856,Diesel,51.4,1.6,audi,29950229
95,A5,2017,21049,Semi-Auto,27912,Diesel,65.7,2.0,audi,30025485
96,A3,2017,16149,Semi-Auto,28226,Diesel,72.4,1.6,audi,30201112
97,A3,2017,15399,Manual,28369,Petrol,60.1,1.4,audi,30042371
98,A3,2019,19699,Manual,28472,Petrol,46.3,1.0,audi,30042484
99,Q2,2018,17799,Manual,28484,Petrol,52.3,1.4,audi,30008809
100,Q5,2019,33549,Semi-Auto,38974,Petrol,32.1,2.0,audi,30015311
101,Q3,2017,20599,Semi-Auto,39048,Diesel,51.4,2.0,audi,29854724
102,Q3,2016,17049,Manual,39263,Diesel,60.1,2.0,audi,30196732
103,A1,2016,10699,Manual,39286,Petrol,67.3,1.0,audi,29888454
104,A1,2018,14049,Manual,39306,Petrol,55.4,1.4,audi,30251239
105,A4,2016,13649,Manual,39774,Petrol,53.3,1.4,audi,30251183
106,Q3,2016,17049,Semi-Auto,40675,Diesel,54.3,2.0,audi,29981270
107,A1,2017,12399,Manual,40742,Petrol,67.3,1.0,audi,30225545
108,A3,2018,14649,Manual,40948,Diesel,49.6,1.6,audi,30090285
109,A3,2017,14849,Manual,41219,Petrol,60.1,1.4,audi,30196747
110,A1,2019,16899,Manual,41587,Petrol,46.3,1.5,audi,30015282
111,A1,2018,13849,Manual,41824,Petrol,55.4,1.4,audi,30251235
112,Q3,2017,16049,Manual,42187,Diesel,62.8,2.0,audi,30063499
113,Q2,2018,18299,Manual,42212,Petrol,50.4,1.4,audi,29981302
114,A3,2016,16049,Semi-Auto,42857,Hybrid,None,1.4,audi,30123790
115,Q2,2018,18549,Manual,43103,Petrol,50.4,1.4,audi,30207669
116,A6,2017,19699,Semi-Auto,43114,Diesel,61.4,2.0,audi,30003938
117,A5,2017,19699,Semi-Auto,43174,Diesel,68.9,2.0,audi,30010069
118,A3,2017,15549,Semi-Auto,43224,Petrol,58.9,1.4,audi,30188220
119,A1,2018,12799,Manual,43384,Petrol,57.7,1.4,audi,30003943
120,Q2,2017,20899,Manual,43634,Petrol,50.4,1.4,audi,30255929
121,Q3,2017,16549,Manual,43695,Petrol,51.4,1.4,audi,30251281
122,A3,2019,20049,Semi-Auto,43708,Diesel,50.4,2.0,audi,29826238
123,A3,2019,15549,Manual,43799,Diesel,53.3,1.6,audi,29855001
124,Q3,2017,19449,Semi-Auto,43801,Diesel,53.3,2.0,audi,30103530
125,A1,2017,15049,Manual,43926,Diesel,None,1.6,audi,30208494
126,A1,2015,11299,Manual,43927,Petrol,55.4,1.4,audi,30255979
127,A1,2017,14049,Manual,43994,Petrol,58.9,1.4,audi,30079748
128,Q2,2020,17849,Manual,44057,Diesel,49.6,1.6,audi,30240302
129,Q2,2018,17049,Manual,45252,Petrol,52.3,1.4,audi,30123769
130,A3,2019,19349,Manual,45406,Petrol,42.2,1.5,audi,30201104
131,A4,2019,20649,Semi-Auto,45544,Diesel,48.7,2.0,audi,30132577
132,A3,2017,16049,Manual,45574,Petrol,55.4,1.5,audi,29993451
133,A1,2018,12599,Manual,45733,Petrol,None,1.0,audi,30208668
