,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Rapid,2016,9995,Manual,32100,Diesel,78.5,1.4,skoda,29893170
1,Corsa,2016,7995,Manual,34839,Petrol,54.3,1.4,vauxhall,29805756
2,Turismo,2018,14995,Automatic,36201,Diesel,37.6,2.2,ssangyong,29884356
3,Juke,2019,14495,Automatic,36560,Petrol,34.9,1.6,nissan,30103207
4,Insignia,2016,10495,Automatic,40870,Diesel,57.6,1.6,vauxhall,29893176
5,C4 Cactus,2016,7995,Manual,41000,Diesel,78.5,1.6,citroen,29653595
6,3 Series,2015,11995,Manual,46985,Petrol,52.3,1.5,bmw,29653602
7,IX35,2014,8495,Manual,48047,Diesel,53.3,1.7,hyundai,29653592
8,Sportage,2016,11995,Manual,60028,Diesel,None,2.0,kia,29653603
9,Tiguan,2017,14995,Manual,62900,Diesel,60.1,2.0,volkswagen,29653596
10,Corsa,2016,7995,Manual,34839,Petrol,54.3,1.4,vauxhall,29805756
11,Juke,2019,14495,Automatic,36560,Petrol,34.9,1.6,nissan,30103207
12,Insignia,2016,10495,Automatic,40870,Diesel,57.6,1.6,vauxhall,29893176
13,3 Series,2015,11995,Manual,46985,Petrol,52.3,1.5,bmw,29653602
14,Sportage,2016,11995,Manual,60028,Diesel,None,2.0,kia,29653603
15,C-HR,2019,15995,Automatic,63780,Other,72.4,1.8,toyota,29851999
16,Kuga,2015,9995,Manual,75000,Diesel,54.3,2.0,ford,29653604
17,SLK,2005,5995,Automatic,75799,Petrol,32.1,1.8,mercedes-benz,29791953
18,Golf,2013,6995,Manual,81790,Diesel,64.2,1.6,volkswagen,29913000
19,4 Series,2016,11995,Manual,85050,Diesel,67.3,2.0,bmw,29653598
20,Accord,2012,7495,Automatic,86450,Petrol,38.7,2.0,honda,29793890
21,3 Series,2018,13995,Automatic,95800,Diesel,70.6,2.0,bmw,29653590
22,Convertible,2007,3495,Manual,101000,Petrol,40.4,1.6,mini,29770570
23,Yaris,2007,2495,Manual,105000,Petrol,47.1,1.3,toyota,30228755
24,Astra,2014,4295,Manual,105278,Diesel,65.7,1.7,vauxhall,30195414
25,Insignia,2011,2995,Manual,109341,Diesel,57.6,2.0,vauxhall,30271824
26,9 3,2006,2995,Manual,118674,Diesel,44.8,1.9,saab,30248731
27,Grand Scenic,2007,1995,Manual,120000,Petrol,36.2,1.6,renault,29957591
28,CRV,2008,2995,Manual,178209,Diesel,43.5,2.2,honda,30248732
29,CRV,2023,35495,Automatic,1600,Petrol,39.2,2.0,honda,30201525
30,A Class,2021,28995,Automatic,1900,Petrol,46.3,1.3,mercedes-benz,28282216
31,Forester,2022,36950,Automatic,4000,Petrol,34.9,2.0,subaru,29354475
32,Other,2020,31495,Automatic,6100,Diesel,64.2,1.9,mercedes-benz,28980645
33,Forester,2021,27995,Automatic,8900,Petrol,34.9,2.0,subaru,30156298
34,GLC Class,2021,55495,Automatic,10000,Petrol,26.7,3.0,mercedes-benz,29981657
35,Outback,2022,34995,Automatic,13000,Petrol,33.2,2.5,subaru,29684050
36,XV,2021,26495,Automatic,13500,Petrol,43.5,2.0,subaru,27652921
37,EQA,2021,33995,Grey,Electric,Automatic,13800,,mercedes-benz,28974835
38,Countryman,2021,29995,Automatic,14500,Petrol,156.9,1.5,mini,29142503
39,E Class,2020,36495,Automatic,16200,Diesel,43.5,1.9,mercedes-benz,29054778
40,A3,2021,35495,Automatic,17000,Petrol,35.3,2.0,audi,28586165
41,Forester,2019,27750,Automatic,17600,Petrol,34.9,2.0,subaru,29882229
42,A Class,2019,22195,Automatic,19994,Petrol,None,1.3,mercedes-benz,30046941
43,E Class,2018,30995,Automatic,21000,Petrol,39.2,2.0,mercedes-benz,29734630
44,C Class,2019,28495,Automatic,21050,Petrol,47.1,1.5,mercedes-benz,29521506
45,B Class,2020,23995,Automatic,22100,Diesel,55.4,1.9,mercedes-benz,29691621
46,GLA Class,2020,32795,Automatic,22100,Petrol,41.5,1.3,mercedes-benz,30046940
47,GLC Class,2018,50995,Automatic,24500,Petrol,26.4,4.0,mercedes-benz,27734508
48,C Class,2018,25995,Automatic,25200,Diesel,54.3,2.1,mercedes-benz,30017929
49,Outlander,2019,21995,Automatic,28400,Petrol,141.3,2.4,mitsubishi,29988104
50,CLS Class,2021,44995,Automatic,28500,Diesel,38.7,2.9,mercedes-benz,28070866
51,Discovery,2018,41995,Automatic,29100,Diesel,37.2,2.0,land rover,29752522
52,GLC Class,2019,35495,Automatic,29500,Petrol,38.7,2.0,mercedes-benz,29312937
53,E Class,2019,31995,Automatic,34498,Diesel,48.7,2.9,mercedes-benz,28660457
54,F-TYPE,2018,33995,Automatic,36000,Petrol,39.2,2.0,jaguar,30249815
