,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
1,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
2,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
3,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
4,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
5,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
6,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
7,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
8,1 Series,2019,21849,Manual,25147,Petrol,41.5,1.5,bmw,30167930
9,i3,2015,9299,Grey,Electric,Automatic,25550,,bmw,29534154
10,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
11,3 Series,2019,20999,Semi-Auto,18330,Petrol,51.4,1.5,bmw,30267227
12,1 Series,2019,19199,Manual,18695,Petrol,52.3,1.5,bmw,30168050
13,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
14,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
15,2 Series,2019,18499,Manual,19517,Petrol,52.3,1.5,bmw,30050194
16,X2,2019,19699,Manual,19706,Diesel,55.4,2.0,bmw,30113650
17,4 Series,2019,25499,Semi-Auto,19774,Petrol,45.6,2.0,bmw,30178630
18,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
19,X1,2018,18349,Manual,20505,Petrol,40.9,1.5,bmw,30090301
20,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
21,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
22,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
23,4 Series,2018,19549,Semi-Auto,30655,Diesel,70.6,2.0,bmw,30255974
24,4 Series,2016,19999,Semi-Auto,31069,Diesel,60.1,2.0,bmw,29716087
25,1 Series,2020,20799,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
26,2 Series,2016,13849,Manual,31457,Petrol,52.3,1.5,bmw,30188186
27,1 Series,2020,22899,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
28,1 Series,2019,16899,Semi-Auto,32265,Petrol,55.5,1.5,bmw,30032933
29,4 Series,2016,19699,Semi-Auto,32332,Diesel,60.1,2.0,bmw,30103811
30,2 Series,2016,15199,Automatic,32683,Diesel,65.7,2.0,bmw,29981238
31,1 Series,2019,19849,Semi-Auto,32831,Petrol,36.7,1.5,bmw,30251297
32,X2,2018,18049,Manual,33057,Diesel,55.4,2.0,bmw,30178428
