,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X5,2021,57390,Semi-Auto,7882,Hybrid,37.7,3,bmw,29765942
1,4 Series,2022,44990,Semi-Auto,7985,Hybrid,57.7,2,bmw,29811157
2,4 Series,2022,49890,Semi-Auto,8512,Hybrid,47.1,3,bmw,29450891
3,2 Series,2022,39990,Semi-Auto,8592,Petrol,36.2,2,bmw,29811156
4,3 Series,2021,39890,Semi-Auto,8624,Petrol,34.9,3,bmw,29450912
5,5 Series,2022,38490,Semi-Auto,8694,Hybrid,51.4,2,bmw,30098802
6,X2,2020,27990,Semi-Auto,11391,Diesel,49.6,2,bmw,30246255
7,1 Series,2021,27490,Semi-Auto,12642,Petrol,47.1,1.5,bmw,30093718
8,X3,2022,52890,White,Electric,Automatic,12683,,bmw,29450846
9,i3,2018,19990,White,Electric,Automatic,12755,,bmw,29450954
10,X3,2021,55990,Semi-Auto,13977,Petrol,24.8,3,bmw,30151523
11,3 Series,2020,31990,Semi-Auto,14335,Petrol,41.5,2,bmw,30211111
12,X3,2021,44890,White,Electric,Automatic,16520,,bmw,29450931
13,Z4,2019,32990,Semi-Auto,16591,Petrol,38.7,2,bmw,30246256
14,5 Series,2020,28490,Semi-Auto,16891,Diesel,49.6,2,bmw,30211110
15,2 Series,2020,28490,Semi-Auto,17157,Petrol,42.2,1.5,bmw,30096812
16,1 Series,2020,24990,Semi-Auto,17426,Petrol,40.4,1.5,bmw,30211109
17,4 Series,2018,22990,Semi-Auto,17918,Petrol,48.7,2,bmw,30155633
18,X6,2021,58990,Semi-Auto,18297,Hybrid,36.2,3,bmw,30051919
19,1 Series,2021,24890,Semi-Auto,19252,Diesel,57.7,1.5,bmw,29755176
20,X3,2021,38890,Semi-Auto,19425,Hybrid,44.1,2,bmw,30015446
21,4 Series,2019,26990,Semi-Auto,19527,Petrol,48.7,2,bmw,30227423
22,1 Series,2021,24990,Manual,19557,Petrol,44.1,1.5,bmw,30211112
23,1 Series,2019,21890,Manual,20080,Petrol,44.1,1.5,bmw,29822476
24,1 Series,2020,32990,Semi-Auto,20189,Petrol,34.5,2,bmw,30114971
25,2 Series,2020,21890,Semi-Auto,20286,Petrol,50.4,1.5,bmw,29450926
26,X1,2019,27990,Semi-Auto,20582,Petrol,48.7,2,bmw,30078426
27,1 Series,2020,22990,Manual,20765,Petrol,44.1,1.5,bmw,30162004
28,2 Series,2020,23490,Semi-Auto,21250,Petrol,40.9,1.5,bmw,30103930
29,3 Series,2019,27990,Semi-Auto,21738,Diesel,62.8,2,bmw,30031671
30,X1,2018,24990,Semi-Auto,21831,Petrol,37.7,2,bmw,30108030
31,1 Series,2020,31990,Semi-Auto,22197,Petrol,34.5,2,bmw,30211105
32,X5,2020,55990,Semi-Auto,22746,Diesel,33.6,3,bmw,29789274
33,1 Series,2019,25490,Semi-Auto,23128,Petrol,40.4,1.5,bmw,29850068
34,3 Series,2020,27990,Semi-Auto,23892,Petrol,41.5,2,bmw,30227422
35,4 Series,2020,22790,Manual,24291,Petrol,46.3,2,bmw,30211113
