,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
1,1 Series,2019,20899,Manual,13654,Petrol,44.1,1.5,bmw,30255938
2,1 Series,2019,17599,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
3,1 Series,2017,16549,Manual,14934,Diesel,65.7,2.0,bmw,30196758
4,2 Series,2018,19999,Semi-Auto,14943,Petrol,38.2,2.0,bmw,29974769
5,1 Series,2020,21199,Manual,15759,Petrol,44.1,1.5,bmw,30075359
6,5 Series,2020,28299,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
7,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
8,X2,2019,23199,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
9,2 Series,2019,25799,Semi-Auto,17613,Petrol,39.8,3.0,bmw,29950298
10,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
11,3 Series,2019,20999,Semi-Auto,18330,Petrol,51.4,1.5,bmw,30267227
12,1 Series,2019,19199,Manual,18695,Petrol,52.3,1.5,bmw,30168050
13,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
14,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
15,2 Series,2019,18499,Manual,19517,Petrol,52.3,1.5,bmw,30050194
16,1 Series,2018,21499,Semi-Auto,19536,Petrol,None,2.0,bmw,30208769
17,X2,2019,19699,Manual,19706,Diesel,55.4,2.0,bmw,30113650
18,4 Series,2019,25499,Semi-Auto,19774,Petrol,45.6,2.0,bmw,30178630
19,1 Series,2019,17599,Manual,19890,Petrol,None,1.5,bmw,30208694
20,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
21,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
22,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
