,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2019,19299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
1,2 Series,2018,14799,Manual,26436,Diesel,58.9,1.5,bmw,30103605
2,3 Series,2017,19049,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
3,2 Series,2019,19799,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
4,X1,2019,24049,Semi-Auto,27558,Diesel,60.1,2.0,bmw,30113635
5,1 Series,2019,19699,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
6,5 Series,2020,29049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
7,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
8,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
9,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
10,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
11,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
12,4 Series,2018,19549,Semi-Auto,30655,Diesel,70.6,2.0,bmw,30255974
13,4 Series,2016,19999,Semi-Auto,31069,Diesel,60.1,2.0,bmw,29716087
14,1 Series,2017,14549,Manual,31311,Diesel,72.4,1.5,bmw,30260907
15,1 Series,2020,20799,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
16,2 Series,2016,13849,Manual,31457,Petrol,52.3,1.5,bmw,30188186
17,1 Series,2020,22899,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
18,1 Series,2019,16899,Semi-Auto,32265,Petrol,55.5,1.5,bmw,30032933
19,4 Series,2016,19699,Semi-Auto,32332,Diesel,60.1,2.0,bmw,30103811
20,2 Series,2016,14499,Manual,23288,Petrol,48.7,1.5,bmw,30107803
21,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
22,2 Series,2018,18049,Semi-Auto,23693,Diesel,60.1,2.0,bmw,30079722
23,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
24,1 Series,2017,14249,Manual,23846,Diesel,68.9,2.0,bmw,29969087
25,1 Series,2019,16649,Semi-Auto,24220,Petrol,55.5,1.5,bmw,29842527
26,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
27,1 Series,2019,16049,Manual,24385,Petrol,56.5,1.5,bmw,30178512
28,1 Series,2019,19049,Manual,24559,Petrol,44.8,1.5,bmw,30046145
29,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
30,5 Series,2019,28049,Semi-Auto,36407,Diesel,None,3.0,bmw,30208638
31,X1,2017,20049,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
32,1 Series,2018,16349,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
33,1 Series,2018,14049,Manual,37603,Diesel,None,2.0,bmw,30208770
34,X3,2017,19949,Semi-Auto,38200,Diesel,54.3,2.0,bmw,30132494
35,1 Series,2018,18199,Semi-Auto,38573,Petrol,36.7,1.5,bmw,30132615
36,1 Series,2017,13649,Manual,38681,Petrol,53.3,1.5,bmw,30251171
37,1 Series,2020,20849,Manual,38932,Diesel,54.3,1.5,bmw,30132492
38,4 Series,2019,23049,Semi-Auto,39026,Diesel,47.1,2.0,bmw,30233446
39,1 Series,2018,16849,Semi-Auto,39297,Petrol,None,1.5,bmw,30208547
