,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2020,23000,Automatic,23500,Petrol,42.8,1.5,bmw,30148349
1,4 Series,2017,23995,Automatic,49000,Diesel,49.6,3.0,bmw,28834708
2,6 Series,2014,18495,Automatic,63000,Diesel,None,3.0,bmw,27016597
3,5 Series,2013,6495,Manual,78000,Diesel,62.8,2.0,bmw,30255312
4,5 Series,2013,7195,Manual,150000,Diesel,62.8,2.0,bmw,26971362
5,X4,2019,32995,Automatic,25250,Diesel,42.8,2.0,bmw,29949262
6,2 Series,2019,18199,Manual,10365,Petrol,40.9,1.5,bmw,30079702
7,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
8,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
9,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
10,1 Series,2020,24249,Manual,10964,Petrol,41.5,1.5,bmw,30161978
11,1 Series,2021,22299,Manual,10996,Diesel,58.9,1.5,bmw,30155455
12,1 Series,2020,23299,Manual,11313,Petrol,41.5,1.5,bmw,30112190
13,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
14,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
15,1 Series,2019,20899,Manual,13654,Petrol,44.1,1.5,bmw,30255938
16,1 Series,2017,16549,Manual,14934,Diesel,65.7,2.0,bmw,30196758
17,2 Series,2018,19999,Semi-Auto,14943,Petrol,38.2,2.0,bmw,29974769
18,1 Series,2020,21199,Manual,15759,Petrol,44.1,1.5,bmw,30075359
19,5 Series,2020,28299,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
20,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
21,1 Series,2019,21849,Manual,25147,Petrol,41.5,1.5,bmw,30167930
22,i3,2015,9299,Grey,Electric,Automatic,25550,,bmw,29534154
23,3 Series,2018,20949,Semi-Auto,25887,Petrol,47.9,2.0,bmw,29860496
24,2 Series,2019,19299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
25,2 Series,2018,14799,Manual,26436,Diesel,58.9,1.5,bmw,30103605
26,3 Series,2017,19049,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
27,2 Series,2019,19799,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
28,X1,2019,24049,Semi-Auto,27558,Diesel,60.1,2.0,bmw,30113635
29,1 Series,2019,19699,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
30,5 Series,2020,29049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
31,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
32,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
33,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
34,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
35,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
36,4 Series,2018,19549,Semi-Auto,30655,Diesel,70.6,2.0,bmw,30255974
37,4 Series,2016,19999,Semi-Auto,31069,Diesel,60.1,2.0,bmw,29716087
38,1 Series,2017,14549,Manual,31311,Diesel,72.4,1.5,bmw,30260907
39,1 Series,2020,20799,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
40,2 Series,2016,13849,Manual,31457,Petrol,52.3,1.5,bmw,30188186
41,1 Series,2020,22899,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
42,1 Series,2019,16899,Semi-Auto,32265,Petrol,55.5,1.5,bmw,30032933
43,4 Series,2016,19699,Semi-Auto,32332,Diesel,60.1,2.0,bmw,30103811
44,2 Series,2016,15199,Automatic,32683,Diesel,65.7,2.0,bmw,29981238
