,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2018,18999,Automatic,38525,Petrol,48.7,2.0,bmw,29922542
1,X5,2021,61999,Automatic,23015,Petrol/Electric,None,3.0,bmw,30184636
2,3 Series,2014,12495,Automatic,45875,Petrol,47.1,0,bmw,30145447
3,1 Series,2015,10995,Manual,60247,Diesel,65.7,2.0,bmw,29680899
4,1 Series,2015,9295,Manual,70330,Diesel,74.3,1.6,bmw,30233075
5,3 Series,2015,10995,Manual,89635,Diesel,60.1,2.0,bmw,29825225
6,2 Series,2022,31799,Semi-Auto,7675,Diesel,55.4,2.0,bmw,30111756
7,2 Series,2019,21199,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
8,2 Series,2020,23249,Semi-Auto,9234,Petrol,None,1.5,bmw,30208398
9,3 Series,2018,23399,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
10,2 Series,2019,18199,Manual,10365,Petrol,40.9,1.5,bmw,30079702
11,1 Series,2020,24249,Manual,10964,Petrol,41.5,1.5,bmw,30161978
12,1 Series,2021,22299,Manual,10996,Diesel,58.9,1.5,bmw,30155455
13,1 Series,2020,23299,Manual,11313,Petrol,41.5,1.5,bmw,30112190
14,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
15,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
16,1 Series,2019,20899,Manual,13654,Petrol,44.1,1.5,bmw,30255938
17,1 Series,2019,17599,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
18,1 Series,2017,16549,Manual,14934,Diesel,65.7,2.0,bmw,30196758
19,2 Series,2018,19999,Semi-Auto,14943,Petrol,38.2,2.0,bmw,29974769
20,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
21,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
22,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
23,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
24,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
25,1 Series,2019,21849,Manual,25147,Petrol,41.5,1.5,bmw,30167930
26,i3,2015,9299,Grey,Electric,Automatic,25550,,bmw,29534154
27,3 Series,2018,20949,Semi-Auto,25887,Petrol,47.9,2.0,bmw,29860496
28,2 Series,2019,19299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
29,2 Series,2018,14799,Manual,26436,Diesel,58.9,1.5,bmw,30103605
30,3 Series,2017,19049,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
31,2 Series,2019,19799,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
32,X1,2019,24049,Semi-Auto,27558,Diesel,60.1,2.0,bmw,30113635
33,1 Series,2019,19699,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
34,5 Series,2020,29049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
35,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
36,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
37,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
38,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
39,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
40,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
41,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
42,1 Series,2021,26699,Semi-Auto,21923,Diesel,51.4,2.0,bmw,30111762
43,1 Series,2019,23849,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
44,X1,2019,24299,Semi-Auto,22193,Petrol,39.2,2.0,bmw,30075201
45,1 Series,2020,22249,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
46,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
47,1 Series,2020,22349,Manual,22862,Petrol,41.5,1.5,bmw,30260985
48,2 Series,2016,14499,Manual,23288,Petrol,48.7,1.5,bmw,30107803
49,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
50,X2,2018,18049,Manual,33057,Diesel,55.4,2.0,bmw,30178428
51,3 Series,2017,14849,Manual,33801,Petrol,48.7,2.0,bmw,30188272
52,2 Series,2018,23949,Semi-Auto,33918,Petrol,None,3.0,bmw,30208569
53,X2,2018,22949,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
54,X1,2019,23049,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
55,3 Series,2019,20949,Semi-Auto,34824,Petrol,48.7,2.0,bmw,30008815
56,1 Series,2019,18449,Semi-Auto,35169,Petrol,54.3,1.5,bmw,30079688
57,2 Series,2018,18049,Semi-Auto,35359,Petrol,48.7,2.0,bmw,30225496
58,1 Series,2018,15549,Manual,36308,Diesel,None,2.0,bmw,30208600
59,5 Series,2019,28049,Semi-Auto,36407,Diesel,None,3.0,bmw,30208638
60,3 Series,2018,20949,Semi-Auto,25887,Petrol,47.9,2.0,bmw,29860496
61,1 Series,2018,13799,Manual,26094,Diesel,78.5,1.5,bmw,30113641
62,5 Series,2018,27299,Semi-Auto,26203,Diesel,44.1,2.0,bmw,30103814
