,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,i3,2015,9299,Grey,Electric,Automatic,25550,,bmw,29534154
1,i3,2020,18350,Blue,Electric,Automatic,20110,,bmw,30181066
2,i3,2019,20989,Capparis,Electric,Automatic,24000,,bmw,30186820
3,i3,2018,17450,IMPERIAL,Electric,Automatic,15000,,bmw,30033666
4,X3,2022,53000,Grey,Electric,Automatic,4576,,bmw,30129889
5,X3,2022,47200,Black,Electric,Automatic,8607,,bmw,30125914
6,i3,2019,13000,Gold/Black,Electric,Automatic,87000,,bmw,30113274
7,i3,2020,18500,Black,Electric,Automatic,24235,,bmw,29790175
8,iX,2022,91995,Sapphire,Electric,Automatic,1850,,bmw,29758374
9,X3,2022,56995,Grey,Electric,Automatic,4500,,bmw,30240433
10,i3,2020,19495,Grey,Electric,Automatic,20194,,bmw,30102366
11,iX,2022,67890,Red,Electric,Automatic,3789,,bmw,29450886
12,X3,2022,52890,White,Electric,Automatic,12683,,bmw,29450846
13,i3,2018,19990,White,Electric,Automatic,12755,,bmw,29450954
14,X3,2021,44890,White,Electric,Automatic,16520,,bmw,29450931
15,i3,2020,18990,Grey,Electric,Automatic,5110,,bmw,30168089
16,i3,2020,19854,White,Electric,Automatic,16200,,bmw,29965971
17,i3,2022,28950,Blue,Electric,Automatic,561,,bmw,30205546
18,iX,2022,62450,Grey,Electric,Automatic,2867,,bmw,30051115
19,X3,2022,53950,Blue,Electric,Automatic,10259,,bmw,30051114
20,i3,2016,13950,Silver,Electric,Automatic,12599,,bmw,30198241
21,i3,2018,17950,Red,Electric,Automatic,18333,,bmw,30264295
22,i3,2015,11989,Arravani,Electric,Automatic,25929,,bmw,29472253
23,X3,2021,48500,White,Electric,Automatic,10146,,bmw,30087453
24,X3,2022,52500,Black,Electric,Automatic,10,,bmw,29867229
25,iX,10,61500,SUV,Automatic,White,10,e,bmw,29602315
26,iX,12,82500,SUV,Automatic,Unknown,12,e,bmw,29847590
27,iX,"2,500",84500,SUV,Automatic,Black,2500,e,bmw,30151210
28,i4,2022,61949,White,Electric,Automatic,5963,,bmw,29142509
29,i3,2019,18000,Blue,Electric,Automatic,28105,,bmw,29958724
30,iX,2022,61500,Blue,Electric,Automatic,4935,,bmw,30269515
31,i3,2020,20150,Blue,Electric,Automatic,13948,,bmw,30213080
32,iX,2022,61990,Grey,Electric,Automatic,9290,,bmw,29684042
33,i4,2022,55990,Grey,Electric,Automatic,2011,,bmw,29910677
34,i3,2018,14989,Grey,Electric,Automatic,22946,,bmw,29873967
35,X3,2022,49950,Blue,Electric,Automatic,2062,,bmw,29826570
36,i4,2022,51450,Red,Electric,Automatic,4695,,bmw,29803538
37,i4,2022,55950,Grey,Electric,Automatic,25876,,bmw,30264313
38,i3,2020,18450,White,Electric,Automatic,29466,,bmw,29994810
39,i4,2022,52750,Black,Electric,Automatic,4316,,bmw,29882361
40,Other,2023,114950,Black,Electric,Automatic,6922,,bmw,30224220
41,X3,2021,47950,White,Electric,Automatic,7082,,bmw,30034110
42,i3,2017,16450,Red,Electric,Automatic,18196,,bmw,29786131
43,i3,2015,11950,Silver,Electric,Automatic,41213,,bmw,29793197
44,i3,"18,628",13795,Hatchback,Automatic,BLUE,18628,e,bmw,30193284
45,X3,2021,44945,White,Electric,Automatic,5983,,bmw,29994481
46,i3,2015,9495,Silver,Electric,Automatic,84000,,bmw,29805302
47,i3,2015,11995,Grey,Electric,Automatic,24467,,bmw,29649312
48,i3,2015,12795,Silver,Electric,Automatic,29054,,bmw,29335953
49,iX,2022,62990,Blue,Electric,Automatic,4782,,bmw,29668166
50,i3,2022,24950,Black,Electric,Automatic,5930,,bmw,29808430
51,i4,2022,51950,Black,Electric,Automatic,8950,,bmw,29090099
52,i4,2022,47950,Black,Electric,Automatic,4615,,bmw,30158539
53,i4,2022,48950,Black,Electric,Automatic,6098,,bmw,30158540
54,i3,2019,22995,Grey,Electric,Automatic,13000,,bmw,30260050
55,i3,2015,14495,Silver,Electric,Automatic,19000,,bmw,30260055
56,Other,2022,81850,Grey,Electric,Automatic,3883,,bmw,29752550
57,Other,2022,55850,Blue,Electric,Automatic,3892,,bmw,30093370
58,Other,2022,62500,Blue,Electric,Automatic,8006,,bmw,29153996
59,i3,2021,20650,Blue,Electric,Automatic,10062,,bmw,29988703
60,i3,2020,18850,White,Electric,Automatic,11427,,bmw,30181046
61,i3,2019,18750,Red,Electric,Automatic,11456,,bmw,30111530
62,i3,2021,22950,White,Electric,Automatic,6260,,bmw,30151221
63,X3,2022,49650,Black,Electric,Automatic,8216,,bmw,30092121
64,i3,2019,22500,Blue,Electric,Automatic,10223,,bmw,30210705
65,i3,2020,18500,White,Electric,Automatic,28798,,bmw,30235893
66,i3,2020,15999,Red,Electric,Automatic,17000,,bmw,30273008
67,Other,2022,49350,White,Electric,Automatic,5952,,bmw,29847753
68,Other,2022,64850,Black,Electric,Automatic,6332,,bmw,30093401
69,i3,2021,24500,Grey,Electric,Automatic,6844,,bmw,29932738
70,i3,2021,24500,Blue,Electric,Automatic,13228,,bmw,30047576
71,i3,2021,21750,Grey,Electric,Automatic,15809,,bmw,30051350
72,i3,2020,17950,Blue,Electric,Automatic,23063,,bmw,30111544
73,X3,2022,51500,Black,Electric,Automatic,5109,,bmw,30269690
74,i3,2014,10345,Grey,Electric,Automatic,59261,,bmw,29497085
75,i3,2019,17950,Blue,Electric,Automatic,12000,,bmw,30017968
76,iX,2022,79950,Red,Electric,Automatic,6956,,bmw,29870003
77,i3,2020,18940,Blue,Electric,Automatic,8609,,bmw,30069146
78,i3,2018,16940,Grey,Electric,Automatic,12599,,bmw,29469828
79,iX,2022,61900,Black,Electric,Automatic,5219,,bmw,30236940
80,i3,2018,15000,Grey,Electric,Automatic,60330,,bmw,30163972
81,i3,2020,18750,White,Electric,Automatic,29654,,bmw,30032335
82,X3,2021,43950,Black,Electric,Automatic,11216,,bmw,30275089
83,iX,2022,61850,Blue,Electric,Automatic,4194,,bmw,29562256
84,i3,2020,22440,Grey,Electric,Automatic,7320,,bmw,30108979
85,i3,2020,17750,White,Electric,Automatic,17441,,bmw,30032336
86,i3,2020,18440,Grey,Electric,Automatic,23379,,bmw,29986994
87,iX,2021,53950,Grey,Electric,Automatic,25859,,bmw,30108976
88,X3,2022,46990,Other,Electric,Automatic,11826,,bmw,29759102
89,X3,2022,51990,Other,Electric,Automatic,5659,,bmw,29994474
90,X3,2022,52950,Other,Electric,Automatic,5974,,bmw,29725249
91,i3,2022,25950,Capparis,Electric,Automatic,3552,,bmw,29102349
92,X3,2022,49000,SUV,Electric,Automatic,13000,,bmw,30106445
93,iX,2022,88000,Black,Electric,Automatic,1508,,bmw,29382712
94,iX,2022,83990,Black,Electric,Automatic,4500,,bmw,29796212
95,X5,2022,65650,Phytonic,Electric,Automatic,5888,,bmw,29632604
96,i4,2022,46500,Alpine,Electric,Automatic,8196,,bmw,29632602
97,X3,2022,49000,Blue,Electric,Automatic,6650,,bmw,30213390
