,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
1,2 Series,2018,17349,Automatic,47364,Hybrid,113,1.5,bmw,30032964
2,2 Series,2019,17899,Automatic,57195,Hybrid,113,1.5,bmw,29950236
3,2 Series,2018,15799,Automatic,65832,Hybrid,113,1.5,bmw,29968966
4,i3,2015,11990,Automatic,73000,Hybrid,470.8,0.6,bmw,29496253
5,3 Series,2019,22000,Automatic,34732,Petrol,8.8,2.0,bmw,30198200
6,X5,2017,27400,Automatic,73072,Petrol,85.6,2.0,bmw,30126127
7,3 Series,2020,21500,Automatic,76872,Petrol,8.8,2.0,bmw,30140394
8,3 Series,2019,25900,Automatic,20325,Petrol,8.8,2.0,bmw,29952216
9,3 Series,2019,25500,Automatic,29485,Petrol,8.8,2.0,bmw,30274746
10,5 Series,2018,21700,Automatic,48224,Petrol,156.9,2.0,bmw,30202523
11,3 Series,2019,29000,Automatic,9701,Petrol,8.8,2.0,bmw,30282878
12,5 Series,2020,28500,Automatic,16101,Petrol,156.9,2.0,bmw,30202519
13,2 Series,2019,19299,Automatic,31658,Hybrid,113,1.5,bmw,30262676
14,3 Series,2018,15340,Automatic,57000,Petrol,148.7,2.0,bmw,30038367
15,3 Series,2018,16240,Automatic,65000,Petrol,134.5,2.0,bmw,30120921
16,3 Series,2018,15780,Automatic,68000,Petrol,134.5,2.0,bmw,30087369
17,3 Series,2019,19480,Automatic,101000,Petrol,8.8,2.0,bmw,29429814
18,5 Series,2018,15480,Automatic,111000,Petrol,156.9,2.0,bmw,30174885
19,5 Series,2020,26880,Automatic,82000,Petrol,134.5,2.0,bmw,30269434
20,3 Series,2020,28500,Automatic,10307,Petrol,8.8,2.0,bmw,30092292
21,3 Series,2020,26500,Automatic,25504,Petrol,8.8,2.0,bmw,30152730
22,3 Series,2019,26000,Automatic,26479,Petrol,8.8,2.0,bmw,30114790
23,3 Series,2016,17000,Automatic,27739,Petrol,134.5,2.0,bmw,30087604
24,3 Series,2019,25000,Automatic,29560,Petrol,8.8,2.0,bmw,30259169
25,3 Series,2021,26800,Automatic,44401,Diesel,56.5,2.0,bmw,30122093
26,3 Series,2019,20500,Automatic,68771,Petrol,8.8,2.0,bmw,30259161
27,3 Series,2019,20500,Automatic,71909,Petrol,8.8,2.0,bmw,30259167
28,5 Series,2020,31000,Automatic,18219,Diesel,47.9,2.0,bmw,30224564
29,3 Series,2020,22900,Automatic,66430,Diesel,52.3,2.0,bmw,30185823
30,3 Series,2020,26000,Automatic,32143,Petrol,8.8,2.0,bmw,30277991
31,3 Series,2016,16950,Automatic,22305,Petrol,134.5,2.0,bmw,30202339
32,3 Series,2020,22500,Automatic,67212,Petrol,8.8,2.0,bmw,30185834
33,5 Series,2020,31000,Automatic,18219,Diesel,47.9,2.0,bmw,30224564
34,3 Series,2019,22700,Automatic,59211,Petrol,8.8,2.0,bmw,30269717
35,5 Series,2019,21500,Automatic,78398,Petrol,156.9,2.0,bmw,30252869
36,3 Series,2019,22900,Automatic,53771,Petrol,8.8,2.0,bmw,30157273
37,5 Series,2019,22000,Automatic,64291,Petrol,156.9,2.0,bmw,30282762
38,3 Series,2017,13300,Automatic,99293,Petrol,134.5,2.0,bmw,30282763
39,i8,2014,43948,Automatic,13000,Hybrid,134.5,1.5,bmw,29757843
40,i8,2016,42948,Automatic,39000,Hybrid,134.5,1.5,bmw,29878156
41,2 Series,2018,19699,Automatic,26512,Hybrid,113,1.5,bmw,30193582
42,3 Series,2022,29995,Semi-Auto,2200,Hybrid,188.3,2,bmw,30002163
43,3 Series,2021,28995,Semi-Auto,16500,Hybrid,56.5,2,bmw,30108197
44,i3,2018,19360,Automatic,12529,Hybrid,None,0,bmw,29072954
45,X3,2023,60500,Automatic,1153,Petrol,30.7,3.0,bmw,30120909
46,X4,2023,58000,Automatic,1913,Diesel,42.8,3.0,bmw,30252650
47,X3,2022,45750,Automatic,2792,Diesel,47.1,2.0,bmw,30179954
48,X5,2023,67500,Automatic,4912,Diesel,34.9,3.0,bmw,30087360
49,3 Series,2022,40500,Automatic,10500,Petrol,156.9,2.0,bmw,30033616
50,3 Series,2021,38500,Automatic,12157,Petrol,156.9,2.0,bmw,30087358
51,X5,2021,58000,Automatic,15079,Diesel,34.9,3.0,bmw,29861441
52,X5,2021,60000,Automatic,17312,Petrol,188.3,3.0,bmw,30252657
53,i3,2017,14000,Multicolour,Petrol,Automatic,None,,bmw,29027513
54,X5,2022,56500,Automatic,22807,Diesel,34.9,3.0,bmw,29847479
55,i3,2018,16500,Grey,Petrol,Automatic,None,,bmw,29668321
56,3 Series,2021,36000,Automatic,34999,Diesel,43.5,3.0,bmw,30087342
57,X6,2020,51000,Automatic,39894,Petrol,26.4,3.0,bmw,30192040
58,X3,2022,56500,Automatic,6500,Petrol,30.7,3.0,bmw,30274419
59,3 Series,2020,28000,Automatic,16154,Petrol,8.8,2.0,bmw,30253876
60,3 Series,2020,28700,Automatic,17358,Petrol,188.3,2.0,bmw,30043295
61,5 Series,2020,27000,Automatic,22554,Diesel,49.6,2.0,bmw,30121025
62,3 Series,2021,28400,Automatic,24286,Diesel,56.5,2.0,bmw,30093387
63,3 Series,2020,25500,Automatic,29067,Petrol,188.3,2.0,bmw,30152713
64,3 Series,2019,25000,Automatic,31089,Petrol,8.8,2.0,bmw,30151309
65,3 Series,2019,25000,Automatic,31234,Petrol,8.8,2.0,bmw,30252760
66,3 Series,2019,25000,Automatic,31267,Petrol,8.8,2.0,bmw,30081894
67,5 Series,2018,23900,Automatic,33925,Petrol,156.9,2.0,bmw,30174940
68,3 Series,2020,25000,Automatic,34199,Petrol,8.8,2.0,bmw,30252772
69,3 Series,2020,23900,Automatic,51435,Diesel,52.3,2.0,bmw,30092175
70,3 Series,2019,20900,Automatic,67554,Petrol,8.8,2.0,bmw,30087844
71,3 Series,2020,19300,Automatic,74404,Petrol,8.8,2.0,bmw,30242276
72,3 Series,2019,26100,Automatic,18505,Petrol,8.8,2.0,bmw,29988214
73,5 Series,2019,26500,Automatic,25248,Petrol,156.9,2.0,bmw,30269587
74,5 Series,2020,26500,Automatic,25993,Diesel,49.6,2.0,bmw,30237271
75,3 Series,2019,25000,Automatic,34052,Petrol,8.8,2.0,bmw,30210751
76,3 Series,2021,35900,Automatic,34793,Diesel,43.5,3.0,bmw,30235926
77,2 Series,2017,15900,Automatic,36050,Petrol,141.2,1.5,bmw,30223120
78,3 Series,2019,24000,Automatic,40795,Petrol,8.8,2.0,bmw,30223121
79,3 Series,2019,24000,Automatic,41871,Petrol,8.8,2.0,bmw,30185723
80,3 Series,2019,23500,Automatic,44625,Petrol,8.8,2.0,bmw,30170140
81,5 Series,2019,22200,Automatic,59062,Petrol,156.9,2.0,bmw,30223138
82,3 Series,2017,14500,Automatic,63122,Petrol,134.5,2.0,bmw,30247569
83,3 Series,2020,29300,Automatic,7272,Petrol,188.3,2.0,bmw,29900149
84,5 Series,2019,27150,Automatic,15691,Diesel,49.6,2.0,bmw,30131446
85,3 Series,2018,17200,Automatic,38551,Petrol,134.5,2.0,bmw,30101198
86,3 Series,2019,22800,Automatic,50392,Petrol,8.8,2.0,bmw,30198054
87,3 Series,2019,23000,Automatic,52639,Petrol,8.8,2.0,bmw,30210742
88,3 Series,2020,28500,Automatic,14397,Petrol,8.8,2.0,bmw,30252771
89,5 Series,2019,23100,Automatic,19404,Petrol,156.9,2.0,bmw,30252778
90,3 Series,2018,21700,Automatic,19815,Petrol,None,2.0,bmw,30269586
91,i3,2017,10700,White,Petrol,Automatic,None,,bmw,30269621
92,3 Series,2021,29300,Automatic,23806,Petrol,188.3,2.0,bmw,30282620
93,3 Series,2019,26800,Automatic,29538,Petrol,8.8,2.0,bmw,30282625
94,5 Series,2018,23200,Automatic,35235,Petrol,156.9,2.0,bmw,30176980
95,3 Series,2020,25900,Automatic,36044,Diesel,52.3,2.0,bmw,30174951
96,i3,2014,12800,Automatic,29170,Hybrid,470.8,0.6,bmw,29874163
97,i3,2016,12800,Automatic,38490,Hybrid,470.8,0.6,bmw,30012832
98,2 Series,2019,17200,Automatic,54550,Petrol,113,1.5,bmw,30177093
99,3 Series,2018,12000,Automatic,129680,Petrol,134.5,2.0,bmw,30229849
100,i8,2015,41995,Automatic,26000,Petrol/Electric,134.5,1.5,bmw,29384516
101,i3,2015,14995,Automatic,29500,Petrol/Electric,470.8,0.6,bmw,29832034
102,3 Series,2021,27950,Automatic,37079,Petrol/Electric,188.3,2,bmw,29290608
103,3 Series,2017,16500,Automatic,64110,Petrol,134.5,2.0,bmw,30252829
104,5 Series,2017,19900,Automatic,67670,Petrol,156.9,2.0,bmw,30252822
105,5 Series,2018,20900,Automatic,70690,Petrol,156.9,2.0,bmw,30092225
106,3 Series,2019,19500,Automatic,93140,Petrol,8.8,2.0,bmw,30223182
107,3 Series,2019,18000,Automatic,116780,Petrol,8.8,2.0,bmw,30223183
108,2 Series,2022,37995,Automatic,203,Hybrid,None,1.5,bmw,30240431
109,X2,2023,39995,Semi-Auto,2000,Hybrid,156.9,1.5,bmw,30190398
110,5 Series,2022,42995,Semi-Auto,3000,Hybrid,51.4,2,bmw,30240429
111,2 Series,2022,35995,Semi-Auto,10428,Hybrid,44.1,2,bmw,29450676
112,3 Series,2021,35995,Semi-Auto,12922,Hybrid,188.3,2,bmw,29962608
113,2 Series,2019,22995,Automatic,20000,Hybrid,113,1.5,bmw,29678238
114,5 Series,2020,34995,Semi-Auto,30246,Hybrid,47.9,2,bmw,29755174
115,X5,2021,59995,Semi-Auto,39189,Hybrid,188.3,3,bmw,30233620
116,3 Series,2021,27995,Semi-Auto,39743,Hybrid,56.5,2,bmw,29618545
117,X5,2019,53995,Semi-Auto,40325,Hybrid,188.3,3,bmw,29986167
118,3 Series,2020,33995,Semi-Auto,40415,Hybrid,8.8,2,bmw,30128953
119,4 Series,2022,39995,Semi-Auto,7414,Hybrid,57.7,2,bmw,29869587
120,5 Series,2022,44495,Semi-Auto,10030,Hybrid,156.9,2,bmw,29450717
121,X3,2021,45995,Semi-Auto,14802,Hybrid,None,2,bmw,30272486
122,X3,2020,41995,Semi-Auto,45918,Hybrid,None,2,bmw,30168088
123,5 Series,2022,46990,Semi-Auto,6912,Hybrid,156.9,2,bmw,29811161
124,X5,2021,57390,Semi-Auto,7882,Hybrid,37.7,3,bmw,29765942
125,4 Series,2022,44990,Semi-Auto,7985,Hybrid,57.7,2,bmw,29811157
126,4 Series,2022,49890,Semi-Auto,8512,Hybrid,47.1,3,bmw,29450891
127,5 Series,2022,38490,Semi-Auto,8694,Hybrid,51.4,2,bmw,30098802
128,X6,2021,58990,Semi-Auto,18297,Hybrid,36.2,3,bmw,30051919
129,X3,2021,38890,Semi-Auto,19425,Hybrid,44.1,2,bmw,30015446
130,2 Series,2019,24990,Automatic,29833,Hybrid,113,1.5,bmw,29789276
131,2 Series,2019,22890,Automatic,32459,Hybrid,113,1.5,bmw,29645523
132,3 Series,2019,27890,Semi-Auto,32677,Hybrid,8.8,2,bmw,29450969
133,5 Series,2020,29990,Semi-Auto,40261,Hybrid,47.9,2,bmw,30031673
134,5 Series,2020,27990,Semi-Auto,42821,Hybrid,49.6,2,bmw,30173930
135,X5,2020,58490,Semi-Auto,48409,Hybrid,188.3,3,bmw,30190748
136,4 Series,2022,40390,Semi-Auto,12650,Hybrid,53.3,2,bmw,29727260
137,3 Series,2020,28995,Automatic,68648,Hybrid,188.3,2.0,bmw,30186944
138,5 Series,2018,19999,Semi-Auto,58550,Hybrid,156.9,2,bmw,30213387
139,3 Series,2017,14798,Semi-Auto,62056,Hybrid,134.5,2,bmw,30025063
140,3 Series,2018,16800,Semi-Auto,73367,Hybrid,None,2,bmw,30260635
141,X4,2020,37290,Automatic,21215,Hybrid,44.1,2.0,bmw,30082535
142,X3,2021,35790,Automatic,25005,Hybrid,44.1,2.0,bmw,29800327
143,2 Series,2019,18750,Automatic,43066,Hybrid,113,1.5,bmw,30101549
144,X3,2021,37350,Automatic,16044,Hybrid,44.1,2.0,bmw,30101538
145,3 Series,2021,38154,Automatic,24703,Hybrid,35.8,3.0,bmw,30275946
146,3 Series,2019,25343,Automatic,28458,Hybrid,8.8,2.0,bmw,30231384
147,2 Series,2019,18537,Automatic,30741,Hybrid,148.7,1.5,bmw,30244091
148,2 Series,2018,19342,Automatic,31704,Hybrid,113,1.5,bmw,30088149
149,X3,2021,33850,Automatic,31831,Hybrid,44.1,2.0,bmw,29873310
150,5 Series,2019,26157,Automatic,35263,Hybrid,156.9,2.0,bmw,30159399
151,4 Series,2021,39718,Automatic,36586,Hybrid,None,3.0,bmw,30122175
152,5 Series,2019,24783,Automatic,43830,Hybrid,None,2.0,bmw,30187645
153,3 Series,2019,23232,Automatic,49709,Hybrid,8.8,2.0,bmw,30211621
154,5 Series,2017,18686,Automatic,53422,Hybrid,156.9,2.0,bmw,30237531
155,5 Series,2018,20048,Automatic,58824,Hybrid,156.9,2.0,bmw,30159372
156,3 Series,2020,27563,Automatic,66650,Hybrid,156.9,2.0,bmw,30231374
157,3 Series,2018,15350,Automatic,79322,Hybrid,134.5,2.0,bmw,29890238
