,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2018,19769,Semi-Auto,43200,Diesel,40.4,2,volkswagen,29917413
1,Golf,2012,8750,Automatic,61000,Petrol,47.1,1.4,volkswagen,30117056
2,Passat,2017,9950,Manual,106000,Diesel,67.3,2.0,volkswagen,30107207
3,CC,2015,8250,Automatic,112000,Diesel,54.3,2.0,volkswagen,30123008
4,Touran,2009,3490,Automatic,132000,Diesel,42.8,2.0,volkswagen,29971903
5,Polo,2012,7450,Manual,51000,Petrol,47.9,1.4,volkswagen,30284323
6,Golf,2014,8995,Manual,67000,Petrol,53.3,1.4,volkswagen,30311641
7,Golf,2015,10950,Automatic,75000,Petrol,56.5,1.4,volkswagen,30316585
8,Polo,2012,5990,Manual,81000,Petrol,47.9,1.4,volkswagen,30293983
9,Golf,2013,7990,Manual,82000,Petrol,53.3,1.4,volkswagen,29820280
10,Golf,2017,16999,Automatic,70000,Diesel,57.7,2.0,volkswagen,29971621
11,Passat,2013,6499,Manual,81000,Diesel,64.2,1.6,volkswagen,29486679
12,Polo,2015,6999,Manual,92500,Petrol,60.1,1.2,volkswagen,30244535
13,Up,2014,3999,Manual,98500,Petrol,62.8,1.0,volkswagen,29411247
14,Polo,2004,2975,Automatic,60000,Petrol,37.2,1.4,volkswagen,30207098
15,Polo,2008,2275,Manual,86000,Petrol,48.7,1.2,volkswagen,30173808
16,Polo,2009,2495,Manual,108000,Petrol,48.7,1.2,volkswagen,30280296
17,Sharan,2006,2495,Automatic,125211,Diesel,36.2,1.9,volkswagen,30173791
18,Polo,2014,6485,Manual,87891,Diesel,83.1,1.4,volkswagen,30207816
19,Golf,2012,5285,Manual,105219,Diesel,65.7,2.0,volkswagen,29597158
20,Passat,2006,2995,Automatic,124000,Diesel,42.2,2.0,volkswagen,27020413
21,Tiguan,2019,30234,Semi-Auto,7483,Diesel,45.6,2,volkswagen,30333990
22,Tiguan,2018,25842,Semi-Auto,13822,Diesel,49.6,2,volkswagen,30243614
23,Golf,2010,7995,Automatic,46117,Petrol,47.1,1.4,volkswagen,30161648
24,Golf,2017,11995,Automatic,79822,Diesel,67.3,2.0,volkswagen,29949545
25,Golf,2018,12485,Manual,52171,Petrol,54.3,1.4,volkswagen,30343715
26,Golf,2014,6995,Manual,144000,Diesel,67.3,2.0,volkswagen,30332692
27,Sharan,2020,21299,Manual,28381,Petrol,35.3,1.4,volkswagen,29993021
28,Polo,2016,14000,Semi-Auto,28789,Petrol,60.1,1.2,volkswagen,30309892
29,Golf SV,2016,8950,Manual,22849,Petrol,55.4,1.4,volkswagen,29969818
30,Up,2019,13850,Manual,32293,Petrol,50.4,1.0,volkswagen,30043228
31,T-Roc,2019,12450,Manual,32951,Diesel,50.4,1.6,volkswagen,30310582
32,Tiguan,2016,17950,Automatic,45187,Diesel,49.6,2.0,volkswagen,30274503
33,Golf,2015,11450,Manual,85374,Diesel,67.3,2.0,volkswagen,30038422
34,Golf,2011,5485,Automatic,92580,Petrol,None,1.4,volkswagen,29951604
35,Golf,2013,10950,Automatic,95496,Petrol,35.3,2.0,volkswagen,29764882
36,Polo,2014,7995,Manual,63134,Diesel,60.1,1.4,volkswagen,30099874
37,Tiguan,2012,7795,Manual,107348,Diesel,47.1,2.0,volkswagen,28733572
38,Sharan,2011,11995,Automatic,15000,Petrol,None,1.4,volkswagen,29883089
39,Golf,2021,24549,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
40,Up,2019,11049,Manual,7359,Petrol,54.3,1.0,volkswagen,30267174
41,Up,2018,12049,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
42,Polo,2021,16699,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
43,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
