,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2016,8899,Manual,12085,Petrol,62.8,1.0,volkswagen,30308010
1,Polo,2016,14899,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
2,Polo,2020,16049,Manual,12652,Petrol,51.4,1.0,volkswagen,30308044
3,Polo,2020,16149,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
4,T-Cross,2021,21549,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
5,Polo,2016,12299,Manual,13093,Petrol,58.9,1.0,volkswagen,30188245
6,T-Roc,2021,22549,Manual,13124,Petrol,46.3,1.0,volkswagen,30050294
7,Polo,2021,18049,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
8,Polo,2016,12449,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
9,Polo,2018,17299,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
10,T-Roc,2019,23399,Semi-Auto,15750,Petrol,43.5,1.5,volkswagen,30289996
11,Polo,2018,14749,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
12,T-Cross,2020,18199,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
13,Polo,2020,15999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
14,Polo,2021,16549,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
15,Polo,2018,15349,Manual,16678,Petrol,52.3,1.0,volkswagen,30251332
16,T-Cross,2019,17049,Manual,16764,Petrol,48.7,1.0,volkswagen,30188278
17,Polo,2020,15449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
18,T-Cross,2020,18049,Manual,17069,Petrol,None,1.0,volkswagen,30208719
19,Up,2021,12799,Manual,17163,Petrol,54.3,1.0,volkswagen,30050173
20,Polo,2020,15449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
21,T-Cross,2020,18049,Manual,17069,Petrol,None,1.0,volkswagen,30208719
22,Up,2021,12799,Manual,17163,Petrol,54.3,1.0,volkswagen,30050173
23,T-Cross,2020,18049,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
24,Golf,2019,22699,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
25,Golf,2021,22049,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
26,Polo,2020,20049,Semi-Auto,18047,Petrol,39.8,2.0,volkswagen,29916045
27,Up,2019,9599,Manual,18212,Petrol,54.3,1.0,volkswagen,30042543
28,T-Roc,2020,22299,Manual,18227,Petrol,44.8,1.5,volkswagen,30290022
29,Polo,2020,15949,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
30,Up,2019,9799,Manual,18959,Petrol,None,1.0,volkswagen,30208686
31,T-Roc,2019,18049,Manual,18986,Petrol,44.8,1.0,volkswagen,30308011
32,Polo,2020,15549,Manual,19106,Petrol,51.4,1.0,volkswagen,30281118
33,Up,2018,11049,Manual,19244,Petrol,54.3,1.0,volkswagen,30267254
34,Up,2019,10899,Manual,19359,Petrol,54.3,1.0,volkswagen,30123851
35,Up,2018,10949,Manual,19686,Petrol,64.2,1.0,volkswagen,30281269
36,Polo,2016,11399,Manual,19733,Petrol,60.1,1.0,volkswagen,30181549
37,Up,2017,9049,Manual,19853,Petrol,64.2,1.0,volkswagen,30178643
38,Polo,2020,17249,Manual,20380,Petrol,49.6,1.0,volkswagen,30219127
39,Polo,2018,13049,Manual,20599,Petrol,52.3,1.0,volkswagen,29905992
40,Golf,2018,17699,Semi-Auto,20701,Diesel,67.3,2.0,volkswagen,30255896
41,Polo,2017,12249,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
42,Golf,2019,20999,Semi-Auto,21132,Diesel,52.3,2.0,volkswagen,30050203
43,Up,2018,10749,Manual,21201,Petrol,64.2,1.0,volkswagen,30196681
44,T-Roc,2020,18349,Manual,21246,Petrol,44.8,1.0,volkswagen,30281270
45,Polo,2018,14049,Manual,21251,Petrol,64.2,1.0,volkswagen,30260979
46,Polo,2018,13749,Manual,21290,Petrol,64.2,1.0,volkswagen,30123849
47,Polo,2018,15799,Semi-Auto,21326,Petrol,61.4,1.0,volkswagen,30132411
48,Golf,2020,16049,Blue,Electric,Automatic,21474,,volkswagen,30272439
49,Scirocco,2016,14499,Manual,21493,Petrol,52.3,1.4,volkswagen,30095329
50,Polo,2017,18049,Semi-Auto,21634,Petrol,50.4,1.8,volkswagen,30307249
51,Polo,2016,14049,Manual,21878,Petrol,65.7,1.0,volkswagen,30208283
52,Golf,2017,15549,Manual,22012,Petrol,54.3,1.4,volkswagen,30295017
53,Golf,2019,16249,Manual,22019,Petrol,None,1.0,volkswagen,30208551
54,Up,2018,9349,Manual,22247,Petrol,64.2,1.0,volkswagen,30178795
55,T-Roc,2019,22849,Manual,22576,Diesel,50.4,1.6,volkswagen,30261055
56,T-Cross,2020,18849,Manual,22878,Petrol,47.9,1.0,volkswagen,30025618
57,Polo,2020,16049,Manual,22946,Petrol,52.3,1.0,volkswagen,30308270
58,T-Cross,2019,18299,Manual,22974,Petrol,47.9,1.0,volkswagen,30148582
59,Polo,2017,15599,Semi-Auto,23050,Petrol,61.4,1.4,volkswagen,30161884
60,Golf,2021,21049,Manual,23070,Petrol,51.4,1.5,volkswagen,30308248
61,T-Roc,2020,26649,Semi-Auto,23119,Petrol,41.5,1.5,volkswagen,30308261
62,Tiguan Allspace,2019,26549,Semi-Auto,23214,Diesel,44.1,2.0,volkswagen,30308195
63,Tiguan,2019,20499,Manual,23551,Petrol,None,1.5,volkswagen,30208657
64,Polo,2019,18399,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
65,Golf,2021,27799,Semi-Auto,23700,Diesel,54.3,2.0,volkswagen,29888496
66,Golf,2018,16949,Manual,23842,Petrol,58.9,1.5,volkswagen,30225414
67,T-Roc,2018,20749,Manual,23945,Petrol,42.2,1.5,volkswagen,30289984
68,Golf,2018,23049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
69,T-Roc,2020,19599,Manual,24325,Petrol,44.1,1.0,volkswagen,30308048
70,Tiguan,2019,21349,Manual,24497,Petrol,38.2,1.5,volkswagen,30281395
71,Up,2019,11349,Manual,24562,Petrol,54.3,1.0,volkswagen,30299738
72,Up,2017,10049,Manual,24639,Petrol,60.1,1.0,volkswagen,30113689
73,Polo,2019,15049,Manual,24907,Petrol,52.3,1.0,volkswagen,30079744
74,Polo,2016,11549,Manual,25452,Petrol,60.1,1.0,volkswagen,30267297
75,Polo,2020,16999,Manual,25474,Diesel,None,1.6,volkswagen,30208410
76,Tiguan,2019,20349,Manual,25575,Petrol,40.9,1.5,volkswagen,30281085
77,Tiguan,2020,22049,Manual,25738,Petrol,38.2,1.5,volkswagen,30294930
78,Polo,2020,15049,Manual,25831,Petrol,50.4,1.0,volkswagen,30063524
79,Up,2017,9899,Manual,25859,Petrol,64.2,1.0,volkswagen,29993371
80,Up,2018,9449,Manual,26111,Petrol,64.2,1.0,volkswagen,30295025
81,Up,2018,9299,Manual,26259,Petrol,64.2,1.0,volkswagen,30132546
82,Touran,2019,21049,Manual,26486,Diesel,51.4,1.6,volkswagen,30267171
83,T-Cross,2019,16699,Manual,26628,Petrol,47.9,1.0,volkswagen,30123794
84,Polo,2018,13799,Manual,26663,Petrol,64.2,1.0,volkswagen,30284886
85,T-Cross,2019,17199,Manual,26713,Petrol,47.9,1.0,volkswagen,29893676
86,Tiguan,2019,20499,Manual,26713,Petrol,40.9,1.5,volkswagen,30188232
87,Other,2019,23249,Semi-Auto,27053,Diesel,44.1,2.0,volkswagen,30255925
88,Golf,2019,17799,Semi-Auto,27068,Diesel,54.3,1.6,volkswagen,30188252
89,Golf,2019,16649,Manual,27486,Diesel,57.7,1.6,volkswagen,30255924
90,Tiguan,2019,24649,Semi-Auto,27632,Diesel,45.6,2.0,volkswagen,30281398
91,Golf,2019,21299,Semi-Auto,27762,Petrol,44.1,1.5,volkswagen,30042218
92,Tiguan,2017,25049,Manual,27835,Diesel,50.4,2.0,volkswagen,30294999
93,Polo,2019,14549,Manual,27892,Petrol,None,1.0,volkswagen,30208616
94,Up,2019,14349,Manual,28035,Petrol,50.4,1.0,volkswagen,30299774
95,Golf,2018,19599,Semi-Auto,28126,Petrol,55.4,1.5,volkswagen,30219167
96,T-Cross,2020,16449,Manual,28168,Petrol,48.7,1.0,volkswagen,30250918
97,T-Roc,2019,18299,Manual,28264,Diesel,50.4,1.6,volkswagen,30251143
98,Golf,2018,14049,Manual,28623,Diesel,61.4,1.6,volkswagen,30260924
99,Golf,2019,17499,Manual,28625,Petrol,45.6,1.5,volkswagen,30050159
100,Tiguan,2017,25049,Manual,27835,Diesel,50.4,2.0,volkswagen,30294999
101,Polo,2019,14549,Manual,27892,Petrol,None,1.0,volkswagen,30208616
102,Up,2019,14349,Manual,28035,Petrol,50.4,1.0,volkswagen,30299774
103,Golf,2018,17549,Semi-Auto,28079,Petrol,43.5,1.5,volkswagen,29915850
104,Golf,2018,19599,Semi-Auto,28126,Petrol,55.4,1.5,volkswagen,30219167
105,T-Cross,2020,16449,Manual,28168,Petrol,48.7,1.0,volkswagen,30250918
106,T-Roc,2019,18299,Manual,28264,Diesel,50.4,1.6,volkswagen,30251143
107,Golf,2018,14049,Manual,28623,Diesel,61.4,1.6,volkswagen,30260924
108,Golf,2019,17499,Manual,28625,Petrol,45.6,1.5,volkswagen,30050159
109,Polo,2018,14349,Manual,28661,Petrol,62.8,1.0,volkswagen,30281388
110,Polo,2016,11049,Manual,29581,Petrol,60.1,1.0,volkswagen,30255902
111,Up,2016,10999,Semi-Auto,29624,Petrol,67.3,1.0,volkswagen,30178731
112,Tiguan,2016,18549,Semi-Auto,29848,Diesel,57.6,2.0,volkswagen,30161857
113,Golf,2018,21499,Semi-Auto,29853,Diesel,57.7,2.0,volkswagen,30132460
114,Golf,2019,20649,Semi-Auto,29860,Petrol,43.5,1.5,volkswagen,30008791
115,Passat,2017,16299,Semi-Auto,30297,Petrol,55.4,1.4,volkswagen,30251140
116,Polo,2018,13049,Manual,30334,Petrol,52.3,1.0,volkswagen,29968994
117,Polo,2016,10999,Manual,30507,Petrol,58.9,1.0,volkswagen,30251301
118,Tiguan,2021,23349,Manual,30647,Petrol,44.1,1.5,volkswagen,30307986
119,Tiguan,2019,19699,Manual,30689,Diesel,47.9,2.0,volkswagen,29986770
120,Polo,2018,13049,Manual,29559,Petrol,64.2,1.0,volkswagen,30132576
121,Polo,2016,11049,Manual,29581,Petrol,60.1,1.0,volkswagen,30255902
122,Up,2016,10999,Semi-Auto,29624,Petrol,67.3,1.0,volkswagen,30178731
123,Tiguan,2016,18549,Semi-Auto,29848,Diesel,57.6,2.0,volkswagen,30161857
124,Golf,2018,21499,Semi-Auto,29853,Diesel,57.7,2.0,volkswagen,30132460
125,Golf,2019,20649,Semi-Auto,29860,Petrol,43.5,1.5,volkswagen,30008791
126,Golf,2019,16049,Manual,30136,Diesel,57.7,1.6,volkswagen,30312250
127,Passat,2017,16299,Semi-Auto,30297,Petrol,55.4,1.4,volkswagen,30251140
128,Polo,2018,13049,Manual,30334,Petrol,52.3,1.0,volkswagen,29968994
129,Polo,2016,10999,Manual,30507,Petrol,58.9,1.0,volkswagen,30251301
130,T-Roc,2019,18449,Manual,31473,Petrol,44.1,1.0,volkswagen,30261018
131,T-Cross,2020,16749,Manual,31533,Petrol,None,1.0,volkswagen,30208773
132,Polo,2019,14049,Manual,31627,Petrol,47.9,1.0,volkswagen,30201152
133,T-Roc,2020,22399,Semi-Auto,31631,Diesel,49.6,2.0,volkswagen,30308200
134,Golf,2019,16049,Manual,31794,Petrol,48.7,1.0,volkswagen,30025474
135,Polo,2019,14699,Manual,31835,Petrol,52.3,1.0,volkswagen,30196750
136,Polo,2019,14349,Manual,31874,Petrol,52.3,1.0,volkswagen,30281420
137,Up,2019,8949,Manual,31935,Petrol,54.3,1.0,volkswagen,30240314
138,Polo,2017,12199,Manual,32193,Petrol,60.1,1.2,volkswagen,30251147
139,Golf,2019,23349,Manual,32273,Petrol,37.2,2.0,volkswagen,30272414
140,T-Roc,2019,19349,Manual,31278,Diesel,50.4,1.6,volkswagen,30281334
141,Golf,2017,15349,Semi-Auto,31303,Petrol,53.3,1.4,volkswagen,30308019
142,T-Roc,2019,18449,Manual,31473,Petrol,44.1,1.0,volkswagen,30261018
143,T-Cross,2020,16749,Manual,31533,Petrol,None,1.0,volkswagen,30208773
144,Polo,2019,14049,Manual,31627,Petrol,47.9,1.0,volkswagen,30201152
145,T-Roc,2020,22399,Semi-Auto,31631,Diesel,49.6,2.0,volkswagen,30308200
146,Touran,2018,18299,Semi-Auto,31736,Diesel,65.7,1.6,volkswagen,29915843
147,Golf,2019,16049,Manual,31794,Petrol,48.7,1.0,volkswagen,30025474
148,Polo,2019,14699,Manual,31835,Petrol,52.3,1.0,volkswagen,30196750
149,Polo,2019,14349,Manual,31874,Petrol,52.3,1.0,volkswagen,30281420
150,Up,2019,8949,Manual,31935,Petrol,54.3,1.0,volkswagen,30240314
151,Polo,2017,12199,Manual,32193,Petrol,60.1,1.2,volkswagen,30251147
152,Golf,2019,23349,Manual,32273,Petrol,37.2,2.0,volkswagen,30272414
153,Arteon,2018,21449,Semi-Auto,32314,Petrol,47.1,2.0,volkswagen,30240284
154,Golf,2018,16749,Semi-Auto,32573,Diesel,None,1.6,volkswagen,30208762
155,T-Cross,2020,21549,Automatic,32665,Petrol,45.6,1.0,volkswagen,30267199
156,Passat,2019,16049,Manual,32834,Diesel,54.3,2.0,volkswagen,30063606
157,T-Cross,2020,16199,Manual,32888,Petrol,48.7,1.0,volkswagen,30299807
158,Golf,2019,21049,Semi-Auto,33512,Petrol,43.5,1.5,volkswagen,30284847
159,Polo,2016,10599,Manual,33699,Petrol,60.1,1.2,volkswagen,30225513
160,Up,2017,9399,Manual,33729,Petrol,68.9,1.0,volkswagen,29974672
161,Golf,2020,17849,Manual,33812,Petrol,45.6,1.5,volkswagen,30201124
162,Polo,2016,11449,Manual,33813,Petrol,60.1,1.2,volkswagen,30290060
163,Polo,2016,11049,Manual,33830,Petrol,58.9,1.0,volkswagen,30261050
164,Golf,2019,18499,Semi-Auto,33896,Petrol,None,1.5,volkswagen,30208491
165,Polo,2018,13949,Manual,34187,Petrol,52.3,1.0,volkswagen,30281480
166,Tiguan,2019,18049,Manual,34519,Petrol,42.2,1.5,volkswagen,30299676
167,Golf,2019,22499,Semi-Auto,34559,Diesel,49.6,2.0,volkswagen,30103651
168,Tiguan,2018,21049,Semi-Auto,34611,Diesel,49.6,2.0,volkswagen,30299678
169,Polo,2018,15499,Semi-Auto,34668,Petrol,45.6,1.0,volkswagen,30267264
170,Golf,2019,15549,Semi-Auto,37809,Petrol,45.6,1.0,volkswagen,29893646
171,Polo,2020,14549,Manual,38069,Petrol,47.9,1.0,volkswagen,30299749
172,Passat,2018,15049,Manual,38071,Diesel,54.3,2.0,volkswagen,30025607
173,Passat,2017,17349,Semi-Auto,38198,Diesel,60.1,2.0,volkswagen,30219157
174,Golf,2019,15449,Manual,38435,Petrol,47.1,1.5,volkswagen,30132482
175,Golf,2016,14049,Manual,38529,Diesel,68.9,2.0,volkswagen,30294944
176,Golf,2018,18299,Manual,38874,Diesel,60.1,2.0,volkswagen,30032974
177,Golf,2019,15049,Manual,39656,Diesel,57.7,1.6,volkswagen,30132342
178,Tiguan,2018,18049,Manual,39766,Petrol,46.3,1.4,volkswagen,30251158
179,Golf,2019,14049,Grey,Electric,Automatic,40033,,volkswagen,30307999
180,Polo,2017,11849,Manual,40058,Petrol,65.7,1.0,volkswagen,30032976
181,Passat,2018,14899,Semi-Auto,40139,Diesel,70.6,1.6,volkswagen,30132343
182,Touran,2017,17349,Manual,40230,Diesel,64.2,2.0,volkswagen,30155502
183,Tiguan,2018,23049,Manual,40244,Diesel,58.9,2.0,volkswagen,30196738
184,Tiguan,2017,19199,Semi-Auto,40314,Diesel,49.6,2.0,volkswagen,30090192
185,Golf,2016,19049,Manual,40316,Petrol,39.8,2.0,volkswagen,30123746
186,T-Roc,2019,18299,Manual,40413,Diesel,50.4,1.6,volkswagen,30042594
187,T-Roc,2018,24049,Semi-Auto,40435,Petrol,51.4,1.5,volkswagen,30284792
188,Golf,2018,16349,Manual,40576,Petrol,45.6,1.5,volkswagen,30272326
189,Passat,2019,19849,Manual,40583,Diesel,53.3,2.0,volkswagen,30267278
190,Golf,2017,13799,Manual,40712,Petrol,54.3,1.4,volkswagen,30148610
191,Polo,2018,12299,Manual,40765,Petrol,None,1.0,volkswagen,30208423
192,Passat,2020,21349,Semi-Auto,41090,Diesel,54.3,2.0,volkswagen,30042349
193,Polo,2016,11599,Manual,41275,Petrol,65.7,1.0,volkswagen,30178493
194,Polo,2017,10949,Manual,41326,Petrol,60.1,1.0,volkswagen,30251162
195,Golf,2020,26549,Semi-Auto,41357,Petrol,32.8,2.0,volkswagen,30224883
196,Polo,2015,9549,Manual,41369,Petrol,60.1,1.0,volkswagen,30308275
197,Golf,2017,17799,Semi-Auto,41527,Petrol,55.4,1.5,volkswagen,30084463
198,Golf,2019,19049,Semi-Auto,41634,Petrol,44.1,1.5,volkswagen,30308283
199,Golf,2017,14849,Manual,41918,Diesel,67.3,2.0,volkswagen,30299758
200,T-Roc,2019,20349,Semi-Auto,42144,Petrol,39.8,1.5,volkswagen,30284797
201,Golf,2018,21549,Semi-Auto,42156,Diesel,57.7,2.0,volkswagen,30290013
202,Golf,2018,21049,Semi-Auto,42665,Diesel,57.7,2.0,volkswagen,30294933
203,Passat,2018,18499,Semi-Auto,42679,Diesel,51.4,2.0,volkswagen,30132557
204,T-Roc,2018,18599,Manual,42815,Petrol,53.3,1.5,volkswagen,30289948
205,Golf,2019,14999,Manual,42859,Petrol,49.6,1.0,volkswagen,30219184
206,Tiguan Allspace,2019,23049,Manual,42878,Diesel,46.3,2.0,volkswagen,30308083
207,T-Cross,2019,18199,Manual,42975,Petrol,47.9,1.0,volkswagen,30200999
208,Golf,2017,15349,Semi-Auto,43498,Petrol,55.4,1.4,volkswagen,30299725
209,T-Roc,2019,18799,Manual,43905,Diesel,50.4,1.6,volkswagen,30284898
210,Polo,2018,12799,Manual,44057,Petrol,64.2,1.0,volkswagen,30281337
211,Polo,2019,13049,Manual,44195,Petrol,48.7,1.0,volkswagen,30308041
212,Golf,2017,13799,Manual,44233,Diesel,61.4,1.6,volkswagen,30255968
213,Tiguan,2016,17499,Semi-Auto,44609,Diesel,57.6,2.0,volkswagen,30188181
214,Golf,2017,13549,Manual,45119,Petrol,58.9,1.0,volkswagen,30308005
215,Polo,2020,13999,Manual,45699,Petrol,52.3,1.0,volkswagen,30294926
