,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2007,2250,Manual,137000,Diesel,53.3,1.9,volkswagen,30333216
1,Polo,2018,13145,Manual,28259,Petrol,60.1,1.0,volkswagen,29905483
2,Polo,2018,15395,Manual,35444,Petrol,49.6,1.0,volkswagen,29909677
3,Polo,2016,8995,Manual,67834,Petrol,60.1,1.0,volkswagen,30013854
4,Caddy Maxi,2014,9480,Manual,157000,Diesel,54.3,1.6,volkswagen,30139097
5,Caddy Maxi,2016,18880,Automatic,48000,Diesel,54.3,2.0,volkswagen,29822041
6,Polo,2013,7995,Manual,27304,Petrol,51.4,1.2,volkswagen,29403180
7,Polo,2016,9795,Manual,45418,Petrol,60.1,1.0,volkswagen,29944223
8,Golf,2015,9995,Manual,48128,Diesel,68.9,1.6,volkswagen,29403173
9,Polo,2010,5495,Manual,56623,Diesel,83.1,1.2,volkswagen,29403185
10,Polo,2013,5995,Automatic,86853,Petrol,47.9,1.4,volkswagen,29403183
11,T-Roc,2021,27499,Semi-Auto,2354,Petrol,36.2,2,volkswagen,30100680
12,Golf,2020,15999,Manual,41914,Petrol,50.4,1.5,volkswagen,30272593
13,Polo,2021,22554,Automatic,6408,Petrol,46.3,1.0,volkswagen,28609913
14,Polo,2018,15995,Automatic,23045,Petrol,61.4,1.0,volkswagen,30148439
15,Golf,2017,15995,Automatic,85984,Diesel,None,2.0,volkswagen,30183651
16,Caddy Maxi,2017,9995,Manual,103024,Diesel,60.1,2.0,volkswagen,29931770
17,Polo,2018,11995,Manual,33511,Petrol,48.7,1.0,volkswagen,30324969
18,Up,2015,6995,Manual,47479,Petrol,61.4,1.0,volkswagen,30324959
19,Golf,2018,21995,Automatic,47582,Petrol,39.2,2.0,volkswagen,30015089
20,Up,2015,6995,Manual,47479,Petrol,61.4,1.0,volkswagen,30324959
21,Golf,2018,21995,Automatic,47582,Petrol,39.2,2.0,volkswagen,30015089
22,Polo,2016,8495,Manual,53727,Petrol,60.1,1.0,volkswagen,30324976
23,Polo,2013,6995,Manual,57978,Petrol,51.4,1.2,volkswagen,30324960
24,Polo,2017,14295,Automatic,12968,Petrol,60.1,1.2,volkswagen,30346646
25,Tiguan,2019,19977,Manual,47000,Diesel,47.9,2,volkswagen,30282328
26,Golf SV,2016,9977,Manual,54000,Diesel,72.4,1.6,volkswagen,30070536
27,Golf,2019,14977,Manual,66000,Diesel,57.7,1.6,volkswagen,28714877
28,Golf,2016,10977,Manual,82000,Diesel,74.3,1.6,volkswagen,27504043
29,Passat,2015,6977,Manual,113000,Diesel,70.6,1.6,volkswagen,30333038
30,Golf,2020,17600,Manual,16394,Petrol,50.4,1.5,volkswagen,30059026
31,Polo,2022,17244,Manual,9201,Petrol,52.3,1,volkswagen,30027544
32,T-Roc,2020,19989,Manual,17715,Petrol,44.1,1,volkswagen,30270187
33,Polo,2015,11049,Manual,42459,Petrol,61.4,1.4,volkswagen,30027543
34,Polo,2019,16895,Manual,12248,Petrol,49.6,1,volkswagen,30268045
35,Polo,2015,10495,Automatic,26000,Petrol,60.1,1.2,volkswagen,27561153
36,Beetle,2014,8995,Manual,48000,Diesel,57.6,2.0,volkswagen,27325208
37,Golf,2017,7495,Manual,56000,Diesel,72.4,1.6,volkswagen,29869324
38,Scirocco,2015,9495,Manual,70000,Diesel,55.4,2.0,volkswagen,30154874
39,Tiguan,2009,2995,Manual,170000,Diesel,40.4,2.0,volkswagen,29869326
40,Golf,2019,14995,Automatic,46550,Other,None,0,volkswagen,29061069
41,Sharan,2019,23995,Manual,14341,Diesel,43.5,2.0,volkswagen,30261259
42,Touran,2019,20995,Manual,24149,Petrol,40.9,1.0,volkswagen,30153667
43,Tiguan,2018,17995,Manual,38561,Diesel,58.9,2.0,volkswagen,30316429
44,Tiguan,2019,19995,Automatic,38902,Diesel,46.3,2.0,volkswagen,30316427
45,Polo,2022,19295,Manual,3975,Petrol,52.3,1,volkswagen,29954304
46,Polo,2018,17995,Semi-Auto,11036,Petrol,46.3,1,volkswagen,29954294
47,Polo,2019,13995,Manual,24086,Petrol,48.7,1,volkswagen,30188932
48,Tiguan,2015,16995,Semi-Auto,33153,Diesel,49.6,2,volkswagen,30176403
49,Golf,2018,17995,Manual,3336,Petrol,47.1,1.5,volkswagen,30029139
50,Scirocco,2017,16995,Semi-Auto,41562,Petrol,44.1,2,volkswagen,29954286
51,Polo,2018,12995,Manual,27064,Petrol,48.7,1.0,volkswagen,30348203
52,Golf,2014,7750,Manual,70300,Diesel,None,1.6,volkswagen,26999908
53,Passat,2000,13995,Manual,65638,Diesel,54.3,2.0,volkswagen,30277657
54,Passat,2000,13295,Manual,105986,Petrol,54.3,1.4,volkswagen,29920994
55,Golf,2011,4795,Manual,97000,Diesel,68.9,1.6,volkswagen,30114413
56,Passat,2018,12995,Semi-Auto,109000,Diesel,62.8,2,volkswagen,30065652
57,Beetle,2008,1995,Manual,140000,Petrol,36.2,1.6,volkswagen,29968481
58,Golf,2020,30495,Semi-Auto,22000,Petrol,32.8,2,volkswagen,30241961
59,Polo,2019,11490,Manual,54496,Petrol,52.3,1.0,volkswagen,29977470
60,Polo,2012,5995,Manual,59000,Petrol,51.4,1.2,volkswagen,30285511
61,Golf,2017,16990,Automatic,59445,Diesel,56.5,2.0,volkswagen,30306966
62,Golf,2015,10250,Automatic,68571,Diesel,67.3,1.6,volkswagen,30306964
63,Polo,2012,6750,Manual,51132,Petrol,51.4,1.2,volkswagen,30321196
64,Tiguan,2014,9990,Automatic,81101,Diesel,47.7,2.0,volkswagen,30341777
65,Polo,2013,4795,Manual,109317,Petrol,47.9,1.4,volkswagen,30239775
66,Polo,2011,3595,Manual,133151,Petrol,47.9,1.4,volkswagen,30138389
