,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2016,7699,Manual,23493,Petrol,62.8,1,volkswagen,30295405
1,Polo,2015,9999,Manual,43000,Petrol,60.1,1.2,volkswagen,30173237
2,Passat,2015,11999,Manual,49000,Diesel,68.9,2.0,volkswagen,30331407
3,Tiguan,2018,16499,Manual,54000,Petrol,46.3,1.4,volkswagen,30331404
4,Golf,2012,8999,Automatic,60000,Petrol,47.1,1.4,volkswagen,30343299
5,Tiguan,2016,11999,Manual,68000,Diesel,53.3,2.0,volkswagen,30331401
6,Golf,2016,15995,Automatic,56000,Diesel,62.8,2.0,volkswagen,30153534
7,Polo,2015,9450,Manual,37056,Petrol,60.1,1.0,volkswagen,28014483
8,Tiguan,2018,16995,Automatic,68703,Diesel,57.6,2.0,volkswagen,30336853
9,Caddy,2022,29999,Semi-Auto,4403,Petrol,42.2,1.5,volkswagen,30228340
10,Shuttle,2021,40999,Semi-Auto,14605,Diesel,34,2,volkswagen,30170717
11,Golf,2021,24549,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
12,Up,2019,11049,Manual,7359,Petrol,54.3,1.0,volkswagen,30267174
13,Up,2018,12049,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
14,Polo,2021,16699,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
15,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
16,Up,2017,11549,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
17,Polo,2019,16749,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
18,Up,2016,8899,Manual,12085,Petrol,62.8,1.0,volkswagen,30308010
19,Polo,2016,14899,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
20,Polo,2020,16049,Manual,12652,Petrol,51.4,1.0,volkswagen,30308044
21,T-Cross,2021,21549,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
22,Polo,2016,12299,Manual,13093,Petrol,58.9,1.0,volkswagen,30188245
23,T-Roc,2021,22549,Manual,13124,Petrol,46.3,1.0,volkswagen,30050294
24,Polo,2021,18049,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
25,Polo,2016,12449,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
26,Polo,2018,17299,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
27,T-Roc,2021,25549,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
28,Touran,2019,21699,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
29,T-Roc,2020,22049,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
30,T-Roc,2019,23399,Semi-Auto,15750,Petrol,43.5,1.5,volkswagen,30289996
31,Polo,2018,14749,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
32,T-Cross,2020,18199,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
33,Polo,2020,15999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
34,Polo,2021,16549,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
35,Polo,2018,15349,Manual,16678,Petrol,52.3,1.0,volkswagen,30251332
36,T-Cross,2019,17049,Manual,16764,Petrol,48.7,1.0,volkswagen,30188278
37,Polo,2020,15449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
38,T-Cross,2020,18049,Manual,17069,Petrol,None,1.0,volkswagen,30208719
39,Up,2021,12799,Manual,17163,Petrol,54.3,1.0,volkswagen,30050173
40,T-Cross,2020,18049,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
41,Golf,2019,22699,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
42,Golf,2021,22049,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
43,Up,2019,9599,Manual,18212,Petrol,54.3,1.0,volkswagen,30042543
44,T-Roc,2020,22299,Manual,18227,Petrol,44.8,1.5,volkswagen,30290022
45,Up,2019,9899,Manual,18355,Petrol,None,1.0,volkswagen,30208687
46,Polo,2019,19849,Semi-Auto,18445,Petrol,39.8,2.0,volkswagen,30260939
47,Up,2019,9799,Manual,18959,Petrol,None,1.0,volkswagen,30208686
48,T-Roc,2019,18049,Manual,18986,Petrol,44.8,1.0,volkswagen,30308011
49,Polo,2020,15549,Manual,19106,Petrol,51.4,1.0,volkswagen,30281118
50,Up,2018,11049,Manual,19244,Petrol,54.3,1.0,volkswagen,30267254
51,Up,2019,10899,Manual,19359,Petrol,54.3,1.0,volkswagen,30123851
52,Polo,2016,11399,Manual,19733,Petrol,60.1,1.0,volkswagen,30181549
53,Up,2017,9049,Manual,19853,Petrol,64.2,1.0,volkswagen,30178643
54,Polo,2020,17249,Manual,20380,Petrol,49.6,1.0,volkswagen,30219127
55,Polo,2018,13049,Manual,20599,Petrol,52.3,1.0,volkswagen,29905992
56,Golf,2018,17699,Semi-Auto,20701,Diesel,67.3,2.0,volkswagen,30255896
57,Polo,2017,12249,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
58,Golf,2019,20999,Semi-Auto,21132,Diesel,52.3,2.0,volkswagen,30050203
59,Up,2018,10749,Manual,21201,Petrol,64.2,1.0,volkswagen,30196681
60,T-Roc,2020,18349,Manual,21246,Petrol,44.8,1.0,volkswagen,30281270
61,Polo,2018,14049,Manual,21251,Petrol,64.2,1.0,volkswagen,30260979
62,Polo,2018,13749,Manual,21290,Petrol,64.2,1.0,volkswagen,30123849
63,Polo,2018,15799,Semi-Auto,21326,Petrol,61.4,1.0,volkswagen,30132411
