,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Roc,2020,29991,Semi-Auto,32680,Petrol,32.5,2,volkswagen,30250117
1,T-Cross,2019,16991,Manual,33004,Petrol,47.9,1,volkswagen,30146531
2,Passat,2018,20141,Semi-Auto,33587,Hybrid,166,1.4,volkswagen,30171054
3,Golf,2020,19653,Semi-Auto,36980,Petrol,45.6,1.5,volkswagen,30153073
4,Tiguan Allspace,2019,25493,Semi-Auto,37036,Diesel,39.2,2,volkswagen,30069262
5,Golf,2021,17135,Manual,38315,Petrol,50.4,1.5,volkswagen,30054058
6,T-Roc,2019,19992,Manual,41171,Diesel,50.4,1.6,volkswagen,30106605
7,T-Roc,2018,17999,Manual,41367,Diesel,50.4,1.6,volkswagen,30250119
8,Golf,2020,16494,Manual,41575,Petrol,50.4,1.5,volkswagen,30054061
9,Tiguan,2018,25652,Semi-Auto,42420,Diesel,39.8,2,volkswagen,30221235
10,Golf,2020,18991,Semi-Auto,44705,Petrol,45.6,1.5,volkswagen,30243691
11,T-Cross,2019,17691,Manual,45190,Petrol,47.9,1,volkswagen,30164976
12,T-Roc,2018,16991,Manual,47316,Petrol,55.4,1,volkswagen,30278309
13,Golf,2019,16657,Semi-Auto,47907,Diesel,53.3,2,volkswagen,30260304
14,Arteon,2019,19157,Semi-Auto,51909,Petrol,40.4,1.5,volkswagen,30106607
15,Passat,2020,26157,Semi-Auto,22883,Hybrid,43.5,1.4,volkswagen,30345314
16,Polo,2019,14261,Manual,24234,Petrol,52.3,1,volkswagen,30347422
17,Touran,2019,21991,Semi-Auto,28669,Diesel,49.6,1.6,volkswagen,30247888
18,Sharan,2018,21691,Manual,31538,Diesel,43.5,2,volkswagen,30278310
19,Eos,2011,7495,Automatic,75000,Diesel,53.3,2.0,volkswagen,30218719
20,Amarok,2017,32000,Automatic,39071,Diesel,36.2,3.0,volkswagen,29756499
21,Polo,2018,14989,Manual,36000,Petrol,60.1,1.0,volkswagen,30249474
22,Caddy Maxi,2015,11000,Manual,101000,Diesel,48.7,1.6,volkswagen,30036651
23,Polo,2018,13790,Manual,43563,Petrol,62.8,1,volkswagen,30301127
24,Golf,2017,14999,Manual,53808,Petrol,55.4,1.5,volkswagen,30196477
25,Polo,2017,10680,Manual,47182,Diesel,74.3,1.4,volkswagen,30290473
26,Golf,2017,15540,Semi-Auto,41082,Petrol,55.4,1.4,volkswagen,30349196
27,T-Roc,2018,16501,Manual,30500,Petrol,55.4,1,volkswagen,30263239
28,Polo,2011,4690,Manual,89000,Diesel,83.1,1.2,volkswagen,30328765
29,Polo,2022,18480,Manual,1919,Petrol,54.3,1,volkswagen,30111869
30,Polo,2022,18480,Manual,2644,Petrol,54.3,1,volkswagen,30111871
31,Taigo,2022,21480,Manual,5672,Petrol,51.4,1,volkswagen,30111864
32,Tiguan,2022,28980,Semi-Auto,5889,Diesel,50.4,2,volkswagen,30111873
33,T-Cross,2022,21980,Manual,6222,Petrol,49.6,1,volkswagen,30243688
34,T-Roc,2023,33990,Semi-Auto,6225,Diesel,57.7,2,volkswagen,30243689
35,Polo,2022,18480,Manual,6240,Petrol,52.3,1,volkswagen,30111883
36,Passat,2022,34490,Semi-Auto,7500,Hybrid,42.8,1.4,volkswagen,30111866
37,Polo,2022,20480,Manual,7741,Petrol,54.3,1,volkswagen,30111882
38,Golf,2022,25980,Manual,7896,Petrol,51.4,1.5,volkswagen,30111876
39,Tiguan,2022,31990,Semi-Auto,15719,Petrol,39.2,1.5,volkswagen,30180851
40,Polo,2022,20480,Manual,7741,Petrol,54.3,1,volkswagen,30111882
41,Golf,2022,25980,Manual,7896,Petrol,51.4,1.5,volkswagen,30111876
42,T-Roc,2022,32792,Semi-Auto,9200,Petrol,44.8,1.5,volkswagen,30221227
43,Golf,2021,21496,Manual,9261,Petrol,50.4,1.5,volkswagen,30054048
44,Tiguan,2022,28294,Manual,10923,Petrol,44.1,1.5,volkswagen,30127558
45,Polo,2021,19299,Manual,11818,Petrol,54.3,1,volkswagen,30094016
46,Tiguan,2019,28995,Semi-Auto,12139,Diesel,45.6,2,volkswagen,30069241
47,Golf,2020,21294,Manual,12554,Petrol,49.6,1.5,volkswagen,30119757
48,Tiguan,2019,26994,Semi-Auto,13588,Diesel,39.8,2,volkswagen,30119752
49,Taigo,2022,24294,Automatic,14785,Petrol,47.9,1,volkswagen,30119755
50,Tiguan,2022,28294,Manual,10923,Petrol,44.1,1.5,volkswagen,30127558
51,Polo,2021,19299,Manual,11818,Petrol,54.3,1,volkswagen,30094016
52,T-Roc,2020,20557,Manual,11873,Petrol,44.1,1,volkswagen,30315121
53,Tiguan,2019,28995,Semi-Auto,12139,Diesel,45.6,2,volkswagen,30069241
54,Golf,2020,21294,Manual,12554,Petrol,49.6,1.5,volkswagen,30119757
55,Tiguan,2019,26994,Semi-Auto,13588,Diesel,39.8,2,volkswagen,30119752
56,Taigo,2022,24294,Automatic,14785,Petrol,47.9,1,volkswagen,30119755
57,Golf,2021,21557,Manual,15479,Petrol,49.6,1.5,volkswagen,30311209
58,Golf,2020,28557,Semi-Auto,15701,Hybrid,176.6,1.4,volkswagen,30334952
59,Golf,2019,17557,Manual,15837,Diesel,55.4,1.6,volkswagen,30315122
60,Polo,2021,16991,Manual,20811,Petrol,53.3,1,volkswagen,30279748
61,T-Roc,2020,31793,Semi-Auto,22962,Petrol,32.5,2,volkswagen,30187172
62,Tiguan,2020,29993,Manual,23501,Diesel,45.6,2,volkswagen,30187173
63,Tiguan,2019,27495,Semi-Auto,23753,Petrol,None,2,volkswagen,30077319
64,Tiguan,2021,30991,Semi-Auto,23950,Petrol,38.7,1.5,volkswagen,30275877
65,Touareg,2021,49994,Semi-Auto,24330,Diesel,33.6,3,volkswagen,30098998
66,Golf,2020,20295,Semi-Auto,27016,Petrol,45.6,1.5,volkswagen,30119753
67,Tiguan,2020,22295,Manual,28275,Petrol,38.2,1.5,volkswagen,30069243
68,Golf,2020,19994,Semi-Auto,29846,Petrol,45.6,1.5,volkswagen,30119756
69,Tiguan,2019,20293,Manual,33410,Diesel,47.9,2,volkswagen,30146530
70,Tiguan,2019,27495,Semi-Auto,23753,Petrol,None,2,volkswagen,30077319
71,Tiguan,2021,30991,Semi-Auto,23950,Petrol,38.7,1.5,volkswagen,30275877
72,Touareg,2021,49994,Semi-Auto,24330,Diesel,33.6,3,volkswagen,30098998
73,Tiguan Allspace,2021,28491,Semi-Auto,24715,Diesel,46.3,2,volkswagen,30293410
74,T-Cross,2020,19991,Automatic,26240,Petrol,45.6,1,volkswagen,30288224
75,Golf,2020,20295,Semi-Auto,27016,Petrol,45.6,1.5,volkswagen,30119753
76,Tiguan,2020,22295,Manual,28275,Petrol,38.2,1.5,volkswagen,30069243
77,T-Cross,2019,15992,Manual,29521,Petrol,48.7,1,volkswagen,30279747
78,T-Roc,2021,23491,Semi-Auto,29803,Petrol,43.5,1.5,volkswagen,30288221
79,Golf,2020,19994,Semi-Auto,29846,Petrol,45.6,1.5,volkswagen,30119756
80,Tiguan,2019,27991,Semi-Auto,40435,Diesel,39.2,2,volkswagen,30288223
81,T-Roc,2021,25491,Manual,6285,Petrol,44.8,1.5,volkswagen,30288222
82,Golf,2020,28557,Semi-Auto,15701,Hybrid,176.6,1.4,volkswagen,30334952
83,T-Cross,2020,19991,Automatic,26240,Petrol,45.6,1,volkswagen,30288224
84,T-Roc,2021,23491,Semi-Auto,29803,Petrol,43.5,1.5,volkswagen,30288221
85,T-Roc,2020,28993,Semi-Auto,8889,Petrol,41.5,1.5,volkswagen,30094015
86,T-Roc,2020,20557,Manual,11873,Petrol,44.1,1,volkswagen,30315121
87,Golf,2019,17557,Manual,15837,Diesel,55.4,1.6,volkswagen,30315122
88,Golf,2021,24549,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
89,Up,2019,11049,Manual,7359,Petrol,54.3,1.0,volkswagen,30267174
90,Up,2018,12049,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
91,Polo,2021,16699,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
92,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
93,Up,2017,11549,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
