,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,ID3,2023,33990,Silver,Electric,Automatic,6,,volkswagen,30224439
1,ID3,2020,25741,White,Electric,Automatic,7501,,volkswagen,30253548
2,ID3,2020,24741,Other,Electric,Automatic,13328,,volkswagen,30186497
3,ID3,2020,24000,Grey,Electric,Automatic,22512,,volkswagen,29170469
4,Golf,2020,16849,Silver,Electric,Automatic,9571,,volkswagen,30290040
5,Golf,2020,16049,Blue,Electric,Automatic,21474,,volkswagen,30272439
6,Golf,2019,14049,Grey,Electric,Automatic,40033,,volkswagen,30307999
7,ID5,2022,35999,White,Electric,Automatic,8777,,volkswagen,29236662
8,ID4,2022,38990,Black,Electric,Automatic,5000,,volkswagen,29853152
9,ID3,2023,37990,White,Electric,Automatic,140,,volkswagen,30098025
10,ID5,2022,37980,Blue,Electric,Automatic,6739,,volkswagen,29467417
11,ID3,2020,22980,Grey,Electric,Automatic,15389,,volkswagen,29467435
12,Golf,2019,14650,Black,Electric,Automatic,35027,,volkswagen,30009793
13,ID3,2021,26995,Turquoise,Electric,Automatic,6582,,volkswagen,29642030
14,ID3,2020,24500,Other,Electric,Automatic,14617,,volkswagen,30303273
15,ID3,2021,23000,Grey,Electric,Automatic,19800,,volkswagen,30303276
16,ID3,2020,24290,Grey,Electric,Automatic,13968,,volkswagen,29309551
17,ID5,2022,38995,Grey,Electric,Automatic,7150,,volkswagen,30263531
18,ID3,2023,47290,Black,Electric,Automatic,100,,volkswagen,30209196
19,IDBuzz,2023,61500,White,Electric,Automatic,683,,volkswagen,30202173
20,ID4,2023,45990,Grey,Electric,Automatic,2206,,volkswagen,29878124
21,ID3,2023,28880,Blue,Electric,Automatic,2423,,volkswagen,29757818
22,Up,2021,16990,Red,Electric,Automatic,4200,,volkswagen,30185475
23,ID5,2022,38990,Black,Electric,Automatic,4678,,volkswagen,29290481
24,Up,2021,16990,Blue,Electric,Automatic,10621,,volkswagen,30157032
25,ID4,2023,37190,Grey,Electric,Automatic,1000,,volkswagen,30209194
26,ID4,2023,37190,Grey,Electric,Automatic,1000,,volkswagen,30209195
27,ID5,2022,40990,Blue,Electric,Automatic,11150,,volkswagen,30105244
28,ID3,2020,22900,White,Electric,Automatic,15287,,volkswagen,30291722
29,ID3,2023,46890,Black,Electric,Automatic,221,,volkswagen,30202004
30,ID5,2023,51890,Red,Electric,Automatic,1662,,volkswagen,29757906
31,ID3,2023,26890,Grey,Electric,Automatic,2420,,volkswagen,29746495
32,ID5,2022,40890,Black,Electric,Automatic,6003,,volkswagen,28702478
33,Up,2020,13995,Black,Electric,Automatic,10750,,volkswagen,30056884
34,ID5,2022,39995,Black,Electric,Automatic,6000,,volkswagen,30112115
35,ID3,2020,26995,Other,Electric,Automatic,7137,,volkswagen,30112100
36,ID3,2020,24995,White,Electric,Automatic,14201,,volkswagen,30112099
37,Golf,2019,15995,Silver,Electric,Automatic,18045,,volkswagen,30112094
38,ID3,2020,23995,Blue,Electric,Automatic,20315,,volkswagen,30275919
39,ID3,2020,22195,Grey,Electric,Automatic,28146,,volkswagen,29446398
40,ID4,2023,36490,Grey,Electric,Automatic,1001,,volkswagen,30169966
41,ID5,2023,44490,Grey,Electric,Automatic,1617,,volkswagen,29740229
42,ID3,2023,32990,Black,Electric,Automatic,2000,,volkswagen,29746504
43,ID4,2023,36990,Black,Electric,Automatic,2000,,volkswagen,29734505
44,ID4,2022,42990,Grey,Electric,Automatic,3001,,volkswagen,29282424
45,ID3,2022,26990,Grey,Electric,Automatic,5000,,volkswagen,29282419
46,ID4,2023,40990,Black,Electric,Automatic,5000,,volkswagen,29503667
47,ID3,2021,23990,Blue,Electric,Automatic,7772,,volkswagen,30236577
48,ID4,2022,38490,White,Electric,Automatic,9001,,volkswagen,28107414
49,ID3,2020,23990,Black,Electric,Automatic,13482,,volkswagen,30202010
50,ID3,2023,26990,Grey,Electric,Automatic,3621,,volkswagen,29440790
51,ID5,2022,43990,Red,Electric,Automatic,4021,,volkswagen,29282428
52,ID5,2022,42990,Grey,Electric,Automatic,4031,,volkswagen,29282418
53,ID5,2022,59990,Blue,Electric,Automatic,4071,,volkswagen,29282423
54,ID5,2022,69990,Black,Electric,Automatic,4231,,volkswagen,29201284
55,ID3,2022,26990,Grey,Electric,Automatic,5000,,volkswagen,29282419
56,ID4,2023,40990,Black,Electric,Automatic,5000,,volkswagen,29503667
57,ID4,2022,41990,Black,Electric,Automatic,5601,,volkswagen,29153802
58,ID5,2022,43490,Red,Electric,Automatic,6000,,volkswagen,29142302
59,ID5,2022,50990,White,Electric,Automatic,7023,,volkswagen,28858416
60,ID5,2022,59990,Blue,Electric,Automatic,4071,,volkswagen,29282423
61,ID5,2022,69990,Black,Electric,Automatic,4231,,volkswagen,29201284
62,ID4,2022,41990,Black,Electric,Automatic,5601,,volkswagen,29153802
63,ID5,2022,43490,Red,Electric,Automatic,6000,,volkswagen,29142302
64,ID5,2022,50990,White,Electric,Automatic,7023,,volkswagen,28858416
65,ID5,2022,44990,White,Electric,Automatic,7463,,volkswagen,28864775
66,ID5,2022,41490,Blue,Electric,Automatic,7500,,volkswagen,28915007
67,ID5,2022,46990,Black,Electric,Automatic,8230,,volkswagen,28959549
68,ID5,2022,42490,Grey,Electric,Automatic,10001,,volkswagen,28536372
69,IDBuzz,2023,65991,White,Electric,Automatic,24,,volkswagen,29959961
70,IDBuzz,2023,67490,MPV,Electric,Automatic,8,,volkswagen,30159576
71,ID5,15,57779,SUV,Automatic,Black,15,e,volkswagen,30231219
72,ID5,25,56669,SUV,Automatic,Grey,25,e,volkswagen,29868479
73,ID3,2021,31199,White,Electric,Automatic,3443,,volkswagen,30310988
74,ID5,2022,36989,Blue,Electric,Automatic,14956,,volkswagen,29670342
75,ID4,2022,30989,Grey,Electric,Automatic,12,,volkswagen,30288308
76,ID4,2022,32989,Grey,Electric,Automatic,12,,volkswagen,30293185
77,ID3,25,44884,Hatchback,Automatic,Grey,25,e,volkswagen,30315779
78,ID3,2023,35989,White,Electric,Automatic,968,,volkswagen,30315773
79,IDBuzz,2023,58990,Silver,Electric,Automatic,1258,,volkswagen,30293187
80,ID3,2020,22498,White,Electric,Automatic,23221,,volkswagen,30306752
81,Golf,2019,13998,Blue,Electric,Automatic,39232,,volkswagen,30315926
82,Golf,2019,14495,Black,Electric,Automatic,53513,,volkswagen,30105654
83,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
84,ID4,2021,34753,White,Electric,Automatic,7326,,volkswagen,30168487
85,Golf,2020,17069,White,Electric,Automatic,15387,,volkswagen,29639662
86,ID3,2021,25690,Grey,Electric,Automatic,25942,,volkswagen,29513402
87,Up,2021,14250,Blue,Electric,Automatic,7163,,volkswagen,30315036
88,ID4,2021,29870,Yellow,Electric,Automatic,28154,,volkswagen,30228548
89,ID5,2022,43560,Black,Electric,Automatic,4456,,volkswagen,28542961
90,ID3,2023,39990,Black,Electric,Automatic,5000,,volkswagen,30207387
91,ID3,2023,40899,Black,Electric,Automatic,5000,,volkswagen,30207383
92,ID4,2022,43440,Grey,Electric,Automatic,5000,,volkswagen,29256734
93,ID5,2023,56999,Black,Electric,Automatic,5000,,volkswagen,30207391
94,ID5,2023,60096,Black,Electric,Automatic,10000,,volkswagen,29569631
95,IDBuzz,2023,70999,White,Electric,Automatic,948,,volkswagen,29899184
96,ID5,10,53255,SUV,Automatic,Grey,10,e,volkswagen,30028475
97,ID5,2023,56998,Black,Electric,Automatic,10,,volkswagen,30193860
98,ID3,2023,39998,White,Electric,Automatic,500,,volkswagen,30224771
99,ID5,2022,35690,Grey,Electric,Automatic,6424,,volkswagen,30315756
100,ID5,2022,36790,Blue,Electric,Automatic,7422,,volkswagen,30315767
101,ID5,2022,38995,Grey,Electric,Automatic,13400,,volkswagen,30112070
102,ID3,2020,21995,Blue,Electric,Automatic,33300,,volkswagen,30271352
103,ID3,2023,33295,White,Electric,Automatic,10,,volkswagen,30274451
104,ID5,2022,44995,Black,Electric,Automatic,4500,,volkswagen,28984597
105,ID3,2020,24495,White,Electric,Automatic,16376,,volkswagen,30242133
106,ID3,2023,37295,Grey,Electric,Automatic,250,,volkswagen,30242132
107,ID5,2023,48995,Grey,Electric,Automatic,1000,,volkswagen,29746545
108,ID3,2021,25295,Blue,Electric,Automatic,15053,,volkswagen,30209264
109,ID3,2020,21995,Glacier,Electric,Automatic,30317,,volkswagen,28996907
110,ID3,2021,24995,White,Electric,Automatic,14000,,volkswagen,29847675
111,Golf,2020,15499,Grey,Electric,Automatic,32000,,volkswagen,29969954
112,Other,10,60400,MPV,Automatic,Candy,10,e,volkswagen,30260155
113,ID3,2020,21391,White,Electric,Automatic,33613,,volkswagen,30315123
114,Golf,2020,15000,Grey,Electric,Automatic,31130,,volkswagen,30310600
115,Golf,2020,15628,Grey,Electric,Automatic,19766,,volkswagen,30187778
116,ID3,2020,20890,Grey,Electric,Automatic,25520,,volkswagen,30307381
117,ID3,2021,29500,White,Electric,Automatic,6750,,volkswagen,28767974
118,ID5,2022,37000,Grey,Electric,Automatic,1200,,volkswagen,30290916
119,ID3,"30,226",22995,30226,Automatic,Grey,None,e,volkswagen,30088873
120,IDBuzz,9,65491,9,Automatic,Silver,None,e,volkswagen,30198581
121,IDBuzz,2023,69991,Multicolour,Electric,Automatic,1031,,volkswagen,30283951
122,ID5,2022,38725,Blue,Electric,Automatic,3411,,volkswagen,29892458
123,IDBuzz,2022,45495,Blue,Electric,Automatic,4164,,volkswagen,30149410
124,Golf,2020,19000,Urano,Electric,Automatic,23529,,volkswagen,29619611
125,ID3,2020,24490,Other,Electric,Automatic,10900,,volkswagen,30312561
126,ID3,2021,22000,Blue,Electric,Automatic,16455,,volkswagen,29030740
127,Golf,2019,14790,Silver,Electric,Automatic,29998,,volkswagen,30286998
128,ID3,2020,26755,Grey,Electric,Automatic,6000,,volkswagen,29520935
129,Golf,2020,14989,White,Electric,Automatic,19880,,volkswagen,30130217
130,ID5,2022,44500,White,Electric,Automatic,10,,volkswagen,29250274
131,ID5,2022,45500,Grey,Electric,Automatic,10,,volkswagen,29250275
132,ID5,2022,46200,Grey,Electric,Automatic,27,,volkswagen,29277966
133,ID5,2022,48000,White,Electric,Automatic,521,,volkswagen,29253775
134,ID3,2023,42500,Grey,Electric,Automatic,1000,,volkswagen,30229727
135,ID4,2022,43500,Black,Electric,Automatic,1252,,volkswagen,29906797
136,ID3,2022,32500,Grey,Electric,Automatic,1254,,volkswagen,29906798
137,ID5,2022,42000,Grey,Electric,Automatic,2835,,volkswagen,29906795
138,ID3,2021,22018,Blue,Electric,Automatic,32255,,volkswagen,30247841
139,ID3,2020,28500,Grey,Electric,Automatic,5210,,volkswagen,28896114
140,Up,2017,13680,Black,Electric,Automatic,7960,,volkswagen,29362671
141,ID3,2020,26990,Grey,Electric,Automatic,8092,,volkswagen,28954515
142,ID3,2020,26500,Grey,Electric,Automatic,13958,,volkswagen,28954516
143,ID3,2020,22880,Blue,Electric,Automatic,16563,,volkswagen,30053591
144,ID3,2020,23990,Grey,Electric,Automatic,28250,,volkswagen,29881086
145,ID3,2020,23990,Grey,Electric,Automatic,17636,,volkswagen,30300163
146,ID5,2022,36799,Black,Electric,Automatic,18543,,volkswagen,30271256
147,ID4,2021,30995,White,Electric,Automatic,16241,,volkswagen,30297719
148,Golf,2019,14995,Silver,Electric,Automatic,29635,,volkswagen,30186791
149,ID5,2023,44495,Other,Electric,Automatic,3442,,volkswagen,30230548
150,Golf,2019,14995,Silver,Electric,Automatic,29635,,volkswagen,30186791
151,ID4,2023,43790,Black,Electric,Automatic,5000,,volkswagen,30148758
152,ID3,2020,26250,Grey,Electric,Automatic,8772,,volkswagen,29416739
153,Up,2022,18999,PURE,Electric,Automatic,3001,,volkswagen,28832121
154,ID5,2022,34990,Grey,Electric,Automatic,16254,,volkswagen,30104067
155,ID3,2020,22490,Grey,Electric,Automatic,19004,,volkswagen,30290346
156,Golf,2019,14999,WHITE,Electric,Automatic,31000,,volkswagen,29354383
157,Up,2022,18989,PURE,Electric,Automatic,4915,,volkswagen,29290838
158,Golf,2019,15989,INDIUM,Electric,Automatic,10238,,volkswagen,29290842
159,ID4,2021,45490,Grey,Electric,Automatic,7985,,volkswagen,27524179
160,ID4,5,37999,SUV,Automatic,Black,5,e,volkswagen,29671004
161,ID5,5,48244,SUV,Automatic,Blue,5,e,volkswagen,29996048
162,ID4,5,49999,SUV,Automatic,Black,5,e,volkswagen,30268504
163,ID5,5,52404,SUV,Automatic,White,5,e,volkswagen,29868532
164,ID5,2022,39498,White,Electric,Automatic,6000,,volkswagen,29670979
165,ID5,2022,45990,Silver,Electric,Automatic,6565,,volkswagen,29670982
166,ID4,2022,39798,Grey,Electric,Automatic,7000,,volkswagen,29670983
167,ID3,2022,24988,Grey,Electric,Automatic,9275,,volkswagen,30271301
168,ID3,5,45405,Hatchback,Automatic,Grey,5,e,volkswagen,30283984
169,ID3,2023,39000,Grey,Electric,Automatic,1458,,volkswagen,30066316
170,Golf,2020,16291,Grey,Electric,Automatic,16450,,volkswagen,30303292
171,ID3,2020,25590,White,Electric,Automatic,7863,,volkswagen,28896399
172,ID3,2020,23790,Grey,Electric,Automatic,15000,,volkswagen,29336499
173,ID3,2020,23890,Other,Electric,Automatic,28200,,volkswagen,28896392
174,ID5,2022,55490,Black,Electric,Automatic,14526,,volkswagen,30268187
175,ID5,2022,36995,Black,Electric,Automatic,6639,,volkswagen,29696955
176,ID4,2022,39995,Black,Electric,Automatic,8225,,volkswagen,30101354
177,ID3,2021,22350,Moonstone,Electric,Automatic,4744,,volkswagen,29316798
178,ID3,2020,23600,White,Electric,Automatic,5661,,volkswagen,30215127
179,ID3,2020,22590,Silver,Electric,Automatic,17990,,volkswagen,28895867
180,Golf,2019,15200,Grey,Electric,Automatic,23601,,volkswagen,30158063
181,Golf,2019,14690,Blue,Electric,Automatic,39731,,volkswagen,30031993
182,ID4,2021,26100,Blue,Electric,Automatic,37876,,volkswagen,30317884
183,ID3,2020,24785,Grey,Electric,Automatic,15802,,volkswagen,28856869
184,ID3,2020,26480,Silver,Electric,Automatic,17265,,volkswagen,28856868
185,Golf,2019,14590,Blue,Electric,Automatic,39166,,volkswagen,30053569
186,ID3,2023,49999,Black,Electric,Automatic,3000,,volkswagen,30314937
187,ID5,2022,41999,White,Electric,Automatic,5000,,volkswagen,29682227
188,ID4,2021,36999,Yellow,Electric,Automatic,15828,,volkswagen,29464992
189,ID5,2022,39970,Blue,Electric,Automatic,912,,volkswagen,29755935
190,ID3,2020,25880,Grey,Electric,Automatic,10373,,volkswagen,30253416
191,ID3,2020,24880,Grey,Electric,Automatic,15433,,volkswagen,30253420
192,ID3,2020,25180,Grey,Electric,Automatic,17443,,volkswagen,30253427
193,ID3,2020,24680,White,Electric,Automatic,17619,,volkswagen,30253419
194,ID3,2020,22960,White,Electric,Automatic,27544,,volkswagen,30253422
195,ID3,2020,27999,Grey,Electric,Automatic,5555,,volkswagen,28915710
196,ID3,2021,27990,White,Electric,Automatic,11114,,volkswagen,28848845
197,ID3,2020,25990,Grey,Electric,Automatic,20808,,volkswagen,28856866
198,ID3,2020,27990,White,Electric,Automatic,21721,,volkswagen,28848844
199,Golf,2019,15800,Grey,Electric,Automatic,3905,,volkswagen,30286678
200,Golf,2018,14782,White,Electric,Automatic,19176,,volkswagen,29917441
201,ID5,2022,37950,Other,Electric,Automatic,7194,,volkswagen,30126845
202,ID3,2020,22000,Silver,Electric,Automatic,12492,,volkswagen,30164026
203,ID3,2020,21500,Turquoise,Electric,Automatic,14470,,volkswagen,29734929
204,ID3,2020,19900,White,Electric,Automatic,17406,,volkswagen,29786076
205,ID3,2020,20500,White,Electric,Automatic,19143,,volkswagen,29676914
206,ID3,2020,19900,Grey,Electric,Automatic,19832,,volkswagen,30170234
207,Golf,2019,14995,Blue,Electric,Automatic,16583,,volkswagen,30240358
208,ID3,2020,22995,Grey,Electric,Automatic,24000,,volkswagen,30237165
209,Golf,2020,15650,Silver,Electric,Automatic,11792,,volkswagen,30198596
210,ID3,2020,21990,Grey,Electric,Automatic,15277,,volkswagen,29780870
211,Golf,2019,14640,Grey,Electric,Automatic,26735,,volkswagen,30311020
212,Golf,2019,13851,Silver,Electric,Automatic,40865,,volkswagen,29838310
213,Golf,2019,14485,Silver,Electric,Automatic,33545,,volkswagen,30310296
214,ID5,2022,36935,Other,Electric,Automatic,9895,,volkswagen,29695739
215,ID3,2020,21985,White,Electric,Automatic,24470,,volkswagen,30315432
216,Up,2022,17450,Other,Electric,Automatic,2021,,volkswagen,29703724
217,ID5,2022,43990,Other,Electric,Automatic,7143,,volkswagen,29787138
218,ID5,2022,45900,Red,Electric,Automatic,5000,,volkswagen,30158760
219,ID3,2023,36490,Other,Electric,Automatic,500,,volkswagen,30218004
220,ID5,2022,36991,Other,Electric,Automatic,13000,,volkswagen,29775024
221,ID5,2022,38995,Red,Electric,Automatic,8459,,volkswagen,29718328
222,ID5,2022,35495,Blue,Electric,Automatic,10448,,volkswagen,29675943
223,ID3,2020,24450,Other,Electric,Automatic,10756,,volkswagen,30100482
224,ID5,2022,37250,Grey,Electric,Automatic,6500,,volkswagen,29223895
225,Golf,2020,21763,BLUE,Electric,Automatic,13525,,volkswagen,28481793
226,ID3,2021,28950,GLACIER,Electric,Automatic,5000,,volkswagen,30193591
227,ID4,2023,42991,Other,Electric,Automatic,2000,,volkswagen,30217988
228,ID5,2022,37491,Other,Electric,Automatic,7000,,volkswagen,29780642
229,Golf,2019,15691,Silver,Electric,Automatic,33663,,volkswagen,30158473
230,ID3,2020,25995,Silver,Electric,Automatic,11662,,volkswagen,29467522
231,ID3,2021,25790,White,Electric,Automatic,26018,,volkswagen,29467537
232,ID5,2022,36290,Grey,Electric,Automatic,10456,,volkswagen,29774083
233,Up,2014,8000,SILVER,Electric,Automatic,40604,,volkswagen,30107954
234,ID3,2020,20998,Grey,Electric,Automatic,29129,,volkswagen,30312455
