,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Niro,2018,17900,Automatic,10612,Hybrid,74.3,1.6,kia,30268179
1,Niro,2017,18900,Automatic,15385,Hybrid,64.2,1.6,kia,29558053
2,Picanto,2021,13885,Automatic,16397,Petrol,53.3,1,kia,30290985
3,Pro Ceed,2022,19900,Manual,24899,Petrol,48.7,1.5,kia,29639972
4,e-Niro,2022,21900,White,Electric,Automatic,29770,,kia,29956816
5,e-Niro,2022,25900,Grey,Electric,Automatic,1055,,kia,29987249
6,Xceed,2022,21303,Manual,3897,Petrol,44.8,1.5,kia,30218136
7,e-Niro,2022,25400,Grey,Electric,Automatic,5694,,kia,29980036
8,Sportage,2022,24969,Manual,5773,Petrol,42.2,1.6,kia,30169412
9,Xceed,2022,21078,Manual,5874,Petrol,44.8,1.5,kia,30218138
10,Picanto,2020,12405,Manual,9263,Petrol,50.4,1,kia,30079445
11,Sportage,2020,18948,Manual,9565,Petrol,34.9,1.6,kia,30120303
12,Niro,2018,17900,Automatic,10612,Hybrid,74.3,1.6,kia,30268179
13,Niro,2022,24192,Automatic,11255,Hybrid,64.2,1.6,kia,30169409
14,Stonic,2021,17707,Manual,11670,Hybrid,51.4,1,kia,30069495
15,Sportage,2022,23747,Manual,11700,Petrol,42.2,1.6,kia,29987253
16,Niro,2022,24357,Automatic,11924,Hybrid,64.2,1.6,kia,30169410
17,Niro,2019,18500,Automatic,12858,Hybrid,74.3,1.6,kia,30120304
18,Sportage,2022,23605,Manual,12890,Petrol,42.2,1.6,kia,29956818
19,Picanto,2021,11964,Manual,14545,Petrol,55.4,1,kia,30285918
20,Niro,2022,24357,Automatic,11924,Hybrid,64.2,1.6,kia,30169410
21,Niro,2019,18500,Automatic,12858,Hybrid,74.3,1.6,kia,30120304
22,Sportage,2022,23605,Manual,12890,Petrol,42.2,1.6,kia,29956818
23,Picanto,2021,11964,Manual,14545,Petrol,55.4,1,kia,30285918
24,Sportage,2020,19162,Manual,16705,Petrol,33.2,1.6,kia,30149759
25,Sportage,2022,23884,Manual,17037,Petrol,42.2,1.6,kia,29956820
26,Sportage,2020,21447,Manual,19360,Petrol,34.9,1.6,kia,30218135
27,Picanto,2020,11477,Manual,21938,Petrol,48.7,1.25,kia,30218134
28,Niro,2022,22840,Automatic,23159,Hybrid,64.2,1.6,kia,30169408
29,Polo,2018,15499,Semi-Auto,23660,Petrol,61.4,1,volkswagen,29956815
30,Sportage,2021,23488,Automatic,24986,Petrol,33.2,1.6,kia,30149762
31,Vitara,2019,14159,Manual,25354,Petrol,44.1,1,suzuki,30149763
32,Zoe,2020,12289,Grey,Electric,Automatic,27359,,renault,30169411
33,Niro,2019,16900,Automatic,30633,Hybrid,74.3,1.6,kia,30120309
34,Stonic,2020,13498,Manual,33587,Petrol,47.1,1,kia,30120311
35,Sportage,2017,16151,Automatic,44497,Diesel,47.9,2,kia,30120305
36,Sportage,2015,11590,Manual,49760,Diesel,55.4,1.7,kia,30221585
37,Niro,2016,14900,Automatic,53964,Hybrid,64.2,1.6,kia,30149758
38,Grandland X,2018,12894,Manual,57444,Petrol,55.4,1.2,vauxhall,30218132
39,Sportage,2020,19024,Manual,25011,Petrol,33.2,1.6,kia,30149761
40,Sportage,2018,16995,Manual,53837,Petrol,34.9,1.6,kia,30305009
41,Leaf,2022,28000,Black,Electric,Automatic,1170,,nissan,29366846
42,Leaf,2022,28000,Black,Electric,Automatic,2440,,nissan,29366847
43,Leaf,2022,23600,Black,Electric,Automatic,2983,,nissan,29811731
44,Leaf,2022,20900,White,Electric,Automatic,4134,,nissan,29619174
