,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Civic,2020,18990,Manual,9972,Petrol,45.6,1,honda,30240527
1,Jazz,2021,20990,Automatic,11034,Hybrid,62.8,1.5,honda,29986459
2,HRV,2022,27490,Automatic,11407,Hybrid,52.3,1.5,honda,30285216
3,CRV,2021,28990,Automatic,11573,Hybrid,39.8,2,honda,30052921
4,CRV,2022,33990,Automatic,12865,Hybrid,39.2,2,honda,29853947
5,CRV,2019,26490,Automatic,14200,Hybrid,53.3,2,honda,29967489
6,Civic,2019,17490,Manual,14295,Petrol,58.9,1,honda,30115012
7,Jazz,2019,16990,Automatic,16689,Petrol,42.8,1.5,honda,30132983
8,Jazz,2020,21290,Automatic,18824,Hybrid,61.4,1.5,honda,30190550
9,Fiesta,2020,13490,Manual,22102,Petrol,54.3,1,ford,29761821
10,Civic,2020,19490,Manual,32433,Petrol,45.6,1,honda,30246329
11,CRV,2021,29490,Automatic,44146,Hybrid,39.2,2,honda,30148880
12,Honda e,2020,18990,Yellow,Electric,Automatic,23500,,honda,30301049
13,Captur,2022,21995,Manual,1000,Petrol,47.9,1.3,renault,29811434
14,Sandero Stepway,2022,14995,Manual,2028,Petrol,50.4,1,dacia,30178217
15,Sandero Stepway,2021,15995,Manual,3000,Petrol,50.4,1,dacia,29967483
16,A110,2022,62495,Semi-Auto,4500,Petrol,41.5,1.8,alpine,29265741
17,Sandero Stepway,2022,15995,Manual,4859,Petrol,50.4,1,dacia,29811419
18,Captur,2021,25995,Automatic,5000,Hybrid,2.5,1.6,renault,29822693
19,Captur,2022,21495,Manual,5472,Petrol,47.9,1,renault,29777619
20,Captur,2022,24295,Automatic,5500,Hybrid,2.5,1.6,renault,29811433
21,C1,2019,10995,Manual,8000,Petrol,58.9,1,citroen,30178227
22,Kadjar,2019,16695,Manual,8000,Petrol,42.16,1.3,renault,30246334
23,Duster,2021,17495,Manual,8000,Hybrid,44.1,1,dacia,29612318
24,Clio,2022,25000,Manual,8000,Petrol,53.3,1,renault,30148888
25,Captur,2020,13795,Manual,8118,Petrol,52.3,0.9,renault,29766517
26,Zoe,2018,9995,White,Electric,Automatic,10633,,renault,29618760
27,Captur,2021,17495,Manual,10947,Petrol,47.9,1,renault,30246337
28,Corolla,2020,26750,Automatic,13633,Hybrid,53.3,2,toyota,29622132
29,Corolla,2020,21995,Automatic,14000,Hybrid,53.3,2,toyota,30285217
30,Corolla,2020,21995,Automatic,14000,Hybrid,53.3,2,toyota,30285217
31,Sandero,2020,8495,Manual,15000,Petrol,45.6,1,dacia,29607345
32,Sandero,2019,8995,Manual,15000,Petrol,57.6,0.9,dacia,30213363
33,Hilux,2021,41994,Manual,15289,Diesel,32.8,2.8,toyota,30002971
34,C3,2021,13995,Manual,15639,Petrol,54.3,1.2,citroen,30246338
35,Duster,2020,17250,Manual,16253,Petrol,41.5,1.3,dacia,30073966
36,Duster,2020,14250,Manual,18500,Petrol,41.5,1.3,dacia,30246327
37,Sandero Stepway,2020,11595,Manual,18922,Petrol,45.6,0.9,dacia,30246326
38,Arona,2019,16995,Semi-Auto,19522,Petrol,47.1,1,seat,30178225
39,Zoe,2019,12495,Blue,Electric,Automatic,19998,,renault,29897484
40,Captur,2021,23495,Automatic,21716,Hybrid,166.2,1.6,renault,30246332
41,Captur,2021,17595,Manual,24000,Petrol,47.9,1,renault,29811428
42,Zoe,2018,10995,Red,Electric,Automatic,24594,,renault,29462017
43,Zoe,2018,10995,Black,Electric,Automatic,25000,,renault,29462012
44,CLA Class,2021,29995,Semi-Auto,25000,Hybrid,None,1.3,mercedes-benz,30246336
45,Sandero Stepway,2020,10995,Manual,27561,Petrol,55.4,0.9,dacia,29543805
46,Captur,2016,10995,Semi-Auto,29894,Petrol,51.4,1.2,renault,30246339
47,Fiesta,2019,14595,Manual,31000,Petrol,55.4,1,ford,30246335
48,Clio,2020,13350,Manual,37173,Petrol,49.6,1,renault,29650349
49,208,2020,13495,Manual,37285,Petrol,53.3,1.2,peugeot,30213376
50,Duster,2019,14695,Manual,43204,Petrol,36.7,1.6,dacia,29998901
51,C4,2016,6995,Manual,59540,Diesel,78.5,1.6,citroen,30178224
52,Captur,2015,8295,Manual,71690,Diesel,76.4,1.5,renault,29708111
53,A Class,2021,35499,Semi-Auto,7167,Petrol,35.3,2,mercedes-benz,30290600
54,Captur,2020,13495,Manual,47925,Petrol,47.1,1,renault,30295602
55,Kadjar,2020,14495,Manual,49105,Petrol,42.16,1.3,renault,30295603
56,Kadjar,2020,14495,Manual,52904,Petrol,42.16,1.3,renault,30295601
57,Captur,2018,11995,Manual,26799,Petrol,55.4,0.9,renault,30300052
58,Clio,2020,11991,Manual,50859,Petrol,49.6,1,renault,30300053
59,A Class,2016,11495,Manual,66770,Petrol,51.4,1.6,mercedes-benz,30300055
60,Ateca,2023,39990,Semi-Auto,1500,Petrol,31.7,2,cupra,29923662
61,Formentor,2023,29790,Semi-Auto,2000,Petrol,42.2,1.5,cupra,29835338
62,Mustang,2023,52000,Grey,Electric,Automatic,2006,,ford,30227679
63,Puma,2021,27450,Semi-Auto,2286,Petrol,48.7,1,ford,30097586
64,Leon,2022,22980,Manual,2375,Petrol,50.4,1.5,seat,30158012
65,Fiesta,2022,25050,Manual,2677,Petrol,40.3,1.5,ford,30243010
66,Arona,2022,20890,Manual,3097,Petrol,51.4,1,seat,30214871
67,Arona,2022,22690,Semi-Auto,3235,Petrol,47.1,1,seat,30184531
68,Focus,2023,24500,Manual,5000,Petrol,52.3,1,ford,30108696
69,Focus,2021,20450,Manual,5608,Petrol,54.3,1,ford,30214491
70,Leon,2022,22980,Manual,2375,Petrol,50.4,1.5,seat,30158012
71,Fiesta,2022,25050,Manual,2677,Petrol,40.3,1.5,ford,30243010
72,Defender,2022,77500,Automatic,2851,Diesel,32.8,3,land rover,29519843
73,Arona,2022,20890,Manual,3097,Petrol,51.4,1,seat,30214871
74,Arona,2022,22690,Semi-Auto,3235,Petrol,47.1,1,seat,30184531
75,Arona,2023,20890,Manual,4000,Petrol,51.4,1,seat,29923663
76,Focus,2023,24500,Manual,5000,Petrol,52.3,1,ford,30108696
77,EcoSport,2021,17800,Manual,5170,Petrol,47.1,1,ford,30253353
78,F-TYPE,2023,75000,Automatic,5497,Petrol,26.7,5,jaguar,30108723
79,Focus,2021,20450,Manual,5608,Petrol,54.3,1,ford,30214491
80,Focus,2022,21000,Manual,7213,Petrol,49.6,1,ford,30263069
81,Puma,2021,26300,Semi-Auto,7367,Petrol,48.7,1,ford,30053245
82,Formentor,2022,31490,Semi-Auto,8948,Petrol,36.2,2,cupra,30082731
83,Formentor,2022,29290,Semi-Auto,9933,Petrol,40.9,1.5,cupra,30053413
84,Focus,2020,19900,Manual,10122,Petrol,58.9,1,ford,30197009
85,Puma,2021,19250,Manual,10432,Petrol,51.4,1,ford,30214495
86,Puma,2021,19900,Manual,10500,Petrol,51.4,1,ford,29552106
87,Fiesta,2020,14900,Manual,10556,Petrol,56.5,1,ford,30129125
88,Mazda6,2019,18400,Automatic,10714,Petrol,40.4,2,mazda,30119420
89,Puma,2021,24800,Manual,10721,Petrol,41.5,1.5,ford,30246486
90,Kuga,2021,29650,Automatic,10911,Hybrid,201.8,2.5,ford,30197011
91,Fiesta,2020,17400,Manual,11150,Petrol,55.4,1,ford,29603587
92,Focus,2020,17000,Manual,11410,Petrol,49.6,1,ford,30119428
93,Puma,2022,26750,Semi-Auto,11472,Petrol,48.7,1,ford,30168327
94,Arona,2021,19250,Semi-Auto,12500,Petrol,46.3,1,seat,29876435
95,Fiesta,2020,15500,Manual,12736,Petrol,57.7,1,ford,30057708
96,Puma,2021,20750,Manual,13198,Petrol,50.4,1,ford,30214490
