,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Mondeo,2019,21800,Automatic,15585,Diesel,None,2,ford,30208311
1,Focus,2019,17600,Manual,18666,Petrol,49.6,1,ford,30256987
2,Fiesta,2021,15650,Manual,18725,Petrol,54.3,1,ford,30042086
3,ZS,2022,18000,Manual,19151,Petrol,42.8,1,mg,30149819
4,Focus,2021,16700,Manual,19392,Petrol,55.4,1,ford,30118446
5,Kuga,2021,31750,Automatic,21025,Petrol/Electric,201.8,2.5,ford,28995538
6,Puma,2021,20000,Manual,21113,Petrol,50.4,1,ford,30095520
7,Ka+,2019,11500,Manual,21617,Petrol,43.5,1.2,ford,30118449
8,C-MAX,2017,11900,Manual,21869,Petrol,44.1,1.6,ford,30220890
9,Compass,2018,15500,Manual,22040,Diesel,54.3,2,jeep,30240845
10,i20,2019,11250,Manual,24518,Petrol,46.3,1.2,hyundai,30220893
11,Fiesta,2020,13600,Manual,27898,Petrol,56.5,1,ford,30113748
12,Fiesta,2019,13850,Manual,30714,Petrol,55.4,1,ford,30156228
13,Kuga,2020,21700,Manual,34650,Diesel,55.4,2,ford,30220888
14,Grandland X,2018,16150,Automatic,37032,Petrol,51.4,1.2,vauxhall,30220892
15,Galaxy,2020,25000,Automatic,42264,Diesel,40.4,2,ford,30220889
16,Kuga,2019,16500,Manual,44786,Diesel,46.3,1.5,ford,30285245
17,Kuga,2020,20595,Manual,46015,Diesel,54.3,1.5,ford,30227709
18,Kuga,2019,18750,Automatic,15261,Diesel,None,2,ford,30208310
19,Puma,2022,24000,Automatic,2413,Petrol,49.6,1,ford,30042088
20,Fiesta,2020,15600,Manual,7950,Petrol,58.9,1,ford,30291007
21,EcoSport,2020,16500,Manual,9278,Petrol,47.1,1,ford,30263445
22,EcoSport,2022,19200,Manual,11433,Petrol,47.1,1,ford,30240846
23,Fiesta,2020,15300,Manual,11581,Petrol,54.3,1,ford,30162421
24,Puma,2020,19000,Manual,15887,Petrol,51.4,1,ford,30285240
25,Puma,2020,20500,Manual,16128,Petrol,50.4,1,ford,30301182
26,Kuga,2019,21750,Automatic,19259,Petrol,29.1,1.5,ford,30240844
27,Grandland X,2020,15750,Manual,20598,Diesel,55.4,1.5,vauxhall,30263447
28,GLA Class,2020,24500,Automatic,22841,Petrol,37.2,1.6,mercedes-benz,30240841
29,Fiesta,2018,11250,Manual,36243,Petrol,58.9,1,ford,30301184
30,1 Series,2017,12000,Manual,39809,Diesel,72.4,1.5,bmw,30285241
31,S-MAX,2016,14000,Manual,74500,Diesel,56.5,2,ford,30285243
32,Mirage,2020,14500,Automatic,4523,Petrol,50.4,1.2,mitsubishi,30309124
33,HS,2022,21450,Automatic,4539,Petrol,36.7,1.5,mg,30220887
34,Fiesta,2020,15700,Manual,6523,Petrol,58.9,1,ford,30263446
35,Fiesta,2020,14600,Manual,8716,Petrol,55.4,1,ford,30251346
36,Fiesta,2021,18000,Manual,9480,Petrol,52.3,1,ford,30301183
37,Mokka X,2019,15750,Manual,10410,Petrol,39.2,1.4,vauxhall,30263448
38,Focus,2019,17700,Manual,13245,Petrol,60.1,1,ford,29967828
39,Puma,2022,24400,Automatic,16241,Petrol,49.6,1,ford,30149816
40,Focus,2019,16200,Manual,16394,Petrol,60.1,1,ford,29943182
41,Focus,2020,19650,Automatic,17102,Petrol,42.8,1,ford,30273458
42,Puma,2021,19000,Manual,22569,Petrol,50.4,1,ford,30149818
43,Kuga,2021,24490,Manual,24248,Diesel,54.3,1.5,ford,30042087
44,Fiesta,2020,14000,Manual,25947,Petrol,58.9,1,ford,30162422
45,2 Series,2021,23400,Manual,30314,Petrol,45.6,1.5,bmw,30256984
46,4 Series,2016,19000,Automatic,36500,Diesel,56.5,2,bmw,30113743
47,Fiesta,2018,12500,Automatic,46935,Petrol,48.7,1,ford,30291008
48,A5,2018,16500,Manual,68250,Diesel,68.9,2,audi,30309123
