,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Hilux,2013,13500,Automatic,113000,Diesel,32.8,3.0,toyota,29287293
1,Land Cruiser,2015,23000,Automatic,120000,Diesel,34.9,3.0,toyota,29275652
2,3 Series,2001,1400,Manual,138000,Petrol,35.3,1.9,bmw,30073710
3,M Class,2012,9200,Automatic,138000,Diesel,39.2,3.0,mercedes-benz,29275663
4,Range Rover,2016,25000,Automatic,146000,Diesel,None,4.4,land rover,29275662
5,Range Rover,2006,3500,Automatic,168000,Diesel,25,3.6,land rover,30102260
6,Civic,2002,900,Manual,181000,Petrol,44.1,1.4,honda,30037791
7,Hilux,2016,12185,Manual,232000,Petrol,None,0,toyota,29503088
8,Other,2012,14000,Manual,520000,Diesel,None,0.1,other,29288490
9,Other,2015,23000,Manual,912000,Diesel,None,0.1,other,29287294
10,1 Series,2020,26899,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
11,Kuga,2021,23499,Manual,1249,Diesel,54.3,1.5,ford,30198645
12,CLA Class,2022,31549,Semi-Auto,2486,Petrol,45.6,1.3,mercedes-benz,30079742
13,X2,2019,20799,Manual,2610,Petrol,42.8,1.5,bmw,29893599
14,T-Cross,2020,21299,Manual,2617,Petrol,None,1.0,volkswagen,30208714
15,Kamiq,2021,24199,Semi-Auto,3102,Petrol,45.6,1.5,skoda,30063539
16,Ka+,2017,9049,Manual,3113,Petrol,57.7,1.2,ford,30050265
17,Golf,2021,24549,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
18,i10,2022,16999,Manual,3691,Petrol,52.3,1.0,hyundai,30283987
19,Rio,2019,10699,Manual,3735,Petrol,46.3,1.2,kia,29888259
20,Mokka,2021,20799,Manual,5086,Petrol,50.4,1.2,vauxhall,30075293
21,Polo,2020,19549,Semi-Auto,5136,Petrol,46.3,1.0,volkswagen,29836497
22,Corsa,2018,10749,Manual,5185,Petrol,54.3,1.4,vauxhall,30188256
23,i20,2019,12799,Manual,5222,Petrol,46.3,1.2,hyundai,29986803
24,Xceed,2021,17849,Manual,5252,Petrol,47.1,1.0,kia,30281146
25,Rio,2020,12499,Manual,5620,Petrol,46.3,1.2,kia,30251148
26,i10,2021,12549,Manual,5763,Petrol,56.5,1.0,hyundai,29854734
27,Celerio,2019,8049,Manual,5773,Petrol,58.9,1.0,suzuki,29986695
28,Crossland X,2020,15049,Manual,6017,Petrol,47.1,1.2,vauxhall,30132553
29,Corsa,2021,13949,Manual,6042,Petrol,53.3,1.2,vauxhall,30225517
30,T-Cross,2019,18599,Manual,6066,Petrol,47.9,1.0,volkswagen,30178669
31,108,2021,11049,Manual,6243,Petrol,58.9,1.0,peugeot,30103440
32,Adam,2019,10999,Manual,6271,Petrol,44.8,1.2,vauxhall,29906017
33,Mazda2,2021,16849,Manual,6389,Petrol,53.3,1.5,mazda,30178652
34,Qashqai,2020,15749,Manual,6717,Diesel,53.3,1.5,nissan,29915759
35,108,2020,10199,Manual,6831,Petrol,58.9,1.0,peugeot,30046113
36,Swift,2021,15849,Automatic,6959,Petrol,55.4,1.2,suzuki,29871808
37,Fabia,2021,17849,Semi-Auto,7026,Petrol,47.9,1.0,skoda,30281298
38,Up,2019,11049,Manual,7359,Petrol,54.3,1.0,volkswagen,30267174
39,Hatch,2020,23349,Semi-Auto,7394,Petrol,42.2,2.0,mini,30240329
40,108,2016,8199,Manual,7527,Petrol,68.9,1.0,peugeot,30148583
41,Fabia,2019,12799,Manual,7543,Petrol,47.1,1.0,skoda,30079581
42,Mokka X,2019,16849,Semi-Auto,7638,Petrol,37.2,1.4,vauxhall,29831130
43,500X,2020,14799,Manual,7641,Petrol,41.5,1.0,fiat,30167941
44,ZS,2019,17049,Semi-Auto,7714,Petrol,45.4,1.0,mg,30281088
45,Renegade,2020,20049,Manual,7746,Petrol,38.7,1.0,jeep,30233582
46,Viva,2018,9249,Manual,7878,Petrol,46.3,1.0,vauxhall,30281356
47,Fiesta,2020,14699,Manual,7918,Petrol,53.3,1.0,ford,29866435
48,Celerio,2019,8199,Manual,8074,Petrol,58.9,1.0,suzuki,29905944
49,Corsa,2020,16049,Manual,8095,Petrol,52.3,1.2,vauxhall,30118270
50,Corsa,2021,13849,Manual,8137,Petrol,54.3,1.2,vauxhall,30233562
51,Mazda2,2019,15799,Automatic,8153,Petrol,47.9,1.5,mazda,29950376
52,EcoSport,2021,18549,Manual,8163,Petrol,47.1,1.0,ford,30233590
53,2 Series,2019,21199,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
54,Fortwo,2018,13499,Automatic,8249,Petrol,68.9,0.9,smart,30178733
55,Picanto,2019,9749,Manual,8314,Petrol,56.5,1.0,kia,30063573
56,Picanto,2019,11449,Manual,8345,Petrol,55.4,1.0,kia,29826198
57,C Class,2020,27799,Manual,8364,Petrol,2.8,1.6,mercedes-benz,30095384
58,Fiesta,2019,18649,Semi-Auto,8402,Petrol,48.7,1.0,ford,30113727
59,Corsa,2021,13749,Manual,8445,Petrol,53.3,1.2,vauxhall,30281382
60,Celerio,2019,8899,Manual,8446,Petrol,58.9,1.0,suzuki,30075059
61,Vitara,2019,14899,Manual,8454,Petrol,44.1,1.0,suzuki,30233592
62,Puma,2020,19999,Manual,8490,Petrol,50.4,1.0,ford,29888389
63,Hatch,2016,16049,Semi-Auto,8648,Petrol,60.1,1.5,mini,30272342
64,Astra,2020,16349,Manual,8684,Petrol,54.3,1.2,vauxhall,30250961
65,Mazda2,2019,14749,Automatic,8863,Petrol,47.9,1.5,mazda,29905979
66,Corsa,2018,10249,Manual,8887,Petrol,54.3,1.4,vauxhall,30079767
67,Sandero Stepway,2020,10699,Manual,8906,Petrol,55.4,0.9,dacia,30103683
68,Captur,2019,14899,Manual,9028,Petrol,42.8,1.3,renault,29968920
69,E-PACE,2019,26049,Automatic,9048,Diesel,39.2,2.0,jaguar,30281407
70,108,2020,10649,Manual,9056,Petrol,58.9,1.0,peugeot,30161842
71,Grandland X,2019,17499,Manual,9073,Diesel,55.4,1.5,vauxhall,30107800
72,Duster,2021,16899,Manual,9145,OTHER,44.1,1.0,dacia,30219212
73,Corsa,2021,17949,Automatic,9181,Petrol,55.4,1.2,vauxhall,30148663
74,2 Series,2020,22649,Semi-Auto,9234,Petrol,None,1.5,bmw,30208398
75,Range Rover Evoque,2020,27549,Manual,9453,Diesel,44.8,2.0,land rover,30284820
76,Up,2019,9699,Manual,9513,Petrol,62.8,1.0,volkswagen,29950276
77,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
78,Captur,2022,19699,Manual,9575,Petrol,47.9,1.3,renault,30107733
79,Aygo,2019,10649,Manual,9582,Petrol,57.7,1.0,toyota,30025563
80,500X,2020,14799,Manual,7641,Petrol,41.5,1.0,fiat,30167941
81,2 Series,2022,31549,Semi-Auto,7675,Diesel,55.4,2.0,bmw,30111756
82,Fiesta,2019,16149,Manual,7678,Diesel,62.8,1.5,ford,30289914
83,A Class,2021,26049,Semi-Auto,7697,Petrol,28.5,1.3,mercedes-benz,30214860
84,ZS,2019,17049,Semi-Auto,7714,Petrol,45.4,1.0,mg,30281088
85,Renegade,2020,20049,Manual,7746,Petrol,38.7,1.0,jeep,30233582
86,C3,2020,13849,Manual,7853,Petrol,54.3,1.2,citroen,30272426
87,Corsa,2021,15549,Manual,7855,Petrol,53.3,1.2,vauxhall,30123759
88,Viva,2018,9249,Manual,7878,Petrol,46.3,1.0,vauxhall,30281356
89,Fiesta,2020,14699,Manual,7918,Petrol,53.3,1.0,ford,29866435
90,A1,2020,18899,Manual,10020,Petrol,50.4,1.0,audi,30095441
91,Mazda2,2021,16849,Manual,10046,Petrol,53.3,1.5,mazda,30251103
92,Corsa,2018,11949,Manual,10099,Petrol,43.5,1.4,vauxhall,30260929
93,A3,2021,24549,Semi-Auto,10119,Petrol,53.3,1.0,audi,30255995
94,Clio,2021,15549,Manual,10132,Petrol,54.3,1.0,renault,30260995
95,Aygo,2020,11349,Manual,10158,Petrol,None,1.0,toyota,30208520
96,108,2018,9549,Manual,10172,Petrol,68.9,1.0,peugeot,30281200
97,Forfour,2019,13049,Automatic,10295,Petrol,67.3,1.0,smart,30103579
98,500,2019,10349,Manual,10299,Petrol,51.4,1.2,fiat,30161779
99,Mokka X,2019,14049,Manual,10301,Petrol,39.2,1.4,vauxhall,30075312
100,2 Series,2019,21199,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
101,Fortwo,2018,13499,Automatic,8249,Petrol,68.9,0.9,smart,30178733
102,Corsa,2018,10399,Manual,8265,Petrol,54.3,1.4,vauxhall,30107832
103,Citigo,2018,9049,Manual,8280,Petrol,67.3,1.0,skoda,30181529
104,Picanto,2019,9749,Manual,8314,Petrol,56.5,1.0,kia,30063573
105,X Trail,2022,38899,Semi-Auto,8326,Petrol,37.2,1.5,nissan,30079653
106,Picanto,2019,11449,Manual,8345,Petrol,55.4,1.0,kia,29826198
107,C Class,2020,27799,Manual,8364,Petrol,2.8,1.6,mercedes-benz,30095384
108,Fiesta,2019,18649,Semi-Auto,8402,Petrol,48.7,1.0,ford,30113727
109,Corsa,2021,13749,Manual,8445,Petrol,53.3,1.2,vauxhall,30281382
110,Celerio,2019,8899,Manual,8446,Petrol,58.9,1.0,suzuki,30075059
111,Vitara,2019,14899,Manual,8454,Petrol,44.1,1.0,suzuki,30233592
112,Puma,2020,19999,Manual,8490,Petrol,50.4,1.0,ford,29888389
113,Sandero Stepway,2018,9949,Manual,8551,Petrol,55.4,0.9,dacia,30294902
114,Hatch,2016,16049,Semi-Auto,8648,Petrol,60.1,1.5,mini,30272342
115,Astra,2020,16349,Manual,8684,Petrol,54.3,1.2,vauxhall,30250961
116,Twingo,2019,9299,Manual,8759,Petrol,48.7,0.9,renault,29974749
117,Clio,2018,11199,Manual,8763,Petrol,60.1,0.9,renault,30148638
118,C3,2021,14399,Manual,8855,Petrol,54.3,1.2,citroen,29969190
119,Mazda2,2019,14749,Automatic,8863,Petrol,47.9,1.5,mazda,29905979
120,Corsa,2018,10249,Manual,8887,Petrol,54.3,1.4,vauxhall,30079767
121,Tipo,2020,11849,Manual,8900,Petrol,40.4,1.4,fiat,30132583
122,Sandero Stepway,2020,10699,Manual,8906,Petrol,55.4,0.9,dacia,30103683
123,Juke,2021,19549,Semi-Auto,8918,Petrol,46.3,1.0,nissan,30181252
124,Aygo,2019,12499,Semi-Auto,8998,Petrol,56.5,1.0,toyota,30267287
125,Captur,2019,14899,Manual,9028,Petrol,42.8,1.3,renault,29968920
126,E-PACE,2019,26049,Automatic,9048,Diesel,39.2,2.0,jaguar,30281407
127,108,2020,10649,Manual,9056,Petrol,58.9,1.0,peugeot,30161842
128,Fiesta,2021,16549,Manual,9066,Petrol,56.5,1.0,ford,30003736
129,Grandland X,2019,17499,Manual,9073,Diesel,55.4,1.5,vauxhall,30107800
130,Juke,2021,19599,Manual,11186,Petrol,45.6,1.0,nissan,29888176
131,Hatch,2020,19649,Manual,11242,Petrol,47.9,1.5,mini,30281233
132,HRV,2019,18549,Manual,11245,Petrol,42.2,1.5,honda,30225548
133,Aygo,2018,9599,Manual,11268,Petrol,56.5,1.0,toyota,30046100
134,Aygo,2020,10549,Manual,11273,Petrol,56.5,1.0,toyota,30281158
135,1 Series,2020,23299,Manual,11313,Petrol,41.5,1.5,bmw,30112190
136,Corsa,2020,13099,Manual,11358,Petrol,53.3,1.2,vauxhall,30281387
137,Mazda3,2018,14249,Manual,11477,Petrol,55.4,2.0,mazda,30233576
138,Celerio,2017,7399,Manual,11522,Petrol,65.7,1.0,suzuki,30181561
139,C3,2019,14049,Manual,11523,Petrol,51.4,1.2,citroen,30281474
140,500,2019,11049,Manual,11526,Petrol,51.4,1.2,fiat,30281319
141,HRV,2019,17299,Manual,11621,Petrol,42.2,1.5,honda,29866338
142,Panda,2019,10999,Manual,11624,Petrol,44.1,1.2,fiat,29866368
143,Focus,2020,16549,Manual,11650,Petrol,49.6,1.0,ford,29768314
144,Aygo,2018,9549,Manual,11665,Petrol,68.9,1.0,toyota,30084510
145,Q2,2021,23549,Manual,11696,Petrol,45.6,1.0,audi,29836479
146,A1,2020,20049,Manual,11720,Petrol,47.9,1.0,audi,30267181
147,Fiesta,2018,14599,Semi-Auto,11734,Petrol,48.7,1.0,ford,30178427
148,500,2019,10549,Manual,11748,Petrol,55.4,1.2,fiat,30281439
149,Corsa,2020,14049,Manual,11784,Petrol,52.3,1.2,vauxhall,30103758
150,108,2020,10749,Manual,9665,Petrol,58.9,1.0,peugeot,30255898
151,Ibiza,2019,18349,Semi-Auto,9688,Petrol,48.7,1.0,seat,30004066
152,Clio,2020,14299,Manual,9729,Petrol,49.6,1.0,renault,30178691
153,Qashqai,2018,17599,Manual,9763,Petrol,40.4,1.3,nissan,30113604
154,i10,2017,8749,Manual,9781,Petrol,60.1,1.0,hyundai,30003993
