,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Micra,2011,3995,Manual,71000,Petrol,56.5,1.2,nissan,30028760
1,Astra,2014,5595,Manual,71000,Petrol,44.8,1.6,vauxhall,30112423
2,Fabia,2012,4595,Manual,73000,Diesel,83.1,1.2,skoda,30028763
3,Astra,2012,4795,Manual,73000,Petrol,44.1,1.6,vauxhall,29662372
4,Qashqai,2013,6995,Manual,76000,Petrol,45.6,1.6,nissan,30153469
5,Juke,2014,6295,Manual,79000,Petrol,47.1,1.6,nissan,30276082
6,Focus,2013,5595,Manual,79450,Diesel,83.1,1.6,ford,30279943
7,Juke,2013,5795,Manual,85000,Diesel,70.6,1.5,nissan,29833514
8,Focus,2013,6495,Manual,86000,Diesel,67.3,1.6,ford,29989821
9,Insignia,2012,4595,Manual,88000,Petrol,49.6,1.4,vauxhall,30099290
10,Qashqai,2012,5295,Manual,94000,Diesel,54.3,1.5,nissan,28306188
11,Forester,2013,6995,Manual,94000,Diesel,49.6,2.0,subaru,29882777
12,A4,2010,5795,Automatic,99000,Diesel,47.1,2.0,audi,30237943
13,Civic,2012,5995,Manual,99000,Petrol,47.1,1.8,honda,30265759
14,E Class,2011,6795,Automatic,102000,Diesel,51.4,2.1,mercedes-benz,29788066
15,Focus,2013,4795,Manual,103000,Diesel,67.3,1.6,ford,29885825
16,X1,2011,6995,Manual,103000,Diesel,49.6,2.0,bmw,27953774
17,C30,2010,3295,Manual,104000,Diesel,49.6,2.0,volvo,30237944
18,Passat,2015,6595,Manual,141000,Diesel,70.6,1.6,volkswagen,30089008
19,Range Rover,2014,29995,Automatic,58000,Diesel,37.7,3.0,land rover,29262927
20,Astra,2012,4295,Manual,88000,Diesel,62.8,1.7,vauxhall,29912318
21,Picanto,2019,8495,Manual,10981,Petrol,56.5,1.0,kia,30204183
22,i10,2017,8495,Manual,29577,Petrol,60.1,1.0,hyundai,30144509
23,Swift,2010,6995,Automatic,32107,Petrol,43.5,1.5,suzuki,30144496
24,C1,2014,5695,Manual,33528,Petrol,65.7,1.0,citroen,30144532
25,308,2013,5795,Manual,39545,Diesel,68.9,1.6,peugeot,30247340
26,Astra,2017,8995,Manual,47221,Petrol,52.3,1.4,vauxhall,30144485
27,Adam,2014,6495,Manual,50158,Petrol,51.4,1.4,vauxhall,30144531
28,500,2015,6895,Manual,50275,Petrol,60.1,1.2,fiat,30154615
29,208,2014,5995,Manual,52320,Diesel,74.3,1.4,peugeot,30144497
30,Golf,2019,15995,Manual,53995,Diesel,55.4,1.6,volkswagen,30144502
31,Megane,2014,6495,Manual,54611,Diesel,80.7,1.5,renault,30144495
32,Fiesta,2013,7295,Manual,55289,Diesel,76.4,1.5,ford,30144506
33,Fiesta,2013,6795,Manual,55824,Diesel,76.4,1.5,ford,30144542
34,Zafira,2015,8695,Manual,55979,Diesel,55.4,2.0,vauxhall,30144481
35,Corsa,2015,5995,Manual,57847,Petrol,52.3,1.2,vauxhall,30144517
36,C4 Picasso,2014,7995,Manual,58090,Diesel,70.6,1.6,citroen,30144487
37,Auris,2013,7495,Manual,58507,Diesel,67.3,1.4,toyota,30144515
38,Fabia,2011,7495,Automatic,58666,Petrol,45.6,1.4,skoda,30183013
39,Zafira,2011,4995,Manual,59383,Petrol,42.2,1.6,vauxhall,30144527
40,Octavia,2014,8995,Manual,60998,Diesel,74.3,1.6,skoda,30144488
41,C1,2014,5695,Manual,62217,Petrol,68.9,1.0,citroen,30144546
42,Juke,2011,5495,Manual,63000,Petrol,47.1,1.6,nissan,30144520
43,Juke,2014,7495,Manual,63031,Petrol,47.1,1.6,nissan,30144518
44,Yaris,2014,7495,Manual,63655,Diesel,72.4,1.4,toyota,30144526
45,Rio,2017,8995,Manual,66735,Diesel,80.7,1.4,kia,30144500
46,Rapid,2016,9295,Automatic,66756,Diesel,74.3,1.4,skoda,30241720
47,Fiesta,2018,9295,Manual,67553,Diesel,85.6,1.5,ford,30144537
48,Insignia,2016,7495,Manual,70818,Diesel,68.9,1.6,vauxhall,30144483
49,500,2013,4995,Manual,73243,Petrol,58.9,1.2,fiat,30219698
50,Golf,2013,11695,Manual,73250,Diesel,67.3,2.0,volkswagen,30144512
51,Hatch,2012,6295,Manual,74010,Petrol,52.3,1.6,mini,30144521
52,3 Series,2012,8895,Automatic,80654,Diesel,62.8,2.0,bmw,30144501
53,Scenic,2013,5295,Manual,85637,Diesel,68.9,1.5,renault,30144534
54,Cooper,2012,8495,Manual,50000,Petrol,49.6,1.6,mini,30144539
55,Insignia,2011,4495,Manual,50233,Petrol,37.2,1.8,vauxhall,30144503
56,Golf,2012,8495,Manual,54088,Diesel,57.6,2.0,volkswagen,30154618
57,Adam,2016,7395,Manual,61768,Petrol,53.3,1.2,vauxhall,30144504
58,Ka,2013,4195,Manual,69223,Petrol,57.7,1.2,ford,30144448
59,Picanto,2012,4995,Manual,72369,Petrol,67.3,1.0,kia,30144499
60,Insignia,2015,7295,Manual,75356,Petrol,50.4,1.4,vauxhall,30144478
61,Corsa,2018,7295,Manual,77794,Petrol,54.3,1.4,vauxhall,30144510
62,Other,2016,6995,Manual,78425,Diesel,78.5,1.6,other,30144479
