,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Fabia,2008,2995,Manual,74209,Diesel,53.3,1.9,skoda,30067893
1,2008,2017,7995,Manual,76112,Diesel,76.3,1.6,peugeot,30218974
2,1 Series,2014,8495,Manual,77536,Diesel,74.3,1.6,bmw,30067891
3,Hatch,2015,9495,Manual,82669,Petrol,60.1,1.5,mini,30135722
4,3008,2015,5495,Manual,85383,Diesel,58.9,1.6,peugeot,30275709
5,Mondeo,2016,8495,Manual,92550,Diesel,78.5,1.5,ford,30135718
6,308,2016,6495,Manual,94465,Diesel,88.3,1.6,peugeot,30203452
7,Golf,2014,7995,Manual,94561,Diesel,68.9,1.6,volkswagen,30067895
8,S60,2012,5995,Manual,99562,Diesel,65.7,2.0,volvo,29927682
9,A6,2014,9995,Manual,101591,Diesel,57.6,2.0,audi,30238504
10,Golf,2014,7995,Manual,109451,Diesel,68.9,2.0,volkswagen,29954554
11,Kuga,2010,3995,Manual,109701,Diesel,46.3,2.0,ford,30203453
12,3 Series,2013,9995,Automatic,109841,Diesel,60.1,2.0,bmw,30218973
13,Golf,2009,3995,Manual,116807,Diesel,51.4,2.0,volkswagen,30244881
14,Golf,2010,5495,Manual,117862,Diesel,57.6,2.0,volkswagen,29663151
15,Mondeo,2014,3995,Manual,122017,Petrol,44.1,1.6,ford,30238505
16,1 Series,2011,5495,Manual,123998,Diesel,62.8,2.0,bmw,29686494
17,3008,2013,4495,Manual,132895,Diesel,58.9,1.6,peugeot,29573474
18,Jazz,2016,11995,Automatic,22133,Petrol,57.6,1.3,honda,30266098
19,C4,2013,4995,Manual,74930,Diesel,61.4,1.6,citroen,30261605
20,Focus,2015,6495,Manual,123116,Diesel,74.3,1.5,ford,30275710
21,A Class,2020,25500,Semi-Auto,395,Petrol,53.3,1.3,mercedes-benz,30086006
22,Sandero Stepway,2022,18500,Automatic,620,Petrol,45.6,1,dacia,30279436
23,Focus,2022,25200,Manual,643,Petrol,46.3,1,ford,30076098
24,T-Roc,2023,33600,Semi-Auto,863,Petrol,46.3,1.5,volkswagen,30012185
25,Kona,2018,23800,Yellow,Electric,Automatic,1965,,hyundai,28966572
26,Juke,2021,21300,Semi-Auto,2211,Petrol,46.3,1,nissan,30213087
27,A Class,2021,36000,Semi-Auto,3529,Petrol,36.7,2,mercedes-benz,29758856
28,Tivoli,2020,16550,Manual,4784,Petrol,39.2,1.5,ssangyong,30223861
29,Zoe,2022,19995,Other,Electric,Automatic,5566,,renault,29958249
30,Focus,2020,19500,Manual,6749,Petrol,60.1,1,ford,30277888
31,Puma,2021,19300,Manual,7135,Petrol,52.3,1,ford,29676062
32,Tucson,2021,33200,Semi-Auto,7640,Hybrid,49.6,1.6,hyundai,30287056
33,Hatch,2022,23800,Semi-Auto,8113,Petrol,50.4,1.5,mini,29933017
34,A Class,2019,22375,Semi-Auto,8981,Petrol,53.3,1.3,mercedes-benz,29917362
35,Hatch,2020,22750,Semi-Auto,9378,Petrol,44.8,2,mini,29970414
36,8 Series,2020,41000,Semi-Auto,9455,Petrol,31.7,3,bmw,30057052
37,i40,2019,19500,Semi-Auto,9704,Diesel,53.3,1.6,hyundai,30287058
38,C3,2018,14200,Manual,9722,Petrol,42.7,1.2,citroen,30065970
39,3008,2020,25250,Semi-Auto,10196,Diesel,56.5,1.5,peugeot,29933020
40,Mazda3,2018,15750,Manual,13213,Petrol,55.4,2,mazda,30092486
41,A Class,2020,24000,Semi-Auto,13520,Petrol,28.5,1.3,mercedes-benz,29390843
42,Rio,2021,15200,Manual,14633,Petrol,52.3,1,kia,29423826
43,MX-5,2018,19500,Manual,15460,Petrol,40.9,2,mazda,30223862
44,Tipo,2019,10900,Manual,15492,Petrol,40.4,1.4,fiat,30283087
45,A1,2022,21000,Manual,15888,Petrol,47.9,1,audi,30097242
46,X2,2020,22250,Manual,17050,Petrol,41.5,1.5,bmw,30265079
47,Clio,2018,11000,Manual,19099,Petrol,47.1,0.9,renault,30275136
48,MG3,2018,7750,Manual,19332,Petrol,51.4,1.5,mg,30223865
49,1 Series,2021,24650,Semi-Auto,19802,Petrol,40.4,1.5,bmw,29594686
50,Polo,2018,14000,Manual,20783,Petrol,64.2,1,volkswagen,29982024
51,A Class,2019,19400,Semi-Auto,20989,Petrol,28.5,1.3,mercedes-benz,29510651
52,XC40,2019,30000,Semi-Auto,21098,Petrol,32.8,2,volvo,30230350
53,Q3,2019,28000,Semi-Auto,21701,Diesel,40.9,2,audi,30283085
54,A4,2019,25750,Semi-Auto,21915,Petrol,38.2,2,audi,30164443
55,Hatch,2017,13200,Manual,23241,Petrol,62.8,1.5,mini,29804325
56,Sportage,2019,22000,Automatic,23315,Diesel,47.9,1.6,kia,30164445
57,CX-5,2020,22700,Manual,23414,Petrol,39.8,2,mazda,29952482
58,Kadjar,2019,16900,Manual,25882,Diesel,55.38,1.5,renault,29917357
59,Tiguan,2017,16300,Manual,28210,Petrol,46.3,1.4,volkswagen,29799811
60,CX-30,2020,19500,Manual,29189,Petrol,47.9,2,mazda,30019072
61,E Class,2016,20750,Semi-Auto,29361,Diesel,65.7,2,mercedes-benz,29856672
62,4 Series,2020,26900,Semi-Auto,29698,Petrol,41.5,3,bmw,29933018
63,Golf,2017,23600,Semi-Auto,30238,Petrol,39.8,2,volkswagen,29856670
