,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Yeti,2015,9995,Manual,78064,Diesel,62.8,2.0,skoda,30016737
1,Macan,2014,25950,Automatic,81593,Diesel,46.3,3.0,porsche,30042698
2,A4,2016,12250,Manual,82869,Diesel,70.6,2.0,audi,30208929
3,Astra,2010,3995,Manual,90353,Petrol,44.8,1.6,vauxhall,30129393
4,Kuga,2012,5495,Manual,93688,Diesel,47.9,2.0,ford,30228663
5,Range Rover Evoque,2012,13250,Automatic,94502,Diesel,43.5,2.2,land rover,29957424
6,E Class,2013,8750,Automatic,95058,Diesel,58.9,2.1,mercedes-benz,30129395
7,i30,2011,4250,Manual,97445,Petrol,46.3,1.4,hyundai,29905274
8,A3,2018,12750,Automatic,98461,Petrol,56.5,1.5,audi,30252312
9,Fiesta,2014,4995,Manual,98751,Diesel,76.4,1.5,ford,30252311
10,Venga,2016,7500,Manual,101209,Petrol,47.9,1.6,kia,29658878
11,Ceed,2016,6995,Automatic,108464,Diesel,67.3,1.6,kia,29505441
12,TT,2013,7250,Manual,108903,Petrol,None,1.8,audi,30046299
13,Focus,2007,1995,Manual,114442,Diesel,53.3,1.8,ford,30228665
14,X3,2015,11950,Automatic,116202,Diesel,54.3,2.0,bmw,29807430
15,M Class,2009,6995,Automatic,117000,Diesel,30.4,3.0,mercedes-benz,30016738
16,Q5,2013,9750,Manual,131926,Diesel,47.9,2.0,audi,26960985
17,X1,2010,5250,Automatic,136595,Diesel,47.9,2.0,bmw,29728177
18,Wind,2011,2495,Manual,141948,Petrol,44.8,1.1,renault,29013067
19,TT,2013,6500,Manual,144067,Diesel,53.3,2.0,audi,29750997
20,V60,2016,8295,Manual,103992,Diesel,74.3,2.0,volvo,28869668
21,Enyaq,2022,31995,Black,Electric,Automatic,1321,,skoda,30285129
22,Captur,2021,17626,Manual,5768,Petrol,47.9,1,renault,30104081
23,Kamiq,2022,22695,Semi-Auto,6640,Petrol,47.1,1.5,skoda,30290402
24,MG4,2022,21106,Black,Electric,Automatic,10176,,mg,30062951
25,Rapid,2018,13731,Manual,10291,Petrol,61.4,1,skoda,30184331
26,Karoq,2022,28495,Automatic,10873,Diesel,55.4,2,skoda,30262963
27,Fabia,2021,14297,Manual,19865,Petrol,51.4,1,skoda,30162711
28,Octavia,2019,13999,Manual,20516,Petrol,50.4,1,skoda,30069533
29,Fabia,2018,14895,Manual,22410,Petrol,60.1,1,skoda,30184329
30,Octavia,2019,13999,Manual,20516,Petrol,50.4,1,skoda,30069533
31,Fabia,2018,14895,Manual,22410,Petrol,60.1,1,skoda,30184329
32,Octavia,2020,23995,Semi-Auto,22899,Diesel,61.4,2,skoda,30212609
33,Octavia,2019,22495,Semi-Auto,25642,Petrol,35.8,2,skoda,30292440
34,Superb,2019,20999,Semi-Auto,26800,Petrol,36.7,1.5,skoda,30152980
35,Octavia,2019,21995,Manual,28683,Petrol,39.2,2,skoda,30290401
36,CX-5,2019,20995,Manual,28796,Petrol,38.2,2,mazda,30212606
37,Qashqai,2018,15295,Manual,46036,Diesel,52.3,1.5,nissan,30212605
38,Citigo,2016,8195,Manual,7974,Petrol,62.8,1,skoda,30275827
39,Kamiq,2020,18995,Semi-Auto,30067,Petrol,45.6,1,skoda,30257182
40,Punto,2011,3995,Manual,45516,Petrol,54.3,1.2,fiat,30249855
41,Sandero,2015,5495,Manual,58882,Petrol,48.7,1.1,dacia,29811974
42,Altea,2014,6495,Manual,67291,Diesel,62.8,1.6,seat,30249854
43,Golf,2011,5995,Manual,69411,Diesel,68.9,1.6,volkswagen,30205127
44,Leon,2013,8995,Automatic,76532,Diesel,60.1,1.6,seat,29709174
45,A7,2014,15995,Automatic,76754,Diesel,None,3.0,audi,30038094
46,Punto,2012,3995,Manual,77913,Petrol,54.3,1.2,fiat,30205129
47,C Class,2009,5995,Automatic,80304,Diesel,42.2,2.1,mercedes-benz,30249856
48,Astra,2009,3495,Manual,82688,Petrol,43.5,1.6,vauxhall,29688646
49,Fiesta,2012,4995,Manual,84760,Diesel,68.9,1.4,ford,30249857
50,i10,2010,3795,Manual,86572,Petrol,56.5,1.2,hyundai,29709172
51,C3,2013,4495,Manual,90992,Petrol,62.8,1.2,citroen,29790019
52,C-MAX,2014,5995,Manual,91610,Petrol,55.4,1.0,ford,30291396
53,C3,2012,3995,Manual,94168,Diesel,72.4,1.4,citroen,30050473
54,Meriva,2012,3795,Manual,95021,Petrol,46.3,1.4,vauxhall,30205128
55,X1,2011,5495,Manual,110995,Diesel,53.3,2.0,bmw,30169631
56,Mazda3,2012,5995,Manual,48573,Petrol,44.1,1.6,mazda,30270734
57,Fiesta,2013,6495,Manual,84000,Petrol,65.7,1.0,ford,30291397
58,Mazda6,2013,6495,Manual,92598,Diesel,64.2,2.2,mazda,30283656
59,Fiesta,2014,6995,Manual,58720,Petrol,54.3,1.2,ford,29072308
60,Fiesta,2014,6995,Manual,58720,Petrol,54.3,1.2,ford,29072308
61,Juke,2015,7995,Manual,59900,Diesel,70.6,1.5,nissan,29887518
62,2008,2014,6995,Manual,60000,Petrol,57.7,1.2,peugeot,29945393
63,Megane,2015,6995,Manual,66300,Diesel,80.7,1.5,renault,29421974
64,Megane,2014,6500,Manual,71500,Diesel,80.7,1.5,renault,29927754
65,3 Series,2015,14995,Manual,71800,Diesel,61.4,2.0,bmw,29646010
66,3 Series,2012,8995,Manual,73000,Petrol,42.8,2.0,bmw,29633694
67,3 Series,2013,9995,Automatic,75000,Diesel,62.8,2.0,bmw,30038035
68,A1,2012,7995,Manual,81000,Diesel,74.3,1.6,audi,29306741
69,Range Rover Evoque,2012,14995,Automatic,82000,Diesel,43.5,2.2,land rover,30283640
70,Touran,2011,7500,Automatic,83000,Diesel,55.4,1.6,volkswagen,30091388
71,SLK,2004,5995,Automatic,84500,Petrol,28,3.5,mercedes-benz,30129409
72,Focus,2013,5995,Manual,85000,Petrol,47.9,1.6,ford,28327152
73,1 Series,2014,10995,Manual,85800,Petrol,47.9,1.6,bmw,29701253
74,B Class,2014,9500,Manual,89000,Diesel,61.4,1.5,mercedes-benz,29898075
75,Cayenne,2011,17995,Automatic,93200,Diesel,38.2,3.0,porsche,27958220
76,A7,2011,12995,Automatic,93800,Diesel,53.3,3.0,audi,29646011
77,Touareg,2015,17999,Automatic,94100,Diesel,42.8,3.0,volkswagen,30179572
78,Countryman,2011,5995,Manual,96600,Petrol,47.1,1.6,mini,29772448
79,3 Series,2015,8995,Manual,97700,Diesel,62.8,2.0,bmw,29183961
80,Range Rover Evoque,2015,12995,Automatic,117000,Diesel,47.1,2.2,land rover,30276214
81,XC60,2011,7500,Manual,140000,Diesel,50.4,2.4,volvo,29666590
82,C3,2018,8995,Manual,0,Petrol,60.1,1.2,citroen,30113912
83,B Class,2013,9500,Automatic,0,Diesel,64.2,1.8,mercedes-benz,30100749
84,Mokka,2016,9500,Manual,54000,Petrol,44.8,1.4,vauxhall,30296497
85,Golf,2016,13995,Manual,95000,Diesel,67.3,2.0,volkswagen,29607779
86,Q7,2012,15995,Automatic,101000,Diesel,38.2,3.0,audi,29802583
87,Kadjar,2016,11740,Automatic,46009,Diesel,74.3,1.5,renault,29801183
88,107,2012,4240,Manual,52123,Petrol,65.7,1.0,peugeot,29920857
89,Corsa,2014,5740,Manual,55214,Petrol,51.4,1.2,vauxhall,29911446
90,CLK,2006,5490,Automatic,61388,Diesel,36.7,3.0,mercedes-benz,29357279
91,DS3,2015,5740,Manual,75444,Petrol,60.1,1.2,citroen,30177821
92,C Class,2013,7490,Automatic,108004,Diesel,53.3,2.1,mercedes-benz,30107361
93,3008,2012,5740,Manual,52555,Diesel,56.5,1.6,peugeot,30299135
94,Mokka,2021,21500,Manual,10000,Petrol,50.4,1.2,vauxhall,30148352
95,1 Series,2020,23000,Automatic,23500,Petrol,42.8,1.5,bmw,30148349
96,GLE Class,2019,39000,Automatic,46000,Diesel,36.7,1.9,mercedes-benz,30148351
97,A Class,2016,12990,Manual,0,Diesel,68.9,1.5,mercedes-benz,30148350
98,A Class,2016,13000,Automatic,0,Diesel,74.3,1.5,mercedes-benz,30148348
99,Model 3,2020,33800,Automatic,11000,Other,0.1,0,tesla,30239996
100,i10,2009,3995,Manual,25179,Petrol,56.5,1.2,hyundai,30171687
101,Hatch,2012,5495,Manual,70124,Petrol,52.3,1.6,mini,30112411
102,Qashqai,2011,6995,Manual,74354,Petrol,45.6,1.6,nissan,30112412
103,Auris,2010,5495,Manual,76000,Petrol,42.8,1.6,toyota,30094353
104,Juke,2014,6795,Manual,82484,Diesel,70.6,1.5,nissan,29800788
105,MX-5,2010,6995,Manual,104697,Petrol,38.2,2.0,mazda,30122697
106,Punto,2011,3495,Manual,47196,Petrol,49.6,1.4,fiat,30244307
107,Fiesta,2008,4495,Manual,83077,Petrol,38.2,2.0,ford,30244306
108,108,2014,5995,Manual,67993,Petrol,65.7,1.2,peugeot,30303488
109,Fortwo,2015,7495,Manual,32034,Petrol,68.9,1.0,smart,30276073
110,500,2016,7295,Manual,32116,Petrol,60.1,1.2,fiat,30298584
111,Jazz,2008,5495,Automatic,45545,Petrol,47.9,1.3,honda,30265752
112,i20,2014,4995,Manual,81043,Petrol,57.6,1.2,hyundai,29233016
113,Fiesta,2018,9950,Manual,22000,Petrol,64.2,1.1,ford,30163293
114,Note,2016,7950,Manual,27000,Petrol,60.1,1.2,nissan,30222518
115,C-MAX,2015,8450,Manual,28000,Petrol,42.8,1.6,ford,29898086
116,Micra,2015,6650,Manual,29000,Petrol,56.5,1.2,nissan,30286016
117,Fiesta,2013,7650,Manual,30000,Petrol,54.3,1.2,ford,30050416
118,Fiesta,2018,11950,Manual,30000,Petrol,58.9,1.0,ford,29553980
119,Kadjar,2019,14450,Manual,31000,Petrol,None,1.3,renault,29745173
120,Meriva,2017,8450,Manual,36000,Petrol,47.1,1.4,vauxhall,30208955
121,Corsa,2020,11500,Manual,37000,Petrol,53.3,1.2,vauxhall,29802589
122,Fiesta,2015,8450,Manual,38000,Petrol,54.3,1.2,ford,30268712
123,Focus,2017,11950,Manual,38000,Diesel,74.3,1.5,ford,30156412
124,Captur,2017,10450,Manual,39000,Diesel,78.5,1.5,renault,27995794
125,Corsa,2017,7450,Manual,40000,Petrol,55.4,1.4,vauxhall,29987344
126,Juke,2014,8500,Manual,42000,Diesel,70.6,1.5,nissan,30125266
127,500,2017,7950,Manual,45000,Petrol,60.1,1.2,fiat,30046367
128,Juke,2016,9450,Manual,47000,Diesel,70.6,1.5,nissan,29666602
129,Astra,2018,9500,Manual,47000,Petrol,52.3,1.4,vauxhall,30179577
130,Clio,2018,8950,Manual,49000,Petrol,46.3,0.9,renault,29640034
131,Astra,2016,9450,Manual,49000,Petrol,51.4,1.4,vauxhall,30050411
132,Hatch,2016,8950,Manual,51000,Petrol,61.4,1.2,mini,29666604
133,GTC,2013,6250,Manual,52000,Petrol,47.9,1.4,vauxhall,30208956
134,500,2016,7450,Manual,52000,Petrol,60.1,1.2,fiat,29846682
135,Micra,2016,6750,Manual,53000,Petrol,56.5,1.2,nissan,30125265
136,Clio,2016,8950,Manual,53000,Diesel,85.6,1.5,renault,29658919
137,Clio,2016,7450,Manual,55000,Petrol,50.4,1.1,renault,30282073
138,Astra,2018,8950,Manual,55000,Diesel,85.6,1.6,vauxhall,29715519
139,Focus,2018,13450,Manual,55000,Diesel,74.3,1.5,ford,29127546
140,A1,2015,10950,Manual,59000,Diesel,80.7,1.6,audi,30113915
141,Viva,2017,6450,Manual,60000,Petrol,62.8,1.0,vauxhall,29745174
142,Corsa,2016,6750,Manual,61000,Petrol,55.4,1.4,vauxhall,30241607
143,Ibiza,2017,9500,Manual,62000,Petrol,60.1,1.0,seat,30268710
144,Corsa,2014,4950,Manual,64000,Petrol,55.4,1.0,vauxhall,30072684
145,Ibiza,2016,7450,Manual,66000,Petrol,57.6,1.2,seat,30208958
146,Passat,2015,8950,Manual,69000,Diesel,70.6,1.6,volkswagen,28547548
147,Fiesta,2009,4250,Manual,70000,Diesel,67.3,1.4,ford,30109676
148,Auris,2015,8450,Manual,70000,Diesel,67.3,1.6,toyota,30102566
149,A5,2015,12950,Manual,71000,Diesel,57.6,2.0,audi,28900470
150,Aygo,2014,6250,Manual,76000,Petrol,69,1.0,toyota,30050414
151,EcoSport,2017,9650,Manual,38000,Petrol,52.3,1.0,ford,30296501
152,Adam,2016,7950,Manual,44000,Petrol,53.3,1.2,vauxhall,30305237
153,Mondeo,2018,14500,Manual,46000,Diesel,62.8,2.0,ford,30305236
154,Octavia,2011,4950,Manual,52000,Petrol,39.8,1.6,skoda,30296502
155,Focus,2014,6650,Manual,53000,Petrol,56.5,1.0,ford,30305238
156,Fiesta,2018,9950,Manual,58000,Petrol,65.7,1.0,ford,27367132
157,Astra,2014,5750,Manual,61000,Petrol,51.4,1.4,vauxhall,30305235
158,308,2007,3250,Manual,51000,Petrol,42.2,1.6,peugeot,30305239
159,Sandero,2016,5795,Manual,22000,Petrol,48.7,1.1,dacia,30062204
160,Other,2012,34995,Manual,25500,Diesel,None,2.2,other,27016598
161,Corsa,2016,7375,Manual,33000,Petrol,55.4,1.4,vauxhall,29972692
162,i10,2015,6495,Manual,37000,Petrol,60.1,1.0,hyundai,29972693
163,Adam,2016,7650,Manual,39500,Petrol,53.3,1.2,vauxhall,28020811
164,108,2016,6495,Manual,42000,Petrol,68.9,1.0,peugeot,29690812
165,Transit Courier,2018,12495,Manual,42000,Petrol,52.3,1.0,ford,30206080
166,Fiesta,2015,7375,Manual,44000,Petrol,54.3,1.2,ford,30204380
167,Corsa,2018,7995,Manual,44000,Petrol,55.4,1.4,vauxhall,28020810
168,Megane,2012,5495,Manual,49000,Petrol,40.9,1.6,renault,29617816
169,4 Series,2017,23995,Automatic,49000,Diesel,49.6,3.0,bmw,28834708
170,Fiesta,2016,7775,Manual,50850,Diesel,78.5,1.5,ford,30177906
171,C4 Picasso,2012,5995,Manual,51000,Diesel,55.4,1.6,citroen,30218762
172,i10,2015,5995,Manual,51000,Petrol,57.6,1.2,hyundai,30177904
173,C1,2012,3795,Manual,55000,Petrol,65.7,1.0,citroen,30138197
174,Sandero Stepway,2015,5395,Manual,55000,Petrol,55.4,0.9,dacia,30138192
175,Corsa,2012,3795,Manual,56000,Petrol,51.4,1.2,vauxhall,30176411
176,Range Rover Sport,2015,32995,Automatic,61000,Diesel,40.4,3.0,land rover,27252791
177,Note,2016,6995,Manual,62000,Petrol,60.1,1.2,nissan,28020809
178,Twingo,2010,2695,Manual,63000,Petrol,50.4,1.1,renault,29824108
179,Picanto,2011,3295,Manual,63000,Petrol,58.8,1.1,kia,29630847
180,6 Series,2014,18495,Automatic,63000,Diesel,None,3.0,bmw,27016597
181,Corsa,2012,4495,Manual,66000,Petrol,51.4,1.4,vauxhall,30226780
182,Panda,2013,4495,Manual,66000,Petrol,54.3,1.2,fiat,30138202
183,Corsa,2016,6995,Manual,67000,Petrol,55.4,1.4,vauxhall,30196017
184,Yeti,2015,8995,Manual,67000,Diesel,62.8,2.0,skoda,30037297
185,Civic,2015,8495,Manual,68000,Diesel,74.3,1.6,honda,28626213
186,XJ,1974,9995,Manual,68000,Petrol,None,4.2,jaguar,29930060
187,Zafira,2014,5995,Manual,69000,Petrol,39.2,1.8,vauxhall,29579973
188,Astra,2016,7495,Manual,69000,Diesel,76.3,1.6,vauxhall,30138189
189,Tiguan,2013,10495,Manual,69000,Petrol,37.2,1.4,volkswagen,27957416
190,Corsa,2012,4995,Manual,70000,Petrol,51.4,1.2,vauxhall,30206079
191,Zafira,2013,5995,Manual,70000,Diesel,55.4,1.7,vauxhall,29486819
192,Focus,2012,5995,Manual,71000,Petrol,47.9,1.6,ford,29960599
193,Corsa,2017,6995,Manual,71000,Petrol,55.4,1.4,vauxhall,29930062
194,C3,2012,4995,Manual,72000,Diesel,61.4,1.6,citroen,29934603
195,208,2016,6795,Manual,72000,Diesel,80.7,1.6,peugeot,29130250
196,Xsara Picasso,2007,2695,Manual,73000,Diesel,55.4,1.6,citroen,30072621
197,Corsa,2013,4995,Manual,74000,Petrol,51.4,1.2,vauxhall,29990225
198,207,2010,3495,Manual,75000,Diesel,65.7,1.6,peugeot,30138186
199,Scenic,2011,3495,Manual,75000,Petrol,38.2,1.6,renault,29051193
200,CLS Class,2007,4395,Automatic,75000,Diesel,27.7,3.0,mercedes-benz,29412494
201,Corsa,2009,3495,Manual,77000,Petrol,46.3,1.2,vauxhall,30007396
202,Scenic,2010,3495,Manual,77000,Diesel,55.4,1.5,renault,30225961
203,Corsa,2011,3995,Manual,77000,Petrol,56.5,1.0,vauxhall,30134751
204,Meriva,2013,4795,Manual,77000,Petrol,47.1,1.4,vauxhall,29003515
205,Astra,2012,5495,Manual,77000,Diesel,58.9,1.2,vauxhall,29261147
206,Spitfire,1970,7500,Automatic,77700,Petrol,None,1.5,triumph,29828895
207,Corsa,2010,3995,Manual,78000,Petrol,53.3,1.2,vauxhall,29824084
208,Corsa,2011,3995,Manual,78000,Petrol,55.4,1.0,vauxhall,30007395
209,Focus,2008,9995,Manual,78000,Petrol,30.4,2.5,ford,28405011
210,Corsa,2013,5495,Manual,79000,Petrol,51.4,1.2,vauxhall,30225962
211,Corsa,2012,4495,Manual,85000,Petrol,51.4,1.2,vauxhall,29115890
212,Qashqai,2012,5995,Manual,85000,Diesel,54.3,1.5,nissan,30013452
213,Qashqai,2014,8995,Manual,85000,Diesel,74.3,1.5,nissan,28516723
214,308,2010,3495,Manual,86000,Diesel,62.8,1.6,peugeot,29579979
215,Meriva,2013,4495,Manual,86000,Petrol,46.3,1.4,vauxhall,30207846
216,Meriva,2011,3995,Manual,87000,Petrol,46.3,1.4,vauxhall,30207845
217,Meriva,2011,3795,Manual,88000,Petrol,46.3,1.4,vauxhall,29579966
218,Corsa,2013,4495,Manual,88000,Diesel,67.3,1.2,vauxhall,29579977
219,IX35,2011,5495,Manual,88000,Diesel,48.7,1.7,hyundai,29070398
220,DS3,2011,4295,Manual,89000,Diesel,76.3,1.6,citroen,29630845
221,Zafira,2012,4495,Manual,90000,Petrol,42.2,1.6,vauxhall,29028722
222,Challenger,2005,4495,Manual,91000,Diesel,None,2.5,mitsubishi,29934599
223,Astra,2013,4995,Manual,91000,Diesel,68.9,1.2,vauxhall,29630844
224,Zafira,2014,5795,Manual,91000,Petrol,39.2,1.8,vauxhall,30134742
225,Juke,2014,6495,Manual,91000,Diesel,70.6,1.5,nissan,29398371
226,Corsa,2010,3795,Manual,92000,Petrol,53.3,1.2,vauxhall,30134746
227,308,2011,4495,Manual,92000,Diesel,64.2,1.6,peugeot,30013451
228,Corsa,2013,4795,Manual,93000,Petrol,51.4,1.2,vauxhall,29341017
229,Grand C4 Picasso,2012,4995,Manual,93000,Diesel,53.3,1.6,citroen,29498617
230,Astra,2013,5150,Manual,94000,Diesel,62.8,1.7,vauxhall,29065745
231,Corsa,2010,3495,Manual,96000,Petrol,53.3,1.2,vauxhall,29990226
232,Corsa,2011,3995,Manual,96000,Petrol,53.3,1.2,vauxhall,29934595
233,Meriva,2009,2495,Manual,97000,Petrol,44.1,1.4,vauxhall,29579970
234,C4,2013,4995,Manual,97000,Diesel,67.3,1.6,citroen,27957428
235,Insignia,2009,3495,Manual,99000,Petrol,36.2,1.8,vauxhall,29616786
236,Corsa,2010,3495,Manual,101000,Petrol,56.5,1.0,vauxhall,30134748
237,Sportage,2011,6995,Manual,101000,Diesel,47.1,2.0,kia,28592671
238,Grand C4 Picasso,2010,3295,Manual,102000,Diesel,53.3,1.6,citroen,29824101
239,Grand C4 Picasso,2011,4295,Manual,102000,Diesel,53.3,1.6,citroen,30036163
240,Focus,2011,4695,Manual,104000,Petrol,47.9,1.6,ford,30250418
241,Fiesta,2012,3995,Manual,107000,Diesel,68.9,1.6,ford,28845756
242,Focus,2012,5495,Manual,108000,Diesel,67.3,1.6,ford,29579968
243,Astra,2014,4995,Manual,109000,Petrol,44.8,1.6,vauxhall,29367491
244,DS3,2014,4995,Manual,111000,Diesel,76.3,1.6,citroen,29341015
245,Corsa,2011,2995,Manual,114000,Petrol,56.5,1.0,vauxhall,28711414
246,Corsa,2007,3795,Automatic,118000,Petrol,40.9,1.4,vauxhall,30134744
247,C4 Picasso,2012,3495,Manual,119000,Diesel,54.3,1.6,citroen,30134750
248,Astra,2015,4995,Manual,130000,Diesel,56.5,1.2,vauxhall,29630842
249,Berlingo,2008,2795,Manual,142000,Petrol,37.7,1.6,citroen,30072619
250,5 Series,2013,7195,Manual,150000,Diesel,62.8,2.0,bmw,26971362
251,Corsa,2014,4995,Manual,68000,Petrol,51.4,1.2,vauxhall,30226781
252,5 Series,2013,6495,Manual,78000,Diesel,62.8,2.0,bmw,30255312
253,MX-5,2008,4495,Manual,85000,Petrol,38.7,1.8,mazda,30189819
254,Corsa,2013,4795,Manual,64000,Petrol,51.4,1.2,vauxhall,30147975
255,Clio,2018,10499,Manual,18629,Petrol,46.3,0.9,renault,27550139
256,500,2018,8499,Manual,20645,Petrol,46.3,1.2,fiat,27360835
257,500,2016,7499,Manual,26183,Petrol,60.1,1.2,fiat,27992338
258,Sandero,2019,7499,Manual,28543,Petrol,45.6,1.0,dacia,29830557
259,Micra,2018,10499,Manual,29974,Petrol,64.2,0.9,nissan,28198352
260,Meriva,2017,8499,Manual,35355,Petrol,47.1,1.4,vauxhall,29316179
261,Corsa,2016,7999,Manual,36042,Petrol,55.4,1.4,vauxhall,30282036
262,Sandero Stepway,2015,7699,Manual,37530,Petrol,55.4,0.9,dacia,30191590
263,Juke,2018,9299,Manual,37550,Petrol,47.1,1.6,nissan,29778465
264,Tipo,2017,8999,Manual,38656,Petrol,49.6,1.4,fiat,29905329
265,Note,2014,7499,Manual,43850,Petrol,60.1,1.2,nissan,29494922
