,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Juke,2022,19399,Manual,5338,Petrol,47.9,1,nissan,30015571
1,Polo,2021,19249,Semi-Auto,6000,Petrol,51.4,1,volkswagen,29892726
2,Captur,2020,19489,Semi-Auto,6822,Petrol,44.8,1.3,renault,30097982
3,Kuga,2020,21499,Manual,8544,Petrol,40.9,1.5,ford,30216238
4,Arkana,2022,23399,Semi-Auto,8610,Hybrid,57.7,1.6,renault,30285667
5,Aygo,2021,13399,Semi-Auto,9596,Petrol,56.5,1,toyota,30069697
6,Grand Scenic,2017,18900,Automatic,10079,Diesel,70.6,1.5,renault,30263543
7,Captur,2020,15899,Manual,10665,Petrol,47.1,1,renault,29494754
8,Juke,2020,19389,Manual,10970,Petrol,45.6,1,nissan,30148937
9,Juke,2020,16549,Manual,11815,Petrol,47.9,1,nissan,29884690
10,Clio,2020,12900,Manual,12323,Petrol,49.6,1,renault,30216233
11,DS 7 Crossback,2018,21799,Semi-Auto,12716,Petrol,38.7,1.6,ds,29802133
12,Fiesta,2020,14199,Manual,12900,Petrol,58.9,1,ford,29777778
13,Juke,2019,14697,Manual,12943,Petrol,47.9,1,nissan,30213454
14,Kadjar,2019,16669,Manual,13251,Diesel,55.38,1.5,renault,30290706
15,Clio,2020,13649,Manual,13800,Petrol,49.6,1,renault,30216241
16,Captur,2019,14799,Semi-Auto,13850,Diesel,67.6,1.5,renault,30016442
17,Sandero Stepway,2021,16399,Automatic,14016,Petrol,45.6,1,dacia,30097115
18,Juke,2019,14698,Manual,15403,Petrol,47.9,1,nissan,30057283
19,Kadjar,2019,15490,Manual,15510,Petrol,42.16,1.3,renault,30090978
20,Captur,2020,15598,Manual,16446,Petrol,47.1,1,renault,30280975
21,Captur,2019,11489,Manual,17419,Petrol,52.3,0.9,renault,30216243
22,Clio,2021,15989,Manual,17816,Petrol,54.3,1,renault,30280982
23,Juke,2020,15890,Manual,18041,Petrol,47.9,1,nissan,29750466
24,Captur,2021,17000,Manual,18295,Petrol,44.1,1.3,renault,30216231
25,Octavia,2020,16494,Manual,18871,Petrol,51.4,1.5,skoda,29995979
26,Captur,2022,23499,Automatic,19278,Hybrid,2.5,1.6,renault,29914808
27,C-HR,2020,21998,Automatic,20500,Hybrid,54.3,2,toyota,29708645
28,Golf,2018,17490,Semi-Auto,20687,Diesel,45.6,1.6,volkswagen,29896652
29,Kadjar,2020,15999,Manual,20938,Petrol,42.16,1.3,renault,30285664
30,Kadjar,2020,15999,Manual,20938,Petrol,42.16,1.3,renault,30285664
31,Koleos,2020,20999,Automatic,21243,Diesel,47.1,1.7,renault,29472442
32,Clio,2022,16699,Manual,21617,Petrol,53.3,1,renault,30149481
33,Fiesta,2017,11000,Manual,21812,Petrol,65.7,1,ford,30216237
34,Juke,2019,16481,Manual,22280,Petrol,47.9,1,nissan,30213455
35,Arona,2018,13290,Manual,22294,Diesel,50.4,1.6,seat,30216236
