,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Range Rover Evoque,2022,54844,Automatic,9816,Diesel,43.5,2,land rover,30270336
1,Defender,2022,82844,Automatic,10085,Hybrid,85.6,2,land rover,30270335
2,Range Rover Evoque,2021,39184,Automatic,11939,Diesel,44.1,2,land rover,30170759
3,Range Rover Sport,2022,71984,Semi-Auto,12140,Hybrid,88.3,2,land rover,30217927
4,XE,2020,26444,Automatic,13049,Petrol,36.2,2,jaguar,30275297
5,F-PACE,2021,47444,Automatic,14394,Diesel,45.6,2,jaguar,30265336
6,F-PACE,2021,50944,Automatic,15315,Diesel,38.2,3,jaguar,30224121
7,E-PACE,2022,38844,Automatic,17309,Diesel,44.1,2,jaguar,30259971
8,Discovery Sport,2021,44844,Automatic,19167,Hybrid,166.2,1.5,land rover,29478731
9,Range Rover Evoque,2021,52844,Automatic,19254,Hybrid,141.3,1.5,land rover,30287546
10,F-PACE,2021,50944,Automatic,15315,Diesel,38.2,3,jaguar,30224121
11,E-PACE,2022,38844,Automatic,17309,Diesel,44.1,2,jaguar,30259971
12,Discovery Sport,2021,44844,Automatic,19167,Hybrid,166.2,1.5,land rover,29478731
13,Range Rover Evoque,2021,52844,Automatic,19254,Hybrid,141.3,1.5,land rover,30287546
14,F-PACE,2021,46544,Automatic,19432,Diesel,45.6,2,jaguar,30265334
15,Discovery Sport,2022,48944,Automatic,19590,Hybrid,156.9,1.5,land rover,30164657
16,Discovery Sport,2021,45844,Automatic,19905,Diesel,42.2,2,land rover,30224120
17,E-PACE,2020,31844,Automatic,20576,Diesel,39.2,2,jaguar,30287548
18,Q5,2021,35744,Semi-Auto,20793,Diesel,43.5,2,audi,30217922
19,Discovery,2021,59844,Automatic,21122,Diesel,32.1,3,land rover,30292658
20,Discovery Sport,2021,43844,Automatic,21369,Diesel,41.5,2,land rover,30170760
21,Range Rover Velar,2018,42844,Automatic,21419,Petrol,30.7,2,land rover,30287547
22,Range Rover Velar,2018,33384,Automatic,21917,Diesel,52.3,2,land rover,30236998
23,Discovery Sport,2020,40544,Automatic,22350,Petrol,30.4,2,land rover,30111239
24,Range Rover Evoque,2019,35844,Automatic,22911,Petrol,30.7,2,land rover,30259972
25,Range Rover Evoque,2019,31444,Automatic,24321,Diesel,42.2,2,land rover,29478774
26,Discovery,2021,66844,Automatic,24717,Diesel,34,3,land rover,30265333
27,Range Rover Sport,2020,59844,Semi-Auto,26581,Diesel,31.7,3,land rover,30121758
28,Range Rover Evoque,2021,41844,Automatic,28914,Diesel,44.1,2,land rover,30275294
29,F-PACE,2020,34844,Automatic,30211,Diesel,42.2,2,jaguar,30259974
30,Range Rover Sport,2019,53484,Semi-Auto,31582,Hybrid,85.6,2,land rover,30287550
31,Range Rover Velar,2020,44644,Automatic,32508,Petrol,30.7,2,land rover,30236997
32,Range Rover Evoque,2019,28844,Automatic,33752,Diesel,42.2,2,land rover,30243396
33,Range Rover Evoque,2019,29994,Automatic,34597,Diesel,41.5,2,land rover,30275298
34,Range Rover Sport,2021,63944,Semi-Auto,35060,Diesel,31.4,3,land rover,30164656
35,Range Rover Evoque,2020,25784,Manual,35698,Diesel,44.8,2,land rover,30259975
36,Range Rover Sport,2018,47844,Semi-Auto,36630,Diesel,31.7,3,land rover,30265338
37,Range Rover Velar,2020,41784,Automatic,38059,Diesel,40.9,2,land rover,30152367
38,Range Rover,2019,59444,Automatic,38887,Petrol,20,5,land rover,30111240
39,Range Rover Evoque,2020,38744,Automatic,38914,Diesel,41.5,2,land rover,29478727
40,Range Rover Evoque,2020,36664,Automatic,45623,Diesel,41.5,2,land rover,29478771
41,Range Rover Velar,2017,38744,Automatic,51797,Petrol,30.1,3,land rover,30152370
42,Range Rover Sport,2018,36844,Semi-Auto,59070,Diesel,45.6,2,land rover,30259970
43,Range Rover Sport,2018,42844,Semi-Auto,70602,Diesel,40.4,3,land rover,29478751
44,F-PACE,2022,75844,Automatic,1266,Petrol,12.2,5,jaguar,30303251
45,Range Rover Sport,2022,74044,Semi-Auto,4043,Hybrid,88.3,2,land rover,30303265
46,Discovery,2021,59844,Automatic,21122,Diesel,32.1,3,land rover,30292658
47,Range Rover Sport,2019,47844,Semi-Auto,21224,Petrol,26.2,2,land rover,30303267
48,F-PACE,2021,42844,Automatic,36478,Diesel,45.6,2,jaguar,30303266
49,F-PACE,2019,28944,Automatic,37282,Diesel,42.2,2,jaguar,30186725
50,Range Rover,2018,48444,Automatic,39003,Diesel,40.9,3,land rover,29989488
51,Range Rover Evoque,2022,51844,Automatic,5459,Hybrid,188.3,1.5,land rover,30297702
52,Range Rover Sport,2021,104844,Semi-Auto,10405,Petrol,38.2,5,land rover,30287549
53,I-PACE,2022,46844,Blue,Electric,Automatic,10800,,jaguar,30297704
54,I-PACE,2022,45844,Grey,Electric,Automatic,11842,,jaguar,30297703
55,E-PACE,2020,31844,Automatic,20576,Diesel,39.2,2,jaguar,30287548
56,Range Rover Velar,2019,36844,Automatic,39149,Diesel,40.9,2,land rover,30297700
57,Range Rover Evoque,2020,29844,Manual,42543,Diesel,44.8,2,land rover,30297698
58,Range Rover Velar,2018,35844,Automatic,46240,Diesel,42.2,2,land rover,30297699
59,Range Rover Evoque,2020,32944,Automatic,54554,Diesel,41.5,2,land rover,29478729
60,Range Rover Evoque,2021,36844,Automatic,17450,Diesel,44.1,2,land rover,30035445
61,Range Rover Sport,2019,47844,Semi-Auto,21224,Petrol,26.2,2,land rover,30303267
62,F-PACE,2021,42844,Automatic,36478,Diesel,45.6,2,jaguar,30303266
63,F-PACE,2019,28944,Automatic,37282,Diesel,42.2,2,jaguar,30186725
64,Range Rover,2018,48444,Automatic,39003,Diesel,40.9,3,land rover,29989488
65,Range Rover Sport,2020,46844,Semi-Auto,47237,Hybrid,85.6,2,land rover,30035444
66,XC90,2023,49383,Semi-Auto,50,Hybrid,32.5,2,volvo,29896880
67,XC60,2022,42740,Semi-Auto,403,Hybrid,37.2,2,volvo,30244013
