,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Clio,2023,21799,Automatic,2322,Hybrid,64.2,1.6,renault,30246419
1,Sportage,2020,26799,Automatic,6288,Petrol,32.1,1.6,kia,30251670
2,Captur,2018,11399,Manual,8510,Petrol,55.4,0.9,renault,30296155
3,Clio,2020,13999,Manual,8753,Petrol,54.3,1,renault,30162220
4,208,2021,16699,Manual,9700,Petrol,56.5,1.2,peugeot,30304708
5,Sandero Stepway,2021,15699,Automatic,11804,Petrol,45.6,1,dacia,30115169
6,Captur,2019,13199,Manual,13882,Petrol,52.3,0.9,renault,30246423
7,Clio,2021,18699,Automatic,17500,Hybrid,64.2,1.6,renault,30019205
8,Clio,2020,11799,Manual,18041,Petrol,49.6,1,renault,30233887
9,Tucson,2022,29999,Semi-Auto,19052,Hybrid,48.7,1.6,hyundai,30132774
10,Captur,2016,7699,Manual,80764,Diesel,78.5,1.5,renault,30304822
11,Clio,2023,21799,Automatic,2322,Hybrid,64.2,1.6,renault,30246419
12,Sportage,2020,26799,Automatic,6288,Petrol,32.1,1.6,kia,30251670
13,Clio,2020,13999,Manual,8753,Petrol,54.3,1,renault,30162220
14,Sandero Stepway,2021,15699,Automatic,11804,Petrol,45.6,1,dacia,30115169
15,Captur,2019,13199,Manual,13882,Petrol,52.3,0.9,renault,30246423
16,Clio,2021,18699,Automatic,17500,Hybrid,64.2,1.6,renault,30019205
17,Clio,2020,11799,Manual,18041,Petrol,49.6,1,renault,30233887
18,Tucson,2022,29999,Semi-Auto,19052,Hybrid,48.7,1.6,hyundai,30132774
19,Swift,2020,10999,Manual,19336,Hybrid,56.5,1.2,suzuki,30184206
20,Duster,2020,16499,Manual,23512,Petrol,44.8,1.3,dacia,30213671
21,Sandero,2020,9299,Manual,27458,Hybrid,46.3,1,dacia,30191099
22,Kadjar,2020,15699,Manual,28144,Petrol,42.16,1.3,renault,30213928
23,Captur,2018,10999,Manual,28764,Petrol,55.4,0.9,renault,30220764
24,C4 Cactus,2019,10499,Manual,34009,Petrol,55.4,1.2,citroen,30184204
25,Kadjar,2019,14699,Manual,34698,Petrol,42.16,1.3,renault,30168218
26,Clio,2018,10399,Manual,38106,Petrol,47.1,0.9,renault,30191182
27,X3,2016,19699,Semi-Auto,39944,Diesel,54.3,2,bmw,29914516
28,Corsa,2016,7699,Manual,40256,Petrol,55.4,1.4,vauxhall,30265301
29,Captur,2020,13499,Manual,40323,Diesel,58.9,1.5,renault,30086383
30,Vitara,2017,11699,Manual,40752,Petrol,53.3,1.6,suzuki,30129110
31,1 Series,2018,13999,Manual,40930,Diesel,50.4,1.5,bmw,30129316
32,3008,2018,16999,Semi-Auto,41344,Petrol,48.7,1.6,peugeot,30057474
33,Zoe,2015,5799,Grey,Electric,Automatic,41712,,renault,30057475
34,Duster,2019,12999,Manual,41767,Petrol,41.5,1.3,dacia,30119223
35,NX,2019,24999,Automatic,42001,Hybrid,37.2,2.5,lexus,29982863
36,C4,2019,12699,Manual,58308,Petrol,42.8,1.2,citroen,30213669
37,i10,2017,6699,Manual,59548,Petrol,60.1,1,hyundai,30213926
38,X5,2017,25299,Automatic,80259,Diesel,47.1,3,bmw,30028336
39,Sandero Stepway,2014,7000,Manual,24237,Petrol,52.3,0.9,dacia,30147829
40,Yeti,2010,9000,Manual,37000,Diesel,47.1,2.0,skoda,29991392
41,Kuga,2015,10000,Manual,46136,Diesel,60.1,2.0,ford,30226899
42,500,2014,5490,Manual,49000,Petrol,58.9,1.2,fiat,30144936
43,500L,2015,6995,Manual,49658,Petrol,45.6,1.4,fiat,29940437
44,208,2016,7000,Manual,51000,Petrol,62.8,1.2,peugeot,30204340
45,Adam,2015,7190,Manual,52000,Petrol,53.3,1.2,vauxhall,30144934
46,Megane,2016,7000,Manual,52069,Diesel,80.7,1.5,renault,29940441
47,RCZ,2012,7290,Manual,56179,Diesel,53.3,2.0,peugeot,29606212
48,Other,2016,7490,Manual,59000,Petrol,65.7,1.2,other,30070481
49,Insignia,2013,6000,Manual,60000,Petrol,54.3,1.4,vauxhall,30144931
50,A1,2014,9000,Manual,60000,Petrol,52.3,1.4,audi,30255206
51,X5,2015,25000,Automatic,60000,Diesel,47.1,3.0,bmw,29492650
52,308,2016,7490,Manual,65000,Diesel,91.1,1.6,peugeot,29239957
53,SLK,2011,11000,Automatic,69085,Petrol,42.8,1.8,mercedes-benz,29699314
54,Hatch,2014,7490,Manual,70900,Diesel,80.7,1.5,mini,29940448
55,Leaf,2014,6490,Automatic,73000,Other,None,1,nissan,29940446
56,GLA Class,2015,14000,Automatic,73500,Diesel,55.4,2.1,mercedes-benz,30245684
57,2008,2016,7690,Manual,81300,Petrol,57.6,1.2,peugeot,30249116
58,5 Series,2015,13000,Automatic,83000,Diesel,62.8,2.0,bmw,29940445
59,A1,2012,7490,Manual,83500,Diesel,70.6,1.6,audi,30030216
60,F-PACE,2018,22500,Automatic,87000,Diesel,48.7,2.0,jaguar,30226900
61,500,2009,3000,Manual,89000,Petrol,55.4,1.2,fiat,30262136
62,B Class,2012,7000,Manual,89000,Diesel,61.4,1.8,mercedes-benz,29126950
63,B-MAX,2013,4000,Manual,120000,Petrol,47.1,1.4,ford,30173213
64,308,2019,6990,Manual,133000,Diesel,62.8,1.5,peugeot,29940450
65,Juke,2023,20399,Manual,3000,Petrol,47.9,1,nissan,30152050
66,Qashqai,2023,34499,Semi-Auto,3000,Hybrid,51.4,1.5,nissan,29727545
67,Juke,2020,21499,Semi-Auto,7264,Petrol,44.1,1,nissan,30295384
68,Hatch,2021,22499,Semi-Auto,8835,Petrol,44.8,2,mini,30227573
69,Z4,2016,20899,Semi-Auto,10367,Petrol,41.5,2,bmw,30233884
70,Taycan,2020,87999,White,Electric,Automatic,13871,,porsche,30132769
71,Giulietta,2020,16799,Manual,25602,Petrol,37.7,1.4,alfa romeo,30233885
72,1 Series,2019,16499,Semi-Auto,54480,Diesel,62.8,2,bmw,30102440
73,MX-5,2022,26899,Manual,2739,Petrol,40.9,2,mazda,30273157
74,Leaf,2022,19399,Grey,Electric,Automatic,3000,,nissan,29464236
75,Leaf,2022,19499,Blue,Electric,Automatic,3000,,nissan,29464245
76,Leaf,2023,23299,Grey,Electric,Automatic,3000,,nissan,30152048
77,Leaf,2023,23799,White,Electric,Automatic,3000,,nissan,30152045
78,Leaf,2023,24299,Black,Electric,Automatic,3000,,nissan,30016295
79,Qashqai,2023,32999,Semi-Auto,3000,Hybrid,44.1,1.3,nissan,30258868
80,Qashqai,2023,34499,Semi-Auto,3000,Hybrid,51.4,1.5,nissan,29727545
81,Juke,2023,24399,Semi-Auto,5000,Petrol,44.1,1,nissan,29557893
82,Leaf,2022,25999,Black,Electric,Automatic,5000,,nissan,29464248
83,Juke,2022,23699,Semi-Auto,6049,Petrol,44.1,1,nissan,30300328
84,Juke,2023,25499,Automatic,6478,Hybrid,55.4,1.6,nissan,29509529
85,3 Series,2022,44999,Semi-Auto,6951,Hybrid,188.3,2,bmw,30157795
86,Juke,2020,21499,Semi-Auto,7264,Petrol,44.1,1,nissan,30295384
87,Leaf,2022,18999,Grey,Electric,Automatic,7500,,nissan,29464228
88,Mokka,2021,19499,Manual,9392,Petrol,50.4,1.2,vauxhall,29993005
89,Juke,2021,20499,Manual,10871,Petrol,45.6,1,nissan,30149146
90,Grandland X,2020,18299,Manual,11092,Petrol,45.6,1.2,vauxhall,30129108
91,Juke,2021,21299,Semi-Auto,11979,Petrol,44.1,1,nissan,30063147
92,2008,2017,12699,Manual,13115,Petrol,60.1,1.2,peugeot,30063156
93,Juke,2021,19899,Manual,14115,Petrol,45.6,1,nissan,30063154
94,Eclipse Cross,2020,19999,Semi-Auto,14466,Petrol,32.5,1.5,mitsubishi,29992237
95,Macan,2019,48599,Semi-Auto,15958,Petrol,28.2,2,porsche,29683744
96,Range Rover Velar,2020,46799,Automatic,16318,Petrol,30.7,2,land rover,30253299
97,A5,2022,44699,Semi-Auto,19516,Diesel,39.2,3,audi,30242962
98,Civic,2017,14299,Manual,21211,Petrol,55.4,1,honda,30169148
99,XE,2017,19599,Automatic,22462,Petrol,44.8,2,jaguar,30246417
100,C-HR,2018,15499,Manual,23359,Petrol,47.1,1.2,toyota,30300329
101,Juke,2020,15099,Manual,24000,Petrol,47.9,1,nissan,30168205
102,Tiguan,2020,27799,Semi-Auto,25275,Diesel,45.6,2,volkswagen,30184190
103,Wrangler,2021,45999,Automatic,25414,Petrol,25.5,2,jeep,30295393
104,X Trail,2020,22299,Automatic,25799,Petrol,37.2,1.3,nissan,30057461
105,Mokka X,2018,13499,Manual,26547,Petrol,39.2,1.4,vauxhall,30213909
106,Qashqai,2019,15999,Manual,26591,Diesel,52.3,1.5,nissan,30213911
107,Shogun,2021,29399,Automatic,26975,Diesel,31.4,2.4,mitsubishi,30267634
108,Range Rover Evoque,2019,34299,Automatic,28085,Petrol,30.4,2,land rover,30069364
