,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Ka,2015,3995,Manual,85000,Petrol,57.7,1.2,ford,29908545
1,Focus,2009,2995,Manual,86700,Petrol,42.2,1.6,ford,30154373
2,Polo,2010,4295,Manual,90000,Petrol,51.4,1.2,volkswagen,30183002
3,107,2010,2995,Manual,90870,Petrol,62.8,1.0,peugeot,29748821
4,Fiesta,2009,4495,Automatic,100000,Petrol,43.4,1.4,ford,30083764
5,Ateca,2017,11995,Manual,101000,Diesel,55.4,2.0,seat,30036946
6,Focus,2011,2995,Manual,105000,Diesel,62.8,1.6,ford,30113070
7,1 Series,2010,4995,Manual,106300,Diesel,62.8,2.0,bmw,29305155
8,Qashqai,2010,4295,Manual,106500,Petrol,45.6,1.6,nissan,29331283
9,Qashqai,2011,4295,Manual,108000,Diesel,54.3,1.5,nissan,30014211
10,Qashqai,2011,4295,Manual,108000,Diesel,54.3,1.5,nissan,30014211
11,Ka,2010,3295,Manual,109000,Petrol,55.4,1.2,ford,29896294
12,Aygo,2009,2495,Manual,110000,Petrol,62.8,1.0,toyota,30048951
13,Fiesta,2010,3495,Manual,111000,Petrol,49.6,1.2,ford,29484400
14,Note,2006,1995,Manual,116000,Petrol,44.8,1.4,nissan,29647875
15,Focus,2009,3295,Manual,117000,Diesel,62.8,1.6,ford,30094866
16,Qashqai,2008,2995,Manual,119510,Diesel,54.3,1.5,nissan,30232536
17,Fiesta,2011,3495,Manual,122000,Petrol,48.7,1.4,ford,30226660
18,Auris,2007,2495,Manual,123100,Diesel,45.6,2.2,toyota,29631485
19,3 Series,2008,3495,Manual,123400,Diesel,60.1,2.0,bmw,29532430
20,A3,2011,3495,Manual,139950,Diesel,68.9,1.6,audi,30041762
21,Civic,2008,2495,Manual,140000,Diesel,55.4,2.2,honda,30040695
22,3 Series,2010,4495,Automatic,144632,Diesel,53.3,2.0,bmw,29092021
23,A3,2008,2695,Manual,145100,Petrol,35.3,1.6,audi,29754673
24,Focus,2011,2995,Manual,145900,Diesel,62.8,1.6,ford,29748820
25,Insignia,2013,2995,Manual,149900,Diesel,58.9,2.0,vauxhall,30099887
26,Focus,2007,2695,Manual,61900,Petrol,42.1,1.6,ford,30206636
27,Qashqai,2009,3695,Manual,89000,Petrol,42.2,1.6,nissan,30248988
28,Civic,2008,2995,Manual,95300,Petrol,47.9,1.3,honda,30219538
29,A3,2012,4995,Manual,102000,Diesel,68.9,1.6,audi,30266373
30,Megane,2000,995,Manual,88000,Petrol,42.9,1.4,renault,30294233
31,Qashqai,2009,3695,Manual,89000,Petrol,42.2,1.6,nissan,30248988
32,X Trail,2006,2995,Manual,94000,Diesel,37.2,2.2,nissan,30278737
33,S-MAX,2006,2995,Manual,94000,Diesel,44.1,2.0,ford,30284508
34,X Trail,2007,3995,Manual,94000,Diesel,39.8,2.0,nissan,30255055
35,Qashqai,2010,4495,Manual,95000,Diesel,55.3,1.5,nissan,30289186
36,Civic,2008,2995,Manual,95300,Petrol,47.9,1.3,honda,30219538
37,Juke,2011,4995,Manual,96000,Diesel,55.4,1.5,nissan,30303916
38,Civic,2006,2795,Manual,100000,Petrol,44.1,1.8,honda,30278740
39,A3,2012,4995,Manual,102000,Diesel,68.9,1.6,audi,30266373
40,Corsa,2007,1395,Manual,118000,Diesel,62.8,1.2,vauxhall,30276581
41,Civic,2006,2495,Manual,118000,Petrol,44.1,1.8,honda,28256244
42,Corolla,2006,2395,Manual,125000,Diesel,44.8,2.2,toyota,30284506
43,A5,2011,5495,Manual,137000,Diesel,55.4,2.0,audi,30303915
44,Kuga,2009,3995,Manual,137900,Diesel,44.1,2.0,ford,30303914
45,Golf,2004,1695,Manual,213000,Diesel,49.6,2.0,volkswagen,30261904
46,Zoe,2022,26500,Automatic,100,Other,None,0,renault,29791967
47,Zoe,2022,21995,Automatic,396,Other,None,0,renault,29443479
48,Zoe,2021,16995,Automatic,4887,Other,None,0,renault,28965233
49,Zoe,2020,16495,Automatic,8922,Other,None,0,renault,29360302
50,Captur,2020,19250,Automatic,8972,Petrol,44.8,1.3,renault,29964664
51,Zoe,2022,17995,Automatic,10398,Other,None,0,renault,28834386
52,Sandero Stepway,2020,11825,Manual,13276,Petrol,55.4,0.9,dacia,30232437
