,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,C1,2020,9395,Manual,24586,Petrol,58.9,1,citroen,30224206
1,C4,2021,16995,Manual,25000,Petrol,54.3,1.2,citroen,30149787
2,C3,2019,11995,Manual,25605,Petrol,46.6,1.2,citroen,29878116
3,C5 Aircross,2021,18795,Manual,30626,Diesel,61.4,1.5,citroen,29906605
4,DS3,2015,7295,Manual,30860,Petrol,60.1,1.2,citroen,30070711
5,C3,2021,12895,Manual,32714,Petrol,54.3,1.2,citroen,30081574
6,C3,2020,15495,Manual,17335,Petrol,51.4,1.2,citroen,30301173
7,C3,2020,10995,Manual,43302,Petrol,51.4,1.2,citroen,30301174
8,C3,2023,16995,Manual,100,Petrol,53.3,1.2,citroen,30291134
9,C4,2023,26995,Semi-Auto,100,Petrol,50.4,1.2,citroen,30291135
10,C5 Aircross,2023,30495,Semi-Auto,1000,Petrol,46.3,1.2,citroen,30291133
11,308,2020,14990,Manual,10000,Petrol,52.3,1.2,peugeot,29117030
12,ID3,2021,27250,Automatic,13000,Other,None,1,volkswagen,30068652
13,A Class,2019,23990,Automatic,14000,Diesel,56.5,1.9,mercedes-benz,29922010
14,Golf,2019,17990,Manual,22000,Petrol,47.9,1.5,volkswagen,29117032
15,Range Rover Sport,2019,57490,Automatic,24000,Diesel,None,3.0,land rover,28362224
16,Adam,2016,8990,Manual,25000,Petrol,52.3,1.4,vauxhall,30138989
17,F-TYPE,2017,45990,Automatic,36000,Petrol,25,5.0,jaguar,30220085
18,Transit Custom,2020,23990,Manual,37000,Diesel,46.3,2.0,ford,30037687
19,Boxster,2004,10990,Automatic,62000,Petrol,25.5,3.2,porsche,30274160
20,Superb,2016,17990,Automatic,63000,Diesel,61.4,2.0,skoda,29972970
21,Model S,2017,24990,Automatic,64000,Other,None,1,tesla,30274159
22,Tucson,2023,32992,Semi-Auto,103,Hybrid,43.5,1.6,hyundai,30223904
23,ZS,2021,18495,Manual,422,Petrol,42.8,1,mg,30054399
24,i10,2022,15893,Manual,1562,Petrol,53.3,1,hyundai,29966968
25,Kona,2022,22312,Manual,1681,Hybrid,46.3,1,hyundai,30059042
26,Tucson,2022,35142,Semi-Auto,1766,Hybrid,49.6,1.6,hyundai,30169206
27,Tucson,2023,34923,Semi-Auto,2072,Hybrid,48.7,1.6,hyundai,30109129
28,HS,2023,23100,Manual,2719,Petrol,38.2,1.5,mg,30228347
29,HS,2023,29400,Automatic,2734,Hybrid,156.9,1.5,mg,30228348
30,MG5,2023,29800,Silver,Electric,Automatic,2793,,mg,30228345
31,i10,2020,15654,Manual,5054,Petrol,55.4,1.2,hyundai,30074486
32,i10,2021,15793,Semi-Auto,5641,Petrol,52.3,1.2,hyundai,27164774
33,Tucson,2022,34261,Semi-Auto,5984,Hybrid,48.7,1.6,hyundai,30228339
34,Tucson,2022,31992,Semi-Auto,6948,Hybrid,49.6,1.6,hyundai,30179263
35,i20,2021,15511,Manual,7398,Petrol,53.3,1,hyundai,30222294
36,Tucson,2021,23191,Semi-Auto,7887,Hybrid,50.4,1.6,hyundai,30228338
37,Tucson,2021,27999,Manual,7975,Petrol,40.9,1.6,hyundai,29795394
38,i20,2021,15153,Manual,10000,Petrol,53.3,1,hyundai,30129209
39,Bayon,2021,18323,Semi-Auto,10000,Hybrid,53.3,1,hyundai,30129206
40,Bayon,2021,18323,Semi-Auto,10000,Hybrid,53.3,1,hyundai,30129207
41,Bayon,2021,20373,Semi-Auto,11981,Hybrid,53.3,1,hyundai,30184948
42,Tucson,2022,37352,Semi-Auto,12519,Hybrid,201.8,1.6,hyundai,30191161
43,i20,2021,14993,Manual,12556,Petrol,53.3,1,hyundai,30129208
44,i30,2021,18894,Manual,13035,Petrol,64.2,1,hyundai,30069711
45,Tucson,2022,29842,Semi-Auto,13836,Hybrid,49.6,1.6,hyundai,30109127
46,i20,2022,16624,Manual,14010,Hybrid,55.4,1,hyundai,30059041
47,Tucson,2021,30393,Semi-Auto,17457,Hybrid,43.5,1.6,hyundai,30104344
48,Tucson,2021,25574,Manual,20970,Petrol,40.9,1.6,hyundai,30074492
49,Tucson,2021,20972,Semi-Auto,30706,Hybrid,50.4,1.6,hyundai,30179262
50,Tucson,2021,25574,Manual,20970,Petrol,40.9,1.6,hyundai,30074492
51,IONIQ,2019,17735,Automatic,25500,Hybrid,78.5,1.6,hyundai,26606158
52,Tucson,2021,20972,Semi-Auto,30706,Hybrid,50.4,1.6,hyundai,30179262
53,ZS,2019,12181,Manual,35537,Petrol,47.1,1.5,mg,25981472
54,Tucson,2017,19790,Automatic,36162,Diesel,43.5,2,hyundai,30277035
55,Leaf,2016,8849,Black,Electric,Automatic,40299,,nissan,29369595
56,Kona,2019,14223,Manual,41816,Petrol,44.1,1,hyundai,26161318
57,Kona,2018,13393,Manual,42961,Petrol,44.1,1,hyundai,27405373
58,MG4,2022,23391,White,Electric,Automatic,3206,,mg,30216318
59,Tucson,2023,32950,Semi-Auto,4777,Hybrid,49.6,1.6,hyundai,30304907
60,ZS,2021,17991,Manual,12674,Petrol,42.8,1,mg,30252022
61,Tucson,2021,22493,Semi-Auto,13041,Hybrid,50.4,1.6,hyundai,30158207
62,Tucson,2021,22651,Semi-Auto,13250,Hybrid,50.4,1.6,hyundai,30222293
63,ZS,2021,16991,Manual,13980,Petrol,42.8,1.5,mg,30252023
64,i10,2021,15490,Manual,15793,Petrol,52.3,1,hyundai,30295793
65,i10,2021,15141,Manual,16784,Petrol,52.3,1,hyundai,30249735
66,Tucson,2020,25267,Semi-Auto,21244,Hybrid,None,1.6,hyundai,30222292
67,Tucson,2021,31393,Semi-Auto,21568,Hybrid,48.7,1.6,hyundai,30158206
68,i30,2018,11625,Manual,24900,Petrol,57.7,1,hyundai,30054384
69,IONIQ,2019,17735,Automatic,25500,Hybrid,78.5,1.6,hyundai,26606158
70,ZS,2021,16991,Manual,13980,Petrol,42.8,1.5,mg,30252023
71,i10,2022,13590,Manual,14335,Petrol,56.5,1,hyundai,30304904
72,i10,2021,15141,Manual,16784,Petrol,52.3,1,hyundai,30249735
73,Tucson,2021,22196,Manual,16948,Petrol,42.2,1.6,hyundai,30003487
74,i10,2021,13990,Manual,18484,Petrol,53.3,1,hyundai,30304906
75,Tucson,2020,25267,Semi-Auto,21244,Hybrid,None,1.6,hyundai,30222292
76,Tucson,2021,31393,Semi-Auto,21568,Hybrid,48.7,1.6,hyundai,30158206
77,Tucson,2018,17790,Semi-Auto,22438,Diesel,57.6,1.7,hyundai,30300740
78,ZS,2020,14100,Manual,22914,Petrol,41.5,1.5,mg,30281007
79,i30,2019,15060,Manual,23158,Petrol,41.5,1.4,hyundai,30300736
80,Tucson,2023,32950,Semi-Auto,4777,Hybrid,49.6,1.6,hyundai,30304907
81,i20,2021,15390,Manual,13800,Hybrid,55.4,1,hyundai,28816166
82,i10,2022,13590,Manual,14335,Petrol,56.5,1,hyundai,30304904
83,Tucson,2021,22196,Manual,16948,Petrol,42.2,1.6,hyundai,30003487
84,i10,2021,13990,Manual,18484,Petrol,53.3,1,hyundai,30304906
85,Tucson,2018,14990,Manual,55166,Petrol,38.7,1.6,hyundai,30304905
86,Kona,2020,12991,Manual,51000,Petrol,44.1,1,hyundai,30243156
87,Sandero Stepway,2015,8490,Manual,18000,Diesel,70.6,1.5,dacia,29196628
88,EcoSport,2016,9490,Manual,39000,Petrol,52.3,1.0,ford,30201910
89,Mokka,2013,7990,Manual,42000,Petrol,44.1,1.4,vauxhall,30201912
90,Micra,2014,6490,Manual,43000,Petrol,56.5,1.2,nissan,29710072
91,DS3,2015,7490,Manual,43000,Petrol,60.1,1.2,citroen,29536392
92,Corsa,2014,6490,Manual,44000,Petrol,51.4,1.2,vauxhall,29994868
93,i20,2015,7990,Manual,46000,Petrol,51.4,1.4,hyundai,30277804
94,2008,2015,8490,Manual,49000,Petrol,60.1,1.2,peugeot,30126876
95,Sandero,2013,5490,Manual,52000,Petrol,47.9,1.1,dacia,29668450
96,i10,2012,4950,Manual,57000,Petrol,61.4,1.2,hyundai,29359230
97,Astra,2017,8990,Manual,57000,Petrol,52.3,1.4,vauxhall,30191917
98,Kuga,2015,12990,Manual,57000,Diesel,60.1,2.0,ford,30277802
99,500,2014,7990,Manual,59000,Petrol,43.5,1.4,abarth,30103079
100,IX20,2013,6750,Manual,60000,Diesel,64.2,1.6,hyundai,29423120
101,Picanto,2015,6990,Manual,60000,Petrol,62.8,1.0,kia,29847611
102,Captur,2013,7250,Manual,60000,Diesel,76.4,1.5,renault,29196627
