,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2018,15799,Manual,10977,Petrol,47.9,1.0,audi,29563107
1,Q2,2017,20049,Semi-Auto,11143,Petrol,54.3,1.4,audi,30003803
2,A1,2019,18049,Manual,11294,Petrol,51.4,1.0,audi,29831148
3,Q2,2021,25049,Manual,11696,Petrol,45.6,1.0,audi,29836479
4,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
5,A1,2019,20049,Manual,12561,Petrol,46.3,1.5,audi,29842526
6,A3,2021,24599,Manual,12821,Petrol,45.6,1.5,audi,29709669
7,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
8,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
9,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
10,A3,2020,21349,Manual,16586,Petrol,50.4,1.0,audi,30008871
11,Q3,2019,26049,Semi-Auto,16668,Diesel,48.7,2.0,audi,29619780
12,Q3,2020,32049,Semi-Auto,17458,Petrol,40.4,1.5,audi,29950330
13,A1,2019,18049,Manual,18264,Petrol,51.4,1.0,audi,29916035
14,A1,2020,17649,Manual,18697,Petrol,49.6,1.0,audi,29836563
15,TT,2019,25049,Manual,18983,Petrol,38.2,2.0,audi,29969263
16,Q5,2018,26549,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
17,Q2,2019,20849,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
18,A3,2019,22999,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
19,A3,2020,27049,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
20,S3,2020,31549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
21,TT,2019,25049,Semi-Auto,16291,Petrol,40.9,2.0,audi,29854965
22,Q2,2017,22049,Semi-Auto,16524,Petrol,52.3,1.4,audi,30042348
23,A3,2020,21349,Manual,16586,Petrol,50.4,1.0,audi,30008871
24,Q3,2019,26049,Semi-Auto,16668,Diesel,48.7,2.0,audi,29619780
25,A1,2017,15499,Semi-Auto,16768,Petrol,57.6,1.4,audi,29893716
26,A3,2017,20949,Semi-Auto,16795,Diesel,61.4,2.0,audi,29888530
27,A3,2018,19549,Manual,17404,Petrol,47.1,1.0,audi,29888080
28,Q3,2020,32049,Semi-Auto,17458,Petrol,40.4,1.5,audi,29950330
29,TT,2016,17799,Manual,17595,Petrol,47.1,1.8,audi,29969219
30,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
31,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
32,A3,2018,19699,Semi-Auto,23961,Petrol,56.5,1.5,audi,29651750
33,Q3,2017,18049,Manual,24026,Petrol,51.4,1.4,audi,29950403
34,A1,2016,12799,Manual,24246,Petrol,57.6,1.4,audi,29855079
35,A3,2019,19299,Manual,24421,Petrol,42.8,1.5,audi,29658789
36,Q3,2019,27549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
37,Q2,2019,23249,Semi-Auto,25229,Petrol,42.2,1.5,audi,29871778
38,Q2,2019,18549,Manual,25278,Diesel,47.9,1.6,audi,29389445
39,A1,2017,12449,Manual,25429,Petrol,67.3,1.0,audi,29842621
40,Q2,2019,19349,Semi-Auto,25671,Diesel,47.9,1.6,audi,29675625
41,A3,2020,20049,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
42,A3,2017,17449,Semi-Auto,25806,Diesel,70.6,1.6,audi,29568559
43,A1,2017,17049,Manual,25836,Petrol,70.6,1.4,audi,30015291
44,Q2,2019,19049,Manual,26163,Petrol,47.1,1.0,audi,30003734
45,A4,2016,18049,Manual,26341,Diesel,68.9,2.0,audi,29916201
46,A3,2018,20049,Semi-Auto,26463,Petrol,56.5,1.5,audi,29733970
