,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A6,2018,54495,Automatic,32300,Petrol,29.4,4.0,audi,29432645
1,Q5,2019,26951,Automatic,33704,Diesel,39.2,2.0,audi,29841392
2,A4,2020,28691,Automatic,39928,Diesel,44.1,2.0,audi,29881835
3,Q8,2020,45491,Automatic,44343,Diesel,33.2,3.0,audi,29850658
4,Q3,2019,29841,Automatic,60951,Petrol,30.7,2.0,audi,29754986
5,A1,2020,17781,Manual,12183,Petrol,None,1.0,audi,29543265
6,TT,2014,7991,Manual,75086,Petrol,None,1.8,audi,28888232
7,Q3,2017,20991,Manual,31154,Diesel,54.3,2.0,audi,29987401
8,Q3,2019,25691,Automatic,34240,Diesel,47.1,2.0,audi,30024179
9,A6,2019,27395,Automatic,27852,Diesel,50.4,2.0,audi,29672165
10,A3,2017,13645,Manual,40151,Petrol,62.8,1.0,audi,29788535
11,Q2,2021,24395,Manual,46785,Petrol,44.8,1.5,audi,29965653
12,A3,2017,12995,Manual,76616,Petrol,60.1,1.4,audi,29957572
13,Q2,2019,20195,Manual,20315,Petrol,44.8,1.5,audi,29726472
14,A1,2017,11995,Manual,44089,Petrol,67.3,1.0,audi,29403179
15,A1,2017,9995,Manual,74522,Petrol,67.3,1.0,audi,29944221
16,A5,2019,25399,Semi-Auto,7992,Petrol,39.8,2,audi,29836754
17,Q2,2020,25199,Manual,15000,Petrol,43.5,1.5,audi,29785667
18,A3,2018,27999,Semi-Auto,22667,Petrol,34.9,2,audi,29738834
19,A1,2017,11799,Manual,39700,Diesel,76.3,1.6,audi,29640634
20,RS5,2021,59995,Automatic,107,Petrol,29.1,2.9,audi,28035077
21,RS5,2021,61995,Automatic,6435,Petrol,28.8,2.9,audi,28730339
22,SQ8,2022,79995,Automatic,13340,Petrol,22.4,4.0,audi,29931771
23,RS Q8,2021,97995,Automatic,31028,Petrol,20.2,4.0,audi,28453543
24,RS Q8,2020,89995,Automatic,31742,Petrol,20.5,4.0,audi,27531990
25,A3,2017,18495,Manual,38823,Petrol,54.3,1.5,audi,29931792
26,A1,2017,11995,Manual,40244,Petrol,67.3,1.0,audi,29673546
27,A4,2017,14695,Manual,48391,Diesel,74.3,2.0,audi,29998453
28,TT,2017,17695,Manual,51070,Diesel,46.3,1.8,audi,29931788
29,A1,2013,7995,Manual,67377,Diesel,None,1.6,audi,30008747
30,Q8,2018,36995,Automatic,83555,Diesel,33.6,3.0,audi,28629286
31,A3,2016,10495,Manual,83860,Diesel,74.3,1.6,audi,29931735
32,Q3,2016,11595,Manual,99469,Diesel,60.1,2.0,audi,30031549
33,A8,2021,42995,Automatic,20667,Diesel,39.2,3.0,audi,30040071
34,A3,2016,12695,Manual,42731,Petrol,60.1,1.0,audi,30045779
35,A4,2013,9999,Manual,83844,Diesel,62.8,2.0,audi,29944265
36,Q5,2011,10699,Manual,91110,Diesel,42.1,2.0,audi,29944276
37,A5,2015,8999,Automatic,122000,Diesel,58.9,2.0,audi,29944259
38,Q3,2022,33999,Automatic,12122,Diesel,49.6,2.0,audi,30019825
39,A4,2015,13977,Manual,78000,Diesel,56.5,2,audi,29751381
40,A4,2016,12677,Manual,87000,Diesel,74.3,2,audi,29825834
41,A1,2015,10977,Manual,70000,Petrol,67.3,1,audi,29825835
42,A6,2020,28477,Semi-Auto,21000,Diesel,50.4,2,audi,29074682
43,Q3,2015,15977,Manual,54000,Diesel,52.3,2,audi,29027709
44,A3,2019,24000,Semi-Auto,4141,Petrol,42.2,1.5,audi,29762064
45,Q3,2020,31440,Semi-Auto,15348,Petrol,39.8,1.5,audi,29684441
46,A3,2020,25867,Semi-Auto,16382,Petrol,47.9,1.5,audi,29848057
47,A1,2019,14495,Manual,28837,Petrol,51.4,1,audi,29708387
48,Q2,2017,18995,Semi-Auto,70106,Petrol,54.3,1.4,audi,30003054
49,A6,2021,36995,Automatic,16700,Diesel,47.1,2.0,audi,29426943
50,A1,2012,5595,Manual,90000,Diesel,74.3,1.6,audi,29040167
51,A3,2016,9595,Manual,111000,Diesel,None,2.0,audi,27971751
52,Q3,2015,12295,Manual,68380,Diesel,61.4,2.0,audi,29380865
53,A1,2014,7295,Manual,76255,Diesel,70.6,1.6,audi,29875174
54,Q2,2019,20995,Manual,13154,Petrol,47.1,1.0,audi,29911497
55,A1,2019,18995,Manual,14084,Petrol,51.4,1.0,audi,29966485
56,A3,2018,21495,Automatic,19272,Petrol,48.7,2.0,audi,29845109
57,A1,2017,11995,Manual,41284,Petrol,67.3,1.0,audi,29776663
58,A4,2013,9995,Manual,108000,Diesel,55.4,2.0,audi,28226025
59,A3,2012,4995,Manual,115000,Diesel,68.9,1.6,audi,29635618
60,A6,2008,5495,Automatic,115000,Diesel,38.2,2.7,audi,29968497
61,Q5,2010,8680,Automatic,128895,Diesel,40.4,2.0,audi,29977469
62,Q3,2013,9995,Manual,85000,Diesel,54.3,2.0,audi,29658687
63,Q3,2019,24990,Automatic,64000,Diesel,38.7,2.0,audi,29581063
64,A3,2012,9990,Manual,69261,Petrol,54.3,1.4,audi,29918733
65,A3,2008,4595,Automatic,94252,Petrol,42.2,1.8,audi,29488088
66,A1,2016,9995,Manual,72000,Diesel,80.7,1.6,audi,29538053
67,A5,2017,21500,Automatic,43575,Diesel,70.6,2.0,audi,28116164
68,A3,2020,18000,Automatic,63474,Other,141.3,1.4,audi,29605939
69,A3,2017,10000,Manual,89969,Diesel,74.3,1.6,audi,27012785
70,Q2,2017,20049,Semi-Auto,11143,Petrol,54.3,1.4,audi,30003803
71,Q2,2021,25049,Manual,11696,Petrol,45.6,1.0,audi,29836479
72,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
73,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
74,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
75,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
76,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
77,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
78,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
79,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
80,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
81,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
82,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
83,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
84,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
85,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
86,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
87,A6,2019,30849,Semi-Auto,14199,Diesel,47.9,2.0,audi,29786401
88,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
