,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2021,28049,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
1,A3,2020,21199,Semi-Auto,21137,Hybrid,141.3,1.4,audi,30002104
2,A3,2020,20549,Semi-Auto,27303,Hybrid,141.3,1.4,audi,29905896
3,Q5,2020,37790,Semi-Auto,16523,Hybrid,117.7,2,audi,29922839
4,Q3,2023,43990,Semi-Auto,1000,Hybrid,141.3,1.4,audi,29998877
5,Q5,2023,59990,Semi-Auto,1000,Hybrid,166.2,2,audi,30010782
6,A3,2021,27090,Semi-Auto,29543,Hybrid,235.4,1.4,audi,29806342
7,A3,2021,27950,Semi-Auto,16938,Hybrid,235.4,1.4,audi,29993127
8,Q5,2021,49790,Semi-Auto,10940,Hybrid,None,2,audi,29819186
9,Q5,2021,44790,Semi-Auto,19662,Hybrid,166.2,2,audi,29781012
10,Q5,2020,40990,Semi-Auto,23651,Hybrid,117.7,2,audi,29814667
11,A3,2021,28990,Semi-Auto,30839,Hybrid,235.4,1.4,audi,29890362
12,A3,2021,26290,Semi-Auto,30886,Hybrid,None,1.4,audi,29661382
13,A3,2021,26990,Semi-Auto,38910,Hybrid,235.4,1.4,audi,30005905
14,Q5,2021,42990,Semi-Auto,16302,Hybrid,176.6,2,audi,29985550
15,A3,2021,29490,Semi-Auto,24227,Hybrid,235.4,1.4,audi,29890363
16,A3,2017,19490,Semi-Auto,39850,Hybrid,None,1.4,audi,29985543
17,Q7,2017,27495,Semi-Auto,81000,Hybrid,156.9,3,audi,30002177
18,A3,2020,24990,Semi-Auto,5239,Hybrid,141.3,1.4,audi,29959498
19,Q7,2020,52990,Semi-Auto,6795,Hybrid,85.6,3,audi,29912210
20,Q7,2021,57990,Semi-Auto,20425,Hybrid,108.7,3,audi,29907515
21,A3,2021,30554,Semi-Auto,21831,Hybrid,235.4,1.4,audi,29749614
22,A6,2020,33300,Automatic,4200,Petrol/Electric,188.3,2,audi,29786215
23,A6,2021,38000,Automatic,3500,Petrol,235.4,2.0,audi,28873079
24,Q8,2021,86000,Automatic,6500,Petrol,None,3.0,audi,29334498
25,Q7,2020,48690,Semi-Auto,13467,Hybrid,85.6,3,audi,29879460
26,A8,2022,72395,Semi-Auto,5000,Hybrid,156.9,3,audi,29451539
27,A3,2021,25390,Semi-Auto,32631,Hybrid,235.4,1.4,audi,29707641
28,Q5,2020,32700,Automatic,51350,Petrol,117.7,2.0,audi,29795882
29,Q3,2022,40481,Semi-Auto,5000,Hybrid,156.9,1.4,audi,29230639
30,Q3,2022,41900,Semi-Auto,5000,Hybrid,134.5,1.4,audi,29263488
31,A6,2021,37400,Semi-Auto,20181,Hybrid,188.3,2,audi,29676030
32,A3,2021,27200,Semi-Auto,27891,Hybrid,235.4,1.4,audi,30056133
33,Q3,2021,39599,Semi-Auto,6527,Hybrid,141.3,1.4,audi,30009632
34,Q5,2020,34099,Semi-Auto,45442,Hybrid,117.7,2,audi,29886979
35,Q7,2018,34540,Semi-Auto,61300,Hybrid,156.9,3,audi,29892503
36,Q5,2021,41930,Semi-Auto,16397,Hybrid,176.6,2,audi,29450688
37,Q5,2022,43790,Semi-Auto,13190,Hybrid,176.6,2,audi,29635859
38,Q5,2022,43690,Semi-Auto,15423,Hybrid,176.6,2,audi,29862009
39,Q5,2021,42230,Semi-Auto,16848,Hybrid,176.6,2,audi,29451095
40,Q5,2021,40690,Semi-Auto,17962,Hybrid,176.6,2,audi,29708556
41,A6,2021,37400,Semi-Auto,20181,Hybrid,188.3,2,audi,30058621
42,A3,2021,27200,Semi-Auto,27891,Hybrid,235.4,1.4,audi,29567665
43,A3,2018,16995,Automatic,58091,Hybrid,None,1.4,audi,29917126
44,A3,2022,29300,Semi-Auto,9309,Hybrid,None,1.4,audi,29989273
45,A6,2020,29200,Semi-Auto,28669,Hybrid,188.3,2,audi,29868296
46,A6,2020,28500,Semi-Auto,34862,Hybrid,188.3,2,audi,29868295
47,A3,2021,29990,Semi-Auto,12378,Hybrid,235.4,1.4,audi,28719793
48,A3,2021,26700,Automatic,24678,Petrol,235.4,1.4,audi,29958976
49,Q8,2021,55900,Semi-Auto,37246,Hybrid,100.9,3,audi,30015793
50,Q5,2021,46950,Automatic,19532,Petrol,166.2,2.0,audi,29994757
51,Q7,2020,43950,Automatic,53932,Petrol,None,3.0,audi,29602204
52,A6,2023,54995,Automatic,3000,Petrol,None,2.0,audi,29861462
53,A6,2023,64995,Automatic,4385,Petrol,217.3,2.0,audi,29620733
54,Q5,2023,60995,Automatic,5000,Petrol,None,2.0,audi,29734541
55,Q5,2021,39950,Automatic,14500,Petrol,188.3,2.0,audi,29501432
56,A6,2021,33995,Automatic,17688,Petrol,235.4,2.0,audi,27509217
57,A3,2021,25100,Semi-Auto,42393,Hybrid,235.4,1.4,audi,29924818
58,Q5,2020,34500,Automatic,49020,Petrol,117.7,2.0,audi,30033884
59,Q7,2018,35500,Semi-Auto,49244,Hybrid,156.9,3,audi,29982018
60,A6,2020,32490,Automatic,25326,Petrol,188.3,2.0,audi,29969768
61,A3,2020,23490,Automatic,28429,Petrol,141.3,1.4,audi,29878242
62,A3,2020,21990,Automatic,35271,Petrol,141.3,1.4,audi,29969767
63,A3,2021,26600,Semi-Auto,19219,Hybrid,None,1.4,audi,29923938
64,A3,2020,23400,Semi-Auto,36451,Hybrid,None,1.4,audi,29759135
65,A3,2021,27800,Semi-Auto,25822,Hybrid,235.4,1.4,audi,30028404
66,Q7,2020,45000,Semi-Auto,53285,Hybrid,85.6,3,audi,30012688
67,Q5,2020,33900,Semi-Auto,45986,Hybrid,117.7,2,audi,29982539
