,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2022,39990,Semi-Auto,5000,Petrol,36.2,2,bmw,29811156
1,X2,2022,33990,Manual,5001,Petrol,42.8,1.5,bmw,29811158
2,X5,2021,59990,Semi-Auto,7882,Hybrid,37.7,3,bmw,29765942
3,3 Series,2021,39890,Semi-Auto,8624,Petrol,34.9,3,bmw,29450912
4,2 Series,2020,26990,Semi-Auto,9215,Petrol,47.9,2,bmw,29731837
5,4 Series,2022,49890,Semi-Auto,10000,Hybrid,36.2,3,bmw,29811160
6,4 Series,2022,41990,Semi-Auto,10650,Hybrid,53.3,2,bmw,29727260
7,X5,2022,69890,Semi-Auto,11850,Hybrid,37.7,3,bmw,29450831
8,X3,2022,53890,White,Electric,Automatic,12583,,bmw,29450846
9,3 Series,2021,32890,Semi-Auto,13509,Hybrid,56.5,2,bmw,29450936
10,2 Series,2019,22990,Semi-Auto,15852,Petrol,50.4,2,bmw,29845618
11,X3,2021,39990,Semi-Auto,15876,Hybrid,44.1,2,bmw,30015446
12,X2,2018,24490,Semi-Auto,16382,Diesel,50.4,2,bmw,29632689
13,X3,2021,46890,White,Electric,Automatic,16520,,bmw,29450931
14,X4,2019,38990,Semi-Auto,17162,Diesel,40.9,3,bmw,29765943
15,X2,2021,26490,Semi-Auto,17195,Diesel,50.4,2,bmw,29834932
16,X2,2019,22890,Manual,18773,Diesel,52.3,2,bmw,29557668
17,2 Series,2020,23790,Manual,19018,Petrol,45.6,1.5,bmw,29632691
18,1 Series,2021,26490,Semi-Auto,19252,Diesel,57.7,1.5,bmw,29755176
19,1 Series,2019,22490,Manual,20080,Petrol,44.1,1.5,bmw,29822476
20,2 Series,2020,23390,Semi-Auto,20286,Petrol,50.4,1.5,bmw,29450926
21,5 Series,2020,31490,Semi-Auto,21088,Diesel,46.3,2,bmw,29618549
22,3 Series,2019,26990,Semi-Auto,21094,Diesel,52.3,2,bmw,29632694
23,X3,2018,29390,Semi-Auto,21472,Diesel,54.3,2,bmw,29450819
24,1 Series,2020,21990,Manual,22622,Petrol,44.1,1.5,bmw,29639179
25,1 Series,2019,25490,Semi-Auto,23128,Petrol,40.4,1.5,bmw,29850068
26,8 Series,2020,41490,Semi-Auto,24372,Petrol,31.7,3,bmw,29942136
27,2 Series,2019,21990,Semi-Auto,24445,Petrol,50.4,2,bmw,29782722
28,X6,2019,51990,Semi-Auto,24492,Petrol,26.4,3,bmw,29599361
29,X2,2019,21990,Manual,24910,Petrol,42.8,1.5,bmw,29727262
30,X3,2019,34990,Semi-Auto,27209,Diesel,54.3,2,bmw,29589832
31,M3,2021,61990,Semi-Auto,27421,Petrol,27.7,3,bmw,29942671
32,4 Series,2019,23990,Semi-Auto,27946,Diesel,65.7,2,bmw,29612128
33,1 Series,2020,24990,Semi-Auto,27961,Petrol,40.4,1.5,bmw,29822474
34,X4,2019,34990,Semi-Auto,29001,Diesel,42.8,2,bmw,29771124
35,3 Series,2017,24490,Semi-Auto,29331,Diesel,51.4,3,bmw,29632690
36,2 Series,2019,24990,Automatic,29833,Hybrid,113,1.5,bmw,29789276
37,X1,2020,30990,Semi-Auto,30325,Diesel,53.3,2,bmw,29956411
38,2 Series,2019,24990,Automatic,32459,Hybrid,113,1.5,bmw,29645523
39,X1,2017,23990,Semi-Auto,32506,Petrol,44.8,2,bmw,29777096
40,3 Series,2019,29890,Semi-Auto,32677,Hybrid,8.8,2,bmw,29450969
41,3 Series,2019,21490,Manual,33233,Diesel,58.9,2,bmw,29707648
42,X3,2020,30990,Semi-Auto,33551,Diesel,54.3,2,bmw,30015447
43,X3,2019,41490,Semi-Auto,33661,Petrol,30.1,3,bmw,29771125
44,X5,2019,48990,Semi-Auto,34279,Petrol,27.2,3,bmw,29519275
45,X5,2020,53990,Semi-Auto,34819,Petrol,27.2,3,bmw,29771126
46,X1,2020,25990,Semi-Auto,35390,Petrol,47.9,2,bmw,29806363
47,5 Series,2016,20990,Semi-Auto,38320,Diesel,62.8,2,bmw,29450924
48,X3,2021,38990,Semi-Auto,38633,Petrol,30.4,2,bmw,29922895
49,1 Series,2019,20490,Manual,39213,Petrol,44.8,1.5,bmw,29632692
50,X5,2019,48990,Semi-Auto,34279,Petrol,27.2,3,bmw,29519275
51,X5,2020,53990,Semi-Auto,34819,Petrol,27.2,3,bmw,29771126
52,X1,2020,25990,Semi-Auto,35390,Petrol,47.9,2,bmw,29806363
53,5 Series,2016,20990,Semi-Auto,38320,Diesel,62.8,2,bmw,29450924
54,X3,2021,38990,Semi-Auto,38633,Petrol,30.4,2,bmw,29922895
55,1 Series,2019,20490,Manual,39213,Petrol,44.8,1.5,bmw,29632692
56,5 Series,2020,28990,Semi-Auto,40261,Hybrid,47.9,2,bmw,30031673
57,1 Series,2017,21990,Semi-Auto,40866,Petrol,39.8,3,bmw,30015448
58,X2,2018,21490,Manual,41350,Diesel,52.3,2,bmw,29626221
59,5 Series,2019,26990,Semi-Auto,42781,Diesel,45.6,2,bmw,29721068
60,3 Series,2019,20490,Semi-Auto,44192,Diesel,64.2,2,bmw,29743494
