,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2020,27000,Semi-Auto,29698,Petrol,41.5,3,bmw,29933018
1,4 Series,2018,20350,Semi-Auto,31600,Petrol,48.7,2,bmw,29741571
2,2 Series,2015,15495,Semi-Auto,34192,Petrol,47.9,2,bmw,30026514
3,4 Series,2020,26100,Semi-Auto,37431,Petrol,41.5,3,bmw,29843106
4,3 Series,2015,20900,Semi-Auto,42091,Diesel,49.6,3,bmw,29817398
5,1 Series,2018,14995,Manual,49507,Diesel,50.4,1.5,bmw,30026517
6,1 Series,2016,13300,Semi-Auto,68583,Petrol,54.3,1.5,bmw,29917363
7,X2,2020,28995,Automatic,4603,Diesel,50.4,2.0,bmw,30010411
8,X1,2016,19995,Automatic,18000,Diesel,65.7,2.0,bmw,29954797
9,3 Series,2019,27995,Automatic,30000,Petrol,40.4,2.0,bmw,29961184
10,5 Series,2018,28495,Automatic,49000,Diesel,55.4,2.0,bmw,29820404
11,X1,2016,19995,Automatic,18000,Diesel,65.7,2.0,bmw,29954797
12,3 Series,2013,18995,Automatic,82000,Petrol,37.2,3.0,bmw,29178213
13,X1,2018,19995,Semi-Auto,35226,Diesel,60.1,2,bmw,29958222
14,3 Series,2015,7995,Automatic,106332,Diesel,68.9,2.0,bmw,29519025
15,2 Series,2021,22549,Manual,4528,Petrol,36.7,2.0,bmw,29916143
16,1 Series,2022,27049,Semi-Auto,5518,Petrol,44.1,1.5,bmw,29534101
17,2 Series,2019,20049,Manual,8256,Petrol,52.3,1.5,bmw,29915915
18,2 Series,2019,24549,Semi-Auto,11649,Petrol,39.8,3.0,bmw,29554682
19,1 Series,2018,20049,Semi-Auto,11700,Petrol,47.9,2.0,bmw,29916156
20,X4,2019,47049,Semi-Auto,12764,Petrol,24.8,3.0,bmw,29798193
21,1 Series,2018,19249,Semi-Auto,13232,Petrol,54.3,1.5,bmw,29974690
22,3 Series,2020,29699,Semi-Auto,18028,Diesel,56.5,2.0,bmw,29878784
23,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
24,2 Series,2019,19199,Semi-Auto,20334,Petrol,50.4,1.5,bmw,29554675
25,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
26,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
27,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
28,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
29,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
30,3 Series,2020,29699,Semi-Auto,18028,Diesel,56.5,2.0,bmw,29878784
31,X2,2019,20899,Manual,18086,Petrol,41.5,1.5,bmw,29888192
32,X3,2019,35049,Semi-Auto,18547,Diesel,48.7,3.0,bmw,29924944
33,2 Series,2018,16899,Manual,18603,Petrol,52.3,1.5,bmw,29798952
34,1 Series,2018,15049,Manual,18802,Diesel,53.3,1.5,bmw,29974710
35,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
36,2 Series,2019,19199,Semi-Auto,20334,Petrol,50.4,1.5,bmw,29554675
37,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
38,2 Series,2018,18299,Manual,20416,Petrol,47.1,1.5,bmw,29905935
39,1 Series,2020,21349,Semi-Auto,20647,Petrol,43.5,1.5,bmw,29854899
40,5 Series,2020,30049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
41,1 Series,2018,16649,Manual,30267,Diesel,49.6,2.0,bmw,30008834
42,1 Series,2019,20049,Semi-Auto,30602,Diesel,67.3,2.0,bmw,29799255
43,1 Series,2019,15549,Manual,31154,Petrol,53.3,1.5,bmw,29986809
44,X1,2018,19899,Semi-Auto,31185,Diesel,60.1,2.0,bmw,29831168
45,1 Series,2020,21499,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
46,4 Series,2017,20349,Semi-Auto,31681,Diesel,65.7,2.0,bmw,30003949
47,2 Series,2016,15849,Automatic,32683,Diesel,65.7,2.0,bmw,29981238
48,3 Series,2019,19499,Manual,32794,Diesel,56.5,2.0,bmw,29540216
49,X3,2018,29049,Semi-Auto,32877,Diesel,48.7,3.0,bmw,29600841
50,2 Series,2018,19349,Semi-Auto,33433,Diesel,65.7,2.0,bmw,29993485
51,1 Series,2020,22499,Semi-Auto,33892,Petrol,40.4,1.5,bmw,29675552
52,5 Series,2019,25599,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
53,4 Series,2019,24049,Semi-Auto,34410,Diesel,58.9,2.0,bmw,30004039
54,3 Series,2018,23399,Semi-Auto,34702,Diesel,51.4,3.0,bmw,29825999
55,3 Series,2019,21349,Semi-Auto,34824,Petrol,48.7,2.0,bmw,30008815
56,4 Series,2018,19349,Semi-Auto,35593,Petrol,48.7,2.0,bmw,29768472
57,X2,2018,18049,Manual,35965,Diesel,55.4,2.0,bmw,29734025
58,X2,2018,21649,Semi-Auto,36122,Diesel,58.9,2.0,bmw,29768662
59,2 Series,2019,16699,Manual,36695,Petrol,42.2,1.5,bmw,29826230
60,X1,2018,17449,Manual,36949,Petrol,40.9,1.5,bmw,29906006
61,3 Series,2018,17549,Manual,36962,Diesel,64.2,2.0,bmw,29798864
62,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
63,1 Series,2018,17249,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
64,1 Series,2018,14049,Manual,37366,Diesel,53.3,1.5,bmw,30003870
65,5 Series,2020,21549,Semi-Auto,37545,Diesel,49.6,2.0,bmw,29634322
66,1 Series,2018,13349,Manual,38222,Petrol,56.5,1.5,bmw,30004052
67,X2,2019,20549,Manual,38387,Petrol,41.5,1.5,bmw,29969242
68,1 Series,2017,16549,Semi-Auto,39319,Petrol,54.3,1.5,bmw,30008822
69,3 Series,2019,20049,Manual,39512,Diesel,56.5,2.0,bmw,29812519
70,3 Series,2019,25949,Semi-Auto,39759,Diesel,52.3,2.0,bmw,29916190
71,X1,2019,22799,Semi-Auto,39931,Petrol,39.2,2.0,bmw,29831159
72,1 Series,2020,22049,Semi-Auto,40948,Petrol,40.4,1.5,bmw,29526758
73,5 Series,2018,22849,Semi-Auto,41323,Diesel,68.9,2.0,bmw,29950320
74,X1,2019,23049,Semi-Auto,41330,Petrol,39.2,2.0,bmw,29969020
75,X1,2017,17199,Semi-Auto,41432,Diesel,65.7,2.0,bmw,29847227
76,1 Series,2019,17049,Semi-Auto,41760,Diesel,70.6,2.0,bmw,29958041
77,X1,2019,20549,Manual,42228,Petrol,40.4,1.5,bmw,30003823
78,3 Series,2018,17349,Manual,42322,Petrol,47.9,2.0,bmw,30015244
79,1 Series,2018,15849,Semi-Auto,42901,Petrol,37.7,1.5,bmw,29924902
80,X6,2019,37549,Semi-Auto,28174,Diesel,40.9,3.0,bmw,30032870
81,1 Series,2019,19549,Semi-Auto,28356,Petrol,54.3,1.5,bmw,30032895
82,3 Series,2017,17749,Manual,28524,Diesel,64.2,2.0,bmw,29981365
83,1 Series,2019,20049,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
84,2 Series,2017,17849,Semi-Auto,28860,Petrol,51.4,1.5,bmw,30042392
85,5 Series,2020,30049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
86,X1,2017,21949,Semi-Auto,29286,Diesel,60.1,2.0,bmw,30042382
87,1 Series,2018,16849,Semi-Auto,29463,Petrol,37.2,1.5,bmw,29786259
88,1 Series,2018,16649,Manual,30267,Diesel,49.6,2.0,bmw,30008834
89,4 Series,2019,20049,Semi-Auto,30513,Petrol,48.7,2.0,bmw,29613853
90,3 Series,2017,17849,Semi-Auto,46643,Diesel,64.2,2.0,bmw,30015222
91,1 Series,2016,13349,Semi-Auto,46733,Diesel,78.5,1.5,bmw,29854854
92,1 Series,2018,15549,Semi-Auto,48286,Petrol,38.7,1.5,bmw,30003812
93,4 Series,2019,20499,Semi-Auto,48719,Petrol,48.7,2.0,bmw,29915907
94,X1,2019,21649,Semi-Auto,48860,Diesel,60.1,2.0,bmw,29826008
95,3 Series,2017,15999,Manual,48961,Diesel,64.2,2.0,bmw,29915725
96,X5,2018,36049,Automatic,50273,Diesel,42.8,3.0,bmw,29803147
97,3 Series,2017,21549,Semi-Auto,50889,Diesel,51.4,3.0,bmw,29855081
98,1 Series,2018,15349,Semi-Auto,50994,Diesel,47.9,1.5,bmw,29734254
99,4 Series,2017,17849,Manual,51463,Diesel,60.1,2.0,bmw,29981311
100,4 Series,2018,18999,Manual,51842,Diesel,62.8,2.0,bmw,29878755
101,X1,2018,19049,Semi-Auto,52042,Diesel,48.7,2.0,bmw,30003926
