,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X5,2016,23250,Automatic,85195,Diesel,47.1,3.0,bmw,29426454
1,4 Series,2018,19699,Automatic,38525,Petrol,48.7,2.0,bmw,29922542
2,3 Series,2017,18799,Automatic,58448,Diesel,51.4,3.0,bmw,29756506
3,1 Series,2015,11295,Manual,60247,Diesel,65.7,2.0,bmw,29680899
4,3 Series,2015,11295,Manual,89635,Diesel,60.1,2.0,bmw,29825225
5,2 Series,2020,17490,Semi-Auto,30990,Petrol,50.4,2,bmw,29998893
6,i3,2019,22890,Red,Electric,Automatic,10404,,bmw,27539402
7,3 Series,2017,23999,Semi-Auto,16007,Diesel,51.4,3,bmw,29965466
8,2 Series,2018,16999,Manual,38145,Petrol,37.2,1.5,bmw,29802368
9,3 Series,2017,15999,Semi-Auto,48720,Diesel,74.3,2,bmw,29859773
10,2 Series,2018,14990,Automatic,75926,Hybrid,148.7,1.5,bmw,29967816
11,3 Series,2019,21990,Semi-Auto,84844,Diesel,52.3,2,bmw,30003628
12,1 Series,2019,13490,Semi-Auto,94292,Diesel,70.6,2,bmw,29967818
13,X2,2019,23790,Manual,27091,Diesel,55.4,2,bmw,29596880
14,2 Series,2021,22549,Manual,4528,Petrol,36.7,2.0,bmw,29916143
15,1 Series,2022,27049,Semi-Auto,5518,Petrol,44.1,1.5,bmw,29534101
16,2 Series,2019,20049,Manual,8256,Petrol,52.3,1.5,bmw,29915915
17,2 Series,2019,24549,Semi-Auto,11649,Petrol,39.8,3.0,bmw,29554682
18,1 Series,2018,20049,Semi-Auto,11700,Petrol,47.9,2.0,bmw,29916156
19,X4,2019,47049,Semi-Auto,12764,Petrol,24.8,3.0,bmw,29798193
20,1 Series,2018,19249,Semi-Auto,13232,Petrol,54.3,1.5,bmw,29974690
21,3 Series,2020,29699,Semi-Auto,18028,Diesel,56.5,2.0,bmw,29878784
22,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
