,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X1,2019,27499,Semi-Auto,27343,Diesel,50.4,2,bmw,29956543
1,1 Series,2019,16999,Manual,38157,Petrol,52.3,1.5,bmw,29718858
2,X1,2016,17499,Automatic,55888,Diesel,55.4,2.0,bmw,30027142
3,1 Series,2015,9299,Manual,63030,Petrol,50.4,1.6,bmw,30027143
4,1 Series,2016,11499,Manual,50243,Petrol,53.3,1.5,bmw,29778727
5,5 Series,2015,15499,Automatic,78052,Diesel,50.4,3,bmw,29802842
6,5 Series,2015,13499,Automatic,85490,Diesel,60.1,2,bmw,29709355
7,1 Series,2017,12299,Manual,43740,Diesel,72.4,1.5,bmw,29682813
8,3 Series,2016,10999,Manual,72011,Petrol,52.3,1.5,bmw,30026126
9,1 Series,2017,14299,Automatic,67881,Diesel,68.9,1.5,bmw,29871478
10,X1,2016,19845,Semi-Auto,23297,Diesel,57.6,2,bmw,29789744
11,X2,2019,25495,Semi-Auto,24992,Diesel,58.9,2,bmw,29777790
12,1 Series,2019,16000,Semi-Auto,52862,Diesel,62.8,2,bmw,29599916
13,3 Series,2015,15995,Automatic,76000,Diesel,57.6,2.0,bmw,28835480
14,X6,2020,61999,Automatic,16000,Diesel,34.9,3,bmw,28071110
15,X4,2017,24999,Automatic,53000,Diesel,47.9,3,bmw,29905815
16,6 Series,2017,23499,Automatic,55000,Diesel,49.6,3,bmw,28930398
17,4 Series,2018,24499,Automatic,55000,Diesel,49.6,3,bmw,28071109
18,2 Series,2015,12499,Manual,56000,Diesel,64.2,2,bmw,27535497
19,2 Series,2017,13499,Manual,60000,Petrol,52.3,1.5,bmw,27277767
20,M3,2013,23499,Semi-Auto,68000,Petrol,25.2,4,bmw,29170999
21,2 Series,2018,13999,Automatic,72000,Diesel,64.2,2,bmw,29701560
22,3 Series,2016,10999,Manual,89000,Diesel,67.3,2,bmw,27904173
23,4 Series,2016,17999,Automatic,90000,Diesel,49.6,3,bmw,29999346
24,1 Series,2013,7999,Manual,93000,Diesel,58.9,2,bmw,29957911
25,1 Series,2012,7595,Manual,81755,Diesel,62.8,2.0,bmw,29882954
26,3 Series,2019,25342,Semi-Auto,22106,Hybrid,8.8,2,bmw,29456474
