,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2019,14700,Manual,68924,Petrol,52.3,1.5,bmw,30025147
1,5 Series,2015,13429,Semi-Auto,69500,Diesel,62.8,2,bmw,30025148
2,X1,2018,16800,Semi-Auto,73409,Petrol,40.9,1.5,bmw,30025210
3,X5,2016,23800,Automatic,80467,Diesel,47.1,3,bmw,30025195
4,3 Series,2009,4290,Manual,111000,Petrol,46.3,2.0,bmw,30039209
5,i3,2020,21470,White,Electric,Automatic,14100,,bmw,29965971
6,X4,2019,48945,Automatic,32109,Petrol,24.8,3.0,bmw,27794512
7,1 Series,2020,22991,Manual,19662,Petrol,41.5,1.5,bmw,29958303
8,4 Series,2018,19991,Manual,23139,Diesel,62.8,2,bmw,30032086
9,1 Series,2018,16994,Manual,24701,Petrol,37.2,1.5,bmw,29812914
10,4 Series,2014,16798,Automatic,30892,Petrol,44.1,2.0,bmw,29544595
11,X1,2019,25991,Semi-Auto,32675,Petrol,47.9,2,bmw,29932216
12,X3,2016,21991,Semi-Auto,38561,Diesel,54.3,1.5,bmw,29965515
13,3 Series,2017,15892,Manual,51259,Petrol,47.9,2,bmw,29864782
14,X1,2015,17741,Semi-Auto,51680,Petrol,44.8,2,bmw,29888898
15,1 Series,2021,35499,Semi-Auto,6100,Petrol,34.5,2,bmw,29799435
16,1 Series,2018,26499,Semi-Auto,23126,Petrol,39.8,3,bmw,29976308
17,M2,2018,37999,Semi-Auto,40749,Petrol,29.1,3,bmw,29073254
18,M4,2016,26999,Semi-Auto,59600,Petrol,34,3,bmw,30006106
19,3 Series,2011,5795,Manual,126000,Diesel,68.9,2,bmw,29651429
20,X1,2019,21995,Semi-Auto,35074,Diesel,47.1,2,bmw,29708675
21,2 Series,2018,23873,Semi-Auto,46488,Petrol,39.8,3,bmw,29811616
22,i3,2016,16899,Automatic,50048,Hybrid,470.8,0,bmw,28923443
23,3 Series,2015,15793,Semi-Auto,70098,Diesel,53.3,3,bmw,29812978
24,1 Series,2019,19790,Manual,12619,Petrol,52.3,1.5,bmw,29907453
25,3 Series,2020,30290,Automatic,17778,Diesel,47.9,3.0,bmw,29441933
26,1 Series,2021,32990,Automatic,22644,Petrol,34.5,2.0,bmw,29975894
27,1 Series,2019,15875,Manual,36955,Petrol,53.3,1.5,bmw,29953177
28,5 Series,2020,25750,Automatic,39617,Petrol,50.4,2.0,bmw,29935498
29,3 Series,2019,23075,Automatic,46065,Petrol,42.2,2.0,bmw,29838362
30,1 Series,2017,13950,Manual,49980,Diesel,62.8,2.0,bmw,29787454
31,3 Series,2019,21390,Automatic,58311,Petrol,42.2,2.0,bmw,29900220
32,4 Series,2018,18495,Automatic,60666,Diesel,None,2.0,bmw,29895097
33,5 Series,2018,19250,Automatic,63008,Hybrid,156.9,2.0,bmw,29995714
34,2 Series,2015,12495,Automatic,64302,Diesel,61.4,2.0,bmw,29988771
35,2 Series,2019,15250,Automatic,83363,Hybrid,113,1.5,bmw,29907449
36,3 Series,2020,28250,Automatic,18809,Hybrid,8.8,2.0,bmw,29867836
37,1 Series,2018,19850,Automatic,20027,Petrol,36.7,1.5,bmw,29838364
38,1 Series,2019,18750,Manual,20690,Petrol,52.3,1.5,bmw,29838345
39,X3,2021,36390,Automatic,24472,Hybrid,44.1,2.0,bmw,30012588
40,1 Series,2019,18100,Automatic,32522,Diesel,67.3,2.0,bmw,29838322
41,1 Series,2019,17675,Manual,33906,Petrol,52.3,1.5,bmw,29832883
42,3 Series,2019,26490,Automatic,36023,Other,8.8,2.0,bmw,29851441
43,1 Series,2019,15875,Manual,36955,Petrol,53.3,1.5,bmw,29953177
44,X3,2020,38990,Automatic,39561,Petrol,30.1,3.0,bmw,30018871
45,5 Series,2020,25750,Automatic,39617,Petrol,50.4,2.0,bmw,29935498
46,3 Series,2020,28290,Automatic,40746,Diesel,47.9,3.0,bmw,29832885
47,1 Series,2019,18950,Automatic,40788,Petrol,54.3,1.5,bmw,29838336
48,3 Series,2019,22590,Automatic,41616,Petrol,47.9,2.0,bmw,29975913
49,3 Series,2020,26490,Automatic,44590,Petrol,41.5,2.0,bmw,29895092
50,3 Series,2020,26490,Automatic,44590,Petrol,41.5,2.0,bmw,29895092
51,3 Series,2020,24200,Automatic,64339,Petrol,41.5,2.0,bmw,29838332
52,3 Series,2020,22100,Automatic,66593,Petrol,42.2,2.0,bmw,29907443
53,2 Series,2020,23998,Automatic,15915,Petrol,38.7,1.5,bmw,29546238
54,3 Series,2019,24490,Automatic,18518,Hybrid,8.8,2.0,bmw,29999897
55,1 Series,2018,26943,Automatic,20948,Petrol,39.8,3.0,bmw,29953188
56,3 Series,2012,12472,Automatic,27319,Diesel,62.8,2.0,bmw,29959349
57,X3,2020,38990,Automatic,39561,Petrol,30.1,3.0,bmw,30018871
58,3 Series,2019,22590,Automatic,41616,Petrol,47.9,2.0,bmw,29975913
59,1 Series,2019,16250,Automatic,46128,Diesel,70.6,2.0,bmw,29862986
60,X1,2019,21990,Automatic,53867,Petrol,48.7,2.0,bmw,29988767
61,3 Series,2020,26390,Automatic,29432,Diesel,52.3,2.0,bmw,30040368
62,3 Series,2019,24390,Automatic,33483,Petrol,42.2,2.0,bmw,29884035
63,X1,2017,20020,Automatic,48200,Diesel,60.1,2.0,bmw,30047626
64,3 Series,2018,15690,Automatic,79322,Hybrid,134.5,2.0,bmw,29890238
65,2 Series,2020,24858,Automatic,11647,Diesel,46.3,2.0,bmw,29167761
66,M4,2021,62500,Automatic,14122,Petrol,27.7,3.0,bmw,29431242
67,1 Series,2019,19750,Automatic,14381,Petrol,54.3,1.5,bmw,29615595
68,3 Series,2020,29150,Automatic,18742,Other,188.3,2.0,bmw,30041218
69,X3,2021,43490,Black,Electric,Automatic,19169,,bmw,30012581
70,3 Series,2020,26390,Automatic,21413,Petrol,42.2,2.0,bmw,30043723
71,5 Series,2019,27490,Automatic,21682,Other,156.9,2.0,bmw,29832910
72,1 Series,2018,14650,Manual,23219,Petrol,53.3,1.5,bmw,29791257
73,5 Series,2019,31865,Automatic,23873,Diesel,53.3,3.0,bmw,29759557
74,X3,2021,36750,Automatic,25005,Hybrid,44.1,2.0,bmw,29800327
75,2 Series,2020,23724,Automatic,25315,Petrol,38.7,1.5,bmw,29867830
76,1 Series,2019,16150,Manual,26731,Petrol,53.3,1.5,bmw,30047628
77,M5,2019,55939,Automatic,27559,Petrol,24.1,4.4,bmw,29408922
78,4 Series,2019,29039,Automatic,27568,Petrol,41.5,3.0,bmw,29988763
79,X1,2019,27062,Automatic,27610,Diesel,53.3,2.0,bmw,29615603
80,X1,2018,18890,Manual,28067,Diesel,51.4,2.0,bmw,30028022
81,X6,2018,38089,Automatic,29254,Diesel,42.8,3.0,bmw,29621430
82,3 Series,2019,26250,Automatic,29794,Petrol,41.5,2.0,bmw,29642344
83,X1,2020,25765,Automatic,31356,Petrol,48.7,2.0,bmw,29588886
84,3 Series,2019,25250,Automatic,31863,Hybrid,8.8,2.0,bmw,29838335
85,7 Series,2017,30697,Automatic,32532,Diesel,53.3,3.0,bmw,29441936
86,5 Series,2019,25944,Automatic,32831,Diesel,49.6,2.0,bmw,30018869
87,M4,2018,35200,Automatic,32874,Petrol,32.5,3.0,bmw,29910953
88,5 Series,2015,17465,Automatic,33146,Diesel,62.8,2.0,bmw,29817595
89,3 Series,2019,27134,Automatic,34497,Diesel,48.7,2.0,bmw,29621390
90,3 Series,2018,16625,Automatic,36466,Hybrid,148.7,2.0,bmw,30040376
91,i3,2018,15650,Automatic,36521,Hybrid,None,0.6,bmw,30047630
92,5 Series,2020,36917,Automatic,38845,Hybrid,46.3,3.0,bmw,29975917
93,X5,2016,30265,Automatic,39500,Diesel,47.1,3.0,bmw,29970785
94,1 Series,2018,16945,Automatic,39708,Petrol,54.3,1.5,bmw,29975907
95,4 Series,2015,19863,Automatic,40049,Diesel,47.9,3.0,bmw,29900228
96,2 Series,2016,18698,Automatic,40566,Diesel,58.9,2.0,bmw,29522347
97,5 Series,2019,22990,Automatic,41170,Hybrid,156.9,2.0,bmw,29372670
98,5 Series,2015,16350,Automatic,42227,Diesel,62.8,2.0,bmw,30028028
99,1 Series,2017,20643,Automatic,45017,Petrol,39.8,3.0,bmw,29917733
100,X5,2018,35123,Automatic,45062,Diesel,47.1,3.0,bmw,29621423
101,3 Series,2018,24360,Automatic,46656,Diesel,51.4,3.0,bmw,29549707
102,X5,2019,44584,Automatic,47246,Diesel,37.7,3.0,bmw,30028023
103,X3,2017,25387,Automatic,47908,Diesel,47.1,3.0,bmw,29900244
104,2 Series,2016,15017,Automatic,48000,Petrol,48.7,1.5,bmw,30043729
105,6 Series,2014,18275,Automatic,50319,Diesel,51.4,3.0,bmw,29503871
106,X1,2019,20974,Automatic,53187,Diesel,60.1,2.0,bmw,29329931
107,2 Series,2016,14191,Manual,56758,Petrol,46.3,2.0,bmw,29391461
108,1 Series,2018,16990,Automatic,57872,Diesel,49.6,2.0,bmw,29995713
109,1 Series,2018,13050,Manual,58487,Petrol,37.7,1.5,bmw,29588873
110,5 Series,2018,21437,Automatic,60002,Diesel,60.1,2.0,bmw,29621389
111,5 Series,2019,25661,Automatic,60861,Diesel,55.4,2.0,bmw,29621399
112,3 Series,2018,20018,Automatic,61000,Diesel,62.8,2.0,bmw,29995726
113,3 Series,2015,14590,Automatic,61523,Diesel,None,2.0,bmw,29843595
114,5 Series,2018,20300,Automatic,61628,Petrol,None,2.0,bmw,29596135
115,1 Series,2015,11998,Automatic,62057,Diesel,60.1,2.0,bmw,30047623
116,5 Series,2018,22295,Automatic,62165,Diesel,60.1,2.0,bmw,30018867
117,X5,2018,32010,Automatic,63118,Hybrid,85.6,2.0,bmw,29843597
118,X4,2017,24566,Automatic,64000,Diesel,47.1,3.0,bmw,29900248
119,X1,2019,18840,Manual,64022,Petrol,51.4,1.5,bmw,29670836
