,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2020,15995,Manual,16765,Petrol,51.4,1,volkswagen,29805156
1,T-Cross,2021,18795,Manual,16849,Petrol,48.7,1,volkswagen,29753508
2,Tiguan,2020,31991,Semi-Auto,17998,Diesel,45.6,2,volkswagen,29895523
3,Tiguan,2021,30491,Semi-Auto,22343,Diesel,47.9,2,volkswagen,29885706
4,Tiguan,2019,22995,Semi-Auto,24248,Petrol,37.7,1.5,volkswagen,29753509
5,Polo,2019,18593,Semi-Auto,24809,Petrol,46.3,1,volkswagen,29722232
6,Tiguan Allspace,2019,25199,Semi-Auto,26344,Diesel,44.1,2,volkswagen,29843857
7,T-Roc,2019,19995,Manual,28954,Diesel,50.4,2,volkswagen,29763433
8,Tiguan,2019,21593,Manual,30044,Petrol,38.2,1.5,volkswagen,29753506
9,Polo,2019,13693,Manual,30224,Petrol,48.7,1,volkswagen,29833151
10,T-Roc,2020,24999,Semi-Auto,31360,Petrol,41.5,1.5,volkswagen,29804178
11,Golf,2019,20991,Semi-Auto,32380,Petrol,44.1,1.5,volkswagen,29552659
12,Golf,2019,17291,Manual,33479,Petrol,47.1,1.5,volkswagen,29879585
13,Tiguan,2019,28557,Semi-Auto,33905,Diesel,45.6,2,volkswagen,30011310
14,T-Roc,2019,18695,Manual,34453,Petrol,44.1,1,volkswagen,29747624
15,Golf,2021,18557,Manual,35939,Petrol,50.4,1.5,volkswagen,30011308
16,T-Roc,2019,24791,Semi-Auto,39088,Petrol,39.8,1.5,volkswagen,29885707
17,Golf,2021,18154,Manual,39178,Petrol,50.4,1.5,volkswagen,29787660
18,Tiguan,2018,19556,Manual,43662,Diesel,42.8,2,volkswagen,29763434
19,Polo,2020,14491,Manual,43843,Petrol,50.4,1,volkswagen,30019253
20,T-Roc,2019,24491,Semi-Auto,44250,Petrol,39.8,1.5,volkswagen,29989298
21,Golf,2018,15691,Manual,44917,Petrol,47.1,1.5,volkswagen,29982632
22,Polo,2017,10991,Manual,57671,Petrol,60.1,1.2,volkswagen,29873436
23,Polo,2020,15991,Manual,16527,Petrol,52.3,1,volkswagen,30035176
24,Polo,2020,16991,Manual,17817,Petrol,50.4,1,volkswagen,30012728
25,T-Roc,2018,20191,Manual,19491,Diesel,50.4,1.6,volkswagen,29959752
26,Polo,2019,13991,Manual,19866,Petrol,48.7,1,volkswagen,30028186
27,Polo,2019,16991,Semi-Auto,21623,Petrol,45.6,1,volkswagen,30028184
28,Polo,2021,18495,Semi-Auto,23288,Petrol,46.3,1,volkswagen,29747622
29,Golf,2019,18991,Manual,23731,Petrol,47.1,1.5,volkswagen,29989300
30,Polo,2020,14491,Manual,43843,Petrol,50.4,1,volkswagen,30019253
31,T-Roc,2019,24491,Semi-Auto,44250,Petrol,39.8,1.5,volkswagen,29989298
32,Tiguan,2019,21291,Semi-Auto,44801,Diesel,40.4,2,volkswagen,29999967
33,Golf,2018,15691,Manual,44917,Petrol,47.1,1.5,volkswagen,29982632
34,Polo,2017,10991,Manual,57671,Petrol,60.1,1.2,volkswagen,29873436
35,Eos,2009,6299,Automatic,52000,Diesel,47,2.0,volkswagen,29597305
36,Touareg,2007,5295,Automatic,124010,Diesel,27.2,2.5,volkswagen,29728978
37,Amarok,2017,33500,Automatic,39071,Diesel,36.2,3.0,volkswagen,29756499
38,Caddy Maxi Life,2019,20000,Manual,44467,Diesel,57.7,2.0,volkswagen,29981041
39,Scirocco,2012,7689,Automatic,86000,Diesel,57.6,2.0,volkswagen,29922606
40,Caddy Maxi,2015,12485,Manual,101000,Diesel,48.7,1.6,volkswagen,30036651
41,Golf,2018,15052,Manual,35356,Petrol,49.6,1,volkswagen,30025181
42,Scirocco,2015,14803,Manual,53905,Petrol,47.1,2,volkswagen,30025144
43,T-Roc,2018,17999,Manual,20300,Petrol,44.1,1,volkswagen,28760902
44,Up,2017,10503,Manual,20294,Petrol,60.1,1,volkswagen,29853174
45,Polo,2011,4790,Manual,79000,Diesel,72.4,1.2,volkswagen,30002482
46,Eos,2007,3390,Manual,85000,Diesel,48,2.0,volkswagen,28560621
47,Passat,2007,2690,Manual,113000,Diesel,48.7,1.9,volkswagen,30039207
48,Polo,2020,17992,Manual,2456,Petrol,50.4,1,volkswagen,29879574
49,Tiguan Allspace,2019,27991,Semi-Auto,5506,Diesel,44.1,2,volkswagen,29971169
50,T-Cross,2021,24592,Automatic,5321,Petrol,43.5,1,volkswagen,29910998
51,Tiguan Allspace,2019,27991,Semi-Auto,5506,Diesel,44.1,2,volkswagen,29971169
52,Golf,2022,30490,Semi-Auto,7909,Diesel,61.4,2,volkswagen,30028178
53,Polo,2019,18291,Manual,8667,Petrol,51.4,1,volkswagen,29995963
54,Golf,2022,23990,Manual,9593,Petrol,51.4,1.5,volkswagen,29471809
55,T-Roc,2021,27793,Semi-Auto,9777,Petrol,44.8,1.5,volkswagen,29888890
56,Golf,2021,35295,Semi-Auto,14609,Petrol,38.2,2,volkswagen,29741777
57,Polo,2021,16296,Manual,17545,Petrol,51.4,1,volkswagen,29696889
58,T-Roc,2019,27451,Semi-Auto,19659,Petrol,41.5,1.5,volkswagen,29971166
59,Tiguan,2020,30991,Semi-Auto,19661,Diesel,45.6,2,volkswagen,30012722
60,T-Roc,2020,20491,Manual,27373,Diesel,50.4,1.6,volkswagen,30012725
61,Golf,2020,18692,Manual,30672,Petrol,50.4,1.5,volkswagen,29890608
62,Golf,2020,22792,Semi-Auto,31991,Diesel,60.1,2,volkswagen,29890607
63,T-Roc,2021,24792,Semi-Auto,35043,Petrol,42.2,1.5,volkswagen,29907665
64,T-Roc,2019,19891,Manual,36230,Diesel,50.4,1.6,volkswagen,29936998
65,Touareg,2018,35992,Automatic,38843,Diesel,34.5,3,volkswagen,29890604
66,T-Cross,2020,16691,Manual,42673,Petrol,47.9,1,volkswagen,29953541
67,T-Cross,2019,17495,Manual,42815,Petrol,47.9,1,volkswagen,29787648
68,Golf,2021,17993,Manual,44688,Petrol,52.3,1.5,volkswagen,29827975
69,Golf,2019,19391,Semi-Auto,54534,Petrol,43.5,1.5,volkswagen,30012724
