,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2018,15549,Semi-Auto,66145,Hybrid,166,1.4,volkswagen,29666177
1,Golf,2023,36499,Semi-Auto,3000,Hybrid,None,1.4,volkswagen,29509569
2,Golf,2023,27499,Semi-Auto,6000,Hybrid,50.4,1.5,volkswagen,29509571
3,Golf,2017,22499,Semi-Auto,11707,Hybrid,156.9,1.4,volkswagen,29973433
4,Golf,2021,23199,Semi-Auto,12356,Hybrid,50.4,1.5,volkswagen,30053116
5,Golf,2018,16750,Automatic,74661,Hybrid,None,1.4,volkswagen,29615473
6,Golf,2018,19450,Semi-Auto,44507,Hybrid,156.9,1.4,volkswagen,29974151
7,Golf,2022,34266,Semi-Auto,7898,Hybrid,176.6,1.4,volkswagen,29212675
8,Golf,2021,29231,Semi-Auto,22506,Hybrid,176.6,1.4,volkswagen,29923929
9,Golf,2021,28662,Semi-Auto,26144,Hybrid,176.6,1.4,volkswagen,29923932
10,Golf,2018,18995,Automatic,64000,Hybrid,156.9,1.4,volkswagen,29684498
11,Golf,2023,31490,Semi-Auto,1897,Hybrid,49.6,1.5,volkswagen,29717377
12,Golf,2022,29690,Semi-Auto,2895,Hybrid,49.6,1.5,volkswagen,29658306
13,Golf,2022,29690,Semi-Auto,3757,Hybrid,49.6,1.5,volkswagen,29823428
14,Golf,2022,29690,Semi-Auto,4586,Hybrid,49.6,1.5,volkswagen,29823415
15,Golf,2022,29290,Semi-Auto,8856,Hybrid,49.6,1.5,volkswagen,29823416
16,Golf,2017,18100,Automatic,29792,Petrol,156.9,1.4,volkswagen,29213322
17,Golf,2020,18000,Automatic,46469,Petrol,141.3,1.4,volkswagen,29999690
18,Golf,2021,29300,Automatic,21598,Petrol,176.6,1.4,volkswagen,30012001
19,Golf,2022,30990,Semi-Auto,2803,Hybrid,49.6,1.5,volkswagen,29864454
20,Golf,2021,32490,Semi-Auto,17978,Hybrid,176.6,1.4,volkswagen,29892152
21,Golf,2020,29990,Semi-Auto,24897,Hybrid,176.6,1.4,volkswagen,29892156
22,Golf,2021,24995,Semi-Auto,7935,Hybrid,54.3,1,volkswagen,29511310
