,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A4,2017,18249,N/A,55583,Petrol,50.4,2.0,audi,30793568
1,A1,2020,20499,N/A,10871,Petrol,44.1,1.0,audi,30490006
2,Q2,2018,18799,N/A,11125,Petrol,50.4,1.4,audi,30460843
3,Q3,2020,26799,N/A,15307,Diesel,47.1,2.0,audi,30384445
4,A5,2019,22949,N/A,15481,Diesel,47.1,2.0,audi,30201042
5,A4,2019,22049,N/A,15883,Petrol,38.7,2.0,audi,30572181
6,Q3,2019,24899,N/A,15917,Diesel,40.9,2.0,audi,30776104
7,A4,2019,20199,N/A,16020,Petrol,39.2,2.0,audi,30770702
8,A3,2018,18999,N/A,17658,Petrol,44.1,1.0,audi,30354550
9,Q3,2018,22199,N/A,17829,Petrol,42.2,2.0,audi,30531379
10,A3,2019,18749,N/A,18141,Petrol,42.2,1.5,audi,30770805
11,A3,2016,14599,N/A,45166,Diesel,57.6,2.0,audi,30643308
12,A3,2019,15249,N/A,35123,Petrol,47.9,1.0,audi,30770810
13,A3,2019,17799,N/A,18142,Petrol,47.1,1.0,audi,30447771
14,A4,2017,17299,N/A,19234,Petrol,55.4,2.0,audi,30447891
15,Q2,2020,17499,N/A,19544,Petrol,47.1,1.0,audi,30741018
16,Q3,2019,24199,N/A,19595,Diesel,42.8,2.0,audi,30817892
17,Q2,2017,17849,N/A,19659,Petrol,52.3,1.4,audi,30438124
18,Q2,2020,19499,N/A,20226,Petrol,44.8,1.5,audi,30815261
19,A3,2020,25249,N/A,20507,Petrol,46.3,1.5,audi,30719683
20,Q2,2019,16999,N/A,20957,Diesel,49.6,1.6,audi,30828141
21,A3,2017,13499,N/A,21251,Petrol,62.8,1.0,audi,30828166
22,Q2,2017,17299,N/A,21339,Petrol,50.4,1.4,audi,30643389
23,S3,2017,19949,N/A,29851,Petrol,40.4,2.0,audi,30384458
24,Q2,2018,14949,N/A,55954,Petrol,52.3,1.4,audi,30770845
25,Q2,2018,16599,N/A,21464,Diesel,49.6,1.6,audi,30740976
26,Q2,2021,21749,N/A,21549,Petrol,45.6,1.0,audi,30776092
27,A1,2019,17599,N/A,21965,Petrol,47.9,1.0,audi,30828298
28,Q2,2019,18049,N/A,22705,Petrol,42.8,1.5,audi,30828306
29,A3,2021,19749,N/A,22869,Diesel,65.7,2.0,audi,30770741
30,A4,2021,25249,N/A,23030,Petrol,40.9,2.0,audi,30726793
31,A4,2019,20999,N/A,23762,Petrol,38.2,2.0,audi,30295009
32,A1,2017,15799,N/A,23803,Petrol,58.9,1.4,audi,30751636
33,TT,2017,17499,N/A,24011,Petrol,47.1,1.8,audi,30557572
34,A3,2019,15049,N/A,24045,Petrol,48.7,1.0,audi,30828143
