,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2019,17349,N/A,64382,Diesel,65.7,2.0,bmw,30447869
1,1 Series,2020,21949,N/A,1170,Petrol,40.4,1.5,bmw,30289979
2,1 Series,2022,25049,N/A,11753,Petrol,44.1,1.5,bmw,30817894
3,1 Series,2020,21599,N/A,13038,Petrol,41.5,1.5,bmw,30827960
4,2 Series,2022,29049,N/A,13351,Diesel,53.3,2.0,bmw,30627178
5,1 Series,2020,22299,N/A,13896,Petrol,40.4,1.5,bmw,30572345
6,1 Series,2020,22999,N/A,14265,Petrol,40.4,1.5,bmw,30498579
7,X1,2019,22499,N/A,14560,Petrol,39.2,2.0,bmw,30498571
8,X2,2020,21099,N/A,14882,Petrol,41.5,1.5,bmw,30793517
9,1 Series,2020,23249,N/A,15276,Petrol,40.4,1.5,bmw,30679036
10,1 Series,2017,13799,N/A,15477,Diesel,68.9,2.0,bmw,30507582
11,X3,2019,23799,N/A,64355,Diesel,54.3,2.0,bmw,30233585
12,2 Series,2019,19049,N/A,27570,Petrol,38.7,1.5,bmw,30448077
13,X2,2019,19049,N/A,15691,Diesel,55.4,2.0,bmw,30417398
14,1 Series,2020,20599,N/A,16683,Petrol,41.5,1.5,bmw,30803945
15,1 Series,2019,20049,N/A,16843,Petrol,42.8,1.5,bmw,30654959
16,X2,2019,19499,N/A,17165,Petrol,42.8,1.5,bmw,30687400
17,2 Series,2020,25899,N/A,17800,Petrol,36.2,2.0,bmw,30421728
18,1 Series,2020,19699,N/A,18028,Petrol,44.1,1.5,bmw,30785481
19,1 Series,2020,18799,N/A,18126,Petrol,44.1,1.5,bmw,30490046
20,3 Series,2020,27049,N/A,18965,Petrol,41.5,2.0,bmw,30793503
21,1 Series,2020,20599,N/A,19385,Petrol,41.5,1.5,bmw,30793435
22,X2,2019,22099,N/A,19491,Diesel,55.4,2.0,bmw,30803755
23,X2,2019,15999,N/A,32221,Petrol,42.8,1.5,bmw,30348767
24,3 Series,2019,19299,N/A,36086,Diesel,56.5,2.0,bmw,30593687
25,1 Series,2020,19699,N/A,18028,Petrol,44.1,1.5,bmw,30785481
26,1 Series,2020,18799,N/A,18126,Petrol,44.1,1.5,bmw,30490046
27,2 Series,2021,22049,N/A,18225,Petrol,43.5,1.5,bmw,30828250
28,3 Series,2020,27049,N/A,18965,Petrol,41.5,2.0,bmw,30793503
29,1 Series,2020,20599,N/A,19385,Petrol,41.5,1.5,bmw,30793435
30,X2,2019,22099,N/A,19491,Diesel,55.4,2.0,bmw,30803755
31,2 Series,2021,21699,N/A,19509,Petrol,47.1,1.5,bmw,30562778
32,X2,2019,22099,N/A,20036,Diesel,50.4,2.0,bmw,30803978
33,4 Series,2020,21049,N/A,20156,Petrol,48.7,2.0,bmw,30602945
34,1 Series,2020,19599,N/A,20414,Petrol,41.5,1.5,bmw,30417161
35,4 Series,2018,18049,N/A,63169,Diesel,65.7,2.0,bmw,30674430
36,3 Series,2019,15499,N/A,49150,Diesel,62.8,2.0,bmw,30783277
37,X1,2020,25899,N/A,21001,Petrol,48.7,2.0,bmw,30674634
38,5 Series,2019,23399,N/A,21192,Petrol,50.4,2.0,bmw,30531540
39,2 Series,2019,19049,N/A,21210,Petrol,50.4,1.5,bmw,30703153
40,i3,2020,19699,Black,Electric,N/A,21823,,bmw,30674590
41,i3,2020,20299,Black,Electric,N/A,21884,,bmw,30787048
42,X1,2019,25049,N/A,21957,Petrol,48.7,2.0,bmw,30691333
43,i3,2020,20799,Grey,Electric,N/A,22141,,bmw,30732496
44,2 Series,2019,17599,N/A,22166,Petrol,38.2,2.0,bmw,30557562
45,3 Series,2018,17049,N/A,22293,Hybrid,148.7,2.0,bmw,30602859
46,1 Series,2020,20749,N/A,22402,Petrol,41.5,1.5,bmw,30817838
47,X2,2018,20499,N/A,24739,Diesel,49.6,2.0,bmw,30659841
48,2 Series,2018,14749,N/A,54769,Hybrid,148.7,1.5,bmw,30804021
49,1 Series,2016,15499,N/A,22621,Diesel,68.9,1.5,bmw,30572355
50,i3,2020,19349,White,Electric,N/A,22868,,bmw,30793591
51,2 Series,2020,21499,N/A,22870,Petrol,38.7,1.5,bmw,30755144
52,4 Series,2018,19549,N/A,22922,Diesel,62.8,2.0,bmw,30834092
53,i3,2017,13999,White,Electric,N/A,23052,,bmw,30804006
54,4 Series,2019,21599,N/A,23410,Petrol,48.7,2.0,bmw,30770708
55,X1,2019,21799,N/A,23632,Petrol,39.2,2.0,bmw,30557537
56,3 Series,2019,24049,N/A,23650,Diesel,52.3,2.0,bmw,30424971
57,X2,2018,18549,N/A,24103,Diesel,52.3,2.0,bmw,30803979
58,X1,2020,23299,N/A,24157,Petrol,40.9,1.5,bmw,30429194
59,X2,2019,14849,N/A,66331,Diesel,55.4,2.0,bmw,30828333
60,X1,2019,25049,N/A,21957,Petrol,48.7,2.0,bmw,30691333
61,X2,2019,18499,N/A,24282,Diesel,55.4,2.0,bmw,30643333
62,X2,2019,17499,N/A,24301,Diesel,55.4,2.0,bmw,30808811
63,2 Series,2020,21299,N/A,24341,Petrol,38.7,1.5,bmw,30531395
64,4 Series,2019,28499,N/A,24393,Petrol,30.4,3.0,bmw,30827473
65,1 Series,2019,17199,N/A,24584,Diesel,58.9,1.5,bmw,30808823
66,2 Series,2020,23049,N/A,24589,Petrol,42.2,1.5,bmw,30751557
67,X2,2018,20499,N/A,24739,Diesel,49.6,2.0,bmw,30659841
68,1 Series,2020,19749,N/A,24742,Petrol,41.5,1.5,bmw,30719716
69,X2,2019,19749,N/A,24775,Diesel,52.3,2.0,bmw,30817802
