,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2016,13599,N/A,64945,Diesel,67.3,2.0,volkswagen,30741093
1,Polo,2020,15989,Automatic,23347,Petrol,46.3,1.0,volkswagen,30699902
2,Passat,2010,1095,Manual,155852,Diesel,58.9,2.0,volkswagen,30642031
3,Polo,2021,15899,N/A,2401,Petrol,51.4,1.0,volkswagen,30700618
4,T-Cross,2020,21449,N/A,6049,Petrol,43.5,1.0,volkswagen,30726802
5,Arteon,2022,29999,N/A,6303,Hybrid,44.8,1.4,volkswagen,30834057
6,Polo,2020,15499,N/A,7640,Petrol,50.4,1.0,volkswagen,30484981
7,Up,2019,9999,N/A,7972,Petrol,54.3,1.0,volkswagen,30833963
8,Golf,2020,19749,N/A,8071,Petrol,47.1,1.5,volkswagen,30828290
9,Polo,2020,15499,N/A,8094,Petrol,50.4,1.0,volkswagen,30502628
10,T-Cross,2020,18999,N/A,9355,Petrol,43.5,1.0,volkswagen,30360640
11,Golf,2019,18749,N/A,63726,Diesel,49.6,2.0,volkswagen,30664208
12,Polo,2019,16699,N/A,22301,Petrol,46.3,1.0,volkswagen,30557519
13,Polo,2021,16199,N/A,9448,Petrol,50.4,1.0,volkswagen,30755162
14,Polo,2019,14049,N/A,10083,Petrol,52.3,1.0,volkswagen,30562724
15,T-Cross,2022,19799,N/A,10279,Petrol,48.7,1.0,volkswagen,30755174
16,T-Cross,2022,20599,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
17,Polo,2021,15199,N/A,10651,Petrol,51.4,1.0,volkswagen,30803885
18,Polo,2021,15649,N/A,12154,Petrol,47.9,1.0,volkswagen,30803838
19,Golf,2020,15849,Grey,Electric,N/A,12234,,volkswagen,30828282
20,Up,2019,10149,N/A,12395,Petrol,54.3,1.0,volkswagen,30761794
21,Golf,2019,15299,Silver,Electric,N/A,12420,,volkswagen,30783258
22,Up,2017,9349,N/A,12898,Petrol,64.2,1.0,volkswagen,30815247
23,Golf,2016,16899,N/A,57328,Petrol,44.1,2.0,volkswagen,30674663
24,Golf,2020,19749,N/A,8071,Petrol,47.1,1.5,volkswagen,30828290
25,T-Roc,2021,23399,N/A,16594,Petrol,42.2,1.5,volkswagen,30828195
26,T-Cross,2020,20899,N/A,16683,Petrol,45.6,1.0,volkswagen,30551740
27,T-Cross,2019,16699,N/A,17282,Petrol,47.9,1.0,volkswagen,30531433
28,Up,2021,11549,N/A,17497,Petrol,54.3,1.0,volkswagen,30050173
29,Golf,2020,19049,N/A,17713,Petrol,47.1,1.5,volkswagen,30447858
30,Golf,2019,16049,N/A,18250,Petrol,47.1,1.5,volkswagen,30451800
31,Polo,2018,13299,N/A,18271,Petrol,52.3,1.0,volkswagen,30587977
32,T-Roc,2020,17299,N/A,18290,Petrol,44.8,1.0,volkswagen,30477034
33,Scirocco,2017,15449,N/A,18823,Petrol,52.3,1.4,volkswagen,30674730
34,Polo,2019,12799,N/A,19181,Petrol,48.7,1.0,volkswagen,30531284
35,Polo,2020,16649,N/A,36411,Petrol,39.8,2.0,volkswagen,30770581
36,T-Cross,2020,14049,N/A,60245,Petrol,47.9,1.0,volkswagen,30498440
37,T-Cross,2021,19999,N/A,15079,Petrol,45.6,1.0,volkswagen,30746461
