,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,5 Series,2018,20499,N/A,66514,Diesel,49.6,2.0,bmw,30546265
1,Ceed,2020,14999,N/A,18885,Diesel,60.1,1.6,kia,30608106
2,Tiguan,2020,22900,Semi-Auto,10368,Petrol,37.7,1.5,volkswagen,30698239
3,A5,2021,33300,Semi-Auto,10530,Petrol,39.2,2,audi,30689344
4,Superb,2020,34150,Semi-Auto,11132,Hybrid,188.3,1.4,skoda,30687578
5,Ibiza,2021,19600,Semi-Auto,11558,Petrol,48.7,1,seat,30689347
6,TT,2020,25800,Semi-Auto,12850,Petrol,40.9,2,audi,30689323
7,Passat,2021,24250,Manual,12937,Petrol,45.6,1.5,volkswagen,30689348
8,A4,2021,21050,Manual,12964,Petrol,46.3,2,audi,30695347
9,Kodiaq,2020,25750,Manual,13093,Petrol,37.7,1.5,skoda,30695289
10,Scala,2020,17200,Manual,13263,Petrol,49.6,1,skoda,30687529
11,Q5,2020,31000,Semi-Auto,13375,Diesel,38.2,2,audi,30687575
12,C Class,2017,21799,N/A,24364,Diesel,67.3,2.1,mercedes-benz,30421766
13,Fiesta,2021,15299,N/A,11650,Petrol,54.3,1.0,ford,30308300
14,T-Cross,2020,17650,Manual,13751,Petrol,48.7,1,volkswagen,30695317
15,Tiguan,2020,29950,Manual,13772,Diesel,45.6,2,volkswagen,30689310
16,A3,2021,26250,Semi-Auto,14049,Hybrid,235.4,1.4,audi,30698280
17,Arona,2019,13800,Manual,14121,Petrol,49.6,1,seat,30695310
18,A5,2020,28600,Semi-Auto,14148,Diesel,51.4,2,audi,30695322
19,Golf,2021,22400,Manual,14153,Petrol,51.4,1.5,volkswagen,30687531
20,TT,2021,27000,Semi-Auto,14174,Petrol,40.9,2,audi,30695309
21,Golf,2020,21050,Manual,14188,Petrol,49.6,1.5,volkswagen,30689365
22,Touareg,2020,47800,Semi-Auto,14343,Diesel,33.6,3,volkswagen,30698274
23,A5,2021,30250,Semi-Auto,14423,Petrol,42.8,2,audi,30695333
24,Grand Scenic,2017,17049,N/A,34000,Diesel,60.1,1.6,renault,30507594
25,Up,2017,8199,N/A,24631,Petrol,64.2,1.0,volkswagen,30312248
26,A5,2020,30400,Semi-Auto,14431,Petrol,37.7,2,audi,30689320
27,Octavia,2021,20950,Manual,14514,Petrol,50.4,1.5,skoda,30698306
28,Arona,2020,13400,Manual,14573,Petrol,50.4,1,seat,30689316
