,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Model S,2016,29049,Black,Electric,N/A,28734,,tesla,30490038
1,A3,2018,25990,Automatic,19150,Petrol,43.5,2.0,audi,29330867
2,Q5,2020,34200,Automatic,21000,Diesel,38.2,2.0,audi,30637491
3,Q2,2019,19490,Glacier,Petrol,Manual,None,,audi,30637442
4,A1,2020,19250,Manual,22800,Petrol,47.9,1.0,audi,30730558
5,A4,2018,22990,Automatic,23822,Petrol,49.6,2.0,audi,30722937
6,Q2,2020,18990,Manual,23897,Petrol,44.8,1.5,audi,30718052
7,Q7,2020,43500,Automatic,28548,Diesel,33.2,3.0,audi,30411051
8,A3,2021,31990,Automatic,29300,Petrol,35.3,2.0,audi,30637489
9,A6,2020,28990,Automatic,30964,Diesel,47.9,2.0,audi,30702772
10,Q5,2020,38990,Automatic,36850,Diesel,34.5,3.0,audi,30722950
11,Ibiza,2018,13049,N/A,40032,Petrol,60.1,1.0,seat,30582254
12,i10,2018,11999,N/A,21648,Petrol,47.9,1.2,hyundai,30572128
13,Q5,2020,38990,Automatic,36850,Diesel,34.5,3.0,audi,30722950
14,RS5,2019,41990,Automatic,41000,Petrol,29.7,2.9,audi,30442542
15,Q3,2019,25990,Automatic,43000,Petrol,31.7,2.0,audi,30674182
16,Q7,2019,39600,Automatic,46300,Diesel,47.1,3.0,audi,30637455
17,Q8,2021,49990,Automatic,48100,Diesel,33.6,3.0,audi,30640649
18,A3,2019,18750,Manual,48800,Diesel,54.3,2.0,audi,30718054
19,Q7,2018,45950,Automatic,57200,Diesel,37.2,4.0,audi,30640645
20,A4,2019,18400,Automatic,60700,Diesel,54.3,2.0,audi,30702776
21,A4,2017,14490,Manual,63100,Diesel,70.6,2.0,audi,30718057
22,A6,2016,13950,Automatic,103098,Diesel,61.4,2.0,audi,30702774
23,T-Cross,2019,16999,N/A,34796,Petrol,47.9,1.0,volkswagen,30317343
24,Fiesta,2017,9999,N/A,30593,Petrol,65.7,1.0,ford,30691359
25,A1,2021,17950,Manual,9800,Petrol,49.6,1.0,audi,30674183
26,A6,2022,53500,Automatic,10411,Diesel,39.2,3.0,audi,30674180
27,Q3,2019,25990,Automatic,20345,Petrol,None,1.5,audi,30470839
28,Q3,2020,29990,Automatic,20546,Petrol,40.4,1.5,audi,30759548
29,Q7,2020,48990,Automatic,23900,Diesel,33.2,3.0,audi,30738759
30,A4,2022,35990,Automatic,28111,Diesel,39.8,3.0,audi,30442548
31,A6,2017,17750,Automatic,46500,Diesel,64.2,2.0,audi,30730556
32,A4,2019,18750,Manual,50800,Petrol,38.7,2.0,audi,30279997
33,RS4,2018,41990,Automatic,71575,Petrol,32.1,2.9,audi,30099359
34,TT,2020,24750,Automatic,16310,Petrol,40.9,2.0,audi,30754641
35,C1,2021,11249,N/A,4133,Petrol,58.9,1.0,citroen,30740973
36,T-Roc,2019,14049,N/A,69605,Petrol,None,1.0,volkswagen,30732565
37,A4,2020,21900,Automatic,23150,Diesel,54.3,2.0,audi,30428351
38,Q7,2020,48990,Automatic,23900,Diesel,33.2,3.0,audi,30738759
39,A4,2022,35990,Automatic,28111,Diesel,39.8,3.0,audi,30442548
40,Q3,2020,28950,Automatic,28150,Petrol,31.4,2.0,audi,30321205
41,A3,2014,11990,Manual,32250,Petrol,53.3,1.4,audi,30735760
42,RS3,2020,34500,Automatic,35750,Petrol,29.7,2.5,audi,30640648
43,Q8,2020,56990,Automatic,44046,Diesel,31.4,4.0,audi,30754645
44,A6,2017,17750,Automatic,46500,Diesel,64.2,2.0,audi,30730556
45,A4,2016,13990,Manual,49650,Diesel,70.6,2.0,audi,30637458
46,A4,2019,18750,Manual,50800,Petrol,38.7,2.0,audi,30279997
47,Astra,2019,10949,N/A,42192,Diesel,58.9,1.6,vauxhall,30726714
48,Model 3,2020,25899,White,Electric,N/A,48333,,tesla,30585566
49,RS3,2020,34500,Automatic,35750,Petrol,29.7,2.5,audi,30640648
50,A4,2016,13990,Manual,49650,Diesel,70.6,2.0,audi,30637458
51,Defender,2022,71995,Automatic,12180,Diesel,None,3.0,land rover,30750532
52,Model 3,2022,34995,Automatic,12373,Other,0.1,1.0,tesla,29356913
53,Q2,2018,16495,Manual,13452,Petrol,50.4,1.4,audi,29182546
54,2008,2022,22995,Automatic,16555,Other,None,1.0,peugeot,29573898
55,Astra,2018,11295,Manual,24459,Diesel,72.4,1.6,vauxhall,30699164
56,Swift,2020,10950,Manual,24662,Other,56.5,1.2,suzuki,30175981
57,HS,2022,17495,Manual,25168,Petrol,38.2,1.5,mg,30571815
58,208,2019,9995,Manual,30639,Petrol,58.9,1.2,peugeot,30529023
59,500,2022,19049,Gold,Electric,N/A,12332,,fiat,30674095
60,Hatch,2016,15799,N/A,24030,Petrol,52.3,2.0,mini,30551771
61,I-PACE,2020,27995,Grey,Other,Automatic,None,,jaguar,29902187
62,Kuga,2017,14995,Manual,39037,Diesel,64.2,1.5,ford,30671007
63,Range Rover Velar,2019,32995,Automatic,40717,Diesel,42.2,2.0,land rover,30248666
64,I-PACE,2020,27995,Automatic,42697,Other,None,1.0,jaguar,30311684
65,5008,2018,21795,Manual,44254,Diesel,67.3,1.5,peugeot,29617123
66,Tiguan,2018,19795,Manual,44828,Diesel,47.9,2.0,volkswagen,29672151
