,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X Trail,2017,17599,N/A,38168,Diesel,48.7,2.0,nissan,30289971
1,Octavia,2013,7995,Automatic,89645,Diesel,62.8,2.0,skoda,30561415
2,Mondeo,2016,8495,Manual,92550,Diesel,78.5,1.5,ford,30135718
3,S60,2012,5495,Manual,99562,Diesel,65.7,2.0,volvo,29927682
4,Golf,2013,6495,Manual,100115,Diesel,68.9,1.6,volkswagen,30625750
5,Ceed,2013,4995,Manual,105000,Diesel,None,1.4,kia,30435072
6,3 Series,2013,9495,Automatic,109841,Diesel,60.1,2.0,bmw,30218973
7,Sportage,2013,5995,Manual,117491,Diesel,54.3,1.7,kia,30561417
8,Golf,2014,5995,Manual,128276,Diesel,88.3,1.6,volkswagen,30632921
9,208,2016,7495,Manual,42964,Petrol,62.8,1.2,peugeot,29597700
10,Captur,2013,7995,Manual,46460,Petrol,56.5,0.9,renault,30443070
11,Sportage,2019,20849,N/A,30854,Petrol,32.5,1.6,kia,30643286
12,Clio,2019,11749,N/A,17128,Petrol,47.1,0.9,renault,30740969
13,Ceed,2013,6995,Manual,51317,Diesel,74.3,1.6,kia,30528823
14,Golf,2015,9495,Manual,59714,Diesel,68.9,1.6,volkswagen,30528830
15,A1,2011,6995,Manual,69279,Petrol,55.4,1.2,audi,29733450
16,2008,2013,6495,Manual,77527,Diesel,70.6,1.6,peugeot,30528837
17,Mondeo,2012,4995,Manual,82439,Diesel,53.3,2.0,ford,30528832
18,A7,2014,16995,Automatic,84686,Diesel,None,0,audi,30528804
19,Insignia,2015,6295,Manual,90372,Diesel,62.8,2.0,vauxhall,30528834
20,Fabia,2015,6995,Manual,94127,Petrol,58.9,1.2,skoda,29076489
21,Superb,2014,8495,Manual,95224,Diesel,60.1,2.0,skoda,30528807
22,A3,2016,10495,Manual,96666,Diesel,67.3,2.0,audi,30443069
23,A Class,2019,15849,N/A,62312,Diesel,68.9,1.5,mercedes-benz,30502645
24,Tiguan,2017,20299,N/A,33964,Diesel,49.6,2.0,volkswagen,30438220
25,C3,2016,4795,Manual,71516,Petrol,61.4,1.2,citroen,30731132
26,Qashqai,2013,6995,Manual,76152,Diesel,62.8,1.6,nissan,30731134
27,2008,2015,6995,Manual,77731,Diesel,76.4,1.6,peugeot,30731131
28,V40,2014,7495,Manual,79412,Diesel,83.1,1.6,volvo,30731133
29,Grand C-MAX,2012,5495,Manual,86901,Diesel,57.7,1.6,ford,30731130
30,Countryman,2015,6995,Manual,101546,Diesel,64.2,1.6,mini,30731135
31,Yeti,2011,5995,Manual,93758,Diesel,47.1,2.0,skoda,30725116
32,308,2017,5995,Manual,117109,Diesel,88.3,1.6,peugeot,30725117
33,Corolla,2022,22600,Automatic,239,Hybrid,62.8,1.8,toyota,30340561
34,Corsa,2022,15000,Manual,3118,Petrol,54.3,1.2,vauxhall,30450333
35,C4,2021,16749,N/A,25684,Petrol,54.3,1.2,citroen,30740963
36,C-HR,2019,16549,N/A,39706,Hybrid,72.4,1.8,toyota,30732464
37,Sandero Stepway,2022,14995,Manual,3782,Petrol,50.4,1,dacia,30526877
38,Sportage,2022,28400,Manual,5788,Petrol,41.5,1.6,kia,30610970
39,308,2022,22200,Semi-Auto,6017,Petrol,52.3,1.2,peugeot,29917355
40,XC60,2021,36400,Semi-Auto,6436,Diesel,44.8,2,volvo,30319761
41,i10,2021,13000,Manual,6460,Petrol,55.4,1.2,hyundai,30676643
42,Golf,2019,17800,Manual,7328,Diesel,57.7,1.6,volkswagen,30663148
43,ZS,2022,17100,Manual,7761,Petrol,42.8,1.5,mg,30479317
44,GLC Class,2018,27250,Semi-Auto,8611,Petrol,37.2,2,mercedes-benz,30652323
45,3 Series,2019,22250,Semi-Auto,9012,Diesel,67.3,2,bmw,30652330
46,Civic,2021,19000,Automatic,9414,Petrol,43.5,1,honda,30610978
47,Focus,2019,12299,N/A,48723,Petrol,58.9,1.0,ford,30476902
48,ZS,2022,17599,N/A,13519,Petrol,42.8,1.0,mg,30531464
49,Octavia,2020,20000,Manual,9872,Diesel,54.3,1.6,skoda,30450334
50,V60,2022,47500,Semi-Auto,10502,Hybrid,None,2,volvo,30629653
51,2008,2020,20800,Semi-Auto,10765,Petrol,47.1,1.2,peugeot,30663145
52,Duster,2022,17995,Manual,12047,Petrol,45.6,1.3,dacia,30676766
53,C4,2022,25500,Semi-Auto,12106,Diesel,57.7,1.5,citroen,30709541
54,Tourneo Custom,2022,42990,Automatic,12253,Diesel,32.8,1,ford,30565193
55,X1,2020,24800,Manual,12687,Petrol,52.3,1.5,bmw,30590087
56,Hatch,2020,21150,Semi-Auto,13048,Petrol,42.2,2,mini,30663136
57,Sandero Stepway,2019,10495,Manual,13493,Petrol,45.6,0.9,dacia,30686319
58,Niro,2020,22300,Automatic,14052,Hybrid,65.7,1.6,kia,30676647
59,Qashqai,2019,16749,N/A,38875,Petrol,39.8,1.3,nissan,30531310
60,Q3,2019,23049,N/A,27654,Diesel,42.8,2.0,audi,30407545
61,Fiesta,2020,17850,Manual,15194,Petrol,40.3,1.5,ford,30590091
62,RAV4,2020,33000,Automatic,15365,Hybrid,49.6,2.5,toyota,30680551
63,2008,2018,15200,Semi-Auto,15389,Petrol,58.9,1.2,peugeot,30604867
64,Sandero Stepway,2020,11895,Manual,15677,Petrol,47.9,0.9,dacia,30686320
65,Fiesta,2019,18800,Manual,15880,Petrol,40.3,1.5,ford,30652329
66,Tiguan,2020,24450,Semi-Auto,15950,Diesel,40.4,2,volkswagen,30469378
67,SX4,2019,15200,Automatic,17936,Petrol,39.2,1,suzuki,30689396
68,3 Series,2021,28300,Semi-Auto,18383,Petrol,41.5,2,bmw,30574585
69,Corolla,2020,20350,Automatic,20682,Hybrid,58.9,1.8,toyota,30652334
70,Polo,2021,15650,Manual,21161,Petrol,50.4,1,volkswagen,30663140
71,Yaris,2017,11299,N/A,33431,Petrol,56.5,1.5,toyota,30593695
72,Fiesta,2019,10599,N/A,33851,Petrol,65.7,1.0,ford,30700655
73,X1,2020,24800,Manual,12687,Petrol,52.3,1.5,bmw,30590087
